,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
13446,1019189866649784300,"['j', 'b', 'hunt', 'transport', 'services', 'inc', 'jbht', 'receives', 'average', 'price', 'target', 'from', 'analysts', 'httpstcozqcgierb']",Tue Jul 17 11:59:34 +0000 2018,WatchlistN,JBHT,J.B. Hunt Transport Services,http://zpr.io/6XFBX,False,5.215833333333333
13457,1019190269193998300,"['jbht', 'q', 'eps', 'upside', 'pricing', 'gains', 'accelerate', 'matthewbrooklier', 'httpstcownhzwkqvxt']",Tue Jul 17 12:01:10 +0000 2018,BuckResearch,JBHT,J.B. Hunt Transport Services,http://bit.ly/1TpNYZ2,False,5.876666666666666
13560,1019194957649899500,"['key', 'equity', 'analysts', 'at', 'stifel', 'nicolaus', 'didnt', 'change', 'their', 'hold', 'rating', 'for', 'jb', 'hunt', 'transport', 'jbht', 'shares', 'today', 'httpstcoqkljurdhb']",Tue Jul 17 12:19:48 +0000 2018,whatsonthorold2,JBHT,J.B. Hunt Transport Services,https://twitter.com/i/web/status/1019194957649899520,False,5.413333333333332
13561,1019195012578512900,"['analysts', 'at', 'stifel', 'nicolaus', 'kept', 'the', 'same', 'their', 'past', 'hold', 'rating', 'on', 'shares', 'jb', 'hunt', 'transport', 'jbht', 'set', 'a', 'pt', 'httpstcoywalfmzq']",Tue Jul 17 12:20:01 +0000 2018,mmahotstuff1,JBHT,J.B. Hunt Transport Services,https://twitter.com/i/web/status/1019195012578512896,False,5.321176470588235
13564,1019195100772085800,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'given', 'a', 'price', 'target', 'by', 'loop', 'capital', 'analysts', 'httpstcoykuhwxjtd']",Tue Jul 17 12:20:22 +0000 2018,ZolmaxNews,JBHT,J.B. Hunt Transport Services,http://zolmax.com/?p=2387161,False,5.293846153846155
13604,1019197488140517400,"['rt', 'cvpayne', 'rev', 'up', 'that', 'diesel', 'jb', 'hunt', 'jbht', 'just', 'posted', 'great', 'financial', 'results', 'with', 'strength', 'in', 'all', 'business', 'segments', 'great', 'proxy', 'for']",Tue Jul 17 12:29:51 +0000 2018,adarpe,JBHT,J.B. Hunt Transport Services,,False,5.825555555555556
13618,1019198461936357400,"['jbht', 'technical', 'alerts', 'dma', 'resistance', 'dma', 'support', 'volume', 'surge', 'and', 'wide', 'range', 'bar', 'httpstcoxtklvvy']",Tue Jul 17 12:33:43 +0000 2018,SwingTradeBot,JBHT,J.B. Hunt Transport Services,https://swingtradebot.com/equities/JBHT,False,5.505
13625,1019198926182928400,"['credit', 'suisse', 'group', 'boosts', 'j', 'b', 'hunt', 'transport', 'services', 'jbht', 'price', 'target', 'to', 'httpstcoxvgkhktt']",Tue Jul 17 12:35:34 +0000 2018,OlympiaReport,JBHT,J.B. Hunt Transport Services,http://theolympiareport.com/?p=929760,False,5.322
13630,1019199086271127600,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'pt', 'raised', 'to', 'at', 'stifel', 'nicolaus', 'httpstcogwaitdd']",Tue Jul 17 12:36:12 +0000 2018,ThisLincolnian,JBHT,J.B. Hunt Transport Services,http://thelincolnianonline.com/?p=2188745,False,5.273333333333333
13635,1019199219234689000,"['credit', 'suisse', 'group', 'boosts', 'j', 'b', 'hunt', 'transport', 'services', 'jbht', 'price', 'target', 'to', 'httpstcoscdbokjukw']",Tue Jul 17 12:36:44 +0000 2018,dispatchtribune,JBHT,J.B. Hunt Transport Services,http://dispatchtribunal.com/?p=2058973,False,5.322
13643,1019199713172774900,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'pt', 'raised', 'to', 'at', 'stifel', 'nicolaus', 'httpstcomzvlfqvu']",Tue Jul 17 12:38:42 +0000 2018,WeekHerald,JBHT,J.B. Hunt Transport Services,http://weekherald.com/?p=2995546,False,5.273333333333333
13703,1019203347230937100,"['malibuprivate', 'head', 'fake', 'yesterday', 'on', 'jbht']",Tue Jul 17 12:53:08 +0000 2018,mikevpelayo,JBHT,J.B. Hunt Transport Services,,False,4.85
13837,1019208062979190800,"['rt', 'cvpayne', 'rev', 'up', 'that', 'diesel', 'jb', 'hunt', 'jbht', 'just', 'posted', 'great', 'financial', 'results', 'with', 'strength', 'in', 'all', 'business', 'segments', 'great', 'proxy', 'for']",Tue Jul 17 13:11:52 +0000 2018,palms302,JBHT,J.B. Hunt Transport Services,,False,5.825555555555556
13856,1019209080051765200,"['loop', 'capital', 'analysts', 'give', 'j', 'b', 'hunt', 'transport', 'services', 'jbht', 'a', 'price', 'target', 'httpstcoljmpvmd']",Tue Jul 17 13:15:55 +0000 2018,EnterpriseLeade,JBHT,J.B. Hunt Transport Services,http://theenterpriseleader.com/?p=992254,False,5.386666666666667
13868,1019209627509121000,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'given', 'a', 'price', 'target', 'by', 'loop', 'capital', 'analysts', 'httpstcouduagvioq']",Tue Jul 17 13:18:05 +0000 2018,MareaInformativ,JBHT,J.B. Hunt Transport Services,http://www.mareainformativa.com/?p=463335,False,5.293846153846155
14359,1019235143867863000,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'price', 'target', 'raised', 'to', 'at', 'morgan', 'stanley', 'httpstcoeucpzms']",Tue Jul 17 14:59:29 +0000 2018,EnterpriseLeade,JBHT,J.B. Hunt Transport Services,http://theenterpriseleader.com/?p=992572,False,5.281666666666667
14369,1019235685251895300,"['credit', 'suisse', 'group', 'boosts', 'j', 'b', 'hunt', 'transport', 'services', 'jbht', 'price', 'target', 'to', 'httpstcosffdojfmgf']",Tue Jul 17 15:01:38 +0000 2018,MareaInformativ,JBHT,J.B. Hunt Transport Services,http://www.mareainformativa.com/?p=464245,False,5.322
14526,1019244413523058700,"['jbht', 'jb', 'hunt', 'transport', 'services', 'inc', 'sec', 'filing', 'form', 'httpstcolioacsdxi']",Tue Jul 17 15:36:19 +0000 2018,StockTexts,JBHT,J.B. Hunt Transport Services,http://www.sec.gov/Archives/edgar/data/728535/000156218018003307/xslF345X03/primarydocument.xml,False,5.19
14628,1019249881645383700,"['do', 'you', 'know', 'that', 'book', 'value', 'for', 'jbht', 'is', 'httpstcoujyebjsxb']",Tue Jul 17 15:58:03 +0000 2018,1MinuteStock,JBHT,J.B. Hunt Transport Services,https://unicornbay.com/t/JBHT.US?utm_medium=tweet&utm_campaign=bookvalue&utm_source=twitter,False,5.88
14630,1019250036264271900,"['insider', 'alert', 'evp', 'dedicated', 'hicks', 'bradley', 'w', 'of', 'jbht', 'bought', 'shares']",Tue Jul 17 15:58:40 +0000 2018,ExecPicks,JBHT,J.B. Hunt Transport Services,,False,5.774285714285715
14689,1019252975141826600,"['insider', 'alert', 'evp', 'dedicated', 'hicks', 'bradley', 'w', 'of', 'jbht', 'bought', 'shares']",Tue Jul 17 16:10:20 +0000 2018,ataglieri1,JBHT,J.B. Hunt Transport Services,,False,5.774285714285715
14766,1019256988600062000,"['jbht', 'jb', 'hunt', 'transport', 'services', 'inc', 'sec', 'filing', 'form', 'httpstcoclpdcf']",Tue Jul 17 16:26:17 +0000 2018,StockTexts,JBHT,J.B. Hunt Transport Services,http://www.sec.gov/Archives/edgar/data/728535/000156218018003311/xslF345X03/primarydocument.xml,False,5.19
14922,1019265136387940400,"['insider', 'alert', 'chairman', 'of', 'the', 'board', 'thompson', 'james', 'k', 'of', 'jbht', 'bought', 'shares']",Tue Jul 17 16:58:40 +0000 2018,ExecPicks,JBHT,J.B. Hunt Transport Services,,False,5.319999999999999
14974,1019268080759902200,"['insider', 'alert', 'chairman', 'of', 'the', 'board', 'thompson', 'james', 'k', 'of', 'jbht', 'bought', 'shares']",Tue Jul 17 17:10:22 +0000 2018,ataglieri1,JBHT,J.B. Hunt Transport Services,,False,5.319999999999999
14987,1019268616519331800,"['rt', 'cvpayne', 'rev', 'up', 'that', 'diesel', 'jb', 'hunt', 'jbht', 'just', 'posted', 'great', 'financial', 'results', 'with', 'strength', 'in', 'all', 'business', 'segments', 'great', 'proxy', 'for']",Tue Jul 17 17:12:29 +0000 2018,HerbGreene3,JBHT,J.B. Hunt Transport Services,,False,5.825555555555556
15025,1019270025490858000,"['jbht', 'jb', 'hunt', 'transport', 'services', 'inc', 'sec', 'filing', 'form', 'httpstcoawfvvmkps']",Tue Jul 17 17:18:05 +0000 2018,StockTexts,JBHT,J.B. Hunt Transport Services,http://www.sec.gov/Archives/edgar/data/728535/000156218018003314/xslF345X03/primarydocument.xml,False,5.19
15075,1019272294651138000,"['jbht', 'new', 'insider', 'filing', 'on', 'harper', 'alfred', 'c', 'transaction', 'code', 'm', 'httpstcogmvcuty']",Tue Jul 17 17:27:06 +0000 2018,filing_scanner,JBHT,J.B. Hunt Transport Services,http://www.filingscanner.com/Alerts/JBHT.php,False,5.380000000000001
15082,1019272554165309400,"['jbht', 'jb', 'hunt', 'transport', 'services', 'inc', 'morningstar', 'recovering', 'trucktorail', 'conversions', 'should', 'provide', 'tailwind', 'httpstcoxjygjim']",Tue Jul 17 17:28:08 +0000 2018,ResearchPool,JBHT,J.B. Hunt Transport Services,https://twitter.com/i/web/status/1019272554165309440,False,5.475
15084,1019272560284872700,"['jbht', 'jb', 'hunt', 'transport', 'services', 'inc', 'recovering', 'trucktorail', 'conversions', 'should', 'provide', 'tailwinds', 'for', 'hunts', 'co', 'httpstcoixcjugangh']",Tue Jul 17 17:28:10 +0000 2018,ResearchPool,JBHT,J.B. Hunt Transport Services,https://twitter.com/i/web/status/1019272560284872704,False,5.395999999999999
15223,1019280251493462000,"['insider', 'alert', 'evp', 'pres', 'ics', 'cmo', 'simpson', 'shelley', 'of', 'jbht', 'bought', 'shares']",Tue Jul 17 17:58:43 +0000 2018,ExecPicks,JBHT,J.B. Hunt Transport Services,,False,5.62
15254,1019282129749008400,"['jbht', 'jb', 'hunt', 'transport', 'services', 'inc', 'sec', 'filing', 'form', 'httpstcoqzhmrwwu']",Tue Jul 17 18:06:11 +0000 2018,StockTexts,JBHT,J.B. Hunt Transport Services,http://www.sec.gov/Archives/edgar/data/728535/000156218018003315/xslF345X03/primarydocument.xml,False,5.19
15266,1019283201288745000,"['insider', 'alert', 'evp', 'pres', 'ics', 'cmo', 'simpson', 'shelley', 'of', 'jbht', 'bought', 'shares']",Tue Jul 17 18:10:27 +0000 2018,ataglieri1,JBHT,J.B. Hunt Transport Services,,False,5.62
15373,1019289178641748000,"['jbht', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcofhrwjkak']",Tue Jul 17 18:34:12 +0000 2018,optioncharts,JBHT,J.B. Hunt Transport Services,https://twitter.com/i/web/status/1019289178641747968,False,5.9975000000000005
15437,1019293065205506000,"['new', 'york', 'jb', 'hunt', 'transport', 'jbht', 'stock', 'has', 'just', 'had', 'its', 'outperform', 'rating', 'reiterated', 'by', 'credit', 'suisse', 'shares', 'no', 'httpstcosqvsxmeo']",Tue Jul 17 18:49:38 +0000 2018,whatsonthorold2,JBHT,J.B. Hunt Transport Services,https://twitter.com/i/web/status/1019293065205506049,False,5.392
15440,1019293172466405400,"['todays', 'movers', 'jb', 'hunt', 'transport', 'jbht', 'stock', 'rating', 'reiterated', 'at', 'credit', 'suisse', 'target', 'price', 'indicates', 'httpstcovzngtnbo']",Tue Jul 17 18:50:04 +0000 2018,mmahotstuff1,JBHT,J.B. Hunt Transport Services,https://twitter.com/i/web/status/1019293172466405377,False,5.361818181818181
15443,1019293321401860100,"['jb', 'hunt', 'transport', 'jbht', 'credit', 'suisse', 'reconfirms', 'outperform', 'rating', 'today', 'has', 'a', 'target', 'of', 'share', 'httpstcokvdqchxv']",Tue Jul 17 18:50:40 +0000 2018,reurope_stock,JBHT,J.B. Hunt Transport Services,https://reurope.com/2018/07/17/jb-hunt-transport-nasdaqjbht-credit-suisse-reconfirms-outperform-rating-today-has-a-target-of-143-share/,False,5.507272727272727
15447,1019293393233555500,"['today', 'credit', 'suisse', 'reiterates', 'a', 'outperform', 'rating', 'on', 'jb', 'hunt', 'transport', 'jbht', 'and', 'a', 'target', 'price', 'httpstcodkrzvfgen']",Tue Jul 17 18:50:57 +0000 2018,bibeypost_stock,JBHT,J.B. Hunt Transport Services,https://www.bibeypost.com/today-credit-suisse-reiterates-a-outperform-rating-on-jb-hunt-transport-nasdaqjbht-and-a-143-target-price/,False,5.391666666666666
15450,1019293604978839600,"['jb', 'hunt', 'transport', 'jbht', 'equalweight', 'rating', 'kept', 'today', 'by', 'morgan', 'stanley', 'the', 'target', 'price', 'is', 'set', 'to', 'httpstcohjrafec']",Tue Jul 17 18:51:47 +0000 2018,whatsonthorold2,JBHT,J.B. Hunt Transport Services,https://www.whatsonthorold.com/2018/07/17/jb-hunt-transport-nasdaqjbht-equal-weight-rating-kept-today-by-morgan-stanley-the-target-price-is-set-to-119/,False,5.3
15453,1019293688588095500,"['morgan', 'stanley', 'reiterated', 'jb', 'hunt', 'transport', 'jbht', 'as', 'a', 'equalweight', 'they', 'now', 'have', 'a', 'tp', 'of', 'httpstcogdogsswz']",Tue Jul 17 18:52:07 +0000 2018,mmahotstuff1,JBHT,J.B. Hunt Transport Services,https://www.mmahotstuff.com/2018/07/17/morgan-stanley-reiterated-jb-hunt-transport-nasdaqjbht-as-a-equal-weight-they-now-have-a-tp-of-119.html,False,5.3015384615384615
15458,1019293828690464800,"['to', 'target', 'morgan', 'stanley', 'reconfirms', 'equalweight', 'rating', 'on', 'jb', 'hunt', 'transport', 'jbht', 'shares', 'today', 'httpstcoiyoacwmut']",Tue Jul 17 18:52:40 +0000 2018,reurope_stock,JBHT,J.B. Hunt Transport Services,https://reurope.com/2018/07/17/2-16-to-target-morgan-stanley-reconfirms-equal-weight-rating-on-jb-hunt-transport-nasdaqjbht-shares-today/,False,5.4799999999999995
15461,1019293906243027000,"['key', 'professional', 'analysts', 'at', 'morgan', 'stanley', 'maintain', 'their', 'equalweight', 'rating', 'for', 'jb', 'hunt', 'transport', 'jbht', 'shar', 'httpstcodguebqjfu']",Tue Jul 17 18:52:59 +0000 2018,bibeypost_stock,JBHT,J.B. Hunt Transport Services,https://twitter.com/i/web/status/1019293906243026950,False,5.369230769230769
15800,1019310778342690800,"['executive', 'vice', 'president', 'of', 'jb', 'hunt', 'increases', 'stake', 'with', 'company', 'jbht', 'httpstcobtxzwvp']",Tue Jul 17 20:00:02 +0000 2018,chasingmarkets,JBHT,J.B. Hunt Transport Services,http://chasingmarkets.com/news/15b4e4aab5882f?src=tw,False,5.258
15872,1019313232094355500,"['breaking', 'jb', 'hunt', 'transport', 'jbht', 'market', 'perform', 'rating', 'reaffirmed', 'at', 'cowen', 'u', 'co', 'today', 'the', 'pt', 'is', 'set', 'to', 'httpstcoaulyloxe']",Tue Jul 17 20:09:47 +0000 2018,whatsonthorold2,JBHT,J.B. Hunt Transport Services,https://twitter.com/i/web/status/1019313232094355456,False,5.3100000000000005
15874,1019313285458485200,"['todays', 'movers', 'jb', 'hunt', 'transport', 'jbht', 'stock', 'rating', 'kept', 'at', 'cowen', 'u', 'co', 'target', 'price', 'indicates', 'p', 'httpstcouvaihhbcas']",Tue Jul 17 20:09:59 +0000 2018,mmahotstuff1,JBHT,J.B. Hunt Transport Services,https://twitter.com/i/web/status/1019313285458485249,False,5.312857142857142
15881,1019313507630833700,"['analysts', 'at', 'cowen', 'u', 'co', 'reconfirmed', 'their', 'past', 'market', 'perform', 'rating', 'on', 'shares', 'jb', 'hunt', 'transport', 'jbht', 'se', 'httpstcopfiopqzyw']",Tue Jul 17 20:10:52 +0000 2018,bibeypost_stock,JBHT,J.B. Hunt Transport Services,https://twitter.com/i/web/status/1019313507630833665,False,5.402666666666667
15947,1019316224944111600,"['afternoon', 'most', 'tweeted', 'big', 'caps', 'check', 'out', 'gambiste', 'top', 'dbx', 'jbht', 'iq', 'amd', 'aal', 'alny', 'ca', 'fang', 'lulu', 'grmn', 'httpstcolypltitvr']",Tue Jul 17 20:21:40 +0000 2018,GambisteFinance,JBHT,J.B. Hunt Transport Services,http://gambiste.com/index.php/current-month-stock-data/,False,5.7555555555555555
16829,1019361282691092500,"['evening', 'most', 'tweeted', 'big', 'caps', 'check', 'out', 'gambiste', 'top', 'jbht', 'dbx', 'iq', 'lulu', 'amd', 'alny', 'ca', 'aal', 'ctxs', 'mu', 'httpstcolypltitvr']",Tue Jul 17 23:20:43 +0000 2018,GambisteFinance,JBHT,J.B. Hunt Transport Services,http://gambiste.com/index.php/current-month-stock-data/,False,5.7379999999999995
17005,1019374309750370300,"['jbht', 'httpstcoedhhfkxip']",Wed Jul 18 00:12:29 +0000 2018,SeekingAlpha,JBHT,J.B. Hunt Transport Services,https://seekingalpha.com/article/4187887-j-b-hunt-just-another-successful-quarter?source=feed_f,False,0.0
17684,1019426529363689500,"['rt', 'earningsscout', 'including', 'bac', 'blk', 'jbht', 'spy', 'cos', 'are', 'on', 'q', 'clock', 'beating', 'eps', 'ests', 'on', 'growth', 'topping', 'sales', 'on']",Wed Jul 18 03:39:59 +0000 2018,positionalgood,JBHT,J.B. Hunt Transport Services,,False,5.138461538461538
17860,1019442965389848600,"['jbht', 'new', 'insider', 'filing', 'on', 'scott', 'stuart', 'lockard', 'transaction', 'code', 'm', 'httpstcogmvcuty']",Wed Jul 18 04:45:17 +0000 2018,filing_scanner,JBHT,J.B. Hunt Transport Services,http://www.filingscanner.com/Alerts/JBHT.php,False,5.4625
18627,1019498138682478600,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'given', 'a', 'price', 'target', 'by', 'loop', 'capital', 'analysts', 'httpstcoiizfekhub']",Wed Jul 18 08:24:32 +0000 2018,OlympiaReport,JBHT,J.B. Hunt Transport Services,http://theolympiareport.com/?p=931601,False,5.293846153846155
18635,1019498479855525900,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'given', 'a', 'price', 'target', 'at', 'loop', 'capital', 'httpstcoqujfojh']",Wed Jul 18 08:25:53 +0000 2018,WeekHerald,JBHT,J.B. Hunt Transport Services,http://weekherald.com/?p=2997399,False,5.31
19309,1019536039181013000,"['keycorp', 'raises', 'j', 'b', 'hunt', 'transport', 'services', 'fy', 'earnings', 'estimates', 'to', 'eps', 'previously', 'httpstconrsnsoxiv', 'jbht', 'jbht']",Wed Jul 18 10:55:08 +0000 2018,RatingsNetwork,JBHT,J.B. Hunt Transport Services,http://zpr.io/6XdWy,False,5.51
19420,1019540176970928100,"['brokers', 'set', 'expectations', 'for', 'j', 'b', 'hunt', 'transport', 'services', 'incs', 'fy', 'earnings', 'jbht', 'httpstcosfbnxnjw']",Wed Jul 18 11:11:34 +0000 2018,TheMarketsDaily,JBHT,J.B. Hunt Transport Services,http://zpr.io/6XetQ,False,5.428
19777,1019552716157222900,"['rt', 'cvpayne', 'rev', 'up', 'that', 'diesel', 'jb', 'hunt', 'jbht', 'just', 'posted', 'great', 'financial', 'results', 'with', 'strength', 'in', 'all', 'business', 'segments', 'great', 'proxy', 'for']",Wed Jul 18 12:01:24 +0000 2018,babygungun1,JBHT,J.B. Hunt Transport Services,,False,5.825555555555556
20918,1019578874236203000,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'issues', 'quarterly', 'earnings', 'results', 'httpstcozzpuaatej']",Wed Jul 18 13:45:21 +0000 2018,TickerReport,JBHT,J.B. Hunt Transport Services,http://tickerreport.com/?p=3643539,False,5.382222222222222
21540,1019592464326447100,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'price', 'target', 'raised', 'to', 'httpstcoabmnufhq']",Wed Jul 18 14:39:21 +0000 2018,OlympiaReport,JBHT,J.B. Hunt Transport Services,http://theolympiareport.com/?p=932489,False,5.333333333333333
21541,1019592535910608900,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'price', 'target', 'increased', 'to', 'by', 'analysts', 'at', 'cowen', 'httpstcoutbtuvxzt']",Wed Jul 18 14:39:38 +0000 2018,ThisLincolnian,JBHT,J.B. Hunt Transport Services,http://thelincolnianonline.com/?p=2191445,False,5.2266666666666675
21584,1019593532225540100,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'pt', 'raised', 'to', 'httpstcomposwqy']",Wed Jul 18 14:43:35 +0000 2018,TranscriptDaily,JBHT,J.B. Hunt Transport Services,http://zpr.io/6X4PL,False,5.32
21775,1019597614541627400,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'price', 'target', 'raised', 'to', 'at', 'credit', 'suisse', 'group', 'httpstcojbjablso']",Wed Jul 18 14:59:49 +0000 2018,EnterpriseLeade,JBHT,J.B. Hunt Transport Services,http://theenterpriseleader.com/?p=995081,False,5.39
22074,1019603968643694600,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'given', 'new', 'price', 'target', 'at', 'stifel', 'nicolaus', 'httpstcokwbgngm']",Wed Jul 18 15:25:04 +0000 2018,dispatchtribune,JBHT,J.B. Hunt Transport Services,http://dispatchtribunal.com/?p=2061744,False,5.3919999999999995
22079,1019604059672719400,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'pt', 'raised', 'to', 'at', 'credit', 'suisse', 'group', 'httpstcoqjnchogjey']",Wed Jul 18 15:25:25 +0000 2018,WeekHerald,JBHT,J.B. Hunt Transport Services,http://weekherald.com/?p=2998398,False,5.385454545454546
23116,1019625893319381000,"['j', 'b', 'hunt', 'transport', 'services', 'jbht', 'posts', 'earnings', 'results', 'beats', 'expectations', 'by', 'eps', 'httpstcoebudnmbgl']",Wed Jul 18 16:52:11 +0000 2018,dailypoliticaln,JBHT,J.B. Hunt Transport Services,http://www.dailypolitical.com/?p=2210199,False,5.425454545454545
23604,1019636256131698700,"['zacks', 'investment', 'research', 'upgrades', 'j', 'b', 'hunt', 'transport', 'services', 'jbht', 'to', 'buy', 'httpstcodiep']",Wed Jul 18 17:33:22 +0000 2018,MareaInformativ,JBHT,J.B. Hunt Transport Services,http://www.mareainformativa.com/?p=471055,False,5.515555555555555
24029,1019647022712811500,"['jbht', 'new', 'insider', 'filing', 'on', 'scott', 'stuart', 'lockard', 'transaction', 'code', 'm', 'httpstcogmvcuty']",Wed Jul 18 18:16:08 +0000 2018,filing_scanner,JBHT,J.B. Hunt Transport Services,http://www.filingscanner.com/Alerts/JBHT.php,False,5.4625
25299,1019674427091574800,"['although', 'the', 'technical', 'rating', 'is', 'only', 'medium', 'jbht', 'does', 'present', 'a', 'nice', 'setup', 'opportunity', 'httpstcodzhbblj', 'httpstcokjndfqeva']",Wed Jul 18 20:05:02 +0000 2018,ChartMill,JBHT,J.B. Hunt Transport Services,https://www.chartmill.com/analyze.php?utm_source=twitter&utm_medium=TA&utm_content=SETUP&utm_campaign=social_tracking#/JBHT?key=5932c0c7-e64f-4187-8aef-7065cac14362,False,5.590769230769231
26062,1019687345040261100,"['jbht', 'jb', 'hunt', 'transport', 'services', 'inc', 'sec', 'filing', 'form', 'httpstcoigtqdrzhw']",Wed Jul 18 20:56:22 +0000 2018,StockTexts,JBHT,J.B. Hunt Transport Services,http://www.sec.gov/Archives/edgar/data/728535/000156218018003329/xslF345X03/primarydocument.xml,False,5.19
26222,1019690296907632600,"['jbht', 'new', 'insider', 'filing', 'on', 'chairman', 'of', 'the', 'board', 'james', 'k', 'thompson', 'httpstcocgtzpsldm']",Wed Jul 18 21:08:06 +0000 2018,InsiderAlertsIA,JBHT,J.B. Hunt Transport Services,http://insideri.com/1190258_000156218018003329_0001562180-18-003329,False,5.2620000000000005
27764,1019721487866060800,"['insider', 'selling', 'j', 'b', 'hunt', 'transport', 'services', 'inc', 'jbht', 'chairman', 'sells', 'shares', 'of', 'stock', 'httpstcooscrgpzf']",Wed Jul 18 23:12:02 +0000 2018,MareaInformativ,JBHT,J.B. Hunt Transport Services,http://www.mareainformativa.com/?p=472388,False,5.408333333333332
