,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
20528,1019571763473240000,"['rt', 'jimcramer', 'going', 'over', 'that', 'jnj', 'quarter', 'again', 'what', 'stands', 'out', 'is', 'the', 'incredible', 'portfolio', 'management', 'like', 'a', 'great', 'gm', 'ceo', 'gorsky', 'trad']",Wed Jul 18 13:17:05 +0000 2018,Buckgreene,JNJ,Johnson & Johnson,,False,5.488421052631577
20630,1019573753984909300,"['benzingas', 'daily', 'biotech', 'pulse', 'novartis', 'earnings', 'jampjs', 'hiv', 'combo', 'clears', 'fda', 'hurdle', 'cara', 'to', 'offer', 'shares', 'httpstcoljlvgtobhi']",Wed Jul 18 13:25:00 +0000 2018,Benzinga,JNJ,Johnson & Johnson,https://twitter.com/i/web/status/1019573753984909314,True,6.045
21103,1019582516011946000,"['marciestewart', 'potus', 'realdonaldtrump', 'ahh', 'found', 'it', 'heres', 'what', 'trump', 'and', 'woody', 'were', 'really', 'doing', 'in', 'europe', 't', 'httpstcoxwqvuu']",Wed Jul 18 13:59:49 +0000 2018,REALITYofJNJ,JNJ,Johnson & Johnson,https://twitter.com/i/web/status/1019582516011945984,False,5.433333333333333
21150,1019583285893230600,"['johnson', 'amp', 'johnson', 'heavy', 'volume', 'for', 'johnson', 'amp', 'johnson', 'stock', 'jnj', 'httpstcoungzurbiv', 'httpstcoeeavvwmwor']",Wed Jul 18 14:02:52 +0000 2018,MScreener,JNJ,Johnson & Johnson,http://www.4-traders.com//JOHNSON-JOHNSON-4832/,False,5.337999999999999
21293,1019586201295245300,"['rt', 'jnjnews', 'jnj', 'chairman', 'amp', 'ceo', 'alex', 'gorsky', 'on', 'jnjs', 'q', 'financial', 'performance', 'httpstcobgwystjy']",Wed Jul 18 14:14:28 +0000 2018,vvgool,JNJ,Johnson & Johnson,,False,5.388888888888889
21313,1019586613704314900,"['symtuza', 'another', 'option', 'for', 'hiv', 'therapy', 'has', 'received', 'fda', 'approval', 'jnj', 'httpstcovzbcqi']",Wed Jul 18 14:16:06 +0000 2018,CeciliaKPG,JNJ,Johnson & Johnson,https://twitter.com/MDMagazine/status/1019585165239169024,False,5.760000000000001
21403,1019588847238144000,"['jnj', 'httpstcofyomjvjok']",Wed Jul 18 14:24:58 +0000 2018,SeekingAlpha,JNJ,Johnson & Johnson,https://seekingalpha.com/article/4188025-dividend-aristocrat-just-posted-10-percent-sales-15-percent-eps-growth-buy-today?source=feed_f,False,0.0
21454,1019590303181918200,"['jnj', 'httpstcolozpofrq']",Wed Jul 18 14:30:46 +0000 2018,MagnoliaG2012,JNJ,Johnson & Johnson,https://seekingalpha.com/article/4187786-johnson-and-johnson-looks-cheap?source=tweet,False,0.0
21461,1019590460816445400,"['rt', 'ceciliakpg', 'symtuza', 'another', 'option', 'for', 'hiv', 'therapy', 'has', 'received', 'fda', 'approval', 'jnj', 'httpstcovzbcqi']",Wed Jul 18 14:31:23 +0000 2018,thomas_castles,JNJ,Johnson & Johnson,https://twitter.com/MDMagazine/status/1019585165239169024,False,5.65
21469,1019590617603760100,"['this', 'dividend', 'aristocrat', 'just', 'posted', 'sales', 'and', 'eps', 'growth', 'is', 'it', 'a', 'buy', 'today', 'jnj', 'httpstcoynorgvkj']",Wed Jul 18 14:32:00 +0000 2018,tvdata9,JNJ,Johnson & Johnson,https://seekingalpha.com/article/4188025,False,5.651666666666667
21565,1019593248304783400,"['johnson', 'amp', 'johnson', 'heavy', 'volume', 'for', 'johnson', 'amp', 'johnson', 'stock', 'jnj', 'httpstcoungzurbiv', 'httpstcoqdcznm']",Wed Jul 18 14:42:28 +0000 2018,MScreener,JNJ,Johnson & Johnson,http://www.4-traders.com//JOHNSON-JOHNSON-4832/,False,5.337999999999999
21604,1019593936896122900,"['thestalwart', 'joe', 'i', 'own', 'gold', 'and', 'bitcoin', 'and', 'stocks', 'like', 'sq', 'and', 'jnj', 'so', 'i', 'guess', 'i', 'am', 'your', 'experiment', 'in', 'mysteri', 'httpstcofkkqpgdw']",Wed Jul 18 14:45:12 +0000 2018,rayno,JNJ,Johnson & Johnson,https://twitter.com/i/web/status/1019593936896122880,False,5.758823529411764
21951,1019601195940208600,"['rt', 'jnjnews', 'jnj', 'chairman', 'amp', 'ceo', 'alex', 'gorsky', 'on', 'jnjs', 'q', 'financial', 'performance', 'httpstcobgwystjy']",Wed Jul 18 15:14:03 +0000 2018,chelsbells4,JNJ,Johnson & Johnson,,False,5.388888888888889
22054,1019603582654402600,"['jnj', 'httpstcozszgfk']",Wed Jul 18 15:23:32 +0000 2018,SeekingAlpha,JNJ,Johnson & Johnson,https://seekingalpha.com/article/4188043-johnson-and-johnson-raises-guidance-now?source=feed_f,False,0.0
22153,1019605461849526300,"['marciestewart', 'potus', 'realdonaldtrump', 'please', 'notice', 'that', 'this', 'list', 'is', 'numerous', 'other', 'jnj', 'products', 'facing', 'httpstcoptwtsldbx']",Wed Jul 18 15:31:00 +0000 2018,REALITYofJNJ,JNJ,Johnson & Johnson,https://twitter.com/i/web/status/1019605461849526274,False,5.429999999999999
