,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
5931,1018088393442496500,"['amazon', 'will', 'become', 'a', 'network', 'vendor', 'jnpr', 'amzn', 'anet', 'csco', 'httpstcosqmyxltdew']",Sat Jul 14 11:02:42 +0000 2018,RV_Blandin,JNPR,Juniper Networks,https://seekingalpha.com/article/4187248-amazon-will-become-network-vendor?source=tweet,False,5.952
6088,1018126494156156900,"['high', 'put', 'volume', 'mat', 'twlo', 'amtd', 'jnpr', 'cop', 'usb', 'kors', 'swk', 'kgc', 'dlr', 'swks', 'mmm', 'flr', 'snbr', 'pegi', 'pzza', 'ebay', 'azn', 'xom', 'yelp', 'gild', 'gd']",Sat Jul 14 13:34:06 +0000 2018,TopStockAlerts1,JNPR,Juniper Networks,,False,5.4775
6096,1018127515376869400,"['amazon', 'move', 'into', 'data', 'switches', 'could', 'tackle', 'cisco', 'juniper', 'arista', 'anet', 'csco', 'jnpr', 'amzn', 'httpstcoxfrkgjz']",Sat Jul 14 13:38:10 +0000 2018,TopStockAlerts1,JNPR,Juniper Networks,https://www.investors.com/news/technology/amazon-data-switches-cisco-juniper-arista/?refcode=TechReport-1531489914-4-DA-1:07:2018:3Q:NewsLetter:Email:TechReport-1531489914:na:na:na:na:13:13:4:DA:1,False,5.62
6127,1018135811794112500,"['jnpr', 'amzn', 'anet', 'csco', 'httpstcotuphycum']",Sat Jul 14 14:11:08 +0000 2018,MagnoliaG2012,JNPR,Juniper Networks,https://seekingalpha.com/article/4187248-amazon-will-become-network-vendor?source=tweet,False,0.0
6828,1018310681324675100,"['juniper', 'networks', 'jnpr', 'lifted', 'to', 'neutral', 'at', 'otr', 'global', 'httpstcowwmsitbc']",Sun Jul 15 01:46:00 +0000 2018,dakotafinancial,JNPR,Juniper Networks,http://dakotafinancialnews.com/?p=316577,False,5.493333333333333
6829,1018310967590051800,"['juniper', 'networks', 'jnpr', 'lifted', 'to', 'neutral', 'at', 'otr', 'global', 'httpstcoeordlpu']",Sun Jul 15 01:47:08 +0000 2018,dailypoliticaln,JNPR,Juniper Networks,http://www.dailypolitical.com/?p=2200777,False,5.493333333333333
6852,1018316211539660800,"['head', 'to', 'head', 'survey', 'digi', 'international', 'dgii', 'and', 'juniper', 'networks', 'jnpr', 'httpstcohlcxhvuap']",Sun Jul 15 02:07:58 +0000 2018,dispatchtribune,JNPR,Juniper Networks,http://dispatchtribunal.com/?p=2052420,False,5.808571428571428
6888,1018321456894283800,"['jnpr', 'amzn', 'anet', 'csco', 'httpstcomahdsxpas']",Sun Jul 15 02:28:49 +0000 2018,DONNAHARRISON5,JNPR,Juniper Networks,https://seekingalpha.com/article/4187248-amazon-will-become-network-vendor?source=tweet,False,0.0
6925,1018330785961644000,"['head', 'to', 'head', 'analysis', 'juniper', 'networks', 'jnpr', 'versus', 'arista', 'networks', 'anet', 'httpstcosamixyvf']",Sun Jul 15 03:05:53 +0000 2018,EnterpriseLeade,JNPR,Juniper Networks,http://theenterpriseleader.com/?p=985813,False,5.585714285714286
7014,1018348966755303400,"['contrasting', 'ibm', 'common', 'stock', 'ibm', 'amp', 'juniper', 'networks', 'jnpr', 'httpstcougazsjpjg']",Sun Jul 15 04:18:08 +0000 2018,TickerReport,JNPR,Juniper Networks,http://tickerreport.com/?p=3635034,False,5.5200000000000005
7095,1018364641938956300,"['headtohead', 'contrast', 'juniper', 'networks', 'jnpr', 'amp', 'ibm', 'common', 'stock', 'ibm', 'httpstcoepjghrpt']",Sun Jul 15 05:20:25 +0000 2018,WatchlistN,JNPR,Juniper Networks,http://zpr.io/6NWXM,False,5.437142857142857
7526,1018435311561568300,"['juniper', 'networks', 'jnpr', 'vs', 'arista', 'networks', 'anet', 'headtohead', 'contrast', 'httpstcoimdmwvck']",Sun Jul 15 10:01:14 +0000 2018,ledgerzette,JNPR,Juniper Networks,http://ledgergazette.com/?p=2826836,False,5.285
7724,1018462707958321200,"['juniper', 'networks', 'jnpr', 'stock', 'rating', 'upgraded', 'by', 'otr', 'global', 'httpstconrmzwbzm']",Sun Jul 15 11:50:06 +0000 2018,TickerReport,JNPR,Juniper Networks,http://tickerreport.com/?p=3636692,False,5.6240000000000006
8011,1018504463735316500,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'pbct', 'on', 'is', 'httpstcoimbemui', 'bbt', 'mpc', 'jnpr', 'swn']",Sun Jul 15 14:36:01 +0000 2018,shortvolumes,JNPR,Juniper Networks,http://shortvolumes.com/?t=PBCT,False,5.273333333333333
9143,1018801958348607500,"['stocks', 'etf', 'amp', 'funds', 'to', 'review', 'alphabetically', 'irmd', 'isrg', 'itub', 'ivc', 'iwb', 'iwc', 'iwf', 'iwn', 'iwo', 'iwv', 'ixn', 'iyc', 'httpstcoavqhvgql']",Mon Jul 16 10:18:09 +0000 2018,drastichs,JNPR,Juniper Networks,https://twitter.com/i/web/status/1018801958348607488,False,5.444000000000001
9169,1018802832366030800,"['rt', 'drastichs', 'stocks', 'etf', 'amp', 'funds', 'to', 'review', 'alphabetically', 'irmd', 'isrg', 'itub', 'ivc', 'iwb', 'iwc', 'iwf', 'iwn', 'iwo', 'iwv', 'ixn', 'iyc', 'iye', 'jag', 'j']",Mon Jul 16 10:21:38 +0000 2018,drastichs,JNPR,Juniper Networks,,False,5.275
9207,1018805836435554300,"['reviewing', 'ibm', 'common', 'stock', 'ibm', 'amp', 'juniper', 'networks', 'jnpr', 'httpstcopcsntdfzhn']",Mon Jul 16 10:33:34 +0000 2018,MareaInformativ,JNPR,Juniper Networks,http://www.mareainformativa.com/?p=453741,False,5.5200000000000005
9255,1018810313766940700,"['amzn', 'csco', 'jnpr', 'anet', 'httpstcodnlyvsnya']",Mon Jul 16 10:51:22 +0000 2018,SeekingAlpha,JNPR,Juniper Networks,https://seekingalpha.com/article/4187419-selling-premium-cisco-arista?source=feed_f,False,0.0
9256,1018810315423662100,"['amzn', 'csco', 'jnpr', 'anet', 'httpstcozyipmzvaaj']",Mon Jul 16 10:51:22 +0000 2018,SAlphaTech,JNPR,Juniper Networks,https://seekingalpha.com/article/4187419-selling-premium-cisco-arista?source=twitter_salphatech,False,0.0
9269,1018811279782305800,"['rt', 'seekingalpha', 'amzn', 'csco', 'jnpr', 'anet', 'httpstcodnlyvsnya']",Mon Jul 16 10:55:12 +0000 2018,AviseAnalytics,JNPR,Juniper Networks,https://seekingalpha.com/article/4187419-selling-premium-cisco-arista?source=feed_f,False,4.88
9283,1018812667673206800,"['market', 'morning', 'lybia', 'cuts', 'oil', 'output', 'may', 'makes', 'brexit', 'demands', 'amazon', 'to', 'data', 'switches', 'httpstcoitwyjliga', 'httpstcobzurvqkcye']",Mon Jul 16 11:00:43 +0000 2018,marketexclusive,JNPR,Juniper Networks,https://marketexclusive.com/market-morning-lybia-cuts-oil-output-may-makes-brexit-demands-amazon-to-data-switches/2018/07/,False,5.429090909090909
9307,1018814572378148900,"['rt', 'seekingalpha', 'amzn', 'csco', 'jnpr', 'anet', 'httpstcodnlyvsnya']",Mon Jul 16 11:08:17 +0000 2018,FelChrisCap,JNPR,Juniper Networks,https://seekingalpha.com/article/4187419-selling-premium-cisco-arista?source=feed_f,False,4.88
9336,1018817224289673200,"['csco', 'cisco', 'jnpr', 'httpstcoqytkmkafz']",Mon Jul 16 11:18:49 +0000 2018,SeekingAlpha,JNPR,Juniper Networks,https://seekingalpha.com/article/4187425-cisco-juniper-networks-pair-trade-opportunity-recent-aws-news?source=feed_f,False,0.0
9337,1018817225866674200,"['csco', 'cisco', 'jnpr', 'httpstcozdmnfyva']",Mon Jul 16 11:18:50 +0000 2018,SAlphaTech,JNPR,Juniper Networks,https://seekingalpha.com/article/4187425-cisco-juniper-networks-pair-trade-opportunity-recent-aws-news?source=twitter_salphatech,False,0.0
9348,1018818624142753800,"['csco', 'cisco', 'ftnt', 'panw', 'symc', 'jnpr', 'ffiv', 'chkp', 'httpstcowqktk']",Mon Jul 16 11:24:23 +0000 2018,SeekingAlpha,JNPR,Juniper Networks,https://seekingalpha.com/article/4187427-check-point-software-valuation-metrics-downside-risks-ahead?source=feed_f,False,0.0
9349,1018818625568821200,"['csco', 'cisco', 'ftnt', 'panw', 'symc', 'jnpr', 'ffiv', 'chkp', 'httpstcokerkqvx']",Mon Jul 16 11:24:23 +0000 2018,SAlphaTech,JNPR,Juniper Networks,https://seekingalpha.com/article/4187427-check-point-software-valuation-metrics-downside-risks-ahead?source=twitter_salphatech,False,0.0
9407,1018825113087742000,"['rt', 'seekingalpha', 'csco', 'cisco', 'ftnt', 'panw', 'symc', 'jnpr', 'ffiv', 'chkp', 'httpstcowqktk']",Mon Jul 16 11:50:10 +0000 2018,Watson229sas,JNPR,Juniper Networks,https://seekingalpha.com/article/4187427-check-point-software-valuation-metrics-downside-risks-ahead?source=feed_f,False,4.88
10061,1018865112516612100,"['csco', 'jnpr', 'httpstcozmbpcmsw']",Mon Jul 16 14:29:07 +0000 2018,MagnoliaG2012,JNPR,Juniper Networks,https://seekingalpha.com/article/4187425-cisco-juniper-networks-pair-trade-opportunity-recent-aws-news?source=tweet,False,0.0
10188,1018873192956428300,"['keep', 'trying', 'to', 'sell', 'some', 'jnpr', 'calls', 'volume', 'is', 'sleepy', 'cant', 'get', 'the', 'bid']",Mon Jul 16 15:01:13 +0000 2018,ThomasRice16,JNPR,Juniper Networks,,False,5.233846153846154
10272,1018878722856898600,"['verizon', 'deploys', 'lte', 'advanced', 'network', 'for', 'more', 'data', 'capacity', 'httpstcoojrisbwkw', 'cmtl', 'mu', 'vz', 'jnpr']",Mon Jul 16 15:23:12 +0000 2018,whotrades,JNPR,Juniper Networks,https://whotrades.com/people/984697114/timeline/4469856?showMore=1,False,5.692500000000001
10380,1018884357744988200,"['jnpr', 'amzn', 'anet', 'csco', 'httpstcowbujpwsw']",Mon Jul 16 15:45:35 +0000 2018,OI_Chief,JNPR,Juniper Networks,https://seekingalpha.com/article/4187248-amazon-will-become-network-vendor?source=tweet,False,0.0
10817,1018911389568544800,"['stocks', 'with', 'aboveaverage', 'month', 'relativestrength', 'sig', 'six', 'jnpr', 'eat', 'dnkn', 'fl', 'bby', 'httpstcoydzxffwc', 'httpstcolyxtfpqw']",Mon Jul 16 17:33:00 +0000 2018,Briefingcom,JNPR,Juniper Networks,http://bit.ly/2JqXPjQ,False,5.593333333333333
10977,1018924158795833300,"['rbc', 'cisco', 'arista', 'can', 'compete', 'if', 'amazon', 'gets', 'into', 'switches', 'httpstcovqsaprlpgj', 'jnpr', 'amzn', 'csco', 'anet']",Mon Jul 16 18:23:44 +0000 2018,OI_Chief,JNPR,Juniper Networks,https://seekingalpha.com/news/3370054-rbc-cisco-arista-can-compete-amazon-gets-switches?source=tweet,False,5.603333333333334
10989,1018925759216275500,"['jnpr', 'amzn', 'anet', 'csco', 'httpstcopwrfbsq']",Mon Jul 16 18:30:06 +0000 2018,SAlphaTech,JNPR,Juniper Networks,https://seekingalpha.com/article/4187248-amazon-will-become-network-vendor?source=feed_tags,False,0.0
11158,1018937057648005100,"['juniper', 'networks', 'inc', 'jnpr', 'eps', 'estimated', 'at', 'httpstcotmmnzhdv']",Mon Jul 16 19:15:00 +0000 2018,whatsonthorold2,JNPR,Juniper Networks,https://www.whatsonthorold.com/2018/07/16/juniper-networks-inc-jnpr-eps-estimated-at-0-28/,False,5.244999999999999
11160,1018937159615737900,"['juniper', 'networks', 'inc', 'jnpr', 'analysts', 'see', 'eps', 'httpstcosjfrxktrzf']",Mon Jul 16 19:15:24 +0000 2018,mmahotstuff1,JNPR,Juniper Networks,https://www.mmahotstuff.com/2018/07/16/juniper-networks-inc-jnpr-analysts-see-0-28-eps.html,False,5.395
11166,1018937459906957300,"['juniper', 'networks', 'inc', 'jnpr', 'eps', 'estimated', 'at', 'httpstcofwrmqud']",Mon Jul 16 19:16:36 +0000 2018,bibeypost_stock,JNPR,Juniper Networks,https://www.bibeypost.com/juniper-networks-inc-jnpr-eps-estimated-at-0-28-3/,False,5.244999999999999
11183,1018938532235182100,"['can', 'amazon', 'truly', 'hurt', 'networkers', 'cisco', 'arista', 'juniper', 'barrons', 'sector', 'focus', 'amzn', 'csco', 'anet', 'jnpr', 'httpstcodlfmxourz']",Mon Jul 16 19:20:51 +0000 2018,barronstechblog,JNPR,Juniper Networks,https://www.barrons.com/articles/can-amazon-truly-hurt-networkers-cisco-arista-juniper-1531765394?mod=hp_RTA,False,5.413333333333333
