,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
23874,1019643305578172400,"['rt', 'sallypancakes', 'jpmorgans', 'jamie', 'dimons', 'note', 'for', 'lloydblankfein', 'posted', 'on', 'linkedin', 'gs', 'jpm', 'ht', 'readkrystalhu', 'httpstcoycfmp']",Wed Jul 18 18:01:22 +0000 2018,carletonenglish,JPM,JPMorgan Chase & Co.,,True,5.2628571428571425
23904,1019643872320806900,"['bac', 'jpm', 'and', 'took', 'a', 'loss', 'on', 'wmt', 'wasnt', 'able', 'to', 'close', 'them', 'when', 'they', 'all', 'spiked', 'huge', 'bc', 'i', 'was', 'out', 'campming', 'and', 'had', 'no', 'service']",Wed Jul 18 18:03:37 +0000 2018,Bdn_roberto,JPM,JPMorgan Chase & Co.,,False,5.033636363636363
23928,1019644446734860300,"['rt', 'sallypancakes', 'jpmorgans', 'jamie', 'dimons', 'note', 'for', 'lloydblankfein', 'posted', 'on', 'linkedin', 'gs', 'jpm', 'ht', 'readkrystalhu', 'httpstcoycfmp']",Wed Jul 18 18:05:54 +0000 2018,devinbanerjee,JPM,JPMorgan Chase & Co.,,True,5.2628571428571425
23947,1019644816664211500,"['jpm', 'options', 'action', 'calls', 'puts', 'some', 'sell', 'side', 'activity', 'httpstcovzarewmkpc']",Wed Jul 18 18:07:23 +0000 2018,teresaarthur66,JPM,JPMorgan Chase & Co.,,False,5.585
23951,1019644993793921000,"['havent', 'caught', 'up', 'on', 'wallstreet', 'bank', 'earnings', 'yet', 'listen', 'in', 'on', 'bloombergradio', 'while', 'i', 'fill', 'in', 'carolmassar', 'on', 'o', 'httpstcotneyebcrf']",Wed Jul 18 18:08:05 +0000 2018,LauraJKeller,JPM,JPMorgan Chase & Co.,https://twitter.com/i/web/status/1019644993793921024,True,5.454999999999999
23974,1019645524729790500,"['jpm', 'fully', 'out', 'profit', 'is', 'traded', 'x', 'and', 'all', 'wins', 'icebluesun', 'i', 'think', 'i', 'have', 'gambling', 'issue']",Wed Jul 18 18:10:11 +0000 2018,carmex212,JPM,JPMorgan Chase & Co.,,False,5.697333333333333
23982,1019645772218949600,"['jpmorgan', 'chase', 'amp', 'co', 'jpm', 'formed', 'a', 'bullish', 'descending', 'triangle', 'chart', 'pattern', 'could', 'be', 'one', 'of', 'the', 'best', 'performers', 's', 'httpstcoohmsqnmazp']",Wed Jul 18 18:11:10 +0000 2018,whatsonthorold2,JPM,JPMorgan Chase & Co.,https://twitter.com/i/web/status/1019645772218949633,False,5.485333333333333
23986,1019645849499045900,"['jpmorgan', 'chase', 'amp', 'co', 'jpm', 'could', 'help', 'your', 'portfolio', 'the', 'stock', 'formed', 'descending', 'triangle', 'chart', 'pattern', 'httpstcoxteaead']",Wed Jul 18 18:11:29 +0000 2018,mmahotstuff1,JPM,JPMorgan Chase & Co.,https://www.mmahotstuff.com/2018/07/18/jpmorgan-chase-co-jpm-could-help-your-portfolio-the-stock-formed-descending-triangle-chart-pattern.html,False,5.451666666666667
24027,1019646924583002100,"['also', 'a', 'secondquarter', 'trading', 'roundup', 'for', 'the', 'big', 'banks', 'a', 'bigbank', 'tradesplosion', 'ms', 'gs', 'bac', 'c', 'jpm', 'httpstcohwxnrdva']",Wed Jul 18 18:15:45 +0000 2018,IBD_BPeters,JPM,JPMorgan Chase & Co.,https://www.investors.com/news/trading-revenue-jpmorgan-goldman-morganstanley-citigroup/,False,5.327272727272728
24089,1019648513221840900,"['were', 'entering', 'into', 'the', 'meat', 'of', 'earnings', 'seasonwith', 'escalating', 'trade', 'tensions', 'seeming', 'to', 'rise', 'weekly', 'and', 'politica', 'httpstcotjbcfabxqr']",Wed Jul 18 18:22:04 +0000 2018,realmoney,JPM,JPMorgan Chase & Co.,https://twitter.com/i/web/status/1019648513221840898,False,5.386153846153846
