,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
4764,1017738547556683800,"['rt', 'gkrupins', 'jwn', 'watch', 'it', 'if', 'it', 'can', 'crack', 'the', 'area', 'a', 'little', 'above', 'httpstcobmbkehad']",Fri Jul 13 11:52:33 +0000 2018,TTPtrading,JWN,Nordstrom,,False,5.069999999999999
4867,1017754076652687400,"['big', 'stock', 'charts', 'for', 'friday', 'kansas', 'city', 'southern', 'nordstrom', 'and', 'tjx', 'companies', 'httpstcothwfbwa', 'tjx', 'jwn', 'ksu']",Fri Jul 13 12:54:15 +0000 2018,JorelLaraKalel,JWN,Nordstrom,http://bit.ly/2JkKcCO,False,5.68
4878,1017755183324024800,"['rt', 'tradewithjoe', 'something', 'still', 'brewing', 'that', 'dip', 'got', 'bought', 'hard', 'option', 'flow', 'continues', 'jwn', 'httpstcogvdagdkde']",Fri Jul 13 12:58:39 +0000 2018,PradeepJuturu,JWN,Nordstrom,,False,5.267272727272727
4885,1017756371561873400,"['rt', 'tradewithjoe', 'keep', 'on', 'wl', 'for', 'a', 'swing', 'long', 'jwn', 'httpstcoqtrppwlbx']",Fri Jul 13 13:03:22 +0000 2018,Jr41322029,JWN,Nordstrom,,False,5.3999999999999995
4887,1017756743646969900,"['rt', 'tradewithjoe', 'something', 'still', 'brewing', 'that', 'dip', 'got', 'bought', 'hard', 'option', 'flow', 'continues', 'jwn', 'httpstcogvdagdkde']",Fri Jul 13 13:04:51 +0000 2018,Jr41322029,JWN,Nordstrom,,False,5.267272727272727
4901,1017758351231541200,"['big', 'stock', 'charts', 'for', 'friday', 'kansas', 'city', 'southern', 'nordstrom', 'and', 'tjx', 'companies', 'jwn', 'tjx', 'ksu', 'httpstcommaeykjxjl']",Fri Jul 13 13:11:14 +0000 2018,TopStockAlerts1,JWN,Nordstrom,https://investorplace.com/2018/07/3-big-stock-charts-for-friday-kansas-city-southern-nordstrom-and-tjx-companies/,False,5.68
5070,1017787873649717200,"['hiph', 'strong', 'buy', 'amp', 'hold', 'seethruequity', 'target', 'same', 'advisor', 'as', 'fusz', 'hydrogen', 'cbd', 'water', 'launch', 'coming', 're', 'httpstcojhpejkwlx']",Fri Jul 13 15:08:33 +0000 2018,NasdaqReporter,JWN,Nordstrom,https://twitter.com/i/web/status/1017787873649717248,False,5.822500000000001
5272,1017819918857670700,"['see', 'our', 'weekly', 'trading', 'results', 'five', 'alerts', 'five', 'winners', 'ingr', 'ozrk', 'mfgp', 'pets', 'jwn', 'httpstcoyttysmnilf']",Fri Jul 13 17:15:53 +0000 2018,TroyPeterson,JWN,Nordstrom,https://www.youtube.com/watch?v=ukujQ1LKUDM,False,6.095555555555555
5290,1017822946847584300,"['considering', 'jwn', 'puts']",Fri Jul 13 17:27:55 +0000 2018,OptionsPros,JWN,Nordstrom,,False,5.35
5500,1017867532731023400,"['fridays', 'buy', 'lines', 'sq', 'baba', 'pags', 'kr', 'cmcsa', 'grpn', 'ilmn', 'blmn', 'key', 'yelp', 'dnr', 'snbr', 'jwn', 'aal', 'c', 'msft', 'hain', 'httpstcolqvmiioh']",Fri Jul 13 20:25:05 +0000 2018,WallStJesus,JWN,Nordstrom,https://twitter.com/i/web/status/1017867532731023361,False,5.832
