,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
4999,1017775191475261400,"['rt', 'petersmithu', 'if', 'im', 'wrong', 'with', 'kmb', 's', 'asset', 'selling', 'ill', 'retire']",Fri Jul 13 14:18:09 +0000 2018,RodeaChiconinos,KMB,Kimberly-Clark Corporation,,False,4.92
5001,1017775903366148100,"['rt', 'petersmithu', 'if', 'im', 'wrong', 'with', 'kmb', 's', 'asset', 'selling', 'ill', 'retire']",Fri Jul 13 14:20:59 +0000 2018,chelines8,KMB,Kimberly-Clark Corporation,,False,4.92
5003,1017776205326684200,"['rt', 'petersmithu', 'if', 'im', 'wrong', 'with', 'kmb', 's', 'asset', 'selling', 'ill', 'retire']",Fri Jul 13 14:22:11 +0000 2018,helenamanada,KMB,Kimberly-Clark Corporation,,False,4.92
5021,1017779103842357200,"['rt', 'petersmithu', 'if', 'im', 'wrong', 'with', 'kmb', 's', 'asset', 'selling', 'ill', 'retire']",Fri Jul 13 14:33:42 +0000 2018,xxiiruizA,KMB,Kimberly-Clark Corporation,,False,4.92
5036,1017781857495240700,"['rt', 'getvolatility', 'attractive', 'put', 'selling', 'pricing', 'vale', 'puts', 'more', 'expensive', 'than', 'of', 'history', 'cpb', 'ewz', 'pags', 'tur']",Fri Jul 13 14:44:38 +0000 2018,salomon69479215,KMB,Kimberly-Clark Corporation,,False,5.356
5045,1017784160105173000,"['rt', 'petersmithu', 'if', 'im', 'wrong', 'with', 'kmb', 's', 'asset', 'selling', 'ill', 'retire']",Fri Jul 13 14:53:47 +0000 2018,Patryboiro,KMB,Kimberly-Clark Corporation,,False,4.92
5092,1017789764165034000,"['rt', 'petersmithu', 'if', 'im', 'wrong', 'with', 'kmb', 's', 'asset', 'selling', 'ill', 'retire']",Fri Jul 13 15:16:04 +0000 2018,Carmen43064244,KMB,Kimberly-Clark Corporation,,False,4.92
5111,1017793563873161200,"['rt', 'petersmithu', 'if', 'im', 'wrong', 'with', 'kmb', 's', 'asset', 'selling', 'ill', 'retire']",Fri Jul 13 15:31:09 +0000 2018,noli_garo,KMB,Kimberly-Clark Corporation,,False,4.92
5131,1017797172950110200,"['rt', 'petersmithu', 'if', 'im', 'wrong', 'with', 'kmb', 's', 'asset', 'selling', 'ill', 'retire']",Fri Jul 13 15:45:30 +0000 2018,soletorresca,KMB,Kimberly-Clark Corporation,,False,4.92
5132,1017797394065428500,"['buy', 'kmb', 'kmb', 'near', 'agreement', 'to', 'sell', 'assets', 'worth', 'billions', 'source', 'web', 'max', 'pos', 'mln', 'vol']",Fri Jul 13 15:46:23 +0000 2018,FastestSignals,KMB,Kimberly-Clark Corporation,,False,5.907272727272727
