,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
23757,1019640514709282800,"['kinder', 'morgan', 'inc', 'del', 'kmi', 'stock', 'declined', 'while', 'fpr', 'partners', 'llc', 'has', 'upped', 'its', 'holding', 'httpstcostsjxyky']",Wed Jul 18 17:50:17 +0000 2018,Fanob_stock,KMI,Kinder Morgan,http://fanob.com/2018/07/18/kinder-morgan-inc-del-kmi-stock-declined-while-fpr-partners-llc-has-upped-its-holding/,False,5.204000000000001
23765,1019640940292657200,"['fpr', 'partners', 'llc', 'has', 'upped', 'its', 'stake', 'in', 'kinder', 'morgan', 'inc', 'del', 'kmi', 'by', 'million', 'httpstcoswbmiwd']",Wed Jul 18 17:51:58 +0000 2018,bibeypost_stock,KMI,Kinder Morgan,https://www.bibeypost.com/fpr-partners-llc-has-upped-its-stake-in-kinder-morgan-inc-del-kmi-by-46-66-million/,False,5.520000000000001
23818,1019642322307383300,"['rt', 'tastytradermike', 'tradernickybat', 'and', 'i', 'are', 'doing', 'a', 'deep', 'dive', 'into', 'earnings', 'today', 'were', 'taking', 'a', 'look', 'at', 'the', 'following', 'underlyings', 'at']",Wed Jul 18 17:57:28 +0000 2018,tastytrade,KMI,Kinder Morgan,,False,5.431578947368421
23824,1019642461126262800,"['rt', 'moonhumster', 'binance', 'distributes', 'every', 'fork', 'meaning', 'you', 'get', 'free', 'airdrop', 'register', 'for', 'bonus', 'httpstcomdldjffz', 'enrg', 'uct', 'ltc']",Wed Jul 18 17:58:01 +0000 2018,YdT3PUvTtLeK3jo,KMI,Kinder Morgan,https://www.binance.com/?ref=13937988,False,6.088888888888889
23839,1019642963662549000,"['after', 'the', 'market', 'closes', 'today', 'earnings', 'come', 'out', 'ibm', 'ebay', 'aa', 'kmi', 'axp', 'httpstcokvahxdch']",Wed Jul 18 18:00:01 +0000 2018,ThePixiePost,KMI,Kinder Morgan,,False,5.764444444444444
24601,1019659930796605400,"['kinder', 'morgan', 'seeks', 'to', 'expand', 'el', 'paso', 'gas', 'pipeline', 'capacity', 'httpstcojbltnkhpb', 'kmi']",Wed Jul 18 19:07:26 +0000 2018,MarketCurrents,KMI,Kinder Morgan,https://seekingalpha.com/news/3371184-kinder-morgan-seeks-expand-el-paso-gas-pipeline-capacity?source=feed_f,False,5.2475000000000005
24707,1019661892179058700,"['amzn', 'kmi', 'aroc', 'epe', 'nflx', 'twtr', 'jcp', 'im', 'out', 'guys', 'and', 'gals', 'glta', 'getting', 'for', 'kmi', 'earnings', 'webcast']",Wed Jul 18 19:15:14 +0000 2018,mChaseShorter,KMI,Kinder Morgan,,False,5.642857142857143
24753,1019662891702681600,"['rt', 'moonhumster', 'binance', 'distributes', 'every', 'fork', 'meaning', 'you', 'get', 'free', 'airdrop', 'register', 'for', 'bonus', 'httpstcomdldjffz', 'enrg', 'uct', 'ltc']",Wed Jul 18 19:19:12 +0000 2018,o6qSZxUiIJlzMit,KMI,Kinder Morgan,https://www.binance.com/?ref=13937988,False,6.088888888888889
24929,1019666992339382300,"['kinder', 'morgan', 'seeks', 'to', 'expand', 'el', 'paso', 'gas', 'pipeline', 'capacity', 'kmi', 'httpstcoaolhhylpk']",Wed Jul 18 19:35:30 +0000 2018,MidstreamNews,KMI,Kinder Morgan,https://seekingalpha.com/news/3371184,False,5.2475000000000005
25336,1019675032937787400,"['kmi', 'httpstcowkkaoyewlq']",Wed Jul 18 20:07:27 +0000 2018,mChaseShorter,KMI,Kinder Morgan,https://stocktwits.com/WestTexInvestments/message/130608784,False,0.0
