,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
14295,1019231647424745500,"['join', 'us', 'for', 'signals', 'from', 'multiple', 'paid', 'groups', 'all', 'in', 'one', 'join', 'us', 'httpstcocotmebo', 'gup', 'mco', 'yoyow', 'httpstcohvmabwkm']",Tue Jul 17 14:45:35 +0000 2018,RonaldF05176792,KR,The Kroger Co.,http://discord.gg/tXbaTxx,False,5.876923076923077
14297,1019231791385907200,"['kr', 'kroger', 'company', 'the', 'sec', 'filing', 'form', 'httpstcokwcyxwczjc']",Tue Jul 17 14:46:10 +0000 2018,StockTexts,KR,The Kroger Co.,http://www.sec.gov/Archives/edgar/data/56873/000120919118042768/xslF345X03/doc4.xml,False,5.184
14348,1019234310946246700,"['kr', 'kroger', 'company', 'the', 'sec', 'filing', 'form', 'httpstcoeiupyrpzcm']",Tue Jul 17 14:56:10 +0000 2018,StockTexts,KR,The Kroger Co.,http://www.sec.gov/Archives/edgar/data/56873/000120919118042772/xslF345X03/doc4.xml,False,5.184
14363,1019235295080771600,"['many', 'insider', 'transactions', 'from', 'kr', 'today', 'httpstcollawwknba', 'httpstcolifrvwu', 'fintwit']",Tue Jul 17 15:00:05 +0000 2018,shareseer,KR,The Kroger Co.,http://shareseer.com/today/insiders?f=kroger,False,5.74
14393,1019236861863178200,"['kr', 'kroger', 'company', 'the', 'sec', 'filing', 'form', 'httpstcontegsami']",Tue Jul 17 15:06:19 +0000 2018,StockTexts,KR,The Kroger Co.,http://www.sec.gov/Archives/edgar/data/56873/000120919118042782/xslF345X03/doc4.xml,False,5.184
14582,1019246564408283100,"['promotional', 'events', 'are', 'thrown', 'often', 'come', 'check', 'them', 'out', 'register', 'for', 'bonus', 'httpstcowypwolx', 'otn', 'httpstcodxgukb']",Tue Jul 17 15:44:52 +0000 2018,PWestlake,KR,The Kroger Co.,http://kucoin.com/#/?r=E3aQNa,False,5.5618181818181816
14700,1019253532606828500,"['you', 'can', 'trade', 'for', 'as', 'low', 'as', 'fee', 'on', 'binance', 'register', 'for', 'bonus', 'httpstcohurgbrhp', 'dg', 'lkk', 'xby', 'httpstcovzhumizt']",Tue Jul 17 16:12:33 +0000 2018,carolgibson394,KR,The Kroger Co.,http://binance.com/?ref=10078236,False,5.378333333333333
14771,1019257289247789000,"['bitmex', 'offers', 'leveraged', 'trading', 'products', 'on', 'digital', 'currencies', 'register', 'for', 'bonus', 'httpstcondqoevqv', 'httpstcoxnzahlaffx']",Tue Jul 17 16:27:29 +0000 2018,TeddyKlein4,KR,The Kroger Co.,http://bitmex.com/register/6vXB0G,False,6.034999999999999
14887,1019262870180257800,"['we', 'are', 'faster', 'than', 'any', 'other', 'coin', 'listing', 'bots', 'join', 'us', 'httpstcoirbfumt', 'tra', 'nwl', 'kr', 'payx', 'ebet', 'httpstcowpsnovxnve']",Tue Jul 17 16:49:39 +0000 2018,Michael40684539,KR,The Kroger Co.,http://discord.gg/tXbaTxx,False,5.663636363636363
14913,1019264704374550500,"['trade', 'with', 'up', 'to', 'x', 'leverage', 'on', 'bitmex', 'register', 'for', 'bonus', 'httpstcocpfwzomyjj', 'stx', 'shift', 'hgt', 'can', 'httpstcoqpxmctomfm']",Tue Jul 17 16:56:57 +0000 2018,JosePerryman3,KR,The Kroger Co.,http://bitmex.com/register/6vXB0G,False,5.685454545454545
15001,1019269273716428800,"['binance', 'is', 'one', 'of', 'the', 'top', 'crypto', 'exchanges', 'sign', 'up', 'here', 'register', 'for', 'bonus', 'httpstcopkvulmaz', 'kr', 'httpstcoahirrbipq']",Tue Jul 17 17:15:06 +0000 2018,RickyGr92298314,KR,The Kroger Co.,http://binance.com/?ref=10078236,False,5.696666666666666
15083,1019272558800228400,"['trade', 'on', 'binance', 'with', 'discount', 'trading', 'fee', 'register', 'for', 'bonus', 'httpstcosyjwfred', 'xwc', 'xem', 'bos', 'httpstcoamndpzqvk']",Tue Jul 17 17:28:09 +0000 2018,evanalsop4864,KR,The Kroger Co.,http://binance.com/?ref=10078236,False,5.83111111111111
15101,1019273909894570000,"['huge', 'coin', 'selection', 'low', 'fees', 'and', 'very', 'reliable', 'join', 'binance', 'register', 'for', 'bonus', 'httpstcopkvulmaz', 'httpstcodpcsead']",Tue Jul 17 17:33:31 +0000 2018,RickyGr92298314,KR,The Kroger Co.,http://binance.com/?ref=10078236,False,5.724999999999999
15135,1019275376110067700,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcofxiyvjotbs', 'big', 'httpstcosfoaxpkj']",Tue Jul 17 17:39:21 +0000 2018,victorblake392,KR,The Kroger Co.,http://discord.gg/tXbaTxx,False,5.670000000000001
15190,1019279058155331600,"['we', 'are', 'faster', 'than', 'any', 'other', 'coin', 'listing', 'bots', 'join', 'us', 'httpstcocotmebo', 'wfc', 'pbr', 'nok', 'elf', 'bq', 'httpstcozabxfakc']",Tue Jul 17 17:53:59 +0000 2018,RonaldF05176792,KR,The Kroger Co.,http://discord.gg/tXbaTxx,False,5.729999999999999
15211,1019279779483344900,"['binance', 'has', 'mobile', 'apps', 'so', 'you', 'can', 'trade', 'anywhere', 'sign', 'up', 'register', 'for', 'bonus', 'httpstcoufiwnbk', 'httpstcoggplcwfy']",Tue Jul 17 17:56:51 +0000 2018,carolyn47529089,KR,The Kroger Co.,http://binance.com/?ref=10078236,False,5.81076923076923
15225,1019280289200201700,"['kr', 'new', 'insider', 'filing', 'on', 'sutton', 'mark', 's', 'transaction', 'code', 'httpstcoblqlinvzr']",Tue Jul 17 17:58:52 +0000 2018,filing_scanner,KR,The Kroger Co.,http://www.filingscanner.com/Alerts/KR.php,False,5.531428571428571
