,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
4614,1017699659748466700,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'csx', 'on', 'is', 'httpstcoptdsuwx', 'gwr', 'ksu', 'nsc', 'unp']",Fri Jul 13 09:18:01 +0000 2018,shortvolumes,KSU,Kansas City Southern,http://shortvolumes.com/?t=CSX,False,5.273333333333333
4760,1017737433977323500,"['big', 'stock', 'charts', 'for', 'friday', 'ksu', 'jwn', 'and', 'tjx', 'httpstcotmuzkofh']",Fri Jul 13 11:48:07 +0000 2018,InvestorPlace,KSU,Kansas City Southern,https://investorplace.com/2018/07/3-big-stock-charts-for-friday-kansas-city-southern-nordstrom-and-tjx-companies/,False,5.867999999999999
5653,1017922822209966100,"['ksu', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcoytvoxonm', 'httpstcojqzfbctbh']",Sat Jul 14 00:04:47 +0000 2018,optioncharts,KSU,Kansas City Southern,http://maximum-pain.com/options/open-interest/KSU,False,5.5775
5825,1018045158359740400,"['kansas', 'city', 'southern', 'gets', 'a', 'buy', 'rating', 'from', 'credit', 'suisse', 'ksu', 'httpstcovqwljec']",Sat Jul 14 08:10:54 +0000 2018,ARatings,KSU,Kansas City Southern,http://www.analystratings.com/articles/kansas-city-southern-gets-a-buy-rating-from-credit-suisse/,False,5.6066666666666665
5912,1018086398438596600,"['earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'httpstcoucuksfrs']",Sat Jul 14 10:54:47 +0000 2018,WrigleyTom,KSU,Kansas City Southern,https://twitter.com/i/web/status/1018086398438596609,False,5.73
5932,1018088568588263400,"['rt', 'wrigleytom', 'earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'hon', 'ib']",Sat Jul 14 11:03:24 +0000 2018,johnscharts,KSU,Kansas City Southern,,False,5.401666666666667
5943,1018089770096971800,"['rt', 'wrigleytom', 'earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'hon', 'ib']",Sat Jul 14 11:08:11 +0000 2018,mrbud4,KSU,Kansas City Southern,,False,5.401666666666667
5948,1018090680911126500,"['rt', 'wrigleytom', 'earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'hon', 'ib']",Sat Jul 14 11:11:48 +0000 2018,D_defiler,KSU,Kansas City Southern,,False,5.401666666666667
5949,1018091099288756200,"['rt', 'wrigleytom', 'earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'hon', 'ib']",Sat Jul 14 11:13:27 +0000 2018,cstockton1973,KSU,Kansas City Southern,,False,5.401666666666667
5953,1018092072279126000,"['rt', 'wrigleytom', 'earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'hon', 'ib']",Sat Jul 14 11:17:19 +0000 2018,FeldbergMt,KSU,Kansas City Southern,,False,5.401666666666667
5954,1018093040060203000,"['rt', 'wrigleytom', 'earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'hon', 'ib']",Sat Jul 14 11:21:10 +0000 2018,JayIKyle,KSU,Kansas City Southern,,False,5.401666666666667
5970,1018096833330077700,"['rt', 'wrigleytom', 'earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'hon', 'ib']",Sat Jul 14 11:36:15 +0000 2018,TraderSeanH,KSU,Kansas City Southern,,False,5.401666666666667
5971,1018097583502159900,"['rt', 'wrigleytom', 'earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'hon', 'ib']",Sat Jul 14 11:39:13 +0000 2018,robertorhu,KSU,Kansas City Southern,,False,5.401666666666667
5975,1018098514717544400,"['rt', 'wrigleytom', 'earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'hon', 'ib']",Sat Jul 14 11:42:55 +0000 2018,oup,KSU,Kansas City Southern,,False,5.401666666666667
5977,1018099709397749800,"['rt', 'wrigleytom', 'earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'hon', 'ib']",Sat Jul 14 11:47:40 +0000 2018,ChrisOlsen73,KSU,Kansas City Southern,,False,5.401666666666667
6003,1018104669086904300,"['rt', 'wrigleytom', 'earnings', 'aa', 'abt', 'asml', 'axp', 'bac', 'bhge', 'blk', 'ce', 'clf', 'cof', 'csx', 'ctas', 'dhr', 'dpz', 'ebay', 'etfc', 'expo', 'ge', 'gs', 'gww', 'hon', 'ib']",Sat Jul 14 12:07:23 +0000 2018,MarketsHill,KSU,Kansas City Southern,,False,5.401666666666667
