,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
104,1016202936551133200,"['contrasting', 'miragen', 'therapeutics', 'mgen', 'amp', 'laboratory', 'corp', 'of', 'america', 'lh', 'httpstcotnjeksyf']",Mon Jul 09 06:10:34 +0000 2018,dispatchtribune,LH,Laboratory Corporation of America Holdings,http://dispatchtribunal.com/?p=2041930,False,5.608
138,1016228839381459000,"['laboratory', 'corp', 'of', 'america', 'lh', 'versus', 'invitae', 'nvta', 'critical', 'contrast', 'httpstcokkkodsqwa']",Mon Jul 09 07:53:30 +0000 2018,ThisLincolnian,LH,Laboratory Corporation of America Holdings,http://thelincolnianonline.com/?p=2171751,False,5.08
200,1016275665102962700,"['reviewing', 'laboratory', 'corp', 'of', 'america', 'lh', 'and', 'miragen', 'therapeutics', 'mgen', 'httpstcoabmmtsrob']",Mon Jul 09 10:59:34 +0000 2018,EnterpriseLeade,LH,Laboratory Corporation of America Holdings,http://theenterpriseleader.com/?p=975098,False,5.564
277,1016307694981079000,"['critical', 'contrast', 'invitae', 'nvta', 'versus', 'laboratory', 'corp', 'of', 'america', 'lh', 'httpstcojsuuxmic']",Mon Jul 09 13:06:51 +0000 2018,TranscriptDaily,LH,Laboratory Corporation of America Holdings,http://zpr.io/6TqzY,False,5.08
301,1016315023352848400,"['eps', 'expected', 'for', 'laboratory', 'corporation', 'of', 'america', 'holdings', 'lh', 'httpstcocmidevkub']",Mon Jul 09 13:35:58 +0000 2018,reurope_stock,LH,Laboratory Corporation of America Holdings,https://reurope.com/2018/07/09/2-92-eps-expected-for-laboratory-corporation-of-america-holdings-lh/,False,5.597142857142857
304,1016315453520666600,"['laboratory', 'corporation', 'of', 'america', 'holdings', 'lh', 'analysts', 'see', 'eps', 'httpstcoebsptdqcb']",Mon Jul 09 13:37:41 +0000 2018,bibeypost_stock,LH,Laboratory Corporation of America Holdings,https://www.bibeypost.com/laboratory-corporation-of-america-holdings-lh-analysts-see-2-92-eps/,False,5.614285714285714
320,1016319682146684900,"['zacks', 'brokerages', 'anticipate', 'laboratory', 'corp', 'of', 'america', 'holdings', 'lh', 'to', 'announce', 'eps', 'httpstcoqyrtazh']",Mon Jul 09 13:54:29 +0000 2018,WatchlistN,LH,Laboratory Corporation of America Holdings,http://zpr.io/6Tqwx,False,5.542857142857144
321,1016319855023284200,"['zacks', 'brokerages', 'expect', 'laboratory', 'corp', 'of', 'america', 'holdings', 'lh', 'to', 'post', 'earnings', 'per', 'share', 'httpstcoymhdgnysu']",Mon Jul 09 13:55:10 +0000 2018,TickerReport,LH,Laboratory Corporation of America Holdings,http://tickerreport.com/?p=3624590,False,5.8
844,1016567761168945200,"['analyzing', 'miragen', 'therapeutics', 'mgen', 'amp', 'laboratory', 'corp', 'of', 'america', 'lh', 'httpstcowotxnqxb']",Tue Jul 10 06:20:15 +0000 2018,TranscriptDaily,LH,Laboratory Corporation of America Holdings,http://zpr.io/6T8Bh,False,5.608
1417,1016766523711606800,"['laboratory', 'corp', 'of', 'america', 'lh', 'holder', 'westwood', 'management', 'corp', 'raised', 'holding', 'by', 'million', 'httpstcofjnedrj']",Tue Jul 10 19:30:04 +0000 2018,The_CasualSmart,LH,Laboratory Corporation of America Holdings,https://thecasualsmart.com/2018/07/10/laboratory-corp-of-america-lh-holder-westwood-management-corp-raised-holding-by-16-34-million/,False,5.690000000000001
1420,1016766686786211800,"['westwood', 'management', 'corp', 'has', 'raised', 'position', 'in', 'laboratory', 'corp', 'of', 'america', 'lh', 'httpstcocyihorknk']",Tue Jul 10 19:30:43 +0000 2018,whatsonthorold2,LH,Laboratory Corporation of America Holdings,https://www.whatsonthorold.com/2018/07/10/westwood-management-corp-has-raised-position-in-laboratory-corp-of-america-lh/,False,5.5440000000000005
1421,1016766867371937800,"['laboratory', 'corp', 'of', 'america', 'lh', 'holding', 'maintained', 'by', 'westwood', 'management', 'corp', 'httpstcodoocrfa']",Tue Jul 10 19:31:26 +0000 2018,The_CasualSmart,LH,Laboratory Corporation of America Holdings,https://floridarecorder.com/2018/07/10/laboratory-corp-of-america-lh-holding-maintained-by-westwood-management-corp/,False,5.4799999999999995
1423,1016766953732665300,"['westwood', 'management', 'corp', 'continues', 'to', 'hold', 'position', 'in', 'laboratory', 'corp', 'of', 'america', 'lh', 'httpstcoixqutpiav']",Tue Jul 10 19:31:47 +0000 2018,reurope_stock,LH,Laboratory Corporation of America Holdings,https://reurope.com/2018/07/10/westwood-management-corp-continues-to-hold-position-in-laboratory-corp-of-america-lh/,False,5.458181818181818
1424,1016767050486829000,"['laboratory', 'corp', 'of', 'america', 'lh', 'holder', 'westwood', 'management', 'corp', 'increased', 'its', 'position', 'by', 'million', 'as', 'shares', 'r', 'httpstcowefqjsuj']",Tue Jul 10 19:32:10 +0000 2018,bibeypost_stock,LH,Laboratory Corporation of America Holdings,https://twitter.com/i/web/status/1016767050486829056,False,5.612857142857144
1698,1016893746347114500,"['lh', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcofcorhxjzfz', 'httpstcomcsmccimb']",Wed Jul 11 03:55:36 +0000 2018,optioncharts,LH,Laboratory Corporation of America Holdings,http://maximum-pain.com/options/max-pain/LH,False,4.680000000000001
1776,1016955327152054300,"['laboratoryofamericaholdings', 'lh', 'bidaskscore', 'is', 'lowered', 'to', 'sold']",Wed Jul 11 08:00:18 +0000 2018,BACScoreChanges,LH,Laboratory Corporation of America Holdings,,False,5.173333333333333
2083,1017048002475843600,"['financial', 'contrast', 'laboratory', 'corp', 'of', 'america', 'lh', 'versus', 'invitae', 'nvta', 'httpstcorwiobjjiv']",Wed Jul 11 14:08:34 +0000 2018,ConsumerFeed,LH,Laboratory Corporation of America Holdings,http://zpr.io/6aThs,False,5.394285714285714
2124,1017054647154905100,"['veritas', 'investment', 'management', 'llp', 'increased', 'its', 'holding', 'in', 'laboratory', 'corp', 'of', 'america', 'holdings', 'lh', 'by', 'million', 'httpstcoukviykrqth']",Wed Jul 11 14:34:58 +0000 2018,The_CasualSmart,LH,Laboratory Corporation of America Holdings,https://thecasualsmart.com/2018/07/11/veritas-investment-management-llp-increased-its-holding-in-laboratory-corp-of-america-holdings-lh-by-4-63-million/,False,5.658461538461538
2125,1017054747801653200,"['as', 'laboratory', 'corp', 'of', 'america', 'holdings', 'lh', 'share', 'value', 'rose', 'veritas', 'investment', 'management', 'llp', 'has', 'boosted', 'its', 'stak', 'httpstcoziccllw']",Wed Jul 11 14:35:22 +0000 2018,whatsonthorold2,LH,Laboratory Corporation of America Holdings,https://twitter.com/i/web/status/1017054747801653250,False,5.733846153846154
