,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
1031,1016662188122099700,"['contrasting', 'vocera', 'communications', 'vcra', 'and', 'lumentum', 'lite', 'httpstcomzcmpxhgve']",Tue Jul 10 12:35:28 +0000 2018,EnterpriseLeade,LITE,Lumentum Holdings Inc.,http://theenterpriseleader.com/?p=977284,False,5.473333333333333
1044,1016665462283780100,"['fbr', 'saying', 'buy', 'the', 'weakness', 'on', 'lite', 'stating', 'the', 'competitor', 'report', 'was', 'an', 'estimate', 'and', 'while', 'logical', 'the', 'source', 'wa', 'httpstcotpbqbef']",Tue Jul 10 12:48:29 +0000 2018,SmithngTrades,LITE,Lumentum Holdings Inc.,https://twitter.com/i/web/status/1016665462283780098,False,5.16
1049,1016667531724120000,"['lumentum', 'lite', 'given', 'a', 'price', 'target', 'at', 'craig', 'hallum', 'httpstcovhakgisix']",Tue Jul 10 12:56:42 +0000 2018,EnterpriseLeade,LITE,Lumentum Holdings Inc.,http://theenterpriseleader.com/?p=977326,False,5.271428571428571
1407,1016760761329311700,"['lumentum', 'holdings', 'inc', 'lite', 'expected', 'to', 'post', 'quarterly', 'sales', 'of', 'million', 'httpstcoaepgwish']",Tue Jul 10 19:07:10 +0000 2018,MareaInformativ,LITE,Lumentum Holdings Inc.,http://www.mareainformativa.com/?p=418418,False,5.496
1409,1016760985103884300,"['million', 'in', 'sales', 'expected', 'for', 'lumentum', 'holdings', 'inc', 'lite', 'this', 'quarter', 'httpstcozpugozblo']",Tue Jul 10 19:08:04 +0000 2018,WatchlistN,LITE,Lumentum Holdings Inc.,http://zpr.io/6agXd,False,5.588000000000001
1413,1016762542750863400,"['analysts', 'anticipate', 'lumentum', 'holdings', 'inc', 'lite', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcoxtsxcrrhha']",Tue Jul 10 19:14:15 +0000 2018,ConsumerFeed,LITE,Lumentum Holdings Inc.,http://zpr.io/6agw9,False,5.6579999999999995
1485,1016781943201919000,"['oclaro', 'shareholders', 'approve', 'acquisition', 'by', 'lumentum', 'httpstcokwsaalzggv', 'oclr', 'lite']",Tue Jul 10 20:31:20 +0000 2018,MarketCurrents,LITE,Lumentum Holdings Inc.,https://seekingalpha.com/news/3369102-oclaro-shareholders-approve-acquisition-lumentum?source=feed_f,False,5.696
1486,1016781944346984400,"['oclaro', 'shareholders', 'approve', 'acquisition', 'by', 'lumentum', 'httpstcotofplchvs', 'oclr', 'lite']",Tue Jul 10 20:31:21 +0000 2018,SAlphaTech,LITE,Lumentum Holdings Inc.,https://seekingalpha.com/news/3369102-oclaro-shareholders-approve-acquisition-lumentum?source=twitter_salphatech,False,5.696
1611,1016828421324857300,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'kbe', 'on', 'is', 'httpstcopwbgjjag', 'foxa', 'tvix', 'lite', 'hig']",Tue Jul 10 23:36:02 +0000 2018,shortvolumes,LITE,Lumentum Holdings Inc.,http://shortvolumes.com/?t=KBE,False,5.284000000000001
1642,1016847258132926500,"['oclaro', 'shareholders', 'approve', 'acquisition', 'by', 'lumentum', 'httpstcopmbxalcm', 'oclr', 'lite']",Wed Jul 11 00:50:53 +0000 2018,MagnoliaG2012,LITE,Lumentum Holdings Inc.,https://seekingalpha.com/news/3369102-oclaro-shareholders-approve-acquisition-lumentum?source=tweet,False,5.696
1684,1016882428344823800,"['lite', 'has', 'been', 'dead', 'money', 'since', 'buying', 'a', 'couple', 'months', 'ago', 'trying', 'to', 'be', 'patient', 'but', 'cutting', 'loose', 'at', 'open', 'tomorrow', 'httpstcowjqqwzwua']",Wed Jul 11 03:10:38 +0000 2018,mjekm5,LITE,Lumentum Holdings Inc.,https://twitter.com/i/web/status/1016882428344823808,False,5.240952380952381
1745,1016936984881877000,"['lumentum', 'lite', 'given', 'a', 'price', 'target', 'by', 'craig', 'hallum', 'analysts', 'httpstcodziidmvl']",Wed Jul 11 06:47:25 +0000 2018,TheMarketsDaily,LITE,Lumentum Holdings Inc.,http://zpr.io/6aqNd,False,5.25
1746,1016937268391620600,"['lumentum', 'lite', 'pt', 'set', 'at', 'by', 'craig', 'hallum', 'httpstcowgbdswtt']",Wed Jul 11 06:48:33 +0000 2018,dakotafinancial,LITE,Lumentum Holdings Inc.,http://dakotafinancialnews.com/?p=309994,False,5.173333333333334
