,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
4422,1017626392442429400,"['l', 'technologies', 'lll', 'upgraded', 'to', 'buy', 'at', 'valuengine', 'httpstcobdxlqimuw']",Fri Jul 13 04:26:53 +0000 2018,MareaInformativ,LLL,L3 Technologies,http://www.mareainformativa.com/?p=437263,False,5.5600000000000005
4483,1017645514752450600,"['q', 'eps', 'estimates', 'for', 'l', 'technologies', 'inc', 'boosted', 'by', 'jefferies', 'financial', 'group', 'lll', 'httpstcodbxxnfitn']",Fri Jul 13 05:42:52 +0000 2018,ledgerzette,LLL,L3 Technologies,http://ledgergazette.com/?p=2823190,False,5.311111111111112
4564,1017682155932143600,"['l', 'technologies', 'lll', 'stock', 'rating', 'reaffirmed', 'by', 'jefferies', 'financial', 'group', 'httpstcoovbkgseet']",Fri Jul 13 08:08:28 +0000 2018,ZolmaxNews,LLL,L3 Technologies,http://zolmax.com/?p=2379502,False,5.614285714285715
4575,1017688945025540100,"['l', 'technologies', 'inc', 'lll', 'given', 'average', 'recommendation', 'of', 'buy', 'by', 'brokerages', 'httpstcofkpxrct']",Fri Jul 13 08:35:26 +0000 2018,ConsumerFeed,LLL,L3 Technologies,http://zpr.io/6aBEs,False,5.422499999999999
4599,1017695156110323700,"['ltechnologies', 'lll', 'bidaskscore', 'is', 'increased', 'to', 'held']",Fri Jul 13 09:00:07 +0000 2018,BACScoreChanges,LLL,L3 Technologies,,False,5.455
4646,1017710509301358600,"['analyzing', 'telefonaktiebolaget', 'lm', 'ericsson', 'eric', 'amp', 'l', 'technologies', 'lll', 'httpstcoeboqrbdp']",Fri Jul 13 10:01:08 +0000 2018,dakotafinancial,LLL,L3 Technologies,http://dakotafinancialnews.com/?p=315721,False,5.54
6201,1018154433555914800,"['lll', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcojjtwoqbjc']",Sat Jul 14 15:25:08 +0000 2018,optioncharts,LLL,L3 Technologies,https://twitter.com/i/web/status/1018154433555914752,False,5.9975000000000005
6788,1018299482717474800,"['airgain', 'airg', 'and', 'l', 'technologies', 'lll', 'head', 'to', 'head', 'analysis', 'httpstcolnnfkvqtkk']",Sun Jul 15 01:01:30 +0000 2018,MareaInformativ,LLL,L3 Technologies,http://www.mareainformativa.com/?p=443984,False,5.65142857142857
6921,1018330303893557200,"['research', 'analysts', 'issue', 'forecasts', 'for', 'l', 'technologies', 'incs', 'q', 'earnings', 'lll', 'httpstcowqutkegr']",Sun Jul 15 03:03:58 +0000 2018,dailypoliticaln,LLL,L3 Technologies,http://www.dailypolitical.com/?p=2200992,False,5.6175
6948,1018334983553941500,"['calamp', 'camp', 'amp', 'l', 'technologies', 'lll', 'critical', 'comparison', 'httpstcohavcljlqc']",Sun Jul 15 03:22:34 +0000 2018,ZolmaxNews,LLL,L3 Technologies,http://zolmax.com/?p=2381140,False,5.321666666666666
6954,1018336333163614200,"['calamp', 'camp', 'vs', 'l', 'technologies', 'lll', 'headtohead', 'comparison', 'httpstcojwvfqekmr']",Sun Jul 15 03:27:56 +0000 2018,dailypoliticaln,LLL,L3 Technologies,http://www.dailypolitical.com/?p=2201045,False,5.574
6968,1018338677733380100,"['research', 'analysts', 'issue', 'forecasts', 'for', 'l', 'technologies', 'incs', 'q', 'earnings', 'lll', 'httpstcocnsfqwg']",Sun Jul 15 03:37:15 +0000 2018,ZolmaxNews,LLL,L3 Technologies,http://zolmax.com/?p=2381199,False,5.6175
7139,1018369578127249400,"['l', 'technologies', 'lll', 'hold', 'rating', 'reiterated', 'at', 'jefferies', 'financial', 'group', 'httpstcowxbmogazq']",Sun Jul 15 05:40:02 +0000 2018,dailypoliticaln,LLL,L3 Technologies,http://www.dailypolitical.com/?p=2201507,False,5.588571428571429
7336,1018398376679927800,"['l', 'technologies', 'lll', 'earns', 'hold', 'rating', 'from', 'jefferies', 'financial', 'group', 'httpstcoyuajif']",Sun Jul 15 07:34:28 +0000 2018,TickerReport,LLL,L3 Technologies,http://tickerreport.com/?p=3635909,False,5.7925
7554,1018438647299833900,"['l', 'technologies', 'lll', 'cut', 'to', 'hold', 'at', 'zacks', 'investment', 'research', 'httpstcodwalcqifx']",Sun Jul 15 10:14:29 +0000 2018,MareaInformativ,LLL,L3 Technologies,http://www.mareainformativa.com/?p=447132,False,5.365
7556,1018438765801623600,"['l', 'technologies', 'lll', 'cut', 'to', 'hold', 'at', 'zacks', 'investment', 'research', 'httpstcowqsylgivs']",Sun Jul 15 10:14:58 +0000 2018,EnterpriseLeade,LLL,L3 Technologies,http://theenterpriseleader.com/?p=986442,False,5.365
7725,1018463954392232000,"['airgain', 'airg', 'and', 'l', 'technologies', 'lll', 'head', 'to', 'head', 'analysis', 'httpstcovucnxcqoak']",Sun Jul 15 11:55:03 +0000 2018,ConsumerFeed,LLL,L3 Technologies,http://zpr.io/6Xpcr,False,5.65142857142857
7833,1018485422794690600,"['headtohead', 'contrast', 'l', 'technologies', 'lll', 'amp', 'telefonaktiebolaget', 'lm', 'ericsson', 'eric', 'httpstcoyfvxymtys']",Sun Jul 15 13:20:21 +0000 2018,TranscriptDaily,LLL,L3 Technologies,http://zpr.io/6XsBu,False,5.42
7948,1018497933585633300,"['jefferies', 'financial', 'group', 'reiterates', 'hold', 'rating', 'for', 'l', 'technologies', 'lll', 'httpstcowmnboelvg']",Sun Jul 15 14:10:04 +0000 2018,ConsumerFeed,LLL,L3 Technologies,http://zpr.io/6XY2N,False,5.634285714285714
8235,1018537948827054100,"['l', 'technologies', 'lll', 'stock', 'rating', 'upgraded', 'by', 'valuengine', 'httpstcornlshptl']",Sun Jul 15 16:49:05 +0000 2018,ledgerzette,LLL,L3 Technologies,http://ledgergazette.com/?p=2827755,False,5.5920000000000005
8239,1018538176368005100,"['l', 'technologies', 'lll', 'upgraded', 'to', 'buy', 'by', 'valuengine', 'httpstcoxauajwjs']",Sun Jul 15 16:49:59 +0000 2018,dakotafinancial,LLL,L3 Technologies,http://dakotafinancialnews.com/?p=319519,False,5.5760000000000005
8240,1018538619332714500,"['l', 'technologies', 'lll', 'upgraded', 'to', 'buy', 'by', 'valuengine', 'httpstcosmmeilrdcj']",Sun Jul 15 16:51:45 +0000 2018,ThisLincolnian,LLL,L3 Technologies,http://thelincolnianonline.com/?p=2184971,False,5.5760000000000005
8245,1018538868939817000,"['l', 'technologies', 'lll', 'stock', 'rating', 'upgraded', 'by', 'valuengine', 'httpstcoaykctwcili']",Sun Jul 15 16:52:44 +0000 2018,WeekHerald,LLL,L3 Technologies,http://weekherald.com/?p=2991717,False,5.5920000000000005
8260,1018541688648863700,"['l', 'technologies', 'lll', 'lifted', 'to', 'buy', 'at', 'valuengine', 'httpstcovattzfeo']",Sun Jul 15 17:03:56 +0000 2018,OlympiaReport,LLL,L3 Technologies,http://theolympiareport.com/?p=926001,False,5.666666666666667
8999,1018768738114469900,"['brokerages', 'set', 'l', 'technologies', 'inc', 'lll', 'price', 'target', 'at', 'httpstcocedkqnogu']",Mon Jul 16 08:06:09 +0000 2018,TheMarketsDaily,LLL,L3 Technologies,http://zpr.io/6XMMb,False,5.311428571428571
9196,1018804713440120800,"['calamp', 'camp', 'versus', 'l', 'technologies', 'lll', 'headtohead', 'contrast', 'httpstcobwngodzuo']",Mon Jul 16 10:29:06 +0000 2018,MareaInformativ,LLL,L3 Technologies,http://www.mareainformativa.com/?p=453599,False,5.5280000000000005
9276,1018811878989074400,"['l', 'technologies', 'lll', 'downgraded', 'by', 'zacks', 'investment', 'research', 'to', 'hold', 'httpstcoqwnhtm']",Mon Jul 16 10:57:35 +0000 2018,dispatchtribune,LLL,L3 Technologies,http://dispatchtribunal.com/?p=2056449,False,5.654285714285715
9297,1018813490277077000,"['l', 'technologies', 'lll', 'downgraded', 'by', 'zacks', 'investment', 'research', 'to', 'hold', 'httpstcoskmtpu']",Mon Jul 16 11:03:59 +0000 2018,TranscriptDaily,LLL,L3 Technologies,http://zpr.io/6XmDd,False,5.654285714285715
9451,1018828095048937500,"['l', 'hires', 'new', 'business', 'development', 'chief', 'httpstcomjytjweyg', 'premarket', 'lll']",Mon Jul 16 12:02:01 +0000 2018,MarketCurrents,LLL,L3 Technologies,https://seekingalpha.com/news/3370206-l3-hires-new-business-development-chief?source=feed_f,False,6.12
10060,1018865091708678100,"['financial', 'survey', 'qualcomm', 'qcom', 'and', 'l', 'technologies', 'lll', 'httpstcofcjrxyz']",Mon Jul 16 14:29:02 +0000 2018,MareaInformativ,LLL,L3 Technologies,http://www.mareainformativa.com/?p=456489,False,5.692
10076,1018865793621250000,"['headtohead', 'review', 'l', 'technologies', 'lll', 'amp', 'qualcomm', 'qcom', 'httpstcoqewyuokkv']",Mon Jul 16 14:31:49 +0000 2018,OlympiaReport,LLL,L3 Technologies,http://theolympiareport.com/?p=927533,False,5.6000000000000005
10078,1018865929176911900,"['financial', 'survey', 'qualcomm', 'qcom', 'and', 'l', 'technologies', 'lll', 'httpstcoakerbnpnz']",Mon Jul 16 14:32:21 +0000 2018,dispatchtribune,LLL,L3 Technologies,http://dispatchtribunal.com/?p=2056794,False,5.692
10131,1018869826549411800,"['l', 'technologies', 'lll', 'upgraded', 'at', 'valuengine', 'httpstcopxhqhtiky']",Mon Jul 16 14:47:50 +0000 2018,TheMarketsDaily,LLL,L3 Technologies,http://zpr.io/6XA3g,False,5.513333333333333
10401,1018885585321254900,"['analyzing', 'l', 'technologies', 'lll', 'amp', 'airgain', 'airg', 'httpstcokbnisnq']",Mon Jul 16 15:50:28 +0000 2018,dailypoliticaln,LLL,L3 Technologies,http://www.dailypolitical.com/?p=2205071,False,5.693333333333334
10416,1018886425910136800,"['airgain', 'airg', 'and', 'l', 'technologies', 'lll', 'head', 'to', 'head', 'survey', 'httpstcohxzdfacp']",Mon Jul 16 15:53:48 +0000 2018,ZolmaxNews,LLL,L3 Technologies,http://zolmax.com/?p=2385179,False,5.7057142857142855
10586,1018894957724172300,"['lll', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcoppghcogmuo', 'httpstcoffidtgsvvs']",Mon Jul 16 16:27:42 +0000 2018,optioncharts,LLL,L3 Technologies,http://maximum-pain.com/options/max-pain/LLL,False,4.888
11012,1018926550513799200,"['ls', 'new', 'hire', 'fits', 'strategy', 'to', 'recast', 'the', 'company', 'govcon', 'lll', 'httpstcoxprwbxmjr']",Mon Jul 16 18:33:15 +0000 2018,washtechnology,LLL,L3 Technologies,https://washingtontechnology.com/articles/2018/07/16/l3-obryan-bd-hire.aspx,False,5.668571428571428
11328,1018947627516350500,"['l', 'technologies', 'inc', 'lll', 'eps', 'estimated', 'at', 'httpstcobwgpbraz']",Mon Jul 16 19:57:00 +0000 2018,bibeypost_stock,LLL,L3 Technologies,https://www.bibeypost.com/l3-technologies-inc-lll-eps-estimated-at-2-35-2/,False,5.364
11909,1019010221870665700,"['rt', 'washtechnology', 'ls', 'new', 'hire', 'fits', 'strategy', 'to', 'recast', 'the', 'company', 'govcon', 'lll', 'httpstcoxprwbxmjr']",Tue Jul 17 00:05:43 +0000 2018,MNugentLee_PR,LLL,L3 Technologies,https://washingtontechnology.com/articles/2018/07/16/l3-obryan-bd-hire.aspx,False,5.57
12672,1019120798408302600,"['l', 'technologies', 'lll', 'downgraded', 'by', 'zacks', 'investment', 'research', 'to', 'hold', 'httpstcocekiznytk']",Tue Jul 17 07:25:07 +0000 2018,WatchlistN,LLL,L3 Technologies,http://zpr.io/6Xwk6,False,5.654285714285715
13162,1019173502883188700,"['l', 'communications', 'lll', 'pt', 'raised', 'to', 'at', 'citi', 'httpstcokxtqofg']",Tue Jul 17 10:54:33 +0000 2018,AnalystWire,LLL,L3 Technologies,http://streetinsider.com/r/14404540,False,5.41
