,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
15575,1019299470696239100,"['rt', 'weezie', 'rtn', 'looking', 'better', 'like', 'lmt', 'with', 'a', 'potential', 'cup', 'forming', 'hasnt', 'broken', 'its', 'downtrend', 'from', 'the', 'april', 'th', 'highs', 'yet']",Tue Jul 17 19:15:06 +0000 2018,ramcqueary,LMT,Lockheed Martin Corporation,,False,5.491250000000001
15625,1019302197996277800,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 19:25:56 +0000 2018,Charles_44Mag,LMT,Lockheed Martin Corporation,,False,5.444705882352942
15670,1019304278933037000,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 19:34:12 +0000 2018,illmatador,LMT,Lockheed Martin Corporation,,False,5.444705882352942
15695,1019305766174580700,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 19:40:07 +0000 2018,Dan55645,LMT,Lockheed Martin Corporation,,False,5.444705882352942
15703,1019305936589074400,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 19:40:47 +0000 2018,Graceonthee,LMT,Lockheed Martin Corporation,,False,5.444705882352942
15706,1019305976070131700,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 19:40:57 +0000 2018,lpcaccam,LMT,Lockheed Martin Corporation,,False,5.444705882352942
15751,1019307490360680400,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 19:46:58 +0000 2018,NYMIGUY,LMT,Lockheed Martin Corporation,,False,5.444705882352942
15760,1019307860373585900,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 19:48:26 +0000 2018,Jessie54973670,LMT,Lockheed Martin Corporation,,False,5.444705882352942
15764,1019308228142747600,"['lockheed', 'martins', 'advance', 'looks', 'like', 'another', 'failed', 'rally', 'lmt', 'brucekamich', 'httpstcodhnufdvqqj', 'httpstcogedtbmdllc']",Tue Jul 17 19:49:54 +0000 2018,realmoney,LMT,Lockheed Martin Corporation,https://buff.ly/2L1Uz4b,False,5.420000000000001
15771,1019308619471446000,"['lmt', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcoxratzqewr', 'httpstcorexfntow']",Tue Jul 17 19:51:27 +0000 2018,optioncharts,LMT,Lockheed Martin Corporation,http://maximum-pain.com/options/max-pain/LMT,False,4.680000000000001
15772,1019308641978142700,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 19:51:32 +0000 2018,PamWarr74349840,LMT,Lockheed Martin Corporation,,False,5.444705882352942
15815,1019311252294824000,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 20:01:55 +0000 2018,HelsleyBruce,LMT,Lockheed Martin Corporation,,False,5.444705882352942
15885,1019313661565984800,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 20:11:29 +0000 2018,2louiesMjlewis,LMT,Lockheed Martin Corporation,,False,5.444705882352942
15924,1019315110291103700,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 20:17:14 +0000 2018,CJackso36136041,LMT,Lockheed Martin Corporation,,False,5.444705882352942
15936,1019315622583337000,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 20:19:17 +0000 2018,_neozeno,LMT,Lockheed Martin Corporation,,False,5.444705882352942
15996,1019318308246470700,"['lmt', 'lockheed', 'martin', 'corp', 'lockheed', 'martin', 'corporation', 'update', 'to', 'credit', 'analysis', 'lockheed', 'martin', 'remains', 'strongl', 'httpstcoxyfeqss']",Tue Jul 17 20:29:57 +0000 2018,ResearchPool,LMT,Lockheed Martin Corporation,https://twitter.com/i/web/status/1019318308246470656,False,5.26
16027,1019319312459366400,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 20:33:56 +0000 2018,timbiglercpp,LMT,Lockheed Martin Corporation,,False,5.444705882352942
16074,1019320814158667800,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 20:39:54 +0000 2018,BuckanavageS,LMT,Lockheed Martin Corporation,,False,5.444705882352942
16083,1019321003019788300,"['rt', 'morganlbrennan', 'lockheedmartin', 'says', 'it', 'reached', 'handshake', 'agreement', 'on', 'lrip', 'contract', 'the', 'unit', 'price', 'for', 'all', 'f', 'variants', 'went']",Tue Jul 17 20:40:39 +0000 2018,timbiglercpp,LMT,Lockheed Martin Corporation,,False,5.359999999999999
16099,1019321978614763500,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 20:44:32 +0000 2018,Fulllarmor,LMT,Lockheed Martin Corporation,,False,5.444705882352942
16223,1019327557768843300,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 21:06:42 +0000 2018,Demontialto,LMT,Lockheed Martin Corporation,,False,5.444705882352942
16350,1019333814018068500,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 21:31:34 +0000 2018,MCEEEEEEEEE,LMT,Lockheed Martin Corporation,,False,5.444705882352942
16368,1019334924229316600,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 21:35:58 +0000 2018,ObamaSpied,LMT,Lockheed Martin Corporation,,False,5.444705882352942
16389,1019336479103967200,"['lmt', 'spike', 'friday', 'evening']",Tue Jul 17 21:42:09 +0000 2018,edgarcisneros85,LMT,Lockheed Martin Corporation,,False,6.65
16402,1019337388454219800,"['lmt', 'next', 'tuesday']",Tue Jul 17 21:45:46 +0000 2018,edgarcisneros85,LMT,Lockheed Martin Corporation,,False,5.300000000000001
16518,1019341933012045800,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 22:03:49 +0000 2018,texoman1,LMT,Lockheed Martin Corporation,,False,5.444705882352942
16632,1019349614854582300,"['lmt', 'httpstcokaqormh']",Tue Jul 17 22:34:21 +0000 2018,edgarcisneros85,LMT,Lockheed Martin Corporation,https://stocktwits.com/edgarcisneros/message/130484242,False,0.0
16652,1019350430940266500,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 22:37:36 +0000 2018,Lois1220,LMT,Lockheed Martin Corporation,,False,5.444705882352942
16661,1019350885808459800,"['rt', 'realmoney', 'lockheed', 'martins', 'advance', 'looks', 'like', 'another', 'failed', 'rally', 'lmt', 'brucekamich', 'httpstcodhnufdvqqj', 'httpstcogedtbmdllc']",Tue Jul 17 22:39:24 +0000 2018,BruceKamich,LMT,Lockheed Martin Corporation,https://buff.ly/2L1Uz4b,False,5.3428571428571425
16675,1019351851765063700,"['lmt', 'all', 'i', 'need', 'is', 'volume']",Tue Jul 17 22:43:14 +0000 2018,edgarcisneros85,LMT,Lockheed Martin Corporation,,False,5.588
16711,1019354109584044000,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 22:52:13 +0000 2018,TriciaW70217688,LMT,Lockheed Martin Corporation,,False,5.444705882352942
16731,1019355968868532200,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 22:59:36 +0000 2018,margie_swafford,LMT,Lockheed Martin Corporation,,False,5.444705882352942
16736,1019356162318323700,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 23:00:22 +0000 2018,Maf1963F,LMT,Lockheed Martin Corporation,,False,5.444705882352942
16749,1019356670189867000,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 23:02:23 +0000 2018,WhitneyCa22,LMT,Lockheed Martin Corporation,,False,5.444705882352942
16802,1019360009724026900,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 23:15:39 +0000 2018,BMacDrums,LMT,Lockheed Martin Corporation,,False,5.444705882352942
16811,1019360644682928100,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 23:18:11 +0000 2018,MotherVoorhees,LMT,Lockheed Martin Corporation,,False,5.444705882352942
16819,1019360960828661800,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 23:19:26 +0000 2018,Barbara10604367,LMT,Lockheed Martin Corporation,,False,5.444705882352942
