,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
12305,1019072372463362000,"['top', 'coins', 'of', 'last', 'one', 'hour', 'yocoin', 'yoc', 'quark', 'qrk', 'credence', 'coin', 'crdnc', 'httpstcohwwejps']",Tue Jul 17 04:12:41 +0000 2018,CoinAnalytix,LNC,Lincoln National Corporation,https://twitter.com/i/web/status/1019072372463362053,False,5.45
12334,1019076351037464600,"['overview', 'changeh', 'creva', 'lnc', 'nto', 'changeh', 'toa', 'rbbt', 'scs', 'httpstcobjpqykpkuw']",Tue Jul 17 04:28:30 +0000 2018,crptcur_long,LNC,Lincoln National Corporation,https://twitter.com/i/web/status/1019076351037464582,False,5.36
12342,1019077225323417600,"['detailchange', 'h', 'creva', 'lnc', 'nto', 'toa', 'usc', 'cryptocurrency']",Tue Jul 17 04:31:58 +0000 2018,crptcur_long,LNC,Lincoln National Corporation,,False,4.8
12370,1019084310610145300,"['detailchange', 'h', 'creva', 'life', 'pop', 'pwr', 'lnc', 'cryptocurrency']",Tue Jul 17 05:00:07 +0000 2018,crptcur_long,LNC,Lincoln National Corporation,,False,6.033333333333334
13324,1019182448737947600,"['b', 'riley', 'sets', 'lincoln', 'national', 'q', 'earnings', 'estimates', 'at', 'eps', 'httpstcoqynbplvbep', 'lnc', 'lnc']",Tue Jul 17 11:30:05 +0000 2018,RatingsNetwork,LNC,Lincoln National Corporation,http://zpr.io/6XFC3,False,5.4911111111111115
13889,1019210637732466700,"['lincoln', 'national', 'lnc', 'price', 'target', 'cut', 'to', 'httpstconmvlleqap']",Tue Jul 17 13:22:06 +0000 2018,ConsumerFeed,LNC,Lincoln National Corporation,http://zpr.io/6XC4k,False,5.083333333333334
13963,1019213905514631200,"['lincoln', 'national', 'lnc', 'amp', 'national', 'western', 'life', 'group', 'nwli', 'headtohead', 'survey', 'httpstcozzdpxjr']",Tue Jul 17 13:35:05 +0000 2018,dispatchtribune,LNC,Lincoln National Corporation,http://dispatchtribunal.com/?p=2059154,False,6.085
13989,1019214962911301600,"['lincoln', 'national', 'lnc', 'amp', 'national', 'western', 'life', 'group', 'nwli', 'headtohead', 'survey', 'httpstcowcwkznon']",Tue Jul 17 13:39:17 +0000 2018,MareaInformativ,LNC,Lincoln National Corporation,http://www.mareainformativa.com/?p=463569,False,6.085
13991,1019214976828002300,"['national', 'western', 'life', 'group', 'nwli', 'and', 'lincoln', 'national', 'lnc', 'head', 'to', 'head', 'survey', 'httpstcomwgcqltlw']",Tue Jul 17 13:39:21 +0000 2018,OlympiaReport,LNC,Lincoln National Corporation,http://theolympiareport.com/?p=929943,False,5.941818181818181
14569,1019246107757629400,"['lincoln', 'national', 'lnc', 'cut', 'to', 'hold', 'at', 'zacks', 'investment', 'research', 'httpstconmhudid']",Tue Jul 17 15:43:03 +0000 2018,EnterpriseLeade,LNC,Lincoln National Corporation,http://theenterpriseleader.com/?p=992633,False,5.3775
