,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
1391,1016757126184755200,"['httpstcovgowlpht', 'lnt', 'alliant', 'energy', 'up', 'million', 'gain', 'lnt', 'has', 'made', 'notable', 'gains', 'in', 'of', 'the', 'httpstcojwliuzost']",Tue Jul 10 18:52:43 +0000 2018,42Stocks,LNT,Alliant Energy Corporation,http://42stocks.com/sym/lnt.html,False,6.052
1630,1016836210713677800,"['earnings', 'per', 'share', 'expected', 'for', 'alliant', 'energy', 'co', 'lnt', 'this', 'quarter', 'httpstcoqsnxyogbi']",Wed Jul 11 00:06:59 +0000 2018,dispatchtribune,LNT,Alliant Energy Corporation,http://dispatchtribunal.com/?p=2045452,False,5.8933333333333335
1631,1016837018414977000,"['analysts', 'anticipate', 'alliant', 'energy', 'co', 'lnt', 'to', 'announce', 'eps', 'httpstcojjnhufgacx']",Wed Jul 11 00:10:11 +0000 2018,EnterpriseLeade,LNT,Alliant Energy Corporation,http://theenterpriseleader.com/?p=978273,False,5.568
2411,1017126425655234600,"['httpstcovgowlpht', 'lnt', 'alliant', 'energy', 'up', 'million', 'gain', 'lnt', 'has', 'made', 'notable', 'gains', 'in', 'of', 'the', 'httpstcotrtkbfyy']",Wed Jul 11 19:20:11 +0000 2018,42Stocks,LNT,Alliant Energy Corporation,http://42stocks.com/sym/lnt.html,False,6.052
2695,1017230354078490600,"['eps', 'for', 'alliant', 'energy', 'corporation', 'lnt', 'expected', 'at', 'httpstcoehntymd']",Thu Jul 12 02:13:10 +0000 2018,The_CasualSmart,LNT,Alliant Energy Corporation,https://thecasualsmart.com/2018/07/12/eps-for-alliant-energy-corporation-lnt-expected-at-0-43-2/,False,5.628
2696,1017230447930159100,"['alliant', 'energy', 'corporation', 'lnt', 'eps', 'estimated', 'at', 'httpstcotrhhjnu']",Thu Jul 12 02:13:32 +0000 2018,whatsonthorold2,LNT,Alliant Energy Corporation,https://www.whatsonthorold.com/2018/07/12/alliant-energy-corporation-lnt-eps-estimated-at-0-43/,False,5.6899999999999995
2697,1017230540108378100,"['eps', 'expected', 'for', 'alliant', 'energy', 'corporation', 'lnt', 'httpstcouiomtttah']",Thu Jul 12 02:13:54 +0000 2018,mmahotstuff1,LNT,Alliant Energy Corporation,https://www.mmahotstuff.com/2018/07/12/0-43-eps-expected-for-alliant-energy-corporation-lnt.html,False,5.81
2699,1017230590855217200,"['alliant', 'energy', 'corporation', 'lnt', 'analysts', 'see', 'eps', 'httpstcoofxwhpk']",Thu Jul 12 02:14:06 +0000 2018,The_CasualSmart,LNT,Alliant Energy Corporation,https://floridarecorder.com/2018/07/12/alliant-energy-corporation-lnt-analysts-see-0-43-eps/,False,5.839999999999999
2700,1017230698187493400,"['alliant', 'energy', 'corporation', 'lnt', 'analysts', 'see', 'eps', 'httpstcoxaiiebqb']",Thu Jul 12 02:14:32 +0000 2018,reurope_stock,LNT,Alliant Energy Corporation,https://reurope.com/2018/07/12/alliant-energy-corporation-lnt-analysts-see-0-43-eps/,False,5.839999999999999
2701,1017230775438233600,"['eps', 'for', 'alliant', 'energy', 'corporation', 'lnt', 'expected', 'at', 'httpstcowrahnxfddw']",Thu Jul 12 02:14:50 +0000 2018,bibeypost_stock,LNT,Alliant Energy Corporation,https://www.bibeypost.com/eps-for-alliant-energy-corporation-lnt-expected-at-0-43/,False,5.628
