,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
232,1016291688090882000,"['leucadia', 'national', 'corp', 'luk', 'stake', 'has', 'upped', 'by', 'west', 'oak', 'capital', 'llc', 'httpstcorosaxbyd']",Mon Jul 09 12:03:14 +0000 2018,whatsonthorold2,LUK,Leucadia National Corporation,https://www.whatsonthorold.com/2018/07/09/leucadia-national-corp-luk-stake-has-upped-by-west-oak-capital-llc/,False,5.49
233,1016292221136572400,"['west', 'oak', 'capital', 'llc', 'lifted', 'its', 'stake', 'in', 'leucadia', 'national', 'corp', 'luk', 'by', 'billion', 'as', 'stock', 'value', 'declined', 'httpstcoabimjdz']",Mon Jul 09 12:05:21 +0000 2018,reurope_stock,LUK,Leucadia National Corporation,https://reurope.com/2018/07/09/west-oak-capital-llc-lifted-its-stake-in-leucadia-national-corp-luk-by-5-64-billion-as-stock-value-declined/,False,5.566666666666666
234,1016292292725039100,"['west', 'oak', 'capital', 'llc', 'holds', 'position', 'in', 'leucadia', 'national', 'corp', 'luk', 'httpstcoeiwscak']",Mon Jul 09 12:05:39 +0000 2018,bibeypost_stock,LUK,Leucadia National Corporation,https://www.bibeypost.com/west-oak-capital-llc-holds-position-in-leucadia-national-corp-luk/,False,5.6875
808,1016538637176049700,"['financial', 'review', 'teijin', 'adr', 'rep', 'tinly', 'and', 'leucadia', 'national', 'luk', 'httpstcotpxmljeyb']",Tue Jul 10 04:24:32 +0000 2018,ledgerzette,LUK,Leucadia National Corporation,http://ledgergazette.com/?p=2816080,False,5.348
981,1016652533362778100,"['financial', 'analysis', 'leucadia', 'national', 'luk', 'versus', 'teijin', 'adr', 'rep', 'tinly', 'httpstcowguuepdby']",Tue Jul 10 11:57:07 +0000 2018,ZolmaxNews,LUK,Leucadia National Corporation,http://zolmax.com/?p=2372695,False,5.36
985,1016652744759939100,"['critical', 'analysis', 'teijin', 'adr', 'rep', 'tinly', 'and', 'leucadia', 'national', 'luk', 'httpstcozpmhtek']",Tue Jul 10 11:57:57 +0000 2018,dailypoliticaln,LUK,Leucadia National Corporation,http://www.dailypolitical.com/?p=2192632,False,5.004
1040,1016663877419962400,"['rkuny', 'rakuten', 'premarket', 'ask', 'should', 'be', 'over', 'already', 'ms', 'jpm', 'wfc', 'san', 'c', 'bac', 'luk', 'db', 'evr', 'wmt', 'bbva', 'httpstcobhkrzegy']",Tue Jul 10 12:42:11 +0000 2018,RakutenStock,LUK,Leucadia National Corporation,https://twitter.com/i/web/status/1016663877419962368,False,5.0525
1950,1017021595355885600,"['leucadia', 'national', 'luk', 'and', 'teijin', 'adr', 'rep', 'tinly', 'head', 'to', 'head', 'contrast', 'httpstcotapjjyt']",Wed Jul 11 12:23:38 +0000 2018,ConsumerFeed,LUK,Leucadia National Corporation,http://zpr.io/6ajmb,False,5.405714285714285
1964,1017023925396656100,"['teijin', 'adr', 'rep', 'tinly', 'and', 'leucadia', 'national', 'luk', 'head', 'to', 'head', 'contrast', 'httpstcoltupdmzle']",Wed Jul 11 12:32:53 +0000 2018,MareaInformativ,LUK,Leucadia National Corporation,http://www.mareainformativa.com/?p=423571,False,5.405714285714285
2788,1017276230884888600,"['comparing', 'leucadia', 'national', 'luk', 'amp', 'teijin', 'adr', 'rep', 'tinly', 'httpstcoykpveqjs']",Thu Jul 12 05:15:28 +0000 2018,dakotafinancial,LUK,Leucadia National Corporation,http://dakotafinancialnews.com/?p=312245,False,5.406666666666667
2798,1017277150477549600,"['comparing', 'teijin', 'adr', 'rep', 'tinly', 'amp', 'leucadia', 'national', 'luk', 'httpstcouxikyyuuj']",Thu Jul 12 05:19:07 +0000 2018,TheMarketsDaily,LUK,Leucadia National Corporation,http://zpr.io/6arGb,False,5.406666666666666
2998,1017349025459331100,"['comparing', 'leucadia', 'national', 'luk', 'amp', 'teijin', 'adr', 'rep', 'tinly', 'httpstcobpdyvov']",Thu Jul 12 10:04:43 +0000 2018,MareaInformativ,LUK,Leucadia National Corporation,http://www.mareainformativa.com/?p=428968,False,5.406666666666667
3635,1017457308559986700,"['analyzing', 'teijin', 'adr', 'rep', 'tinly', 'and', 'leucadia', 'national', 'luk', 'httpstcokmoxitwu']",Thu Jul 12 17:15:00 +0000 2018,ConsumerFeed,LUK,Leucadia National Corporation,http://zpr.io/6aJDj,False,5.333333333333333
6472,1018235244376412200,"['leucadia', 'national', 'luk', 'vs', 'teijin', 'adr', 'rep', 'tinly', 'financial', 'survey', 'httpstcozaeowunni']",Sat Jul 14 20:46:14 +0000 2018,EnterpriseLeade,LUK,Leucadia National Corporation,http://theenterpriseleader.com/?p=984337,False,5.395999999999999
6899,1018325432897343500,"['headtohead', 'review', 'teijin', 'adr', 'rep', 'tinly', 'and', 'leucadia', 'national', 'luk', 'httpstcoxzlxircph']",Sun Jul 15 02:44:37 +0000 2018,ledgerzette,LUK,Leucadia National Corporation,http://ledgergazette.com/?p=2825011,False,5.33
6901,1018325982808346600,"['financial', 'review', 'leucadia', 'national', 'luk', 'amp', 'teijin', 'adr', 'rep', 'tinly', 'httpstcoxhsujxelu']",Sun Jul 15 02:46:48 +0000 2018,dakotafinancial,LUK,Leucadia National Corporation,http://dakotafinancialnews.com/?p=316753,False,5.392
7459,1018421893840425000,"['analyzing', 'teijin', 'adr', 'rep', 'tinly', 'amp', 'leucadia', 'national', 'luk', 'httpstcodaggwlnrp']",Sun Jul 15 09:07:55 +0000 2018,WatchlistN,LUK,Leucadia National Corporation,http://zpr.io/6XRZ6,False,5.406666666666666
7563,1018439925597917200,"['teijin', 'adr', 'rep', 'tinly', 'vs', 'leucadia', 'national', 'luk', 'head', 'to', 'head', 'comparison', 'httpstcovxyujct']",Sun Jul 15 10:19:34 +0000 2018,MareaInformativ,LUK,Leucadia National Corporation,http://www.mareainformativa.com/?p=447280,False,5.378571428571428
9632,1018840602375589900,"['headtohead', 'comparison', 'leucadia', 'national', 'luk', 'versus', 'teijin', 'adr', 'rep', 'tinly', 'httpstcotxawesmbl']",Mon Jul 16 12:51:43 +0000 2018,TranscriptDaily,LUK,Leucadia National Corporation,http://zpr.io/6Xhyx,False,5.237500000000001
9726,1018847077034577900,"['teijin', 'adr', 'rep', 'tinly', 'amp', 'leucadia', 'national', 'luk', 'headtohead', 'analysis', 'httpstcothhohkes']",Mon Jul 16 13:17:27 +0000 2018,ZolmaxNews,LUK,Leucadia National Corporation,http://zolmax.com/?p=2384517,False,5.505
10649,1018898671411318800,"['added', 'luk', 'lukaclp', 'luka', 'coin', 'to', 'the', 'tracker', 'httpstcoltgkodqqk']",Mon Jul 16 16:42:28 +0000 2018,triforcecoin,LUK,Leucadia National Corporation,https://triforcecoin.com/,False,5.57
12525,1019104175504937000,"['critical', 'survey', 'teijin', 'adr', 'rep', 'tinly', 'and', 'leucadia', 'national', 'luk', 'httpstcooqzgtr']",Tue Jul 17 06:19:04 +0000 2018,TickerReport,LUK,Leucadia National Corporation,http://tickerreport.com/?p=3639960,False,5.08
12528,1019104396767088600,"['critical', 'survey', 'leucadia', 'national', 'luk', 'and', 'teijin', 'adr', 'rep', 'tinly', 'httpstcocafbysu']",Tue Jul 17 06:19:56 +0000 2018,WatchlistN,LUK,Leucadia National Corporation,http://zpr.io/6XwYT,False,5.08
12584,1019112028701691900,"['leucadia', 'national', 'luk', 'versus', 'teijin', 'adr', 'rep', 'tinly', 'critical', 'comparison', 'httpstcoorfniave']",Tue Jul 17 06:50:16 +0000 2018,WatchlistN,LUK,Leucadia National Corporation,http://zpr.io/6XwAN,False,4.8340000000000005
14888,1019262889134379000,"['added', 'crex', 'as', 'an', 'exchange', 'pair', 'for', 'luk', 'lukaclp', 'happy', 'trading']",Tue Jul 17 16:49:44 +0000 2018,triforcecoin,LUK,Leucadia National Corporation,,False,5.8825
16112,1019322494006816800,"['hrg', 'luk', 'leucadia', 'national', 'corporation', 'sec', 'filing', 'form', 'httpstcokyykhutd']",Tue Jul 17 20:46:35 +0000 2018,StockTexts,LUK,Leucadia National Corporation,http://www.sec.gov/Archives/edgar/data/96223/000121465918004875/xslF345X03/marketforms-42476.xml,False,5.308
16225,1019327618141884400,"['hrg', 'luk', 'leucadia', 'national', 'corporation', 'sec', 'filing', 'form', 'sc', 'da', 'httpstcomhbfmehy']",Tue Jul 17 21:06:57 +0000 2018,StockTexts,LUK,Leucadia National Corporation,http://www.sec.gov/Archives/edgar/data/96223/000119312518219769/d467345dsc13da.htm,False,5.211428571428571
16258,1019328898717372400,"['luk', 'new', 'sec', 'filing', 'for', 'luk', 'form', 'sc', 'da', 'no', 'httpstcorvoegwwi']",Tue Jul 17 21:12:02 +0000 2018,Stock_News_Now,LUK,Leucadia National Corporation,http://stocknewsflow.com/96223_000119312518219769_0001193125-18-219769,False,5.12
18417,1019481577196326900,"['head', 'to', 'head', 'analysis', 'teijin', 'adr', 'rep', 'tinly', 'and', 'leucadia', 'national', 'luk', 'httpstcovposgml']",Wed Jul 18 07:18:43 +0000 2018,TranscriptDaily,LUK,Leucadia National Corporation,http://zpr.io/6XJZE,False,5.528571428571429
22221,1019607262883655700,"['teijin', 'adr', 'rep', 'tinly', 'versus', 'leucadia', 'national', 'luk', 'head', 'to', 'head', 'review', 'httpstcobmqulxab']",Wed Jul 18 15:38:09 +0000 2018,TranscriptDaily,LUK,Leucadia National Corporation,http://zpr.io/6X4bg,False,5.3999999999999995
