,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
173,1016256879851397100,"['analysts', 'set', 'midamerica', 'apartment', 'communities', 'inc', 'maa', 'target', 'price', 'at', 'httpstcoiqnkrilw']",Mon Jul 09 09:44:55 +0000 2018,dakotafinancial,MAA,Mid-America Apartment Communities,http://dakotafinancialnews.com/?p=306503,False,5.2675
660,1016447491552751600,"['earnings', 'per', 'share', 'expected', 'for', 'midamerica', 'apartment', 'communities', 'inc', 'maa', 'this', 'quarter', 'httpstcoocntonsqai']",Mon Jul 09 22:22:21 +0000 2018,MareaInformativ,MAA,Mid-America Apartment Communities,http://www.mareainformativa.com/?p=412481,False,5.716000000000001
661,1016447790002696200,"['earnings', 'per', 'share', 'expected', 'for', 'midamerica', 'apartment', 'communities', 'inc', 'maa', 'this', 'quarter', 'httpstcoracrakhb']",Mon Jul 09 22:23:32 +0000 2018,dispatchtribune,MAA,Mid-America Apartment Communities,http://dispatchtribunal.com/?p=2043263,False,5.716000000000001
666,1016448432465219600,"['eps', 'expected', 'for', 'midamerica', 'apartment', 'communities', 'inc', 'maa', 'this', 'quarter', 'httpstcorejyamus']",Mon Jul 09 22:26:05 +0000 2018,OlympiaReport,MAA,Mid-America Apartment Communities,http://theolympiareport.com/?p=913805,False,5.408571428571429
1722,1016918939056705500,"['midamerica', 'apartment', 'communities', 'inc', 'maa', 'expected', 'to', 'announce', 'quarterly', 'sales', 'of', 'million', 'httpstcoeggbriwyb']",Wed Jul 11 05:35:43 +0000 2018,ConsumerFeed,MAA,Mid-America Apartment Communities,http://zpr.io/6aG4z,False,5.582
1822,1016989318534107100,"['million', 'in', 'sales', 'expected', 'for', 'midamerica', 'apartment', 'communities', 'inc', 'maa', 'this', 'quarter', 'httpstcovylocn']",Wed Jul 11 10:15:22 +0000 2018,MareaInformativ,MAA,Mid-America Apartment Communities,http://www.mareainformativa.com/?p=420901,False,5.654000000000001
1852,1016997710346498000,"['midamerica', 'apartment', 'communities', 'inc', 'maa', 'dividends', 'of', 'are', 'projected', 'for', 'the', 'near', 'future', 'this', 'is', 'why', 'httpstcolliorvnzk']",Wed Jul 11 10:48:43 +0000 2018,whatsonthorold2,MAA,Mid-America Apartment Communities,https://www.whatsonthorold.com/2018/07/11/mid-america-apartment-communities-inc-nysemaa-dividends-of-0-92-are-projected-for-the-near-future-this-is-why/,False,5.414285714285714
1854,1016997766319476700,"['just', 'might', 'be', 'within', 'reach', 'for', 'midamerica', 'apartment', 'communities', 'inc', 'maa', 'shareholder', 'httpstcoxzpnqcktz']",Wed Jul 11 10:48:57 +0000 2018,mmahotstuff1,MAA,Mid-America Apartment Communities,https://www.mmahotstuff.com/2018/07/11/0-92-just-might-be-within-reach-for-mid-america-apartment-communities-inc-nysemaa-shareholder.html,False,5.455555555555557
1856,1016997915989078000,"['midamerica', 'apartment', 'communities', 'inc', 'maa', 'dividends', 'of', 'are', 'projected', 'for', 'the', 'near', 'future', 'this', 'is', 'why', 'httpstcosgyxewpby']",Wed Jul 11 10:49:32 +0000 2018,reurope_stock,MAA,Mid-America Apartment Communities,https://reurope.com/2018/07/11/mid-america-apartment-communities-inc-nysemaa-dividends-of-0-92-are-projected-for-the-near-future-this-is-why/,False,5.414285714285714
1858,1016998026584449000,"['shareholders', 'can', 'safely', 'expect', 'dividends', 'by', 'jul', 'from', 'midamerica', 'apartment', 'communities', 'inc', 'maa', 'httpstcottnlnebpd']",Wed Jul 11 10:49:59 +0000 2018,bibeypost_stock,MAA,Mid-America Apartment Communities,https://www.bibeypost.com/shareholders-can-safely-expect-0-92-dividends-by-jul-31-2018-from-mid-america-apartment-communities-inc-nysemaa/,False,5.6720000000000015
