,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3999,1017513682669064200,"['eps', 'for', 'marriott', 'international', 'inc', 'mar', 'expected', 'at', 'httpstcollmlxpzbm']",Thu Jul 12 20:59:01 +0000 2018,mmahotstuff1,MAR,Marriott International,https://www.mmahotstuff.com/2018/07/12/eps-for-marriott-international-inc-mar-expected-at-1-36.html,False,5.326666666666667
4001,1017513872935280600,"['marriott', 'international', 'inc', 'mar', 'analysts', 'see', 'eps', 'httpstcoszqoasobmq']",Thu Jul 12 20:59:46 +0000 2018,reurope_stock,MAR,Marriott International,https://reurope.com/2018/07/12/marriott-international-inc-mar-analysts-see-1-36-eps/,False,5.436
4085,1017534697654669300,"['mar', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcouipszbbz', 'httpstcomyshgue']",Thu Jul 12 22:22:31 +0000 2018,optioncharts,MAR,Marriott International,http://maximum-pain.com/options/max-pain/MAR,False,4.72
4096,1017537109958197200,"['rt', 'androsform', 'top', 'notional', 'bullish', 'call', 'bet', 'names', 'qqq', 'mu', 'spx', 'smh', 'kors', 'mar', 'spy', 'msft', 'cpb', 'baba', 'httpstcocul']",Thu Jul 12 22:32:06 +0000 2018,fernand74794594,MAR,Marriott International,,False,5.211111111111112
4340,1017596218250289200,"['mar', 'is', 'knocking', 'wants', 'back', 'inside', 'httpstcoicznhyho']",Fri Jul 13 02:26:59 +0000 2018,maginarydragons,MAR,Marriott International,,False,5.196666666666666
4615,1017699761191837700,"['traders', 'buy', 'marriott', 'international', 'mar', 'on', 'weakness', 'httpstcovdxnvjeg']",Fri Jul 13 09:18:25 +0000 2018,TranscriptDaily,MAR,Marriott International,http://zpr.io/6aB5B,False,5.293333333333333
4745,1017731559250645000,"['mar', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcoagfkrenw', 'httpstcovchoexrxw']",Fri Jul 13 11:24:46 +0000 2018,optioncharts,MAR,Marriott International,http://maximum-pain.com/options/open-interest/MAR,False,5.495555555555556
4793,1017743825949913100,"['are', 'analysts', 'bullish', 'marriott', 'international', 'inc', 'mar', 'after', 'last', 'week', 'httpstcojowsvsjg']",Fri Jul 13 12:13:31 +0000 2018,whatsonthorold2,MAR,Marriott International,https://www.whatsonthorold.com/2018/07/13/are-analysts-bullish-marriott-international-inc-nasdaqmar-after-last-week/,False,5.0225
4796,1017743984943300600,"['discussion', 'stirs', 'around', 'marriott', 'international', 'inc', 'mar', 'this', 'week', 'here', 'is', 'what', 'analysts', 'are', 'saying', 'httpstcojcjdjwf']",Fri Jul 13 12:14:09 +0000 2018,mmahotstuff1,MAR,Marriott International,https://www.mmahotstuff.com/2018/07/13/discussion-stirs-around-marriott-international-inc-nasdaqmar-this-week-here-is-what-analysts-are-saying.html,False,5.292307692307691
4799,1017744262845337600,"['were', 'analysts', 'bearish', 'marriott', 'international', 'inc', 'mar', 'this', 'week', 'httpstcowcxezcods']",Fri Jul 13 12:15:15 +0000 2018,reurope_stock,MAR,Marriott International,https://reurope.com/2018/07/13/were-analysts-bearish-marriott-international-inc-nasdaqmar-this-week/,False,5.159999999999999
4802,1017744394689155100,"['this', 'is', 'what', 'analysts', 'have', 'to', 'say', 'about', 'marriott', 'international', 'inc', 'mar', 'after', 'last', 'week', 'httpstcozhklckznh']",Fri Jul 13 12:15:47 +0000 2018,bibeypost_stock,MAR,Marriott International,https://www.bibeypost.com/this-is-what-analysts-have-to-say-about-marriott-international-inc-nasdaqmar-after-last-week-2/,False,5.111428571428571
5005,1017776321416572900,"['rt', 'androsform', 'top', 'notional', 'bullish', 'call', 'bet', 'names', 'qqq', 'mu', 'spx', 'smh', 'kors', 'mar', 'spy', 'msft', 'cpb', 'baba', 'httpstcocul']",Fri Jul 13 14:22:39 +0000 2018,mathild79229311,MAR,Marriott International,,False,5.211111111111112
5025,1017779435922251800,"['rt', 'androsform', 'top', 'notional', 'bullish', 'call', 'bet', 'names', 'qqq', 'mu', 'spx', 'smh', 'kors', 'mar', 'spy', 'msft', 'cpb', 'baba', 'httpstcocul']",Fri Jul 13 14:35:01 +0000 2018,TriggerOfTheDay,MAR,Marriott International,,False,5.211111111111112
5480,1017864336935616500,"['rt', 'androsform', 'top', 'notional', 'bullish', 'call', 'bet', 'names', 'qqq', 'mu', 'spx', 'smh', 'kors', 'mar', 'spy', 'msft', 'cpb', 'baba', 'httpstcocul']",Fri Jul 13 20:12:23 +0000 2018,EYwXAhrzCoylKCm,MAR,Marriott International,,False,5.211111111111112
5554,1017881130492497900,"['percent', 'changeh', 'descending', 'order', 'tie', 'dbtc', 'eag', 'space', 'zengold', 'eltcoin', 'httpstcoramhawvy']",Fri Jul 13 21:19:07 +0000 2018,GrassHopperCoin,MAR,Marriott International,https://twitter.com/i/web/status/1017881130492497920,False,5.505
6118,1018133720602116100,"['nereudlp', 'con', 'ramireztraidor', 'dos', 'veces', 'en', 'b', 'y', 'la', 'peor', 'historia', 'retirado', 'de', 'la', 'primera', 'es', 'un', 'caso', 'perdido', 'el', 'mar']",Sat Jul 14 14:02:49 +0000 2018,knario47,MAR,Marriott International,,False,4.76
6342,1018216747109937200,"['traders', 'buy', 'marriott', 'international', 'mar', 'on', 'weakness', 'httpstcohatxwgeqi']",Sat Jul 14 19:32:44 +0000 2018,MareaInformativ,MAR,Marriott International,http://www.mareainformativa.com/?p=439398,False,5.293333333333333
7061,1018359657889517600,"['marriott', 'international', 'inc', 'mar', 'expected', 'to', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcokllgiz']",Sun Jul 15 05:00:37 +0000 2018,WeekHerald,MAR,Marriott International,http://weekherald.com/?p=2989409,False,5.562
7221,1018386726308450300,"['analyzing', 'marriott', 'international', 'mar', 'amp', 'choice', 'hotels', 'international', 'chh', 'httpstcopgawcjxtuf']",Sun Jul 15 06:48:10 +0000 2018,TheMarketsDaily,MAR,Marriott International,http://zpr.io/6Xnas,False,5.983333333333333
7254,1018389839048257500,"['marriott', 'international', 'inc', 'mar', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstconsauzhxc']",Sun Jul 15 07:00:33 +0000 2018,OlympiaReport,MAR,Marriott International,http://theolympiareport.com/?p=924204,False,5.6739999999999995
7263,1018390307405262800,"['zacks', 'analysts', 'expect', 'marriott', 'international', 'inc', 'mar', 'will', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcobemqfdrx']",Sun Jul 15 07:02:24 +0000 2018,TranscriptDaily,MAR,Marriott International,http://zpr.io/6Xndp,False,5.621818181818181
7275,1018390775678283800,"['zacks', 'brokerages', 'anticipate', 'marriott', 'international', 'inc', 'mar', 'to', 'post', 'eps', 'httpstcoizpxugtdqw']",Sun Jul 15 07:04:16 +0000 2018,dispatchtribune,MAR,Marriott International,http://dispatchtribunal.com/?p=2053478,False,5.312
7825,1018484325392748500,"['reviewing', 'park', 'hotels', 'amp', 'resorts', 'pk', 'and', 'marriott', 'international', 'mar', 'httpstcowyvflbbkc']",Sun Jul 15 13:16:00 +0000 2018,MareaInformativ,MAR,Marriott International,http://www.mareainformativa.com/?p=449889,False,5.8999999999999995
7829,1018485203654848500,"['reviewing', 'park', 'hotels', 'amp', 'resorts', 'pk', 'and', 'marriott', 'international', 'mar', 'httpstcopwfucovcb']",Sun Jul 15 13:19:29 +0000 2018,dailypoliticaln,MAR,Marriott International,http://www.dailypolitical.com/?p=2203053,False,5.8999999999999995
7863,1018488720742322200,"['reviewing', 'park', 'hotels', 'amp', 'resorts', 'pk', 'and', 'marriott', 'international', 'mar', 'httpstcoabnnmyvbz']",Sun Jul 15 13:33:28 +0000 2018,TickerReport,MAR,Marriott International,http://tickerreport.com/?p=3636898,False,5.8999999999999995
7883,1018491155959439400,"['nomura', 'holdings', 'inc', 'trimmed', 'marriott', 'international', 'mar', 'position', 'by', 'million', 'httpstcokywfkincw']",Sun Jul 15 13:43:08 +0000 2018,whatsonthorold2,MAR,Marriott International,https://www.whatsonthorold.com/2018/07/15/nomura-holdings-inc-trimmed-marriott-international-mar-position-by-538-82-million/,False,5.694285714285715
7885,1018491215208173600,"['as', 'marriott', 'international', 'mar', 'market', 'valuation', 'declined', 'nomura', 'holdings', 'inc', 'has', 'lowered', 'position', 'httpstcovyapndjtz']",Sun Jul 15 13:43:23 +0000 2018,mmahotstuff1,MAR,Marriott International,https://www.mmahotstuff.com/2018/07/15/as-marriott-international-mar-market-valuation-declined-nomura-holdings-inc-has-lowered-position.html,False,5.26
7887,1018491367868248000,"['as', 'marriott', 'international', 'mar', 'stock', 'value', 'declined', 'shareholder', 'nomura', 'holdings', 'inc', 'has', 'cut', 'its', 'holding', 'by', 'million']",Sun Jul 15 13:43:59 +0000 2018,reurope_stock,MAR,Marriott International,,False,5.267142857142857
7890,1018491437481103400,"['nomura', 'holdings', 'inc', 'stake', 'in', 'marriott', 'international', 'mar', 'has', 'lowered', 'by', 'million', 'as', 'stock', 'declined', 'httpstcoamwifmcvq']",Sun Jul 15 13:44:16 +0000 2018,bibeypost_stock,MAR,Marriott International,https://www.bibeypost.com/nomura-holdings-inc-stake-in-marriott-international-mar-has-lowered-by-538-82-million-as-stock-declined/,False,5.323333333333333
10297,1018880152485449700,"['laurion', 'capital', 'management', 'lp', 'has', 'decreased', 'marriott', 'intl', 'inc', 'new', 'mar', 'holding', 'by', 'million', 'httpstcownipnuviii']",Mon Jul 16 15:28:52 +0000 2018,whatsonthorold2,MAR,Marriott International,https://www.whatsonthorold.com/2018/07/16/laurion-capital-management-lp-has-decreased-marriott-intl-inc-new-mar-holding-by-89-00-million/,False,5.380000000000001
10301,1018880298665300000,"['marriott', 'intl', 'inc', 'new', 'mar', 'shareholder', 'laurion', 'capital', 'management', 'lp', 'has', 'cut', 'position', 'by', 'million', 'httpstcozyvhsgv']",Mon Jul 16 15:29:27 +0000 2018,mmahotstuff1,MAR,Marriott International,https://www.mmahotstuff.com/2018/07/16/marriott-intl-inc-new-mar-shareholder-laurion-capital-management-lp-has-cut-position-by-89-00-million.html,False,5.386000000000001
10306,1018880473748078600,"['laurion', 'capital', 'management', 'lp', 'lowered', 'position', 'in', 'marriott', 'intl', 'inc', 'new', 'mar', 'by', 'million', 'as', 'share', 'price', 'declined']",Mon Jul 16 15:30:09 +0000 2018,reurope_stock,MAR,Marriott International,,False,5.455384615384617
10308,1018880588781162500,"['laurion', 'capital', 'management', 'lp', 'trimmed', 'its', 'marriott', 'intl', 'inc', 'new', 'mar', 'position', 'by', 'million', 'httpstcomdharcqpon']",Mon Jul 16 15:30:36 +0000 2018,bibeypost_stock,MAR,Marriott International,https://www.bibeypost.com/laurion-capital-management-lp-trimmed-its-marriott-intl-inc-new-mar-position-by-89-00-million/,False,5.580000000000001
10548,1018892925181276200,"['eps', 'expected', 'for', 'marriott', 'international', 'inc', 'mar', 'this', 'quarter', 'httpstcothanhqe']",Mon Jul 16 16:19:38 +0000 2018,TranscriptDaily,MAR,Marriott International,http://zpr.io/6Xy9K,False,5.382857142857143
10562,1018893447913263100,"['billion', 'in', 'sales', 'expected', 'for', 'marriott', 'international', 'inc', 'mar', 'this', 'quarter', 'httpstcocupnokgibv']",Mon Jul 16 16:21:42 +0000 2018,ThisLincolnian,MAR,Marriott International,http://thelincolnianonline.com/?p=2186922,False,5.654000000000001
11874,1019004639600107500,"['claim', 'free', 'zcash', 'for', 'watching', 'videos', 'current', 'returns', 'zec', 'daily', 'httpstcoindkogvqg', 'trct', 'excl', 'httpstcoqgbimsqdhm']",Mon Jul 16 23:43:32 +0000 2018,each1tweet1,MAR,Marriott International,https://www.earncrypto.com/earn-free-zcash/?r=91976&QMT,False,5.8675
12158,1019046282072154100,"['overview', 'changeh', 'toa', 'coupe', 'mar', 'changeh', 'rbbt', 'scs', 'super', 'httpstconikalvl']",Tue Jul 17 02:29:01 +0000 2018,crptcur_long,MAR,Marriott International,https://twitter.com/i/web/status/1019046282072154112,False,5.84
12163,1019046632170623000,"['detailchange', 'h', 'toa', 'coupe', 'mar', 'cmt', 'bank', 'cryptocurrency']",Tue Jul 17 02:30:24 +0000 2018,crptcur_long,MAR,Marriott International,,False,5.26
12227,1019058262589620200,"['percent', 'changeh', 'descending', 'order', 'era', 'smoke', 'vulc', 'toa', 'coupe', 'gmx', 'hpc', 'httpstcokwoghqgvj']",Tue Jul 17 03:16:37 +0000 2018,GrassHopperCoin,MAR,Marriott International,https://twitter.com/i/web/status/1019058262589620224,False,4.952
14193,1019223994644467700,"['book', 'a', 'stay', 'at', 'mar', 'its', 'dividend', 'continues', 'to', 'grow', 'and', 'its', 'performance', 'stays', 'consistent', 'at', 'divcon', 'httpstcognwjuvsz']",Tue Jul 17 14:15:11 +0000 2018,RealityShares,MAR,Marriott International,,False,5.555
17689,1019427045057663000,"['mar', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcoxixlwmsph']",Wed Jul 18 03:42:02 +0000 2018,optioncharts,MAR,Marriott International,https://twitter.com/i/web/status/1019427045057662976,False,5.86888888888889
17800,1019435089787224000,"['marriott', 'hotels', 'eliminating', 'plastic', 'straws', 'by', 'mar', 'mar', 'travel', 'accommodations', 'lifestyle', 'httpstcokeaskkqz']",Wed Jul 18 04:14:00 +0000 2018,RatingsNetwork,MAR,Marriott International,http://zpr.io/6XipS,False,5.426666666666667
17801,1019435106740600800,"['marriott', 'hotels', 'eliminating', 'plastic', 'straws', 'by', 'mar', 'mar', 'travel', 'accommodations', 'lifestyle', 'httpstcortcshmxdt']",Wed Jul 18 04:14:04 +0000 2018,MarketBeatNews,MAR,Marriott International,https://www.marketbeat.com/n/3940275/,False,5.426666666666667
18228,1019470650900086800,"['contrasting', 'park', 'hotels', 'amp', 'resorts', 'pk', 'and', 'marriott', 'international', 'mar', 'httpstcowxltcxzlz']",Wed Jul 18 06:35:18 +0000 2018,WatchlistN,MAR,Marriott International,http://zpr.io/6XiQ9,False,5.8999999999999995
18341,1019478508266033200,"['central', 'bank', 'amp', 'trust', 'co', 'increases', 'position', 'in', 'marriott', 'international', 'inc', 'mar', 'httpstcowbmslwydo']",Wed Jul 18 07:06:32 +0000 2018,ConsumerFeed,MAR,Marriott International,https://ift.tt/2zQmIWy,False,5.72909090909091
19565,1019545026530107400,"['well', 'done', 'marriott', 'for', 'the', 'pledge', 'to', 'remove', 'b', 'straws', 'and', 'm', 'stirrers', 'across', 'your', 'properties', 'every', 'littl', 'httpstcoosccjchhox']",Wed Jul 18 11:30:51 +0000 2018,AndyCCross,MAR,Marriott International,https://twitter.com/i/web/status/1019545026530107393,False,5.303076923076923
21739,1019596930089869300,"['mar', 'is', 'on', 'fire', 'httpstcotanqyji']",Wed Jul 18 14:57:05 +0000 2018,CodeMonk13,MAR,Marriott International,,False,4.845
21979,1019601931210297300,"['mar', 'jul', 'weekly', 'call', 'activity', 'k', 'by', 'offer', 'expire', 'jul']",Wed Jul 18 15:16:58 +0000 2018,TheTradeXchange,MAR,Marriott International,,False,5.542857142857144
24870,1019665871999029200,"['ive', 'been', 'slacking', 'folks', 'heres', 'a', 'portfolio', 'update', 'cvna', 'dis', 'ilg', 'ldsyf', 'mar', 'nflx', 'penn', 'pnk', 'roku', 'sq', 'tivx', 'vnet', 'xlk']",Wed Jul 18 19:31:03 +0000 2018,zachgraeve,MAR,Marriott International,,False,5.271111111111111
28119,1019728260236791800,"['billion', 'in', 'sales', 'expected', 'for', 'marriott', 'international', 'inc', 'mar', 'this', 'quarter', 'httpstcotpgtllclu']",Wed Jul 18 23:38:57 +0000 2018,ConsumerFeed,MAR,Marriott International,http://zpr.io/6XWsz,False,5.654000000000001
