,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
1205,1016708631155368000,"['rt', 'mytradingbuddy', 'hotstocks', 'analysis', 'amp', 'outlook', 'video', 'for', 'cpb', 'dte', 'f', 'mchp', 'nvda', 'on', 'our', 'mtbanalysis', 'mag', 'gtgtgtgt', 'httpstcokiqpfxxci']",Tue Jul 10 15:40:01 +0000 2018,MoHaMeD55622976,MCHP,Microchip Technology Incorporated,http://ow.ly/6Wlo30kRgEZ,False,5.526000000000001
1208,1016709230865342500,"['rt', 'toddcfra', 'tech', 'sector', 'eps', 'expected', 'to', 'exceed', 'growth', 'extending', 'streak', 'to', 'six', 'quarters', 'semiconductor', 'and', 'semi', 'equipment', 'to', 'lead', 'the']",Tue Jul 10 15:42:24 +0000 2018,LBellCFRA,MCHP,Microchip Technology Incorporated,,False,5.505
1209,1016709358137348100,"['rt', 'toddcfra', 'tech', 'sector', 'eps', 'expected', 'to', 'exceed', 'growth', 'extending', 'streak', 'to', 'six', 'quarters', 'semiconductor', 'and', 'semi', 'equipment', 'to', 'lead', 'the']",Tue Jul 10 15:42:55 +0000 2018,notredamelax30,MCHP,Microchip Technology Incorporated,,False,5.505
1224,1016713901373681700,"['mchp', 'up', 'to', 'since', 'our', 'bullish', 'setup', 'notification', 'on', 'mon', 'jul', 'swingtrading', 'httpstcovpfkwocn']",Tue Jul 10 16:00:58 +0000 2018,StockSpotter,MCHP,Microchip Technology Incorporated,http://bit.ly/1JbTiNW,False,5.431428571428571
1278,1016728069338378200,"['cdix', 'is', 'starting', 'to', 'come', 'thru', 'more', 'revs', 'and', 'bouncing', 'stng', 'f', 'dal', 'uvxy', 'bbd', 'fcx', 'msft', 'iq', 'pfe', 'uso', 'c', 'xle', 'httpstcorzlfcjm']",Tue Jul 10 16:57:16 +0000 2018,OneOClockDrop,MCHP,Microchip Technology Incorporated,https://twitter.com/i/web/status/1016728069338378240,False,5.388888888888889
1318,1016741681977221100,"['the', 'below', 'news', 'is', 'about', 'one', 'of', 'their', 'subsidiaries', 'stng', 'f', 'dal', 'uvxy', 'bbd', 'fcx', 'msft', 'iq', 'pfe', 'uso', 'c', 'xle', 'aks', 'httpstcomzucmaxpn']",Tue Jul 10 17:51:21 +0000 2018,OneOClockDrop,MCHP,Microchip Technology Incorporated,https://twitter.com/i/web/status/1016741681977221120,False,5.018000000000001
1326,1016742621547507700,"['mchp', 'nasdaq', 'trading', 'amp', 'investing', 'technical', 'outlook', 'week', 'july', 'new', 'look', 'hot', 'stocks', 'video', 'analysis', 'with', 'predi', 'httpstcoyfqmyockre']",Tue Jul 10 17:55:05 +0000 2018,mytradingbuddy,MCHP,Microchip Technology Incorporated,https://twitter.com/i/web/status/1016742621547507714,False,5.706666666666666
1362,1016749359571132400,"['want', 'the', 'latest', 'analyst', 'ratings', 'on', 'iots', 'ldr', 'lcry', 'mchp', 'ufs', 'get', 'them', 'delivered', 'to', 'your', 'inbox', 'httpstconsjudsyidj']",Tue Jul 10 18:21:52 +0000 2018,RatingsNetwork,MCHP,Microchip Technology Incorporated,http://bit.ly/arndailyw,False,5.596666666666667
1402,1016759933856112600,"['nvcn', 'neovasc', 'stng', 'f', 'dal', 'uvxy', 'bbd', 'fcx', 'msft', 'iq', 'pfe', 'uso', 'xle', 'aks', 'teva', 'mfgp', 'bmy', 'dwt', 'jnug', 'nvda', 'efa', 'httpstcoylkialyd']",Tue Jul 10 19:03:53 +0000 2018,PortoRicanRasta,MCHP,Microchip Technology Incorporated,https://twitter.com/i/web/status/1016759933856112641,False,4.64
1596,1016818118633586700,"['hotstocks', 'analysis', 'amp', 'outlook', 'video', 'for', 'cpb', 'dte', 'f', 'mchp', 'nvda', 'on', 'our', 'mtbanalysis', 'mag', 'gtgtgtgt', 'httpstcovdlfeqjgsy']",Tue Jul 10 22:55:05 +0000 2018,mytradingbuddy,MCHP,Microchip Technology Incorporated,https://twitter.com/i/web/status/1016818118633586688,False,5.597777777777778
1690,1016884327634722800,"['cdix', 'is', 'about', 'to', 'go', 'ballistic', 'stng', 'f', 'dal', 'uvxy', 'bbd', 'fcx', 'msft', 'iq', 'pfe', 'uso', 'c', 'xle', 'aks', 'teva', 'mfgp', 'bmy', 'dwt', 'httpstcofbbzjdacb']",Wed Jul 11 03:18:11 +0000 2018,OneOClockDrop,MCHP,Microchip Technology Incorporated,https://twitter.com/i/web/status/1016884327634722816,False,5.033333333333333
1775,1016955307237498900,"['mchp', 'nasdaq', 'trading', 'amp', 'investing', 'technical', 'outlook', 'week', 'july', 'new', 'look', 'hot', 'stocks', 'video', 'analysis', 'with', 'predi', 'httpstcohavxqnubh']",Wed Jul 11 08:00:14 +0000 2018,mytradingbuddy,MCHP,Microchip Technology Incorporated,https://twitter.com/i/web/status/1016955307237498881,False,5.706666666666666
1887,1017008680896815100,"['mchp', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcoxzxbwi', 'httpstcoihwzwfarf']",Wed Jul 11 11:32:19 +0000 2018,optioncharts,MCHP,Microchip Technology Incorporated,http://maximum-pain.com/options/max-pain/MCHP,False,4.680000000000001
1923,1017016925518487600,"['hot', 'nasdaq', 'stocks', 'week', 'july', 'full', 'video', 'with', 'investing', 'amp', 'trading', 'technical', 'analysis', 'amp', 'outlook', 'on', 'mchp', 'httpstcoxvecwwza']",Wed Jul 11 12:05:04 +0000 2018,mytradingbuddy,MCHP,Microchip Technology Incorporated,https://twitter.com/i/web/status/1017016925518487554,False,5.65375
1984,1017026653426540500,"['investors', 'buy', 'shares', 'of', 'microchip', 'technology', 'mchp', 'on', 'weakness', 'httpstcohtieylggw']",Wed Jul 11 12:43:44 +0000 2018,MareaInformativ,MCHP,Microchip Technology Incorporated,http://www.mareainformativa.com/?p=423823,False,5.5200000000000005
2099,1017049960251043800,"['investors', 'buy', 'shares', 'of', 'microchip', 'technology', 'mchp', 'on', 'weakness', 'httpstcowuxdkwhki']",Wed Jul 11 14:16:21 +0000 2018,WatchlistN,MCHP,Microchip Technology Incorporated,http://zpr.io/6aTJV,False,5.5200000000000005
2106,1017050869114769400,"['traders', 'buy', 'shares', 'of', 'microchip', 'technology', 'mchp', 'on', 'weakness', 'httpstcolrrllkriv']",Wed Jul 11 14:19:57 +0000 2018,TickerReport,MCHP,Microchip Technology Incorporated,http://tickerreport.com/?p=3628923,False,5.531428571428571
2117,1017053481881030700,"['hotstocks', 'analysis', 'amp', 'outlook', 'video', 'for', 'cpb', 'dte', 'f', 'mchp', 'nvda', 'on', 'our', 'mtbanalysis', 'mag', 'gtgtgtgt', 'httpstcorosuzyyqn']",Wed Jul 11 14:30:20 +0000 2018,mytradingbuddy,MCHP,Microchip Technology Incorporated,https://twitter.com/i/web/status/1017053481881030656,False,5.597777777777778
2309,1017099663126626300,"['hmm', 'you', 'think', 'someone', 'knows', 'something', 'stng', 'f', 'dal', 'uvxy', 'bbd', 'fcx', 'msft', 'iq', 'pfe', 'uso', 'c', 'xle', 'aks', 'teva', 'httpstcotwhqumnpq']",Wed Jul 11 17:33:51 +0000 2018,OneOClockDrop,MCHP,Microchip Technology Incorporated,https://twitter.com/i/web/status/1017099663126626305,False,5.405000000000001
2348,1017110458879406100,"['microchip', 'technology', 'inc', 'mchp', 'shareholder', 'strategy', 'asset', 'managers', 'llc', 'has', 'decreased', 'its', 'position', 'as', 'shares', 'rose', 'httpstcoedwpszo']",Wed Jul 11 18:16:45 +0000 2018,whatsonthorold2,MCHP,Microchip Technology Incorporated,https://www.whatsonthorold.com/2018/07/11/microchip-technology-inc-mchp-shareholder-strategy-asset-managers-llc-has-decreased-its-position-as-shares-rose/,False,5.676666666666667
2350,1017110624625623000,"['as', 'microchip', 'technology', 'inc', 'mchp', 'share', 'price', 'rose', 'holder', 'strategy', 'asset', 'managers', 'llc', 'trimmed', 'position', 'by', 'mi', 'httpstcoxbhzlirce']",Wed Jul 11 18:17:24 +0000 2018,mmahotstuff1,MCHP,Microchip Technology Incorporated,https://twitter.com/i/web/status/1017110624625623040,False,5.791666666666667
2352,1017110775037644800,"['as', 'microchip', 'technology', 'inc', 'mchp', 'market', 'value', 'rose', 'strategy', 'asset', 'managers', 'llc', 'trimmed', 'its', 'holding', 'httpstcosuravugcc']",Wed Jul 11 18:18:00 +0000 2018,reurope_stock,MCHP,Microchip Technology Incorporated,https://reurope.com/2018/07/11/as-microchip-technology-inc-mchp-market-value-rose-strategy-asset-managers-llc-trimmed-its-holding/,False,5.918181818181819
2551,1017164142376038400,"['hot', 'stocks', 'analysis', 'amp', 'outlook', 'video', 'for', 'cpb', 'dte', 'f', 'mchp', 'nvda', 'on', 'our', 'mtbanalysis', 'mag', 'gtgtgt', 'httpstcookjyczlcr']",Wed Jul 11 21:50:04 +0000 2018,mytradingbuddy,MCHP,Microchip Technology Incorporated,https://twitter.com/i/web/status/1017164142376038400,False,5.523636363636364
2708,1017232561653895200,"['eps', 'for', 'microchip', 'technology', 'incorporated', 'mchp', 'expected', 'at', 'httpstcomnysnginn']",Thu Jul 12 02:21:56 +0000 2018,The_CasualSmart,MCHP,Microchip Technology Incorporated,https://thecasualsmart.com/2018/07/12/eps-for-microchip-technology-incorporated-mchp-expected-at-1-40/,False,5.578
2709,1017232666423373800,"['microchip', 'technology', 'incorporated', 'mchp', 'analysts', 'see', 'eps', 'httpstcobhasuarud']",Thu Jul 12 02:22:21 +0000 2018,whatsonthorold2,MCHP,Microchip Technology Incorporated,https://www.whatsonthorold.com/2018/07/12/microchip-technology-incorporated-mchp-analysts-see-1-40-eps/,False,5.7775
2710,1017232749801955300,"['microchip', 'technology', 'incorporated', 'mchp', 'analysts', 'see', 'eps', 'httpstcojwewfagss']",Thu Jul 12 02:22:41 +0000 2018,mmahotstuff1,MCHP,Microchip Technology Incorporated,https://www.mmahotstuff.com/2018/07/12/microchip-technology-incorporated-mchp-analysts-see-1-40-eps-2.html,False,5.7775
2711,1017232793775083500,"['analysts', 'see', 'eps', 'for', 'microchip', 'technology', 'incorporated', 'mchp', 'httpstcocgkflgqj']",Thu Jul 12 02:22:51 +0000 2018,The_CasualSmart,MCHP,Microchip Technology Incorporated,https://floridarecorder.com/2018/07/12/analysts-see-1-40-eps-for-microchip-technology-incorporated-mchp/,False,5.6659999999999995
2713,1017232901321187300,"['microchip', 'technology', 'incorporated', 'mchp', 'analysts', 'see', 'eps', 'httpstcobtpcrtiek']",Thu Jul 12 02:23:17 +0000 2018,reurope_stock,MCHP,Microchip Technology Incorporated,https://reurope.com/2018/07/12/microchip-technology-incorporated-mchp-analysts-see-1-40-eps/,False,5.7775
2714,1017232978345451500,"['analysts', 'see', 'eps', 'for', 'microchip', 'technology', 'incorporated', 'mchp', 'httpstcobscipknu']",Thu Jul 12 02:23:35 +0000 2018,bibeypost_stock,MCHP,Microchip Technology Incorporated,https://www.bibeypost.com/analysts-see-1-40-eps-for-microchip-technology-incorporated-mchp/,False,5.6659999999999995
2716,1017233919886979100,"['what', 'semiconductor', 'company', 'are', 'you', 'the', 'most', 'bullish', 'on', 'intc', 'txn', 'avgo', 'nxpi', 'mchp', 'stm', 'mxim', 'amd', 'qrvo', 'asml', 'httpstcogelwjwgpgu']",Thu Jul 12 02:27:20 +0000 2018,a_ramblings,MCHP,Microchip Technology Incorporated,https://twitter.com/i/web/status/1017233919886979073,False,5.485714285714287
2718,1017238422979792900,"['sampp', 'cos', 'w', 'most', 'rev', 'exposure', 'to', 'china', 'of', 'total', 'revs', 'swks', 'wynn', 'qcom', 'qrvo', 'avgo', 'mu', 'txn', 'aos', 'mchp', 'httpstcovcgxqtkwd']",Thu Jul 12 02:45:14 +0000 2018,Ro_Patel,MCHP,Microchip Technology Incorporated,https://twitter.com/i/web/status/1017238422979792896,False,5.194000000000001
2727,1017242151980273700,"['buysignal', 'detected', 'for', 'stocks', 'xlnx', 'unp', 'rop', 'tmo', 'ksu', 'mchp', 'aapl', 'zts']",Thu Jul 12 03:00:03 +0000 2018,holycharts,MCHP,Microchip Technology Incorporated,,False,5.28
