,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
1554,1016801235071131600,"['rt', 'toddharrison', 'the', 'cannabis', 'newlywed', 'game', 'in', 'my', 'best', 'bob', 'eubank', 'voice', 'name', 'three', 'blind', 'dates', 'you', 'would', 'like', 'to', 'see', 'repeats']",Tue Jul 10 21:48:00 +0000 2018,marketwizard87,MCK,McKesson Corporation,,False,5.6866666666666665
1608,1016826937531125800,"['analysts', 'anticipate', 'mckesson', 'co', 'mck', 'will', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcoqhsfur']",Tue Jul 10 23:30:08 +0000 2018,ConsumerFeed,MCK,McKesson Corporation,http://zpr.io/6aRwx,False,5.6225
1672,1016871797038477300,"['trump', 'phones', 'and', 'pfizer', 'reverses', 'price', 'hikes', 'but', 'why', 'pfe', 'mck', 'cah', 'cvs', 'esrx', 'httpstcofuxxfldslw']",Wed Jul 11 02:28:23 +0000 2018,matthewherper,MCK,McKesson Corporation,https://www.forbes.com/sites/matthewherper/2018/07/10/trump-phones-and-pfizer-reverses-price-hikes-but-why/#415a54188c77,True,5.156666666666667
1687,1016883923236872200,"['rt', 'matthewherper', 'trump', 'phones', 'and', 'pfizer', 'reverses', 'price', 'hikes', 'but', 'why', 'pfe', 'mck', 'cah', 'cvs', 'esrx', 'httpstcofuxxfldslw']",Wed Jul 11 03:16:34 +0000 2018,sarahrimmington,MCK,McKesson Corporation,https://www.forbes.com/sites/matthewherper/2018/07/10/trump-phones-and-pfizer-reverses-price-hikes-but-why/#415a54188c77,False,5.1171428571428565
1705,1016899380572389400,"['rt', 'matthewherper', 'trump', 'phones', 'and', 'pfizer', 'reverses', 'price', 'hikes', 'but', 'why', 'pfe', 'mck', 'cah', 'cvs', 'esrx', 'httpstcofuxxfldslw']",Wed Jul 11 04:18:00 +0000 2018,tmasonuhc,MCK,McKesson Corporation,https://www.forbes.com/sites/matthewherper/2018/07/10/trump-phones-and-pfizer-reverses-price-hikes-but-why/#415a54188c77,False,5.1171428571428565
1790,1016966581073727500,"['buy', 'stock', 'mck', 'target', 'within', 'w', 'success', 'probability', 'predicted', 'via', 'tino', 'iq', 'app']",Wed Jul 11 08:45:01 +0000 2018,tino_iq,MCK,McKesson Corporation,,False,5.723999999999999
1893,1017011169524092900,"['good', 'analysis', 'from', 'matthewherper', 'of', 'pfizer', 'pfe', 'drug', 'price', 'reversal', 'due', 'to', 'realdonaldtrump', 'and', 'secazar', 'pressur', 'httpstcokhqhczr']",Wed Jul 11 11:42:12 +0000 2018,DrugChannels,MCK,McKesson Corporation,https://twitter.com/i/web/status/1017011169524092928,False,5.082222222222222
1895,1017011422369329200,"['rt', 'drugchannels', 'good', 'analysis', 'from', 'matthewherper', 'of', 'pfizer', 'pfe', 'drug', 'price', 'reversal', 'due', 'to', 'realdonaldtrump', 'and', 'secazar', 'pressure', 'als']",Wed Jul 11 11:43:12 +0000 2018,matthewherper,MCK,McKesson Corporation,,True,4.905
1919,1017015793542926300,"['rt', 'drugchannels', 'good', 'analysis', 'from', 'matthewherper', 'of', 'pfizer', 'pfe', 'drug', 'price', 'reversal', 'due', 'to', 'realdonaldtrump', 'and', 'secazar', 'pressure', 'als']",Wed Jul 11 12:00:35 +0000 2018,SteveCraig88,MCK,McKesson Corporation,,False,4.905
1920,1017016421451288600,"['rt', 'ctwinvgrp', 'mck', 'back', 'in', 'the', 'spotlight', 'this', 'time', 'for', 'poor', 'audit', 'committee', 'oversight', 'shareholders', 'are', 'also', 'looking', 'for', 'lobbying', 'and', 'e']",Wed Jul 11 12:03:04 +0000 2018,HotelCorpGov,MCK,McKesson Corporation,,False,5.116111111111111
2060,1017044933226696700,"['rt', 'drugchannels', 'good', 'analysis', 'from', 'matthewherper', 'of', 'pfizer', 'pfe', 'drug', 'price', 'reversal', 'due', 'to', 'realdonaldtrump', 'and', 'secazar', 'pressure', 'als']",Wed Jul 11 13:56:22 +0000 2018,clahjoh,MCK,McKesson Corporation,,False,4.905
2122,1017054412672589800,"['some', 'of', 'the', 'stocks', 'predicted', 'with', 'upside', 'targets', 'for', 'week', 'are', 'mqt', 'svbi', 'mck', 'abqjournal', 'httpstconhnuxfgx']",Wed Jul 11 14:34:02 +0000 2018,tino_iq,MCK,McKesson Corporation,,False,5.266363636363636
2132,1017056881364303900,"['were', 'analysts', 'bearish', 'mckesson', 'corporation', 'mck', 'this', 'week', 'httpstcouvjeufr']",Wed Jul 11 14:43:51 +0000 2018,whatsonthorold2,MCK,McKesson Corporation,https://www.whatsonthorold.com/2018/07/11/were-analysts-bearish-mckesson-corporation-nysemck-this-week/,False,5.016
2133,1017056937362456600,"['analysts', 'are', 'on', 'the', 'bearish', 'side', 'about', 'mckesson', 'corporation', 'mck', 'this', 'week', 'httpstcokphsdoevjz']",Wed Jul 11 14:44:04 +0000 2018,mmahotstuff1,MCK,McKesson Corporation,https://www.mmahotstuff.com/2018/07/11/analysts-are-on-the-bearish-side-about-mckesson-corporation-nysemck-this-week.html,False,5.133333333333334
2135,1017057169500450800,"['how', 'many', 'mckesson', 'corporation', 'mcks', 'analysts', 'are', 'bearish', 'httpstcoiyjfemm']",Wed Jul 11 14:44:59 +0000 2018,bibeypost_stock,MCK,McKesson Corporation,https://www.bibeypost.com/how-many-mckesson-corporation-nysemcks-analysts-are-bearish/,False,5.148
2166,1017062968692019200,"['mckesson', 'mck', 'upgraded', 'by', 'standpoint', 'research', 'to', 'buy', 'httpstcoofxkuofclc']",Wed Jul 11 15:08:02 +0000 2018,OlympiaReport,MCK,McKesson Corporation,http://theolympiareport.com/?p=917651,False,5.675000000000001
2173,1017065548771930100,"['mckesson', 'mck', 'upgraded', 'by', 'standpoint', 'research', 'to', 'buy', 'httpstcoldwlf']",Wed Jul 11 15:18:17 +0000 2018,dispatchtribune,MCK,McKesson Corporation,http://dispatchtribunal.com/?p=2047064,False,5.675000000000001
