,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3416,1017425732497109000,"['rt', 'drugdoctor', 'pntv', 'name', 'the', 'largest', 'public', 'usa', 'marijuana', 'growing', 'company', 'look', 'at', 'this', 'harvest', 'qvca', 'nclh', 'tsco', 'lvnta', 'ilmn']",Thu Jul 12 15:09:32 +0000 2018,OTCNetwork101,MDLZ,Mondelez International,,False,5.56
3447,1017429437435039700,"['rnva', 'mil', 'shares', 'traded', 'min', 'great', 'revenue', 'news', 'cost', 'mnst', 'mdlz', 'wfm', 'sbac', 'vod', 'tmus', 'fast', 'dal', 'httpstcoxdgwkewqqi']",Thu Jul 12 15:24:15 +0000 2018,Drugdoctor2014,MDLZ,Mondelez International,https://twitter.com/i/web/status/1017429437435039749,False,5.873333333333333
3491,1017434091925499900,"['want', 'the', 'latest', 'analyst', 'ratings', 'on', 'hk', 'mdlz', 'strza', 'taho', 'scmp', 'get', 'them', 'delivered', 'to', 'your', 'inbox', 'httpstconsjudsyidj']",Thu Jul 12 15:42:45 +0000 2018,RatingsNetwork,MDLZ,Mondelez International,http://bit.ly/arndailyw,False,5.596666666666667
3616,1017455002045091800,"['pntv', 'usas', 'largest', 'public', 'marijuana', 'grower', 'brand', 'new', 'video', 'mdlz', 'wfm', 'sbac', 'vod', 'tmus', 'fast', 'dal', 'aal', 'wfm', 'httpstcofahowxan']",Thu Jul 12 17:05:50 +0000 2018,Drugdoctor2014,MDLZ,Mondelez International,https://twitter.com/i/web/status/1017455002045091840,False,6.140000000000001
3618,1017455693106962400,"['rt', 'drugdoctor', 'pntv', 'usas', 'largest', 'public', 'marijuana', 'grower', 'brand', 'new', 'video', 'mdlz', 'wfm', 'sbac', 'vod', 'tmus', 'fast', 'dal', 'aal', 'wfm', 'hsi']",Thu Jul 12 17:08:35 +0000 2018,otc_whispers,MDLZ,Mondelez International,,False,5.96
3675,1017462961286336500,"['rt', 'pntv', 'usas', 'largest', 'public', 'marijuana', 'grower', 'brand', 'new', 'video', 'mdlz', 'wfm', 'sbac', 'vod', 'tmus', 'fast', 'dal', 'aal', 'httpstcoghjlrdlly']",Thu Jul 12 17:37:28 +0000 2018,MeyersCohen,MDLZ,Mondelez International,https://twitter.com/i/web/status/1017462961286336512,False,5.96
4042,1017524050065797100,"['steven', 'romick', 'buys', 'buffetts', 'wells', 'fargo', 'and', 'ackmans', 'mondelez', 'in', 'nd', 'quarter', 'httpstcoavwohiow', 'httpstcozwxrrdt']",Thu Jul 12 21:40:12 +0000 2018,JamesLiGuru,MDLZ,Mondelez International,http://GuruFocus.com,False,5.343333333333334
4234,1017571268877541400,"['zacks', 'analysts', 'anticipate', 'mondelez', 'international', 'inc', 'common', 'stock', 'mdlz', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcokqeefgqdg']",Fri Jul 13 00:47:50 +0000 2018,TheMarketsDaily,MDLZ,Mondelez International,http://zpr.io/6a4nT,False,5.703636363636363
4236,1017571552458657800,"['brokerages', 'expect', 'mondelez', 'international', 'inc', 'common', 'stock', 'mdlz', 'will', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcocwkscltqw']",Fri Jul 13 00:48:58 +0000 2018,TranscriptDaily,MDLZ,Mondelez International,http://zpr.io/6a4nk,False,5.718181818181818
4323,1017593909474660400,"['rt', 'dailystockplays', 'big', 'call', 'activity', 'httpstcomwkhcfmg', 'mdlz', 'cpb', 'baba', 'wll', 'atvi', 'gg', 'mmp', 'mnst', 'aal', 'pfe', 'bery', 'mo', 'de', 'spot']",Fri Jul 13 02:17:48 +0000 2018,carnationbeads,MDLZ,Mondelez International,http://www.dailystockplays.com/Unusual-Call-Option-Activity-Today-2018-07-11.html,False,5.454285714285715
