,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
12488,1019099041781682200,"['m', 'mmm', 'set', 'to', 'announce', 'earnings', 'on', 'tuesday', 'httpstcorhkxjhr']",Tue Jul 17 05:58:40 +0000 2018,TickerReport,MMM,3M Company,http://tickerreport.com/?p=3639928,False,5.6325
12489,1019099044898058200,"['m', 'mmm', 'set', 'to', 'announce', 'earnings', 'on', 'tuesday', 'httpstcowytpfiwxw']",Tue Jul 17 05:58:40 +0000 2018,WatchlistN,MMM,3M Company,http://zpr.io/6XwqU,False,5.6325
12678,1019122164543483900,"['zacks', 'investment', 'research', 'downgrades', 'm', 'mmm', 'to', 'sell', 'httpstcolmdgbpfnc']",Tue Jul 17 07:30:33 +0000 2018,TranscriptDaily,MMM,3M Company,http://zpr.io/6Xw5p,False,5.583333333333333
12742,1019130528317001700,"['m', 'mmm', 'upgraded', 'by', 'valuengine', 'to', 'hold', 'httpstcosmxiwswn']",Tue Jul 17 08:03:47 +0000 2018,WeekHerald,MMM,3M Company,http://weekherald.com/?p=2994864,False,5.284
13131,1019170932710101000,"['stay', 'two', 'hubs', 'two', 'keys', 'ago', 'mmm', 'it', 'born', 'my', 'ese', 'seas', 'are', 'ten', 'ads', 'ago']",Tue Jul 17 10:44:20 +0000 2018,stockbard,MMM,3M Company,,False,5.505333333333334
13928,1019212027406028800,"['m', 'co', 'mmm', 'stock', 'price', 'declined', 'while', 'tower', 'research', 'capital', 'llc', 'trc', 'has', 'trimmed', 'by', 'million', 'its', 'stake', 'httpstcoznehkfdqj']",Tue Jul 17 13:27:38 +0000 2018,whatsonthorold2,MMM,3M Company,https://www.whatsonthorold.com/2018/07/17/3m-co-mmm-stock-price-declined-while-tower-research-capital-llc-trc-has-trimmed-by-3-24-million-its-stake/,False,5.355999999999999
13931,1019212090769322000,"['m', 'co', 'mmm', 'holder', 'tower', 'research', 'capital', 'llc', 'trc', 'decreased', 'holding', 'by', 'million', 'httpstcoxnymiydq']",Tue Jul 17 13:27:53 +0000 2018,mmahotstuff1,MMM,3M Company,https://www.mmahotstuff.com/2018/07/17/3m-co-mmm-holder-tower-research-capital-llc-trc-decreased-holding-by-3-24-million.html,False,5.532
13936,1019212194418954200,"['mmm', 'watching', 'close', 'on', 'the', 'verge', 'of', 'cutting', 'losses', 'if', 'this', 'cant', 'keep', 'up', 'httpstcojnlbjifai']",Tue Jul 17 13:28:17 +0000 2018,BmoreBullish,MMM,3M Company,,False,4.8999999999999995
13938,1019212245182697500,"['m', 'co', 'mmm', 'shareholder', 'tower', 'research', 'capital', 'llc', 'trc', 'has', 'decreased', 'stake', 'by', 'million', 'httpstcoisogeraf']",Tue Jul 17 13:28:29 +0000 2018,reurope_stock,MMM,3M Company,https://reurope.com/2018/07/17/3m-co-mmm-shareholder-tower-research-capital-llc-trc-has-decreased-stake-by-3-24-million/,False,5.443636363636364
13941,1019212338656837600,"['tower', 'research', 'capital', 'llc', 'trc', 'has', 'cut', 'its', 'm', 'co', 'mmm', 'position', 'by', 'million', 'share', 'price', 'declined', 'httpstcohjpxmjoql']",Tue Jul 17 13:28:52 +0000 2018,bibeypost_stock,MMM,3M Company,https://www.bibeypost.com/tower-research-capital-llc-trc-has-cut-its-3m-co-mmm-position-by-3-24-million-share-price-declined/,False,5.364
14339,1019233770589782000,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'spcb', 'at', 'is', 'httpstcokyczvqwmt', 'mmm', 'inve', 'nssc', 'idn']",Tue Jul 17 14:54:02 +0000 2018,shortvolumes,MMM,3M Company,http://shortvolumes.com/?t=SPCB,False,5.25
