,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
16007,1019318828185120800,"['rt', 'traderstewie', 'momo', 'went', 'into', 'quiet', 'mode', 'on', 'us', 'recently', 'but', 'we', 'know', 'better', 'momo', 'does', 'not', 'stay', 'quiet', 'for', 'long', 'this', 'is']",Tue Jul 17 20:32:01 +0000 2018,marketwizard87,MOMO,Momo Inc.,,False,5.345000000000001
16107,1019322372627816400,"['rt', 'traderstewie', 'momo', 'went', 'into', 'quiet', 'mode', 'on', 'us', 'recently', 'but', 'we', 'know', 'better', 'momo', 'does', 'not', 'stay', 'quiet', 'for', 'long', 'this', 'is']",Tue Jul 17 20:46:06 +0000 2018,OlsenSverre,MOMO,Momo Inc.,,False,5.345000000000001
16117,1019322632624369700,"['momo', 'sl', 'tp', 'rr', 'tp', 'rr']",Tue Jul 17 20:47:08 +0000 2018,fbunge,MOMO,Momo Inc.,,False,5.0
16120,1019322794251898900,"['traderstewie', 'was', 'just', 'looking', 'at', 'momo', 'fierce', 'indeed']",Tue Jul 17 20:47:46 +0000 2018,TraderLionChat,MOMO,Momo Inc.,,False,5.44
16131,1019323401658425300,"['rt', 'traderstewie', 'momo', 'went', 'into', 'quiet', 'mode', 'on', 'us', 'recently', 'but', 'we', 'know', 'better', 'momo', 'does', 'not', 'stay', 'quiet', 'for', 'long', 'this', 'is']",Tue Jul 17 20:50:11 +0000 2018,KodiakCap,MOMO,Momo Inc.,,False,5.345000000000001
16230,1019327729567662100,"['rt', 'traderstewie', 'momo', 'went', 'into', 'quiet', 'mode', 'on', 'us', 'recently', 'but', 'we', 'know', 'better', 'momo', 'does', 'not', 'stay', 'quiet', 'for', 'long', 'this', 'is']",Tue Jul 17 21:07:23 +0000 2018,MarketsHill,MOMO,Momo Inc.,,False,5.345000000000001
16299,1019330312524922900,"['rt', 'traderstewie', 'momo', 'went', 'into', 'quiet', 'mode', 'on', 'us', 'recently', 'but', 'we', 'know', 'better', 'momo', 'does', 'not', 'stay', 'quiet', 'for', 'long', 'this', 'is']",Tue Jul 17 21:17:39 +0000 2018,Craigar84553961,MOMO,Momo Inc.,,False,5.345000000000001
16501,1019341390243946500,"['xent', 'nem', 'egan', 'once', 'calm', 'ccj', 'de', 'gcp', 'bhp', 'sohu', 'athm', 'wtw', 'brks', 'brkr', 'gprk', 'ichr', 'kro', 'httpstcorgeqwzuy']",Tue Jul 17 22:01:40 +0000 2018,ioTrader,MOMO,Momo Inc.,https://twitter.com/i/web/status/1019341390243946496,False,5.2
16503,1019341395264405500,"['xent', 'nem', 'egan', 'once', 'calm', 'ccj', 'de', 'gcp', 'bhp', 'sohu', 'athm', 'wtw', 'brks', 'brkr', 'gprk', 'ichr', 'kro', 'httpstcouthgiyzf']",Tue Jul 17 22:01:41 +0000 2018,ioTrader,MOMO,Momo Inc.,https://twitter.com/i/web/status/1019341395264405504,False,5.2
16504,1019341396455690200,"['xent', 'nem', 'egan', 'once', 'calm', 'ccj', 'de', 'gcp', 'bhp', 'sohu', 'athm', 'wtw', 'brks', 'brkr', 'gprk', 'ichr', 'kro', 'httpstcoplcqbyw']",Tue Jul 17 22:01:42 +0000 2018,ioTrader,MOMO,Momo Inc.,https://twitter.com/i/web/status/1019341396455690240,False,5.2
16717,1019354676607807500,"['rt', 'traderstewie', 'momo', 'went', 'into', 'quiet', 'mode', 'on', 'us', 'recently', 'but', 'we', 'know', 'better', 'momo', 'does', 'not', 'stay', 'quiet', 'for', 'long', 'this', 'is']",Tue Jul 17 22:54:28 +0000 2018,MaximunHonesty,MOMO,Momo Inc.,,False,5.345000000000001
16725,1019355657428979700,"['rt', 'traderstewie', 'momo', 'went', 'into', 'quiet', 'mode', 'on', 'us', 'recently', 'but', 'we', 'know', 'better', 'momo', 'does', 'not', 'stay', 'quiet', 'for', 'long', 'this', 'is']",Tue Jul 17 22:58:22 +0000 2018,AskGeorgeBailey,MOMO,Momo Inc.,,False,5.345000000000001
16745,1019356499188027400,"['falling', 'wedge', 'bo', 'setups', 'baba', 'mu', 'momo', 'batmaning', 'fang', 'setups', 'nvda', 'googl', 'fb']",Tue Jul 17 23:01:42 +0000 2018,AskGeorgeBailey,MOMO,Momo Inc.,,False,4.705
16753,1019357060746661900,"['small', 'jan', 'bull', 'sweeper', 'late', 'afternoon', 'in', 'momo', 'httpstcomieomfoo']",Tue Jul 17 23:03:56 +0000 2018,WallStJesus,MOMO,Momo Inc.,,False,4.913333333333333
16757,1019357254502535200,"['this', 'momo', 'looks', 'good', 'traderstewie', 'put', 'on', 'radar', 'and', 'now', 'this', 'httpstcokwtiaapg']",Tue Jul 17 23:04:42 +0000 2018,MindMakesMatter,MOMO,Momo Inc.,https://twitter.com/WallStJesus/status/1019357060746661889,False,5.6274999999999995
16763,1019357517908987900,"['momo', 'daily', 'sexy', 'time', 'httpstcocvfjcnrbm']",Tue Jul 17 23:05:45 +0000 2018,MindMakesMatter,MOMO,Momo Inc.,,False,6.18
16801,1019359959488847900,"['rt', 'mindmakesmatter', 'momo', 'daily', 'sexy', 'time', 'httpstcocvfjcnrbm']",Tue Jul 17 23:15:27 +0000 2018,NCBenWilliams,MOMO,Momo Inc.,,False,5.855
16866,1019363132232396800,"['maginarydragons', 'mindmakesmatter', 'marlondee', 'tradewithninja', 'fedporn', 'yep', 'attempted', 'in', 'late', 'but', 'didnt', 'wan', 'httpstconuuqhzjko']",Tue Jul 17 23:28:04 +0000 2018,AnthonyMaceroni,MOMO,Momo Inc.,https://twitter.com/i/web/status/1019363132232396800,False,4.773333333333333
16869,1019363297068572700,"['maginarydragons', 'mindmakesmatter', 'marlondee', 'tradewithninja', 'fedporn', 'heres', 'an', 'updated', 'one', 'for', 'u', 'guys', 'i', 'cant', 'lo', 'httpstcoojhtvy']",Tue Jul 17 23:28:43 +0000 2018,AnthonyMaceroni,MOMO,Momo Inc.,https://twitter.com/i/web/status/1019363297068572678,False,5.277777777777778
16874,1019363570444914700,"['rt', 'traderstewie', 'momo', 'went', 'into', 'quiet', 'mode', 'on', 'us', 'recently', 'but', 'we', 'know', 'better', 'momo', 'does', 'not', 'stay', 'quiet', 'for', 'long', 'this', 'is']",Tue Jul 17 23:29:48 +0000 2018,LTCJWE,MOMO,Momo Inc.,,False,5.345000000000001
16923,1019367220797993000,"['momo', 'inc', 'operates', 'a', 'mobilebased', 'social', 'and', 'entertainment', 'platform', 'in', 'the', 'peoples', 'republic', 'of', 'china', 'one', 'of', 'the', 'httpstcooszrbrzef']",Tue Jul 17 23:44:19 +0000 2018,pharris667,MOMO,Momo Inc.,https://twitter.com/i/web/status/1019367220797992961,False,5.468750000000001
16928,1019367515678371800,"['rt', 'traderstewie', 'momo', 'went', 'into', 'quiet', 'mode', 'on', 'us', 'recently', 'but', 'we', 'know', 'better', 'momo', 'does', 'not', 'stay', 'quiet', 'for', 'long', 'this', 'is']",Tue Jul 17 23:45:29 +0000 2018,Amadeyos82,MOMO,Momo Inc.,,False,5.345000000000001
