,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
686,1016458965360828400,"['first', 'trial', 'over', 'roundup', 'weed', 'killer', 'cancer', 'claim', 'underway', 'mon', 'mon', 'trials', 'legalproceedings', 'lawandorder', 'httpstcofventhm']",Mon Jul 09 23:07:56 +0000 2018,RatingsNetwork,MON,Monsanto Company,http://zpr.io/6TMUY,False,4.4781818181818185
687,1016458982603546600,"['first', 'trial', 'over', 'roundup', 'weed', 'killer', 'cancer', 'claim', 'underway', 'mon', 'mon', 'trials', 'legalproceedings', 'lawandorder', 'httpstcojtclikmapr']",Mon Jul 09 23:08:01 +0000 2018,MarketBeatNews,MON,Monsanto Company,https://www.marketbeat.com/n/3936213/,False,4.4781818181818185
1007,1016658749317140500,"['michaelclayton', 'mon', 'monsantoco', 'httpstcoztnkaivu']",Tue Jul 10 12:21:49 +0000 2018,rothmere,MON,Monsanto Company,https://twitter.com/BlacklistedNews/status/1016658335016210432,False,5.18
1009,1016659375358971900,"['monsanto', 'mon', 'given', 'consensus', 'rating', 'of', 'hold', 'by', 'analysts', 'httpstcofvhtvjx']",Tue Jul 10 12:24:18 +0000 2018,TickerReport,MON,Monsanto Company,http://tickerreport.com/?p=3626431,False,5.397499999999999
1010,1016659444975980500,"['monsanto', 'mon', 'receives', 'average', 'rating', 'of', 'hold', 'from', 'analysts', 'httpstcocisrtcp']",Tue Jul 10 12:24:34 +0000 2018,WatchlistN,MON,Monsanto Company,http://zpr.io/6TrJp,False,5.348749999999999
1012,1016659731434258400,"['rt', 'watchlistn', 'monsanto', 'mon', 'receives', 'average', 'rating', 'of', 'hold', 'from', 'analysts', 'httpstcocisrtcp']",Tue Jul 10 12:25:43 +0000 2018,anti__Monsanto,MON,Monsanto Company,http://zpr.io/6TrJp,False,5.296666666666667
1035,1016663336476381200,"['rt', 'watchlistn', 'monsanto', 'mon', 'receives', 'average', 'rating', 'of', 'hold', 'from', 'analysts', 'httpstcocisrtcp']",Tue Jul 10 12:40:02 +0000 2018,Lacernman,MON,Monsanto Company,http://zpr.io/6TrJp,False,5.296666666666667
1065,1016670106326143000,"['evgn', 'mon', 'partner', 'amp', 'big', 'stake', 'httpstcovbrwdaxym']",Tue Jul 10 13:06:56 +0000 2018,DrSManian,MON,Monsanto Company,https://twitter.com/drsmanian/status/1016668928091643904,False,5.712
1356,1016748721705451500,"['judge', 'experts', 'can', 'testify', 'that', 'roundup', 'linked', 'to', 'cancer', 'mon', 'mon', 'health', 'science', 'corporatelawsuits', 'httpstcoikvazulvl']",Tue Jul 10 18:19:20 +0000 2018,RatingsNetwork,MON,Monsanto Company,http://zpr.io/6anxE,False,5.263333333333334
1357,1016748746049237000,"['judge', 'experts', 'can', 'testify', 'that', 'roundup', 'linked', 'to', 'cancer', 'mon', 'mon', 'health', 'science', 'corporatelawsuits', 'httpstcouytnrfevl']",Tue Jul 10 18:19:25 +0000 2018,MarketBeatNews,MON,Monsanto Company,https://www.marketbeat.com/n/3936813/,False,5.263333333333334
