,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
44,1016107534699122700,"['analysts', 'expect', 'mosaic', 'co', 'mos', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcowuzncryo']",Sun Jul 08 23:51:29 +0000 2018,TranscriptDaily,MOS,The Mosaic Company,http://zpr.io/6T6mK,False,5.7555555555555555
45,1016108212276351000,"['billion', 'in', 'sales', 'expected', 'for', 'mosaic', 'co', 'mos', 'this', 'quarter', 'httpstcotvqelexlh']",Sun Jul 08 23:54:10 +0000 2018,WeekHerald,MOS,The Mosaic Company,http://weekherald.com/?p=2977936,False,5.6725
90,1016182737475121200,"['mos', 'd', 'outside', 'day', 'gt', 'sma', 'httpstcoaqtfkeky']",Mon Jul 09 04:50:19 +0000 2018,pnani456,MOS,The Mosaic Company,,False,5.414999999999999
357,1016334675134984200,"['fertilizer', 'stocks', 'ipi', 'ntr', 'mos', 'all', 'basically', 'flat', 'the', 'last', 'month', 'as', 'the', 'trade', 'discussionsbattles', 'heat', 'up', 'imo', 'lo', 'httpstcoefswfgogj']",Mon Jul 09 14:54:03 +0000 2018,w2beavfan,MOS,The Mosaic Company,https://twitter.com/i/web/status/1016334675134984194,False,5.198461538461539
491,1016379825387274200,"['abpty', 'abpzf', 'icl', 'mos', 'sqm', 'ntr', 'httpstconaihykel']",Mon Jul 09 17:53:28 +0000 2018,SeekingAlpha,MOS,The Mosaic Company,https://seekingalpha.com/article/4186148-stars-finally-aligned-nutrien?source=feed_f,False,0.0
499,1016381490362396700,"['abpty', 'abpzf', 'icl', 'mos', 'sqm', 'ntr', 'httpstcowjtycxb']",Mon Jul 09 18:00:05 +0000 2018,SAlphaTrending,MOS,The Mosaic Company,https://seekingalpha.com/article/4186148-stars-finally-aligned-nutrien?source=feed_t,False,0.0
1232,1016714573775233000,"['chesstrades', 'low', 'mos', 'tempting', 'longs']",Tue Jul 10 16:03:38 +0000 2018,harshblue,MOS,The Mosaic Company,,False,3.66
1317,1016740880676515800,"['abpty', 'abpzf', 'icl', 'mos', 'sqm', 'ntr', 'httpstcocyhhult']",Tue Jul 10 17:48:10 +0000 2018,MagnoliaG2012,MOS,The Mosaic Company,https://seekingalpha.com/article/4186148-stars-finally-aligned-nutrien?source=tweet,False,0.0
1463,1016774687941111800,"['httpstcorrvfcjxpsr', 'mos', 'mosaic', 'notable', 'market', 'movement', 'up', 'million', 'gain', 'nasdaq', 'nysea', 'httpstcowdmkilkkr']",Tue Jul 10 20:02:31 +0000 2018,42Stocks,MOS,The Mosaic Company,http://42stocks.com/sym/mos.html,False,6.153333333333333
1967,1017024174215323600,"['reaffirmed', 'mosaic', 'mos', 'neutral', 'rating', 'kept', 'by', 'analysts', 'at', 'citigroup', 'target', 'in', 'place', 'httpstcooexgxjg']",Wed Jul 11 12:33:53 +0000 2018,whatsonthorold2,MOS,The Mosaic Company,https://www.whatsonthorold.com/2018/07/11/reaffirmed-mosaic-nysemos-neutral-rating-kept-by-analysts-at-citigroup-31-target-in-place/,False,5.297777777777778
1969,1017024303332778000,"['citigroup', 'kept', 'mosaic', 'mos', 'as', 'a', 'neutral', 'they', 'now', 'have', 'a', 'target', 'price', 'of', 'httpstcosnneriij']",Wed Jul 11 12:34:23 +0000 2018,mmahotstuff1,MOS,The Mosaic Company,https://www.mmahotstuff.com/2018/07/11/citigroup-kept-mosaic-nysemos-as-a-neutral-they-now-have-a-target-price-of-31.html,False,5.378181818181819
1970,1017024456445841400,"['mosaic', 'mos', 'citigroup', 'keeps', 'neutral', 'rating', 'today', 'has', 'a', 'target', 'of', 'share', 'httpstcolrofvaotjp']",Wed Jul 11 12:35:00 +0000 2018,reurope_stock,MOS,The Mosaic Company,https://reurope.com/2018/07/11/mosaic-nysemos-citigroup-keeps-neutral-rating-today-has-a-target-of-31-share/,False,5.58
1997,1017029682066346000,"['mobi', 'signs', 'an', 'agreement', 'with', 'fexco', 'in', 'the', 'philippines', 'mos', 'httpstcomfrwgogp']",Wed Jul 11 12:55:46 +0000 2018,GNWLive,MOS,The Mosaic Company,http://bit.ly/2unObZT,False,5.483333333333333
