,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
2831,1017290487378665500,"['marathon', 'petroleum', 'mpc', 'versus', 'vertex', 'energy', 'vtnr', 'head', 'to', 'head', 'contrast', 'httpstcoolcssgqz']",Thu Jul 12 06:12:07 +0000 2018,ZolmaxNews,MPC,Marathon Petroleum Corporation,http://zolmax.com/?p=2376537,False,5.4624999999999995
2891,1017317187328118800,"['zacks', 'brokerages', 'anticipate', 'marathon', 'petroleum', 'corp', 'mpc', 'will', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcohqabrtrno']",Thu Jul 12 07:58:12 +0000 2018,ConsumerFeed,MPC,Marathon Petroleum Corporation,http://zpr.io/6a2sy,False,5.5377777777777775
3226,1017399729515302900,"['markets', 'looks', 'ready', 'to', 'go', 'higher', 'making', 'money', 'this', 'week', 'thx', 'to', 'the', 'options', 'trades', 'at', 'httpstcomqjucyyd', 'httpstcolimarho']",Thu Jul 12 13:26:12 +0000 2018,JakeMat09278883,MPC,Marathon Petroleum Corporation,http://optionsbypros.com,False,5.757333333333334
3324,1017411814487818200,"['as', 'marathon', 'petroleum', 'corp', 'mpc', 'stock', 'rose', 'paradigm', 'asset', 'management', 'co', 'llc', 'cut', 'by', 'million', 'its', 'position', 'httpstcobvkiygfnw']",Thu Jul 12 14:14:13 +0000 2018,The_CasualSmart,MPC,Marathon Petroleum Corporation,https://thecasualsmart.com/2018/07/12/as-marathon-petroleum-corp-mpc-stock-rose-paradigm-asset-management-co-llc-cut-by-212-02-million-its-position/,False,5.428571428571428
3326,1017411930804195300,"['paradigm', 'asset', 'management', 'co', 'llc', 'decreased', 'its', 'marathon', 'petroleum', 'corp', 'mpc', 'holding', 'by', 'million', 'as', 'valuation', 'httpstcoprdpjflnq']",Thu Jul 12 14:14:41 +0000 2018,whatsonthorold2,MPC,Marathon Petroleum Corporation,https://twitter.com/i/web/status/1017411930804195330,False,5.235
3328,1017411988853411800,"['paradigm', 'asset', 'management', 'co', 'llc', 'lowered', 'position', 'in', 'marathon', 'petroleum', 'corp', 'mpc', 'by', 'million', 'as', 'market', 'valu', 'httpstcontpriziln']",Thu Jul 12 14:14:55 +0000 2018,mmahotstuff1,MPC,Marathon Petroleum Corporation,https://twitter.com/i/web/status/1017411988853411845,False,5.523333333333333
3329,1017412032889385000,"['paradigm', 'asset', 'management', 'co', 'llc', 'decreased', 'marathon', 'petroleum', 'corp', 'mpc', 'position', 'by', 'million', 'httpstcoivdmsyxjla']",Thu Jul 12 14:15:05 +0000 2018,The_CasualSmart,MPC,Marathon Petroleum Corporation,https://floridarecorder.com/2018/07/12/paradigm-asset-management-co-llc-decreased-marathon-petroleum-corp-mpc-position-by-212-02-million/,False,5.2860000000000005
3331,1017412175160229900,"['as', 'marathon', 'petroleum', 'corp', 'mpc', 'share', 'value', 'rose', 'paradigm', 'asset', 'management', 'co', 'llc', 'lowered', 'its', 'holding', 'by', 'million']",Thu Jul 12 14:15:39 +0000 2018,reurope_stock,MPC,Marathon Petroleum Corporation,,False,5.692857142857142
3332,1017412262879871000,"['marathon', 'petroleum', 'corp', 'mpc', 'shareholder', 'paradigm', 'asset', 'management', 'co', 'llc', 'has', 'lowered', 'its', 'stake', 'httpstcoeefobyuyvc']",Thu Jul 12 14:16:00 +0000 2018,bibeypost_stock,MPC,Marathon Petroleum Corporation,https://www.bibeypost.com/marathon-petroleum-corp-mpc-shareholder-paradigm-asset-management-co-llc-has-lowered-its-stake/,False,5.135555555555555
3366,1017415432028868600,"['contrasting', 'repsol', 'repyy', 'and', 'marathon', 'petroleum', 'mpc', 'httpstcokbnqdhary']",Thu Jul 12 14:28:36 +0000 2018,ZolmaxNews,MPC,Marathon Petroleum Corporation,http://zolmax.com/?p=2377710,False,5.02
3436,1017427225598050300,"['rt', 'warrenbuffethq', 'its', 'better', 'to', 'hang', 'out', 'with', 'people', 'better', 'than', 'you', 'you', 'will', 'gain', 'more', 'httpstcoaqrugfmli', 'the', 'best', 'stock', 'invest']",Thu Jul 12 15:15:28 +0000 2018,OTCNetwork101,MPC,Marathon Petroleum Corporation,https://askwarrenhq.blogspot.com/2018/06/buffet-hq.html,False,5.770526315789474
4127,1017544339667513300,"['madison', 'pacific', 'properties', 'inc', 'tsx', 'mpc', 'and', 'mpcc', 'announces', 'the', 'results', 'for', 'the', 'nine', 'months', 'ended', 'may', 'mpc', 'httpstcohdkkraeeo']",Thu Jul 12 23:00:50 +0000 2018,GNWLive,MPC,Marathon Petroleum Corporation,http://bit.ly/2meQNFN,False,5.26
4470,1017640239098204200,"['made', 'k', 'today', 'trading', 'options', 'with', 'the', 'trades', 'from', 'httpstcobbtwvrta', 'gbr', 'aapl', 'msft', 'jd', 'cbrl', 'expe', 'c', 'httpstcodzcedydoxo']",Fri Jul 13 05:21:54 +0000 2018,sofiast04661220,MPC,Marathon Petroleum Corporation,http://Optionsbypros.com,False,5.504
4485,1017646450992472000,"['best', 'day', 'of', 'the', 'year', 'today', 'trading', 'thx', 'to', 'the', 'options', 'trades', 'at', 'httpstcomqjucyyd', 'ggal', 'tsla', 'mnkd', 'psmt', 'httpstconloshyzaw']",Fri Jul 13 05:46:35 +0000 2018,JakeMat09278883,MPC,Marathon Petroleum Corporation,http://optionsbypros.com,False,5.6816666666666675
4515,1017665675467292700,"['madison', 'pacific', 'properties', 'inc', 'class', 'b', 'insider', 'raymond', 'heung', 'sells', 'c', 'in', 'mpc', 'httpstcoydtbudw']",Fri Jul 13 07:02:59 +0000 2018,ConsumerFeed,MPC,Marathon Petroleum Corporation,https://ift.tt/2Lf4Iq9,False,5.3759999999999994
4520,1017665910876672000,"['madison', 'pacific', 'properties', 'inc', 'class', 'b', 'insider', 'raymond', 'heung', 'sells', 'c', 'in', 'mpc', 'httpstcoydtbovu']",Fri Jul 13 07:03:55 +0000 2018,ConsumerFeed,MPC,Marathon Petroleum Corporation,https://ift.tt/2Lf4Iq9,False,5.3759999999999994
4850,1017752042163482600,"['big', 'call', 'activity', 'httpstcocarxndgmmo', 'cnq', 'su', 'ddd', 'msft', 'himx', 'watt', 'lsi', 'rf', 'cop', 'uaa', 'pzza', 'abbv', 'cvs', 'httpstcolnteqnfzu']",Fri Jul 13 12:46:10 +0000 2018,DailyStockPlays,MPC,Marathon Petroleum Corporation,http://www.dailystockplays.com/Unusual-Call-Option-Activity-Today-2018-07-12.html,False,5.5440000000000005
4978,1017771550878175200,"['mpc', 'marathon', 'petroleum', 'corp', 'senior', 'vice', 'president', 'thomas', 'm', 'kelley', 'to', 'retire', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Fri Jul 13 14:03:41 +0000 2018,Allstocknews,MPC,Marathon Petroleum Corporation,,False,5.287999999999999
5006,1017776345286303700,"['stock', 'picks', 'marathon', 'petroleum', 'corporation', 'we', 'sold', 'the', 'stock', 'mpc', 'at', 'thats', 'a', 'move', 'since', 'we', 'purchased', 'it', 'days', 'ago']",Fri Jul 13 14:22:44 +0000 2018,marketvulture,MPC,Marathon Petroleum Corporation,,False,5.433684210526315
5443,1017857196179312600,"['new', 'uoa', 'detected', 'for', 'mpc', 'put', 'options', 'expiring', 'traded', 'for', 'bought', 'on', 'the', 'ask', 'httpstcosauitfwml']",Fri Jul 13 19:44:01 +0000 2018,liveoptiondata,MPC,Marathon Petroleum Corporation,https://www.optionsonar.com/unusual-option-activity/MPC/latest-trades,False,5.578181818181818
5485,1017864950436520000,"['dis', 'abt', 'unh', 'mpc', 'ge', 'ggp', 'kss', 'hd', 'psx', 'acn', 'bk', 'gww', 'v', 'axp', 'duk', 'uri', 'lnc', 'dvn', 'xl', 'flr', 'hpe', 'dhi', 'largest', 'moc', 'httpstcoycxwacajj']",Fri Jul 13 20:14:49 +0000 2018,teresaarthur66,MPC,Marathon Petroleum Corporation,https://twitter.com/i/web/status/1017864950436519936,False,5.11
5503,1017868665767845900,"['largest', 'notional', 'sell', 'on', 'close', 'order', 'imbalances', 'dis', 'abt', 'unh', 'mpc', 'ge', 'ggp', 'kss', 'hd', 'psx', 'acn', 'httpstcovaciyvfa']",Fri Jul 13 20:29:35 +0000 2018,MarketChmln,MPC,Marathon Petroleum Corporation,https://marketchameleon.com/Reports/StockOrderImbalanceReport/,False,5.2925
5743,1017966928500002800,"['buysignal', 'detected', 'for', 'stocks', 'tmo', 'mpc']",Sat Jul 14 03:00:03 +0000 2018,holycharts,MPC,Marathon Petroleum Corporation,,False,5.28
5868,1018075584583348200,"['mpc', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcowahhltmb', 'httpstcodluiawldt']",Sat Jul 14 10:11:48 +0000 2018,optioncharts,MPC,Marathon Petroleum Corporation,http://maximum-pain.com/options/max-pain/MPC,False,4.680000000000001
5998,1018104247832006700,"['marthon', 'pete', 'corp', 'mpc', 'stock', 'price', 'rose', 'while', 'swift', 'run', 'capital', 'management', 'llc', 'lowered', 'by', 'million', 'its', 'holding', 'httpstcotbiovgbooh']",Sat Jul 14 12:05:42 +0000 2018,whatsonthorold2,MPC,Marathon Petroleum Corporation,https://twitter.com/i/web/status/1018104247832006656,False,5.604285714285713
6000,1018104346146418700,"['marthon', 'pete', 'corp', 'mpc', 'holder', 'swift', 'run', 'capital', 'management', 'llc', 'has', 'cut', 'its', 'holding', 'by', 'million', 'as', 'stock', 'value', 'httpstcorjytjgqqua']",Sat Jul 14 12:06:06 +0000 2018,mmahotstuff1,MPC,Marathon Petroleum Corporation,https://twitter.com/i/web/status/1018104346146418689,False,5.413333333333333
6001,1018104512207380500,"['marthon', 'pete', 'corp', 'mpc', 'market', 'value', 'rose', 'while', 'swift', 'run', 'capital', 'management', 'llc', 'cut', 'by', 'million', 'its', 'stake', 'httpstcontnmylxml']",Sat Jul 14 12:06:45 +0000 2018,reurope_stock,MPC,Marathon Petroleum Corporation,https://reurope.com/2018/07/14/marthon-pete-corp-mpc-market-value-rose-while-swift-run-capital-management-llc-cut-by-3-77-million-its-stake/,False,5.539999999999998
6283,1018210273633677300,"['analysts', 'take', 'a', 'look', 'at', 'marathon', 'petroleum', 'corporation', 'mpc', 'having', 'this', 'to', 'say', 'httpstcoeavkcp']",Sat Jul 14 19:07:01 +0000 2018,whatsonthorold2,MPC,Marathon Petroleum Corporation,https://www.whatsonthorold.com/2018/07/14/analysts-take-a-look-at-marathon-petroleum-corporation-nysempc-having-this-to-say/,False,5.178333333333334
6284,1018210385277734900,"['how', 'many', 'marathon', 'petroleum', 'corporation', 'mpcs', 'analysts', 'are', 'bearish', 'httpstcohwfvvewdi']",Sat Jul 14 19:07:27 +0000 2018,mmahotstuff1,MPC,Marathon Petroleum Corporation,https://www.mmahotstuff.com/2018/07/14/how-many-marathon-petroleum-corporation-nysempcs-analysts-are-bearish.html,False,5.082857142857143
6288,1018210555432226800,"['are', 'analysts', 'bearish', 'marathon', 'petroleum', 'corporation', 'mpc', 'after', 'last', 'week', 'httpstcomqdpkxfj']",Sat Jul 14 19:08:08 +0000 2018,reurope_stock,MPC,Marathon Petroleum Corporation,https://reurope.com/2018/07/14/are-analysts-bearish-marathon-petroleum-corporation-nysempc-after-last-week/,False,4.8725
6289,1018210643881717800,"['its', 'been', 'a', 'crucial', 'week', 'for', 'marathon', 'petroleum', 'corporation', 'mpc', 'heres', 'what', 'analysts', 'have', 'to', 'say', 'httpstcosytrsjibm']",Sat Jul 14 19:08:29 +0000 2018,bibeypost_stock,MPC,Marathon Petroleum Corporation,https://www.bibeypost.com/its-been-a-crucial-week-for-marathon-petroleum-corporation-nysempc-heres-what-analysts-have-to-say/,False,5.08
