,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
24468,1019657102674055200,"['despite', 'q', 'earnings', 'valuengine', 'rates', 'morgan', 'stanley', 'a', 'sell', 'for', 'todays', 'bulletin', 'we', 'take', 'a', 'look', 'at', 'morgan', 'stanley', 'httpstcojasrzginc']",Wed Jul 18 18:56:12 +0000 2018,ValuEngine,MS,Morgan Stanley,https://twitter.com/i/web/status/1019657102674055169,False,5.383333333333334
24549,1019658952613748700,"['morgan', 'stanley', 'hikes', 'dividend', 'by', 'percent', 'to', 'quarterly', 'ms']",Wed Jul 18 19:03:33 +0000 2018,dividendhike,MS,Morgan Stanley,,False,5.147500000000001
24562,1019659090761584600,"['rt', 'dividendhike', 'morgan', 'stanley', 'hikes', 'dividend', 'by', 'percent', 'to', 'quarterly', 'ms']",Wed Jul 18 19:04:06 +0000 2018,BenBDoan,MS,Morgan Stanley,,False,5.117777777777778
24577,1019659474687144000,"['join', 'us', 'to', 'get', 'premium', 'trading', 'signals', 'join', 'us', 'httpstcomgvnmztd', 'avt', 'dna', 'aapl', 'tsla', 'viu', 'qsp', 'httpstcoyhbnmrmyo']",Wed Jul 18 19:05:37 +0000 2018,AmosPatterson13,MS,Morgan Stanley,http://discord.gg/tXbaTxx,False,5.904
24603,1019659965550727200,"['investment', 'bank', 'morganstanley', 'topped', 'forecasts', 'for', 'its', 'second', 'quarter', 'httpstcowkjyspqjc', 'ms']",Wed Jul 18 19:07:34 +0000 2018,usnews,MS,Morgan Stanley,https://trib.al/HReTiu8,True,5.3342857142857145
24756,1019662966453489700,"['ms', 'how', 'to', 'trade', 'morgan', 'stanley', 'after', 'an', 'earnings', 'rip', 'httpstcocqwhllb']",Wed Jul 18 19:19:30 +0000 2018,CMLviz,MS,Morgan Stanley,http://news.cmlviz.com/2018/07/10/how-to-trade-morgan-stanley-after-an-earnings-rip.html#.W0-SspfHnfA.twitter,False,5.223999999999999
24760,1019663074402242600,"['ms', 'httpstcoafgzttch']",Wed Jul 18 19:19:56 +0000 2018,OphirGottlieb,MS,Morgan Stanley,https://twitter.com/CMLviz/status/1019662966453489665,True,4.48
24982,1019668356461486100,"['going', 'long', 'on', 'ms', 'july', 'calls', 'another', 'banking', 'earnings', 'winner', 'bought', 'on', 'the', 'dip', 'keep', 'the', 'financial', 'rally', 'going']",Wed Jul 18 19:40:55 +0000 2018,lextrader241,MS,Morgan Stanley,,False,5.636842105263159
25420,1019676478005338100,"['rt', 'morganstanley', 'ms', 'q', 'earnings', 'wealth', 'management', 'continued', 'to', 'deliver', 'solid', 'results', 'with', 'pretax', 'margin', 'of', 'httpstcodof']",Wed Jul 18 20:13:11 +0000 2018,blester_MS,MS,Morgan Stanley,,False,5.477333333333333
25556,1019679245579313200,"['ms', 'over', 'this', 'key', 'level', 'and', 'holding', 'httpstcoziphuycu']",Wed Jul 18 20:24:11 +0000 2018,learnstocks101,MS,Morgan Stanley,,False,5.234285714285714
25619,1019680000339951600,"['another', 'day', 'red', 'kept', 'my', 'losses', 'much', 'smaller', 'today', 'on', 'ms', 'and', 'ual', 'choppy', 'today', 'but', 'i', 'feel', 'like', 'i', 'could', 'have', 'trad', 'httpstcosluxgjulw']",Wed Jul 18 20:27:11 +0000 2018,SaylerTrade,MS,Morgan Stanley,https://twitter.com/i/web/status/1019680000339951617,False,5.5040000000000004
25679,1019681110513668100,"['rt', 'modernwallst', 'wall', 'street', 'wake', 'up', 'call', 'stocks', 'flat', 'djia', 'morganstanley', 'earnings', 'soar', 'ms', 'housing', 'starts', 'sink', 'amp', 'federalreserve', 'in']",Wed Jul 18 20:31:36 +0000 2018,JS3Multimedia,MS,Morgan Stanley,,False,5.403333333333333
25680,1019681111797108700,"['goldman', 'sachs', 'vs', 'morgan', 'stanley', 'which', 'bank', 'will', 'win', 'the', 'battle', 'for', 'mampa', 'dollars', 'httpstcoukgzfbtc', 'httpstcoxbblmtmzt']",Wed Jul 18 20:31:36 +0000 2018,ScottGamm,MS,Morgan Stanley,https://www.thestreet.com/video/goldman-sachs-vs-morgan-stanley-the-battle-for-ma-dollars-14655129,True,5.467692307692308
25686,1019681205023895600,"['rt', 'scottgamm', 'goldman', 'sachs', 'vs', 'morgan', 'stanley', 'which', 'bank', 'will', 'win', 'the', 'battle', 'for', 'mampa', 'dollars', 'httpstcoukgzfbtc', 'thestreet', 'mbro']",Wed Jul 18 20:31:58 +0000 2018,TheStreet,MS,Morgan Stanley,https://www.thestreet.com/video/goldman-sachs-vs-morgan-stanley-the-battle-for-ma-dollars-14655129,True,5.425714285714285
25711,1019681445206462500,"['rt', 'scottgamm', 'goldman', 'sachs', 'vs', 'morgan', 'stanley', 'which', 'bank', 'will', 'win', 'the', 'battle', 'for', 'mampa', 'dollars', 'httpstcoukgzfbtc', 'thestreet', 'mbro']",Wed Jul 18 20:32:55 +0000 2018,acidjazzfreak,MS,Morgan Stanley,https://www.thestreet.com/video/goldman-sachs-vs-morgan-stanley-the-battle-for-ma-dollars-14655129,False,5.425714285714285
25766,1019682372776874000,"['trader', 'takeaways', 'by', 'krisjoshi', 'focus', 'on', 'spy', 'nflx', 'uvxy', 'ms', 'csx', 'abt', 'and', 'ual', 'httpstconvwyhyaals']",Wed Jul 18 20:36:37 +0000 2018,SevenPointsCap,MS,Morgan Stanley,http://youtu.be/MLmX7WMEBVM?a,False,5.062857142857142
