,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
25807,1019683034638020600,"['precio', 'por', 'accin', 'de', 'microsoft', 'corporation', 'msft', 'cerr', 'hoy', 'con', 'un', 'nivel', 'de', 'dlares', 'con', 'respecto', 'al', 'cierre', 'httpstcomkywoyyczp']",Wed Jul 18 20:39:14 +0000 2018,telconomia,MSFT,Microsoft Corporation,https://twitter.com/i/web/status/1019683034638020609,False,4.7059999999999995
25884,1019684122099216400,"['httpstcomvtsfnitp', 'nadella', 'has', 'done', 'a', 'great', 'job', 'at', 'msft', 'his', 'strategy', 'change', 'on', 'windows', 'o', 'and', 'azure', 'wer', 'httpstcohidozgekuc']",Wed Jul 18 20:43:34 +0000 2018,paranjpe12,MSFT,Microsoft Corporation,https://www.cnbc.com/2018/07/17/how-microsoft-has-evolved-under-satya-nadella.html,False,5.694285714285715
26121,1019688498696278000,"['msft', 'todays', 'trading', 'with', 'microsoft', 'corp', 'for', 'on', 'date', 'finance']",Wed Jul 18 21:00:57 +0000 2018,dexoidan,MSFT,Microsoft Corporation,,False,5.584444444444445
26136,1019688846458531800,"['options', 'maxpain', 'chart', 'for', 'msft', 'free', 'options', 'app', 'httpstcowpndmczd', 'httpstcoodbpahfv']",Wed Jul 18 21:02:20 +0000 2018,OptionsMaxPain,MSFT,Microsoft Corporation,http://www.mobileinteractive.com/superstocks,False,6.016666666666667
26187,1019689355961667600,"['hoy', 'microsoft', 'corp', 'msft', 'cerr', 'a']",Wed Jul 18 21:04:22 +0000 2018,nerdcriollo,MSFT,Microsoft Corporation,,False,5.220000000000001
26768,1019700256018231300,"['msft', 'has', 'a', 'huge', 'earnings', 'report', 'tomorrow', 'about', 'x', 'more', 'calls', 'than', 'puts', 'and', 'heavy', 'volume']",Wed Jul 18 21:47:40 +0000 2018,_MichaelWhitton,MSFT,Microsoft Corporation,,False,5.446666666666666
26800,1019700971763576800,"['michaelkhouw', 'so', 'you', 'have', 'any', 'thoughts', 'for', 'protecting', 'a', 'long', 'msft', 'position', 'ahead', 'of', 'tomorrow', 'pms', 'earnings', 'thanks', 'in', 'advance']",Wed Jul 18 21:50:31 +0000 2018,JackPalmeri,MSFT,Microsoft Corporation,,False,5.890588235294117
26821,1019701433099223000,"['msft', 'is', 'reporting', 'after', 'the', 'bell', 'thursday', 'and', 'riskreversal', 'says', 'the', 'options', 'market', 'is', 'expecting', 'a', 'big', 'swing', 'httpstcobdwvhtpbw']",Wed Jul 18 21:52:21 +0000 2018,OptionsAction,MSFT,Microsoft Corporation,,True,5.5825
26917,1019703691610329100,"['rt', 'mattrosoff', 'microsoft', 'msft', 'chairman', 'john', 'thompson', 'recallng', 'satyas', 'first', 'day', 'he', 'never', 'mentioned', 'windows', 'one', 'time', 'httpstcowsc']",Wed Jul 18 22:01:19 +0000 2018,JCMcCracken,MSFT,Microsoft Corporation,,True,5.410769230769231
26993,1019705419655270400,"['isho', 'what', 'do', 'you', 'think', 'about', 'msft', 'earnings', 'are', 'thursday', 'after', 'the', 'bell']",Wed Jul 18 22:08:11 +0000 2018,DaSToRM112,MSFT,Microsoft Corporation,,False,5.667272727272726
27004,1019705649154936800,"['rt', 'optionsaction', 'msft', 'is', 'reporting', 'after', 'the', 'bell', 'thursday', 'and', 'riskreversal', 'says', 'the', 'options', 'market', 'is', 'expecting', 'a', 'big', 'swing', 'httpst']",Wed Jul 18 22:09:06 +0000 2018,HeilenbachJohn,MSFT,Microsoft Corporation,,False,5.541176470588233
