,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
129,1016220457396330500,"['head', 'to', 'head', 'review', 'mettlertoledo', 'international', 'mtd', 'amp', 'fluidigm', 'fldm', 'httpstcolykkyxi']",Mon Jul 09 07:20:12 +0000 2018,ThisLincolnian,MTD,Mettler-Toledo International Inc.,http://thelincolnianonline.com/?p=2171704,False,5.703333333333333
145,1016234260565495800,"['mettlertoledo', 'international', 'mtd', 'amp', 'quanterix', 'qtrx', 'headtohead', 'analysis', 'httpstcojvgzaxiwn']",Mon Jul 09 08:15:03 +0000 2018,TickerReport,MTD,Mettler-Toledo International Inc.,http://tickerreport.com/?p=3623860,False,5.933333333333334
148,1016235141621014500,"['headtohead', 'comparison', 'quanterix', 'qtrx', 'vs', 'mettlertoledo', 'international', 'mtd', 'httpstcocfcywwjbd']",Mon Jul 09 08:18:33 +0000 2018,WatchlistN,MTD,Mettler-Toledo International Inc.,http://zpr.io/6TRJb,False,5.509999999999999
184,1016266289822818300,"['headtohead', 'comparison', 'quanterix', 'qtrx', 'vs', 'mettlertoledo', 'international', 'mtd', 'httpstcoxayzxkfuzo']",Mon Jul 09 10:22:19 +0000 2018,MareaInformativ,MTD,Mettler-Toledo International Inc.,http://www.mareainformativa.com/?p=408517,False,5.509999999999999
349,1016332349003436000,"['mettlertoledo', 'international', 'inc', 'mtds', 'stock', 'is', 'sell', 'after', 'more', 'market', 'selling', 'httpstcorspompstzn']",Mon Jul 09 14:44:49 +0000 2018,whatsonthorold2,MTD,Mettler-Toledo International Inc.,https://www.whatsonthorold.com/2018/07/09/mettler-toledo-international-inc-nysemtds-stock-is-sell-after-more-market-selling/,False,5.6755555555555555
352,1016333272954163200,"['is', 'mettlertoledo', 'international', 'inc', 'mtds', 'fuel', 'running', 'low', 'reports', 'show', 'more', 'sellers', 'httpstcotfgcdit']",Mon Jul 09 14:48:29 +0000 2018,reurope_stock,MTD,Mettler-Toledo International Inc.,https://reurope.com/2018/07/09/is-mettler-toledo-international-inc-nysemtds-fuel-running-low-reports-show-more-sellers/,False,5.408888888888889
353,1016333367678259200,"['is', 'buying', 'mettlertoledo', 'international', 'inc', 'mtd', 'here', 'good', 'idea', 'httpstcotmgyifjg']",Mon Jul 09 14:48:52 +0000 2018,bibeypost_stock,MTD,Mettler-Toledo International Inc.,https://www.bibeypost.com/is-buying-mettler-toledo-international-inc-nysemtd-here-good-idea/,False,6.082857142857144
371,1016337908649857000,"['mtd', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcodnrihdk', 'httpstcoystjglrza']",Mon Jul 09 15:06:54 +0000 2018,optioncharts,MTD,Mettler-Toledo International Inc.,http://maximum-pain.com/options/open-interest/MTD,False,5.5775
484,1016377084988534800,"['httpstcolqktaqunp', 'mtd', 'mettlertoledo', 'international', 'up', 'million', 'gain', 'mtd', 'has', 'made', 'notable', 'gain', 'httpstcojjlllluc']",Mon Jul 09 17:42:35 +0000 2018,42Stocks,MTD,Mettler-Toledo International Inc.,http://42stocks.com/sym/mtd.html,False,6.288571428571428
489,1016378426247336000,"['httpstcovjkmngxvx', 'atus', 'auo', 'blue', 'brfs', 'disca', 'dlph', 'ewbc', 'ggb', 'hele', 'hes', 'lc', 'ln', 'mro', 'mtd', 'mu', 'nflx', 'ntes', 'httpstcopyflkmid']",Mon Jul 09 17:47:54 +0000 2018,42Stocks,MTD,Mettler-Toledo International Inc.,http://42stocks.com,False,5.206666666666667
506,1016385993488977900,"['httpstcovjkmngxvx', 'amd', 'atus', 'auo', 'blue', 'brfs', 'disca', 'dlph', 'ewbc', 'ggb', 'hele', 'hes', 'lc', 'ln', 'lpl', 'mro', 'mtd', 'mu', 'httpstcolzhtyz']",Mon Jul 09 18:17:59 +0000 2018,42Stocks,MTD,Mettler-Toledo International Inc.,http://42stocks.com,False,5.206666666666667
524,1016393581496557600,"['httpstcovjkmngxvx', 'amd', 'atus', 'auo', 'bak', 'blue', 'brfs', 'ceo', 'cmg', 'disca', 'dlph', 'do', 'ewbc', 'ggb', 'hele', 'hes', 'lc', 'ln', 'httpstcoetckxbvhme']",Mon Jul 09 18:48:08 +0000 2018,42Stocks,MTD,Mettler-Toledo International Inc.,http://42stocks.com,False,5.220000000000001
534,1016401165238628400,"['httpstcovjkmngxvx', 'amd', 'atus', 'auo', 'bak', 'blue', 'brfs', 'ceo', 'cmg', 'disca', 'dlph', 'do', 'ewbc', 'ggb', 'hele', 'hes', 'ingn', 'lc', 'httpstcobtpzmuptc']",Mon Jul 09 19:18:16 +0000 2018,42Stocks,MTD,Mettler-Toledo International Inc.,http://42stocks.com,False,5.220000000000001
