,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
281,1016308221357805600,"['mur', 'alert', 'new', 'murphy', 'oil', 'corporation', 'sec', 'filing', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 09 13:08:56 +0000 2018,Allstocknews,MUR,Murphy Oil Corporation,,False,5.451666666666667
315,1016317807758364700,"['mur', 'new', 'sec', 'filing', 'for', 'mur', 'form', 'sc', 'ga', 'no', 'httpstcooiizqmvdtp']",Mon Jul 09 13:47:02 +0000 2018,Stock_News_Now,MUR,Murphy Oil Corporation,http://stocknewsflow.com/717423_000156459018016664_0001564590-18-016664,False,5.0874999999999995
428,1016354319355072500,"['what', 'will', 'happen', 'to', 'murphy', 'oil', 'corporation', 'mur', 'next', 'the', 'stock', 'has', 'decline', 'in', 'shorts', 'httpstcodzcjxne']",Mon Jul 09 16:12:07 +0000 2018,whatsonthorold2,MUR,Murphy Oil Corporation,https://www.whatsonthorold.com/2018/07/09/what-will-happen-to-murphy-oil-corporation-nysemur-next-the-stock-has-decline-in-shorts/,False,5.171428571428571
429,1016354740337365000,"['whats', 'in', 'murphy', 'oil', 'corporation', 'mur', 'after', 'decline', 'in', 'shorted', 'shares', 'httpstconzyzxbg']",Mon Jul 09 16:13:47 +0000 2018,reurope_stock,MUR,Murphy Oil Corporation,https://reurope.com/2018/07/09/whats-in-murphy-oil-corporation-nysemur-after-decline-in-shorted-shares/,False,5.093333333333333
431,1016355254202437600,"['murphy', 'oil', 'corporation', 'mur', 'has', 'decline', 'in', 'shorts', 'httpstcothwlted']",Mon Jul 09 16:15:50 +0000 2018,bibeypost_stock,MUR,Murphy Oil Corporation,https://www.bibeypost.com/murphy-oil-corporation-nysemur-has-decline-in-shorts/,False,4.988571428571428
591,1016420975976570900,"['mur', 'murphy', 'oil', 'corporation', 'endofday', 'quote', 'alert', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 09 20:36:59 +0000 2018,Allstocknews,MUR,Murphy Oil Corporation,,False,5.384
593,1016421092875997200,"['httpstcohnabkku', 'mur', 'murphy', 'oil', 'notable', 'market', 'movement', 'up', 'million', 'gain', 'nasdaq', 'nysea', 'httpstconddxzkqnc']",Mon Jul 09 20:37:27 +0000 2018,42Stocks,MUR,Murphy Oil Corporation,http://42stocks.com/sym/mur.html,False,5.8875
618,1016434778462212100,"['mur', 'murphy', 'oil', 'corporation', 'endofday', 'sec', 'alert', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 09 21:31:50 +0000 2018,Allstocknews,MUR,Murphy Oil Corporation,,False,5.368
738,1016499982331830300,"['mur', 'short', 'float', 'httpstcoejxgzgr']",Tue Jul 10 01:50:56 +0000 2018,NikeThisShit,MUR,Murphy Oil Corporation,,False,5.24
798,1016530679738216400,"['mondays', 'close', 'gt', 'high', 'day', 'ago', 'with', 'trading', 'range', 'gt', 'daily', 'ema', 'gt', 'close', 'gt', 'ema', 'vol', 'gt', 'k', 'httpstcorcjzealy']",Tue Jul 10 03:52:54 +0000 2018,15minofPham,MUR,Murphy Oil Corporation,https://twitter.com/i/web/status/1016530679738216448,False,5.269411764705883
