,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
9751,1018848574094893000,"['want', 'the', 'latest', 'analyst', 'ratings', 'on', 'qunr', 'arcx', 'myl', 'kin', 'evgn', 'get', 'them', 'delivered', 'to', 'your', 'inbox', 'httpstconsjudsyidj']",Mon Jul 16 13:23:24 +0000 2018,RatingsNetwork,MYL,Mylan N.V.,http://bit.ly/arndailyw,False,5.6523076923076925
9847,1018854604044464100,"['mylan', 'inc', 'myl', 'institutional', 'investor', 'sentiment', 'trend', 'httpstcoxflxyojk']",Mon Jul 16 13:47:21 +0000 2018,mmahotstuff1,MYL,Mylan N.V.,https://www.mmahotstuff.com/2018/07/16/mylan-inc-nasdaqmyl-institutional-investor-sentiment-trend.html,False,5.324
9854,1018854936304595000,"['mylan', 'inc', 'myl', 'institutional', 'investor', 'sentiment', 'analysis', 'httpstcodehhguqmhf']",Mon Jul 16 13:48:40 +0000 2018,bibeypost_stock,MYL,Mylan N.V.,https://www.bibeypost.com/mylan-inc-nasdaqmyl-institutional-investor-sentiment-analysis/,False,5.356
9900,1018856609898946600,"['long', 'x', 'myl']",Mon Jul 16 13:55:19 +0000 2018,pradeeepk,MYL,Mylan N.V.,,False,4.83
10127,1018869501499203600,"['mylan', 'myl', 'downgraded', 'by', 'bidaskclub', 'to', 'sell', 'httpstcoujgwuhkfn']",Mon Jul 16 14:46:33 +0000 2018,dispatchtribune,MYL,Mylan N.V.,http://dispatchtribunal.com/?p=2056848,False,5.146666666666667
10702,1018903248038715400,"['martin', 'shkreli', 'biz', 'partner', 'john', 'higgins', 'stock', 'comp', 'swelled', 'to', 'mm', 'or', 'of', 'lgnd', 'total', 'earnings', 'httpstcoflqlnsveg']",Mon Jul 16 17:00:39 +0000 2018,LemelsonCapital,MYL,Mylan N.V.,https://twitter.com/i/web/status/1018903248038715392,False,5.541666666666665
10945,1018922364015382500,"['valeant', 'pharmaceuticals', 'developments', 'analyst', 'ratings', 'in', 'july', 'myl', 'lly', 'vrx', 'teva', 'httpstcohlwumjxtp', 'httpstcomqzrwst']",Mon Jul 16 18:16:36 +0000 2018,MarketRealist,MYL,Mylan N.V.,https://marketrealist.com/2018/07/analyst-recommendations-for-valeant-pharmaceuticals-in-july,False,5.836
11280,1018944584007671800,"['rt', 'pennytradersub', 'ehos', 'buy', 'alert', 'bluu', 'buy', 'alert', 'aapl', 'goog', 'myl', 'insy', 'f', 'fb', 'rog', 'shop', 'cmg', 'aph']",Mon Jul 16 19:44:54 +0000 2018,PennyTraderSub,MYL,Mylan N.V.,,False,5.61
11322,1018947339317338100,"['myl', 'generic', 'long', 'term', 'forecast', 'and', 'where', 'its', 'likely', 'heading', 'next', 'years', 'spx', 'vix', 'indu', 'httpstcougfqqsd', 'read', 'here']",Mon Jul 16 19:55:51 +0000 2018,Sqwii,MYL,Mylan N.V.,http://sqwiitrader.com/mylan-forecast-myl/,False,5.48
11348,1018949147980775400,"['mylans', 'cheap', 'copaxone', 'to', 'force', 'teva', 'to', 'discount', 'bernstein', 'httpstcoaoftmaby', 'myl', 'teva']",Mon Jul 16 20:03:02 +0000 2018,MarketCurrents,MYL,Mylan N.V.,https://seekingalpha.com/news/3370430-mylans-cheap-copaxone-force-teva-discount-bernstein?source=feed_f,False,5.31
