,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
2034,1017037638157692900,"['nextera', 'energy', 'inc', 'com', 'nee', 'stock', 'value', 'rose', 'while', 'cedar', 'hill', 'associates', 'llc', 'upped', 'holding', 'httpstcoebfuvtjyz']",Wed Jul 11 13:27:23 +0000 2018,The_CasualSmart,NEE,NextEra Energy,https://thecasualsmart.com/2018/07/11/nextera-energy-inc-com-nee-stock-value-rose-while-cedar-hill-associates-llc-upped-holding/,False,5.820000000000001
2035,1017037925618475000,"['nextera', 'energy', 'inc', 'com', 'nee', 'stock', 'value', 'rose', 'while', 'cedar', 'hill', 'associates', 'llc', 'raised', 'by', 'million', 'its', 'holding', 'httpstcotenaikoi']",Wed Jul 11 13:28:31 +0000 2018,The_CasualSmart,NEE,NextEra Energy,https://floridarecorder.com/2018/07/11/nextera-energy-inc-com-nee-stock-value-rose-while-cedar-hill-associates-llc-raised-by-5-25-million-its-holding/,False,5.86
2038,1017038052173246500,"['nextera', 'energy', 'inc', 'com', 'nee', 'position', 'has', 'raised', 'by', 'cedar', 'hill', 'associates', 'llc', 'httpstcownzqzxh']",Wed Jul 11 13:29:01 +0000 2018,reurope_stock,NEE,NextEra Energy,https://reurope.com/2018/07/11/nextera-energy-inc-com-nee-position-has-raised-by-cedar-hill-associates-llc/,False,5.636000000000001
2039,1017038116274745300,"['cedar', 'hill', 'associates', 'llc', 'has', 'increased', 'its', 'nextera', 'energy', 'inc', 'com', 'nee', 'position', 'by', 'million', 'stock', 'price', 'rose', 'httpstcospuavama']",Wed Jul 11 13:29:17 +0000 2018,bibeypost_stock,NEE,NextEra Energy,https://twitter.com/i/web/status/1017038116274745344,False,5.775999999999999
2269,1017088227457536000,"['in', 'the', 'market', 'as', 'major', 'indexes', 'fall', 'on', 'tradewar', 'escalation', 'fear', 'investors', 'deploy', 'a', 'bit', 'more', 'capital', 'into', 'defense', 'httpstcooqrhqrda']",Wed Jul 11 16:48:24 +0000 2018,IBD_DChung,NEE,NextEra Energy,https://twitter.com/i/web/status/1017088227457536000,False,5.154666666666668
2364,1017113957109289000,"['nee', 'duk', 'so', 'xlu', 'httpstcolkaiesg']",Wed Jul 11 18:30:39 +0000 2018,Briefingcom,NEE,NextEra Energy,https://twitter.com/BriefingcomSMU/status/1017113535661264896,False,4.99
2529,1017155809585885200,"['he', 'hates', 'energy', 'tip', 'sell', 'neec', 'nextera', 'energy', 'inc']",Wed Jul 11 21:16:57 +0000 2018,DJT_stock_tips,NEE,NextEra Energy,,False,5.477142857142858
2734,1017244657066168300,"['nee', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcocpaeyc']",Thu Jul 12 03:10:00 +0000 2018,optioncharts,NEE,NextEra Energy,https://twitter.com/i/web/status/1017244657066168321,False,5.875555555555556
2962,1017340579250917400,"['nextera', 'energy', 'nee', 'holder', 'sentry', 'select', 'capital', 'upped', 'its', 'position', 'by', 'million', 'as', 'market', 'valuation', 'rose', 'as', 'a', 'httpstcotpfxfdm']",Thu Jul 12 09:31:10 +0000 2018,The_CasualSmart,NEE,NextEra Energy,https://twitter.com/i/web/status/1017340579250917376,False,5.84
3294,1017407298128318500,"['tru', 'remains', 'an', 'absolute', 'beast', 'rd', 'largest', 'holding', 'in', 'jensen', 'trust', 'after', 'nee', 'and', 'amzn', 'cost', 'basis', 'of', 'httpstcocdrdklzsm']",Thu Jul 12 13:56:17 +0000 2018,pjj16,NEE,NextEra Energy,https://twitter.com/i/web/status/1017407298128318465,False,5.146666666666666
