,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
8,1019720723441635300,"['senate', 'wants', 'emergency', 'alerts', 'to', 'go', 'out', 'through', 'netflix', 'spotify', 'etc', 'httpstcoyywhblc', 'by', 'grg']",Wed Jul 18 23:09:00 +0000 2018,TechCrunch,NFLX,Netflix,https://tcrn.ch/2L8DsgT,True,5.002
26216,1019690098236055600,"['netflix', 'nflx', 'just', 'released', 'quarterly', 'q', 'quarterly', 'net', 'income', 'increased', 'from', 'm', 'to', 'million', 'httpstcokjywugpjn']",Wed Jul 18 21:07:19 +0000 2018,Feedmeistercom,NFLX,Netflix,,False,5.786153846153846
26223,1019690300187533300,"['rt', 'blackbullforex', 'excluding', 'faang', 'stocks', 'the', 'sampp', 'would', 'be', 'negative', 'bankofamerica', 'just', 'the', 'top', 'stocks', 'amazon', 'microsoft', 'apple', 'and', 'n']",Wed Jul 18 21:08:07 +0000 2018,dexoidan,NFLX,Netflix,,False,5.430666666666665
26236,1019690538398707700,"['rt', 'rampcapitalllc', 'here', 'is', 'where', 'fang', 'was', 'trading', 'the', 'last', 'time', 'the', 'national', 'league', 'won', 'the', 'mlb', 'all', 'star', 'game', 'fb', 'amzn']",Wed Jul 18 21:09:03 +0000 2018,hs_traders,NFLX,Netflix,,False,5.638888888888889
26239,1019690604559851500,"['rt', 'sevenpointscap', 'trader', 'takeaways', 'by', 'krisjoshi', 'focus', 'on', 'spy', 'nflx', 'uvxy', 'ms', 'csx', 'abt', 'and', 'ual', 'httpstconvwyhyaals']",Wed Jul 18 21:09:19 +0000 2018,clovisskyline,NFLX,Netflix,http://youtu.be/MLmX7WMEBVM?a,False,5.04
26241,1019690654383759400,"['nasdaq', 'most', 'volume', 'hmny', 'volume', 'amd', 'volume', 'mu', 'httpstcovliaemh']",Wed Jul 18 21:09:31 +0000 2018,Market_Scanner,NFLX,Netflix,https://twitter.com/i/web/status/1019690654383759361,False,5.580000000000001
26245,1019690745727475700,"['new', 'article', 'on', 'nflx', 'at', 'httpstcowpnwdlxyx', 'today', 'i', 'went', 'over', 'my', 'bullish', 'and', 'bearish', 'trade', 'ideas', 'from', 'a', 'httpstcoplxycr']",Wed Jul 18 21:09:53 +0000 2018,10minutetrading,NFLX,Netflix,https://ift.tt/2zXyoGS,False,5.6985714285714275
26278,1019691305767702500,"['rt', 'watermartyr', 'buyer', 'of', 'clf', 'here', 'oil', 'futures', 'have', 'pulled', 'back', 'to', 'an', 'area', 'of', 'symmetry', 'at', 'the', 'lower', 'range', 'of', 'a', 'channel', 'tight', 'sto']",Wed Jul 18 21:12:06 +0000 2018,Jabato111111,NFLX,Netflix,,False,5.175238095238095
26330,1019692044682498000,"['rt', 'rampcapitalllc', 'here', 'is', 'where', 'fang', 'was', 'trading', 'the', 'last', 'time', 'the', 'national', 'league', 'won', 'the', 'mlb', 'all', 'star', 'game', 'fb', 'amzn']",Wed Jul 18 21:15:03 +0000 2018,c_townsend2,NFLX,Netflix,,False,5.638888888888889
26332,1019692061682012200,"['now', 'offering', 'day', 'free', 'trial', 'to', 'options', 'day', 'trading', 'team', 'room', 'or', 'twtr', 'feed', 'httpstcoqwqsibi', 'fb', 'aapl', 'nflx', 'tsla', 'amzn', 'googl']",Wed Jul 18 21:15:07 +0000 2018,optionalarmchat,NFLX,Netflix,http://ow.ly/bbVr30kY55t,False,5.907142857142858
26356,1019692591678279700,"['rt', 'gscapsf', 'how', 'much', 'youre', 'speculating', 'depends', 'on', 'the', 'implied', 'value', 'in', 'the', 'terminal', 'value', 'not', 'a', 'surprise', 'tsla', 'takes', 'the', 'cake', 'out', 'of', 'la']",Wed Jul 18 21:17:13 +0000 2018,MT__Bigsky,NFLX,Netflix,,False,5.297272727272728
26359,1019692619419578400,"['rt', 'wallstjesus', 'todays', 'active', 'flow', 'nflx', 'bac', 'fb', 'msft', 'aapl', 'msft', 'twtr', 'baba', 'twtr', 'jd', 'nxpi', 'amd', 'jpm', 'mu', 'tsla', 'ms', 'c', 'roku', 'csx']",Wed Jul 18 21:17:20 +0000 2018,FeldbergMt,NFLX,Netflix,,False,5.280000000000001
26379,1019693071456403500,"['rt', 'rampcapitalllc', 'here', 'is', 'where', 'fang', 'was', 'trading', 'the', 'last', 'time', 'the', 'national', 'league', 'won', 'the', 'mlb', 'all', 'star', 'game', 'fb', 'amzn']",Wed Jul 18 21:19:07 +0000 2018,RealBryanWatson,NFLX,Netflix,,False,5.638888888888889
26410,1019693633556140000,"['rt', 'pharris', 'ibd', 'big', 'cap', 'wrank', 'july', 'abmd', 'crm', 'panw', 'twtr', 'algn', 'now', 'fb', 'nflx', 'ilmn', 'ma', 'v', 'lulu', 'adbe', 'googl', 'isrg', 'a']",Wed Jul 18 21:21:21 +0000 2018,hwy183,NFLX,Netflix,,False,5.5555555555555545
26437,1019694105834803200,"['when', 'i', 'try', 'to', 'get', 'in', 'on', 'some', 'hot', 'nflx', 'calls', 'httpstcotegfssms']",Wed Jul 18 21:23:14 +0000 2018,ttttt0mmmmm,NFLX,Netflix,,False,5.4319999999999995
26458,1019694489990905900,"['ms', 'expecting', 'a', 'bac', 'like', 'move', 'when', 'it', 'reported', 'earnings', 'cpah', 'hod', 'didnt', 'come', 'have', 'to', 'exit', 'before', 'the', 'rugpull', 'httpstcogjropgp']",Wed Jul 18 21:24:46 +0000 2018,_Louie__,NFLX,Netflix,https://twitter.com/i/web/status/1019694489990905856,False,5.45875
