,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
5079,1017788764641546200,"['nfx', 'mrunaway', 'offhi', 'alltfs', 'tlm', 'ilm', 'dyvoltxx', 'dyrngxx', 'potlong', 'rv']",Fri Jul 13 15:12:05 +0000 2018,tymorapro,NFX,Newfield Exploration Company,,False,0.0
5086,1017789513362477000,"['notable', 'gainers', 'among', 'liquid', 'option', 'names', 'this', 'morning', 'include', 'nfx', 'bby', 'dvn', 'uri', 'and', 'low']",Fri Jul 13 15:15:04 +0000 2018,OptionAlert,NFX,Newfield Exploration Company,,False,5.4688888888888885
5093,1017789853143060500,"['rt', 'optionalert', 'notable', 'gainers', 'among', 'liquid', 'option', 'names', 'this', 'morning', 'include', 'nfx', 'bby', 'dvn', 'uri', 'and']",Fri Jul 13 15:16:25 +0000 2018,KeeneOnMarket,NFX,Newfield Exploration Company,,False,5.604444444444444
5102,1017791295333568500,"['httpstcossjvmjiz', 'nfx', 'newfield', 'exploration', 'up', 'million', 'gain', 'nfx', 'has', 'made', 'notable', 'gains', 'in', 'o', 'httpstcookodbrczuk']",Fri Jul 13 15:22:09 +0000 2018,42Stocks,NFX,Newfield Exploration Company,http://42stocks.com/sym/nfx.html,False,6.0425
5115,1017794293057155100,"['nfx', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcovauiyqmenl', 'httpstcobdzcugui']",Fri Jul 13 15:34:03 +0000 2018,optioncharts,NFX,Newfield Exploration Company,http://maximum-pain.com/options/max-pain/NFX,False,4.888
5193,1017806806700167200,"['the', 'top', 'five', 'stocks', 'higher', 'at', 'noon', 'today', 'are', 'nfx', 'dvn', 'pcar', 'cxo', 'and', 'ulta']",Fri Jul 13 16:23:47 +0000 2018,Mkt5Challenge,NFX,Newfield Exploration Company,,False,5.6
5212,1017809910409678800,"['heres', 'how', 'analysts', 'see', 'newfield', 'exploration', 'company', 'nfx', 'after', 'this', 'past', 'week', 'httpstcophcrrljoj']",Fri Jul 13 16:36:07 +0000 2018,whatsonthorold2,NFX,Newfield Exploration Company,https://www.whatsonthorold.com/2018/07/13/heres-how-analysts-see-newfield-exploration-company-nysenfx-after-this-past-week/,False,5.13
5213,1017810203058765800,"['how', 'many', 'newfield', 'exploration', 'company', 'nfxs', 'analysts', 'are', 'bearish', 'httpstcofvcztrlu']",Fri Jul 13 16:37:17 +0000 2018,mmahotstuff1,NFX,Newfield Exploration Company,https://www.mmahotstuff.com/2018/07/13/how-many-newfield-exploration-company-nysenfxs-analysts-are-bearish.html,False,5.224
5214,1017810375910330400,"['this', 'is', 'what', 'analysts', 'have', 'to', 'say', 'about', 'newfield', 'exploration', 'company', 'nfx', 'after', 'last', 'week', 'httpstcofbfhkxhxk']",Fri Jul 13 16:37:58 +0000 2018,reurope_stock,NFX,Newfield Exploration Company,https://reurope.com/2018/07/13/this-is-what-analysts-have-to-say-about-newfield-exploration-company-nysenfx-after-last-week/,False,5.075
5215,1017810458470953000,"['discussion', 'stirs', 'around', 'newfield', 'exploration', 'company', 'nfx', 'this', 'week', 'here', 'is', 'what', 'analysts', 'are', 'saying', 'httpstconbilhpqge']",Fri Jul 13 16:38:17 +0000 2018,bibeypost_stock,NFX,Newfield Exploration Company,https://www.bibeypost.com/discussion-stirs-around-newfield-exploration-company-nysenfx-this-week-here-is-what-analysts-are-saying/,False,5.285454545454545
5255,1017817193399177200,"['nfx', 'mrunaway', 'offhi', 'alltfs', 'tlm', 'ilm', 'dyvolmxx', 'dyrngxx', 'potlong', 'rv']",Fri Jul 13 17:05:03 +0000 2018,tymorapro,NFX,Newfield Exploration Company,,False,0.0
5686,1017942338293981200,"['newfield', 'receives', 'a', 'buy', 'from', 'rbc', 'capital', 'nfx', 'httpstcowsdxxwtd']",Sat Jul 14 01:22:20 +0000 2018,ARatings,NFX,Newfield Exploration Company,http://www.analystratings.com/articles/newfield-receives-a-buy-from-rbc-capital/,False,5.75
6843,1018313969235316700,"['newfield', 'exploration', 'nfx', 'rating', 'reiterated', 'by', 'royal', 'bank', 'of', 'canada', 'httpstcoewusczpjm']",Sun Jul 15 01:59:04 +0000 2018,ThisLincolnian,NFX,Newfield Exploration Company,http://thelincolnianonline.com/?p=2182151,False,5.53
6849,1018315362717392900,"['newfield', 'exploration', 'nfx', 'given', 'buy', 'rating', 'at', 'royal', 'bank', 'of', 'canada', 'httpstcooxlgmst']",Sun Jul 15 02:04:36 +0000 2018,WeekHerald,NFX,Newfield Exploration Company,http://weekherald.com/?p=2988893,False,5.640000000000001
6880,1018320724476428300,"['newfield', 'exploration', 'nfx', 'given', 'buy', 'rating', 'at', 'royal', 'bank', 'of', 'canada', 'httpstcozusobgoq']",Sun Jul 15 02:25:54 +0000 2018,MareaInformativ,NFX,Newfield Exploration Company,http://www.mareainformativa.com/?p=444803,False,5.640000000000001
7201,1018382874142298100,"['analyzing', 'newfield', 'exploration', 'nfx', 'amp', 'energen', 'egn', 'httpstcoqsduygzsd']",Sun Jul 15 06:32:52 +0000 2018,TheMarketsDaily,NFX,Newfield Exploration Company,http://zpr.io/6XPiL,False,5.44
