,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
5323,1017829919378890800,"['rt', 'ropatel', 'us', 'spends', 'of', 'gdp', 'on', 'defense', 'germany', 'in', 'soft', 'defense', 'germans', 'offered', 'soft', 'power', 'by', 'lmt']",Fri Jul 13 17:55:37 +0000 2018,salomon69479215,NOC,Northrop Grumman Corporation,,False,5.717142857142858
5327,1017830804217651200,"['industrial', 'and', 'energy', 'companies', 'lift', 'us', 'stocks', 'banks', 'slip', 'lmt', 'wfc', 'jnj', 'jpm', 'utx', 'noc', 'c', 'httpstcompyaupnsu', 'via', 'barchart']",Fri Jul 13 17:59:08 +0000 2018,Barchart,NOC,Northrop Grumman Corporation,https://www.barchart.com/share/news/878721,True,5.441818181818181
5334,1017831442469019600,"['rt', 'rosswilkers', 'here', 'is', 'one', 'measure', 'of', 'retiring', 'northrop', 'ceo', 'wes', 'bushs', 'legacy', 'one', 'of', 'the', 'most', 'shareholderfriendly', 'govcon', 'companies', 'thi']",Fri Jul 13 18:01:40 +0000 2018,jdkathuria,NOC,Northrop Grumman Corporation,,False,5.3
5407,1017848554738606100,"['rt', 'aaronmehta', 'breaking', 'northrop', 'grumman', 'ceo', 'wes', 'bush', 'stepping', 'down', 'jan', 'kathy', 'warden', 'the', 'companys', 'president', 'and', 'chief', 'operating']",Fri Jul 13 19:09:40 +0000 2018,intel_addict,NOC,Northrop Grumman Corporation,,False,5.093333333333333
5412,1017850656403677200,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'erj', 'is', 'httpstcolsanrxwwj', 'utx', 'txt', 'gd', 'noc']",Fri Jul 13 19:18:01 +0000 2018,shortvolumes,NOC,Northrop Grumman Corporation,http://shortvolumes.com/?t=ERJ,False,5.1899999999999995
5492,1017866183473705000,"['noc', 'northrop', 'grumman', 'corp', 'northrop', 'grumman', 'ceo', 'stepping', 'down', 'at', 'end', 'of', 'year', 'as', 'expected', 'coo', 'warden', 'picked', 'as', 's', 'httpstcokbnvhdzaa']",Fri Jul 13 20:19:43 +0000 2018,ResearchPool,NOC,Northrop Grumman Corporation,https://twitter.com/i/web/status/1017866183473704960,False,5.090769230769231
5555,1017881327465476100,"['lmt', 'noc', 'httpstcoweopeepm']",Fri Jul 13 21:19:54 +0000 2018,SeekingAlpha,NOC,Northrop Grumman Corporation,https://seekingalpha.com/article/4187215-lockheed-martin-northrop-grumman-now-better-wealth-builder?source=feed_f,False,0.0
5570,1017886747395547100,"['its', 'friday', 'shakeup', 'a', 'cocktail', 'amp', 'watch', 'somethin', 'a', 'little', 'fun', 'a', 'little', 'different', 'and', 'def', 'worth', 'the', 'calories', 'str', 'httpstcoxnbpudhlg']",Fri Jul 13 21:41:26 +0000 2018,oliviabvoz,NOC,Northrop Grumman Corporation,https://twitter.com/i/web/status/1017886747395547138,False,5.434117647058824
5581,1017888532332007400,"['rt', 'oliviabvoz', 'its', 'friday', 'shakeup', 'a', 'cocktail', 'amp', 'watch', 'somethin', 'a', 'little', 'fun', 'a', 'little', 'different', 'and', 'def', 'worth', 'the', 'calories', 'street', 'smar']",Fri Jul 13 21:48:32 +0000 2018,Sarge986,NOC,Northrop Grumman Corporation,,False,5.405263157894736
5596,1017897206450401300,"['rt', 'oliviabvoz', 'its', 'friday', 'shakeup', 'a', 'cocktail', 'amp', 'watch', 'somethin', 'a', 'little', 'fun', 'a', 'little', 'different', 'and', 'def', 'worth', 'the', 'calories', 'street', 'smar']",Fri Jul 13 22:23:00 +0000 2018,JS3Multimedia,NOC,Northrop Grumman Corporation,,False,5.405263157894736
5603,1017899947503439900,"['rt', 'seekingalpha', 'lmt', 'noc', 'httpstcoweopeepm']",Fri Jul 13 22:33:53 +0000 2018,NewYorkbuffett,NOC,Northrop Grumman Corporation,https://seekingalpha.com/article/4187215-lockheed-martin-northrop-grumman-now-better-wealth-builder?source=feed_f,False,4.88
5706,1017946319128809500,"['rt', 'rosswilkers', 'here', 'is', 'one', 'measure', 'of', 'retiring', 'northrop', 'ceo', 'wes', 'bushs', 'legacy', 'one', 'of', 'the', 'most', 'shareholderfriendly', 'govcon', 'companies', 'thi']",Sat Jul 14 01:38:09 +0000 2018,FedBizWBJ,NOC,Northrop Grumman Corporation,,False,5.3
