,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3702,1017467127840886800,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'nov', 'at', 'is', 'httpstcokpvewdje', 'nr', 'drq', 'mdr', 'slb']",Thu Jul 12 17:54:01 +0000 2018,shortvolumes,NOV,National Oilwell Varco,http://shortvolumes.com/?t=NOV,False,5.223999999999999
4570,1017686317914902500,"['citigroup', 'boosts', 'nationaloilwell', 'varco', 'nov', 'price', 'target', 'to', 'httpstcoxerbvhzf']",Fri Jul 13 08:25:00 +0000 2018,ConsumerFeed,NOV,National Oilwell Varco,http://zpr.io/6aBaU,False,5.195
4762,1017738334997745700,"['adding', 'save', 'and', 'nov', 'in', 'the', 'portfolio', 'too', 'many', 'things', 'to', 'like', 'httpstcovmjdviveh']",Fri Jul 13 11:51:42 +0000 2018,Dhandho1,NOV,National Oilwell Varco,https://twitter.com/dhandho1/status/1010882413180973058,False,5.695
5605,1017900487272816600,"['short', 'sale', 'volumenot', 'short', 'interest', 'for', 'slb', 'on', 'is', 'httpstcohmubscnsl', 'oii', 'nov', 'ckh', 'hal']",Fri Jul 13 22:36:02 +0000 2018,shortvolumes,NOV,National Oilwell Varco,http://shortvolumes.com/?t=SLB,False,5.4075
5704,1017945785042948100,"['short', 'sale', 'volumenot', 'short', 'interest', 'for', 'res', 'on', 'is', 'httpstcofsnyo', 'hal', 'pkd', 'nov', 'slb']",Sat Jul 14 01:36:02 +0000 2018,shortvolumes,NOV,National Oilwell Varco,http://shortvolumes.com/?t=RES,False,5.333333333333333
5833,1018056009959473200,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'xrt', 'at', 'is', 'httpstcogurankmcce', 'ua', 'atvi', 'nov', 'jnk']",Sat Jul 14 08:54:01 +0000 2018,shortvolumes,NOV,National Oilwell Varco,http://shortvolumes.com/?t=XRT,False,5.223999999999999
6120,1018134397223096300,"['susquehanna', 'remains', 'a', 'hold', 'on', 'nationaloilwell', 'nov', 'httpstcojlrnnnqr']",Sat Jul 14 14:05:30 +0000 2018,ARatings,NOV,National Oilwell Varco,http://www.analystratings.com/articles/susquehanna-remains-a-hold-on-national-oilwell/,False,5.272
6820,1018307965999185900,"['nov', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcotzqzpvfce', 'httpstcoeyvzmnlwjo']",Sun Jul 15 01:35:12 +0000 2018,optioncharts,NOV,National Oilwell Varco,http://maximum-pain.com/options/open-interest/NOV,False,5.562222222222221
7037,1018355029160415200,"['baker', 'hughes', 'a', 'ge', 'bhge', 'vs', 'nationaloilwell', 'varco', 'nov', 'headtohead', 'contrast', 'httpstcozhygyglqun']",Sun Jul 15 04:42:13 +0000 2018,TheMarketsDaily,NOV,National Oilwell Varco,http://zpr.io/6NVbY,False,5.300000000000001
7088,1018363898586714100,"['nationaloilwell', 'varco', 'inc', 'nov', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcogorjudoxt']",Sun Jul 15 05:17:28 +0000 2018,ThisLincolnian,NOV,National Oilwell Varco,http://thelincolnianonline.com/?p=2182703,False,5.642222222222222
7447,1018420203514810400,"['meepmeeptrader', 'moneyma', 'paratweet', 'i', 'have', 'ze', 'list', 'acl', 'bpg', 'chp', 'dcc', 'ffg', 'fgf', 'ici', 'kyk', 'mbm', 'nov', 'ook', 'rfn', 'sr', 'sho', 'zyb']",Sun Jul 15 09:01:12 +0000 2018,MasterDebaterHC,NOV,National Oilwell Varco,,False,5.2525
7466,1018422709208928300,"['nationaloilwell', 'varco', 'nov', 'price', 'target', 'increased', 'to', 'by', 'analysts', 'at', 'citigroup', 'httpstcopfarxhbog']",Sun Jul 15 09:11:09 +0000 2018,OlympiaReport,NOV,National Oilwell Varco,http://theolympiareport.com/?p=924791,False,5.257499999999999
7467,1018422876989542400,"['nationaloilwell', 'varco', 'nov', 'price', 'target', 'increased', 'to', 'by', 'analysts', 'at', 'citigroup', 'httpstcotubyyfnwa']",Sun Jul 15 09:11:49 +0000 2018,dispatchtribune,NOV,National Oilwell Varco,http://dispatchtribunal.com/?p=2054066,False,5.257499999999999
7573,1018441327984496600,"['nationaloilwell', 'varco', 'inc', 'nov', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcogfnpnsalpv']",Sun Jul 15 10:25:08 +0000 2018,MareaInformativ,NOV,National Oilwell Varco,http://www.mareainformativa.com/?p=447323,False,5.62
7574,1018441524156227600,"['nationaloilwell', 'varco', 'inc', 'nov', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcotnoidsk']",Sun Jul 15 10:25:55 +0000 2018,EnterpriseLeade,NOV,National Oilwell Varco,http://theenterpriseleader.com/?p=986570,False,5.62
8478,1018571675787505700,"['nationaloilwell', 'varco', 'inc', 'nov', 'receives', 'consensus', 'pt', 'from', 'analysts', 'httpstcodnlbcgkzb']",Sun Jul 15 19:03:06 +0000 2018,MareaInformativ,NOV,National Oilwell Varco,http://www.mareainformativa.com/?p=452128,False,5.352857142857142
8483,1018572460197806100,"['nationaloilwell', 'varco', 'inc', 'nov', 'receives', 'consensus', 'pt', 'from', 'analysts', 'httpstcodkplrg']",Sun Jul 15 19:06:13 +0000 2018,OlympiaReport,NOV,National Oilwell Varco,http://theolympiareport.com/?p=926324,False,5.352857142857142
8493,1018574130285867000,"['nationaloilwell', 'varco', 'inc', 'nov', 'receives', 'consensus', 'price', 'target', 'from', 'brokerages', 'httpstcorficqqtyo']",Sun Jul 15 19:12:51 +0000 2018,WeekHerald,NOV,National Oilwell Varco,http://weekherald.com/?p=2992111,False,5.412857142857143
8547,1018582347766272000,"['nationaloilwell', 'varco', 'inc', 'nov', 'receives', 'consensus', 'pt', 'from', 'brokerages', 'httpstcopwzozqgi']",Sun Jul 15 19:45:30 +0000 2018,ledgerzette,NOV,National Oilwell Varco,http://ledgergazette.com/?p=2828168,False,5.408333333333334
8549,1018582799463473200,"['nationaloilwell', 'varco', 'inc', 'nov', 'given', 'average', 'rating', 'of', 'hold', 'by', 'brokerages', 'httpstcopctxvwdsh']",Sun Jul 15 19:47:18 +0000 2018,dakotafinancial,NOV,National Oilwell Varco,http://dakotafinancialnews.com/?p=319919,False,5.2675
8613,1018596383618560000,"['institutional', 'investors', 'pronational', 'oilwell', 'varco', 'inc', 'nov', 'sentiment', 'in', 'q', 'httpstcofsldivvh']",Sun Jul 15 20:41:17 +0000 2018,whatsonthorold2,NOV,National Oilwell Varco,https://www.whatsonthorold.com/2018/07/15/institutional-investors-pro-national-oilwell-varco-inc-nysenov-sentiment-in-2018-q1/,False,5.154285714285714
8614,1018596481769582600,"['national', 'oilwell', 'varco', 'inc', 'nov', 'institutional', 'investor', 'sentiment', 'analysis', 'httpstcoebareiywz']",Sun Jul 15 20:41:40 +0000 2018,mmahotstuff1,NOV,National Oilwell Varco,https://www.mmahotstuff.com/2018/07/15/national-oilwell-varco-inc-nysenov-institutional-investor-sentiment-analysis.html,False,5.457142857142856
8617,1018596702062895100,"['institutional', 'investor', 'sentiment', 'about', 'national', 'oilwell', 'varco', 'inc', 'nov', 'increased', 'httpstcoauwhmpiz']",Sun Jul 15 20:42:33 +0000 2018,reurope_stock,NOV,National Oilwell Varco,https://reurope.com/2018/07/15/institutional-investor-sentiment-about-national-oilwell-varco-inc-nysenov-increased/,False,5.492500000000001
8620,1018596844790743000,"['national', 'oilwell', 'varco', 'inc', 'nov', 'institutional', 'investors', 'sentiment', 'index', 'increased', 'in', 'q', 'httpstcodtehok']",Sun Jul 15 20:43:07 +0000 2018,bibeypost_stock,NOV,National Oilwell Varco,https://www.bibeypost.com/national-oilwell-varco-inc-nysenov-institutional-investors-sentiment-index-increased-in-2018-q1/,False,5.390000000000001
8683,1018616200190922800,"['short', 'sale', 'volumenot', 'short', 'interest', 'for', 'slb', 'on', 'is', 'httpstcohmubscnsl', 'nov', 'oii', 'hal', 'aroc']",Sun Jul 15 22:00:01 +0000 2018,shortvolumes,NOV,National Oilwell Varco,http://shortvolumes.com/?t=SLB,False,5.4075
8768,1018637985133178900,"['nov', 'revenue', 'growth', 'quarter', 'on', 'quarter', 'and', 'higher', 'than', 'same', 'quarter', 'last', 'year', 'novattis', 'payment', 'channel', 'httpstcohswmzbnw']",Sun Jul 15 23:26:35 +0000 2018,mzolloBY,NOV,National Oilwell Varco,https://twitter.com/i/web/status/1018637985133178880,False,5.473333333333333
8890,1018671758839169000,"['novatti', 'novax', 'nov', 'k', 'c', 'ma', 'c', 'vol', 'k', 'av', 'k', 'soi', 'm', 'lm', 'mc', 'm', 'httpstcochujgkc']",Mon Jul 16 01:40:47 +0000 2018,ShaMktAn,NOV,National Oilwell Varco,https://twitter.com/i/web/status/1018671758839169024,False,5.151666666666667
9431,1018827225959936000,"['analyzing', 'baker', 'hughes', 'a', 'ge', 'bhge', 'and', 'nationaloilwell', 'varco', 'nov', 'httpstcogmnbndz']",Mon Jul 16 11:58:34 +0000 2018,EnterpriseLeade,NOV,National Oilwell Varco,http://theenterpriseleader.com/?p=989776,False,5.496
11260,1018943516066697200,"['were', 'analysts', 'bullish', 'national', 'oilwell', 'varco', 'inc', 'nov', 'this', 'week', 'httpstcokyxjiwis']",Mon Jul 16 19:40:39 +0000 2018,whatsonthorold2,NOV,National Oilwell Varco,https://www.whatsonthorold.com/2018/07/16/were-analysts-bullish-national-oilwell-varco-inc-nysenov-this-week/,False,5.162857142857143
11261,1018943673122377700,"['are', 'analysts', 'bearish', 'national', 'oilwell', 'varco', 'inc', 'nov', 'after', 'last', 'week', 'httpstcoxqzxiztl']",Mon Jul 16 19:41:17 +0000 2018,mmahotstuff1,NOV,National Oilwell Varco,https://www.mmahotstuff.com/2018/07/16/are-analysts-bearish-national-oilwell-varco-inc-nysenov-after-last-week.html,False,5.025
11264,1018943980506112000,"['analysts', 'take', 'a', 'look', 'at', 'national', 'oilwell', 'varco', 'inc', 'nov', 'having', 'this', 'to', 'say', 'httpstcowtujfdqpm']",Mon Jul 16 19:42:30 +0000 2018,bibeypost_stock,NOV,National Oilwell Varco,https://www.bibeypost.com/analysts-take-a-look-at-national-oilwell-varco-inc-nysenov-having-this-to-say/,False,5.28
