,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
8114,1018524111813922800,"['nrg', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcosuajnouev', 'httpstcoiwgsmvzv']",Sun Jul 15 15:54:06 +0000 2018,optioncharts,NRG,NRG Energy,http://maximum-pain.com/options/max-pain/NRG,False,4.888
8334,1018554097128169500,"['its', 'been', 'a', 'crucial', 'week', 'for', 'nrg', 'energy', 'inc', 'nrg', 'heres', 'what', 'analysts', 'have', 'to', 'say', 'httpstcosxljoeqgi']",Sun Jul 15 17:53:15 +0000 2018,mmahotstuff1,NRG,NRG Energy,https://www.mmahotstuff.com/2018/07/15/its-been-a-crucial-week-for-nrg-energy-inc-nysenrg-heres-what-analysts-have-to-say.html,False,5.241538461538462
8338,1018554379983614000,"['how', 'analysts', 'rated', 'nrg', 'energy', 'inc', 'nrg', 'last', 'week', 'httpstcorngandqpyx']",Sun Jul 15 17:54:22 +0000 2018,reurope_stock,NRG,NRG Energy,https://reurope.com/2018/07/15/how-analysts-rated-nrg-energy-inc-nysenrg-last-week/,False,5.134285714285714
8339,1018554544547160000,"['how', 'analysts', 'rated', 'nrg', 'energy', 'inc', 'nrg', 'last', 'week', 'httpstcoxyodajqgy']",Sun Jul 15 17:55:01 +0000 2018,bibeypost_stock,NRG,NRG Energy,https://www.bibeypost.com/how-analysts-rated-nrg-energy-inc-nysenrg-last-week/,False,5.134285714285714
8570,1018590152002818000,"['us', 'momentum', 'weekly', 'gpc', 'ulta', 'fast', 'ca', 'msm', 'avgo', 'cc', 'mksi', 'nrg', 'hcsg', 'httpstconmzqdfdst']",Sun Jul 15 20:16:31 +0000 2018,StockViz,NRG,NRG Energy,http://mondo.stockviz.biz/momentum-dashboard,False,5.628
8687,1018616739108720600,"['rt', 'energicrypto', 'the', 'energi', 'earndrop', 'is', 'live', 'early', 'participants', 'get', 'the', 'most', 'so', 'join', 'now', 'earn', 'up', 'to', 'free', 'nrg', 'for', 'following', 'us', 'and', 'l']",Sun Jul 15 22:02:10 +0000 2018,MrHolderNews,NRG,NRG Energy,,False,5.8
9384,1018822162793279500,"['rt', 'energicrypto', 'the', 'energi', 'earndrop', 'is', 'live', 'early', 'participants', 'get', 'the', 'most', 'so', 'join', 'now', 'earn', 'up', 'to', 'free', 'nrg', 'for', 'following', 'us', 'and', 'l']",Mon Jul 16 11:38:27 +0000 2018,samuel_omali,NRG,NRG Energy,,False,5.8
9464,1018828973080502300,"['nrg', 'carson', 'wentz', 'signs', 'for', 'a', 'second', 'season', 'with', 'nrg', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 16 12:05:30 +0000 2018,Allstocknews,NRG,NRG Energy,,False,5.538181818181818
9835,1018853899934019600,"['rt', 'energicrypto', 'the', 'energi', 'earndrop', 'is', 'live', 'early', 'participants', 'get', 'the', 'most', 'so', 'join', 'now', 'earn', 'up', 'to', 'free', 'nrg', 'for', 'following', 'us', 'and', 'l']",Mon Jul 16 13:44:33 +0000 2018,sherazs49200476,NRG,NRG Energy,,False,5.8
9926,1018857636723388400,"['rt', 'energicrypto', 'the', 'energi', 'earndrop', 'is', 'live', 'early', 'participants', 'get', 'the', 'most', 'so', 'join', 'now', 'earn', 'up', 'to', 'free', 'nrg', 'for', 'following', 'us', 'and', 'l']",Mon Jul 16 13:59:24 +0000 2018,Iam_JeffLartey,NRG,NRG Energy,,False,5.8
