,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
19,1019733841370669000,"['only', 'two', 'northern', 'white', 'rhinos', 'still', 'exist', 'making', 'it', 'the', 'worlds', 'most', 'endangered', 'subspecies', 'of', 'mammal', 'httpstcowejufervx']",Thu Jul 19 00:01:08 +0000 2018,TheEconomist,NTRS,Northern,https://econ.st/2L6bjHz,True,5.541666666666668
19521,1019543268911210500,"['share', 'repurchase', 'program', 'authorized', 'by', 'northern', 'trust', 'ntrs', 'httpstcoqitiieusn']",Wed Jul 18 11:23:52 +0000 2018,ThisLincolnian,NTRS,Northern Trust Corporation,http://thelincolnianonline.com/?p=2191133,False,5.973333333333334
19567,1019545052740313100,"['ntrs', 'q', 'earnings', 'release', 'is', 'out', 'conference', 'call', 'today', 'at', 'am', 'ct', 'am', 'et', 'see', 'httpstcohefjut']",Wed Jul 18 11:30:57 +0000 2018,NorthernTrust,NTRS,Northern Trust Corporation,https://ntw.lt/2NWrl4x,True,5.484285714285714
19579,1019545288715800600,"['northern', 'trust', 'beats', 'by', 'beats', 'on', 'revenue', 'httpstcoddpdzhdz', 'premarket', 'ntrs']",Wed Jul 18 11:31:53 +0000 2018,MarketCurrents,NTRS,Northern Trust Corporation,https://seekingalpha.com/news/3370958-northern-trust-beats-0_05-beats-revenue?source=feed_f,False,5.5
19625,1019547212110549000,"['ntrs', 'beats', 'by', 'httpstcowevqovon']",Wed Jul 18 11:39:32 +0000 2018,Briefingcom,NTRS,Northern Trust Corporation,http://bit.ly/2NnzuxI,False,4.69
19652,1019548019052695600,"['ntrs', 'reported', 'earnings', 'of', 'consensus', 'was', 'earnings', 'whisper', 'was', 'via', 'ewhispers', 'whisperbeat', 'httpstcohxyokuyjgc']",Wed Jul 18 11:42:44 +0000 2018,EPSGUID,NTRS,Northern Trust Corporation,http://eps.sh/d/ntrs,False,5.7155555555555555
19661,1019548361022758900,"['ntrs', 'reports', 'fq', 'earnings', 'of', 'eps', 'and', 'b', 'revs', 'httpstcogcyovjd']",Wed Jul 18 11:44:06 +0000 2018,Estimize,NTRS,Northern Trust Corporation,http://www.estimize.com/ntrs/fq2-2018?utm_content=release_actuals&utm_medium=tweet&utm_source=twitter,True,5.504
19662,1019548362897489900,"['ntrs', 'beats', 'the', 'estimize', 'eps', 'consensus', 'by', 'c', 'and', 'the', 'estimize', 'revenue', 'consensus', 'by', 'm', 'reports', 'fq', 'earnings', 'of', 'httpstcotgegyhz']",Wed Jul 18 11:44:06 +0000 2018,Estimize,NTRS,Northern Trust Corporation,https://twitter.com/i/web/status/1019548362897489920,True,5.402857142857143
19664,1019548369734328300,"['the', 'most', 'accurate', 'ntrs', 'estimate', 'is', 'from', 'billb', 'beating', 'other', 'analysts', 'and', 'the', 'wall', 'street', 'consensus', 'httpstconwnwmabvmp']",Wed Jul 18 11:44:08 +0000 2018,Estimize,NTRS,Northern Trust Corporation,http://www.estimize.com/ntrs/fq2-2018?utm_content=release_winner&utm_medium=tweet&utm_source=twitter,True,5.210714285714286
19674,1019548529444958200,"['ntrs', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcooeobrkovp']",Wed Jul 18 11:44:46 +0000 2018,optioncharts,NTRS,Northern Trust Corporation,https://twitter.com/i/web/status/1019548529444958208,False,5.9975000000000005
