,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
149,1016236364621377500,"['nuance', 'communications', 'nuan', 'upgraded', 'by', 'valuengine', 'to', 'sell', 'httpstcojpnxfvjd']",Mon Jul 09 08:23:24 +0000 2018,TickerReport,NUAN,Nuance Communications,http://tickerreport.com/?p=3623882,False,5.315
150,1016236443767894000,"['nuance', 'communications', 'nuan', 'upgraded', 'by', 'valuengine', 'to', 'sell', 'httpstcosprklds']",Mon Jul 09 08:23:43 +0000 2018,WatchlistN,NUAN,Nuance Communications,http://zpr.io/6TReA,False,5.315
309,1016315938134741000,"['nuan', 'into', 'the', 'gap', 's', 'on', 'deck']",Mon Jul 09 13:39:36 +0000 2018,fatcoin88,NUAN,Nuance Communications,,False,5.163333333333333
365,1016336227849523200,"['nuan', 'hod']",Mon Jul 09 15:00:13 +0000 2018,fatcoin88,NUAN,Nuance Communications,,False,0.0
366,1016336503050588200,"['nuan', 'jul', 'calls', 'at', 'k', 'swept']",Mon Jul 09 15:01:19 +0000 2018,OptionsMike,NUAN,Nuance Communications,,False,5.095
719,1016487170868211700,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'fxi', 'at', 'is', 'httpstcokkqzlnouhe', 'emr', 'nuan', 'mnk', 'sco']",Tue Jul 10 01:00:01 +0000 2018,shortvolumes,NUAN,Nuance Communications,http://shortvolumes.com/?t=FXI,False,5.199999999999999
1045,1016665834524115000,"['nuan', 'nuance', 'communication', 'stocks', 'stockstowatch', 'httpstcotlnwxeyd', 'httpstcorckbqnxl']",Tue Jul 10 12:49:58 +0000 2018,totalinvestor1,NUAN,Nuance Communications,http://totalinvestor.blogspot.com/,False,5.9399999999999995
1068,1016670920465961000,"['whats', 'in', 'nuance', 'communications', 'inc', 'nuan', 'after', 'decline', 'in', 'shorted', 'shares', 'httpstcoimxbbxbwt']",Tue Jul 10 13:10:10 +0000 2018,whatsonthorold2,NUAN,Nuance Communications,https://www.whatsonthorold.com/2018/07/10/whats-in-nuance-communications-inc-nasdaqnuan-after-decline-in-shorted-shares/,False,5.14
1072,1016671148589879300,"['nuance', 'communications', 'inc', 'nuans', 'stock', 'is', 'buy', 'after', 'less', 'market', 'selling', 'httpstcoxxecgnkmf']",Tue Jul 10 13:11:05 +0000 2018,reurope_stock,NUAN,Nuance Communications,https://reurope.com/2018/07/10/nuance-communications-inc-nasdaqnuans-stock-is-buy-after-less-market-selling/,False,5.444444444444445
1073,1016671238499037200,"['nuance', 'communications', 'inc', 'nuans', 'stock', 'is', 'buy', 'after', 'less', 'market', 'selling', 'httpstcorirgzbxi']",Tue Jul 10 13:11:26 +0000 2018,bibeypost_stock,NUAN,Nuance Communications,https://www.bibeypost.com/nuance-communications-inc-nasdaqnuans-stock-is-buy-after-less-market-selling/,False,5.444444444444445
2055,1017043232646221800,"['nuance', 'communications', 'nuan', 'upgraded', 'at', 'zacks', 'investment', 'research', 'httpstcoovdkixsje']",Wed Jul 11 13:49:37 +0000 2018,TranscriptDaily,NUAN,Nuance Communications,http://zpr.io/6aY35,False,5.75
2259,1017084269913665500,"['nuan', 'tightening', 'for', 'a', 'break', 'above']",Wed Jul 11 16:32:41 +0000 2018,fatcoin88,NUAN,Nuance Communications,,False,5.365
2387,1017118474869624800,"['guyadami', 'nuan', 'on', 'its', 'way']",Wed Jul 11 18:48:36 +0000 2018,fatcoin88,NUAN,Nuance Communications,,False,5.253333333333333
3089,1017370057645744100,"['traders', 'buy', 'high', 'volume', 'of', 'put', 'options', 'on', 'nuance', 'communications', 'nuan', 'httpstcoyonktya']",Thu Jul 12 11:28:18 +0000 2018,WeekHerald,NUAN,Nuance Communications,http://weekherald.com/?p=2985456,False,5.764444444444446
3092,1017370861198770200,"['traders', 'buy', 'high', 'volume', 'of', 'put', 'options', 'on', 'nuance', 'communications', 'nuan', 'httpstcosuloothf']",Thu Jul 12 11:31:29 +0000 2018,ThisLincolnian,NUAN,Nuance Communications,http://thelincolnianonline.com/?p=2178720,False,5.764444444444446
3211,1017397539610529800,"['investors', 'purchase', 'large', 'volume', 'of', 'nuance', 'communications', 'put', 'options', 'nuan', 'httpstcoxqrgrzekn']",Thu Jul 12 13:17:30 +0000 2018,EnterpriseLeade,NUAN,Nuance Communications,http://theenterpriseleader.com/?p=982016,False,5.715
3259,1017402775729328100,"['nuance', 'communications', 'nuan', 'stock', 'rating', 'upgraded', 'by', 'zacks', 'investment', 'research', 'httpstcocsgasdzim']",Thu Jul 12 13:38:18 +0000 2018,TheMarketsDaily,NUAN,Nuance Communications,http://zpr.io/6a5tH,False,5.736666666666667
3386,1017417543986786300,"['nuan', 'magnet', 'to', 'dma']",Thu Jul 12 14:36:59 +0000 2018,fatcoin88,NUAN,Nuance Communications,,False,4.98
3519,1017438473530339300,"['analysts', 'are', 'on', 'the', 'bearish', 'side', 'about', 'nuance', 'communications', 'inc', 'nuan', 'this', 'week', 'httpstcoekynckdc']",Thu Jul 12 16:00:09 +0000 2018,whatsonthorold2,NUAN,Nuance Communications,https://www.whatsonthorold.com/2018/07/12/analysts-are-on-the-bearish-side-about-nuance-communications-inc-nasdaqnuan-this-week/,False,5.166
3521,1017438639511531500,"['are', 'analysts', 'bearish', 'nuance', 'communications', 'inc', 'nuan', 'after', 'last', 'week', 'httpstcohhlxnhk']",Thu Jul 12 16:00:49 +0000 2018,mmahotstuff1,NUAN,Nuance Communications,https://www.mmahotstuff.com/2018/07/12/are-analysts-bearish-nuance-communications-inc-nasdaqnuan-after-last-week.html,False,4.942857142857143
3526,1017439650384941000,"['how', 'many', 'nuance', 'communications', 'inc', 'nuans', 'analysts', 'are', 'bullish', 'httpstcouznxzdhnh']",Thu Jul 12 16:04:50 +0000 2018,reurope_stock,NUAN,Nuance Communications,https://reurope.com/2018/07/12/how-many-nuance-communications-inc-nasdaqnuans-analysts-are-bullish/,False,5.2
3527,1017439745150980100,"['how', 'many', 'nuance', 'communications', 'inc', 'nuans', 'analysts', 'are', 'bullish', 'httpstcoxbijcptrbr']",Thu Jul 12 16:05:13 +0000 2018,bibeypost_stock,NUAN,Nuance Communications,https://www.bibeypost.com/how-many-nuance-communications-inc-nasdaqnuans-analysts-are-bullish/,False,5.2
3715,1017468858393743400,"['midday', 'highest', 'trading', 'range', 'compared', 'to', 'open', 'min', 'amp', 'vol', 'gt', 'k', 'mtch', 'nok', 'csco', 'bzun', 'httpstcomeknbnoavd']",Thu Jul 12 18:00:54 +0000 2018,15minofPham,NUAN,Nuance Communications,https://twitter.com/i/web/status/1017468858393743360,False,5.474545454545454
4030,1017520458839789600,"['httpstcottmccvzl', 'nuan', 'nuance', 'communications', 'up', 'million', 'gain', 'nuan', 'has', 'made', 'notable', 'gains', 'in', 'httpstcowrexynjei']",Thu Jul 12 21:25:56 +0000 2018,42Stocks,NUAN,Nuance Communications,http://42stocks.com/sym/nuan.html,False,6.15
4232,1017570123971027000,"['nuan', 'back', 'to', 'where', 'it', 'was', 'before', 'earnings', 'lets', 'see', 'if', 'it', 'holds', 'these', 'gains']",Fri Jul 13 00:43:17 +0000 2018,FranksterOC,NUAN,Nuance Communications,,False,5.432857142857143
