,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
77,1016149674204586000,"['possible', 'plays', 'sgmo', 'txmd', 'abus', 'vktx', 'ecyt', 'vstm', 'sgyp', 'trvn', 'nvax', 'opk', 'ocul', 'gern', 'vrx', 'tsro', 'akao', 'lets', 'see', 'what', 'i', 'pick', 'follow']",Mon Jul 09 02:38:56 +0000 2018,AceAnalyst,NVAX,Novavax,,False,5.8225
171,1016256221228257300,"['novavax', 'nvax', 'and', 'editas', 'medicine', 'edit', 'headtohead', 'contrast', 'httpstcocidwmpndj']",Mon Jul 09 09:42:18 +0000 2018,OlympiaReport,NVAX,Novavax,http://theolympiareport.com/?p=912976,False,5.15
172,1016256494273204200,"['reviewing', 'editas', 'medicine', 'edit', 'amp', 'novavax', 'nvax', 'httpstcotfnwfwtbl']",Mon Jul 09 09:43:24 +0000 2018,WeekHerald,NVAX,Novavax,http://weekherald.com/?p=2978806,False,5.293333333333334
179,1016262896005738500,"['novavax', 'inc', 'nvax', 'stock', 'live', 'analysis', 'investing', 'httpstcouvwdgyiyay']",Mon Jul 09 10:08:50 +0000 2018,GerryRichards78,NVAX,Novavax,http://dlvr.it/QZxbP1,False,5.852
291,1016310509438718000,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'nvax', 'at', 'is', 'httpstcolrimbfgfi', 'gsk', 'cldx', 'azn', 'achn']",Mon Jul 09 13:18:02 +0000 2018,shortvolumes,NVAX,Novavax,http://shortvolumes.com/?t=NVAX,False,5.199999999999999
347,1016332191700344800,"['rt', 'weekherald', 'reviewing', 'editas', 'medicine', 'edit', 'amp', 'novavax', 'nvax', 'httpstcotfnwfwtbl']",Mon Jul 09 14:44:11 +0000 2018,tabuhasna,NVAX,Novavax,http://weekherald.com/?p=2978806,False,5.19
348,1016332205663162400,"['rt', 'olympiareport', 'novavax', 'nvax', 'and', 'editas', 'medicine', 'edit', 'headtohead', 'contrast', 'httpstcocidwmpndj']",Mon Jul 09 14:44:15 +0000 2018,tabuhasna,NVAX,Novavax,http://theolympiareport.com/?p=912976,False,5.096
490,1016379379683913700,"['rdgl', 'lowfloat', 'million', 'os', 'shmn', 'lvgi', 'haon', 'vmgi', 'sigo', 'cbri', 'blta', 'jnsh', 'uoip', 'wofa', 'vape', 'gmer', 'httpstcoeokydms']",Mon Jul 09 17:51:42 +0000 2018,aaaamhim,NVAX,Novavax,https://twitter.com/i/web/status/1016379379683913730,False,5.726666666666667
654,1016447016086356000,"['top', 'shorted', 'stocks', 'cbl', 'nvax', 'bkln', 'httpstcoyubengocwu']",Mon Jul 09 22:20:27 +0000 2018,ShortStockVolum,NVAX,Novavax,http://shortstockvolume.com/TopShortedStocks/07-09-2018,False,6.0600000000000005
655,1016447027398336500,"['top', 'shorted', 'stocks', 'nvax', 'bkln', 'gfi', 'xli', 'orcl', 'near']",Mon Jul 09 22:20:30 +0000 2018,ShortStockVolum,NVAX,Novavax,,False,5.946666666666666
