,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
53,1016118744890867700,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'ijr', 'on', 'is', 'httpstcosjqeevueqm', 'sens', 'dvn', 'xly', 'odp']",Mon Jul 09 00:36:02 +0000 2018,shortvolumes,ODP,Office Depot,http://shortvolumes.com/?t=IJR,False,5.273333333333333
95,1016187912180777000,"['reverse', 'merger', 'tweet', 'pten', 'nwl', 'tjx', 'epd', 'tbt', 'ne', 'tal', 'spxs', 'mxim', 'well', 'mmm', 'src', 'csx', 'kbr', 'mhk', 'odp', 'mhk', 'src', 'httpstcopfdocawb']",Mon Jul 09 05:10:52 +0000 2018,OneOClockDrop,ODP,Office Depot,https://twitter.com/i/web/status/1016187912180776960,False,5.357142857142857
97,1016191357319143400,"['rt', 'oneoclockdrop', 'reverse', 'merger', 'tweet', 'pten', 'nwl', 'tjx', 'epd', 'tbt', 'ne', 'tal', 'spxs', 'mxim', 'well', 'mmm', 'src', 'csx', 'kbr', 'mhk', 'odp', 'mhk', 'src', 'pep']",Mon Jul 09 05:24:34 +0000 2018,jnybgood2000,ODP,Office Depot,,False,5.2975
169,1016254638113329200,"['short', 'sale', 'vol', 'not', 'short', 'interest', 'for', 'odp', 'on', 'is', 'httpstcomiirqowb', 'key', 'brzu', 'xly', 'amc']",Mon Jul 09 09:36:01 +0000 2018,shortvolumes,ODP,Office Depot,http://shortvolumes.com/?t=ODP,False,5.3
339,1016328714764914700,"['office', 'depot', 'inc', 'odp', 'receives', 'average', 'rating', 'of', 'hold', 'from', 'analysts', 'httpstcoudkqer']",Mon Jul 09 14:30:22 +0000 2018,ZolmaxNews,ODP,Office Depot,http://zolmax.com/?p=2370991,False,5.259
342,1016329567349497900,"['office', 'depot', 'inc', 'odp', 'receives', 'consensus', 'recommendation', 'of', 'hold', 'from', 'analysts', 'httpstcoguxoznxs']",Mon Jul 09 14:33:46 +0000 2018,dailypoliticaln,ODP,Office Depot,http://www.dailypolitical.com/?p=2190949,False,5.336666666666667
344,1016330105549967400,"['rt', 'oneoclockdrop', 'reverse', 'merger', 'tweet', 'pten', 'nwl', 'tjx', 'epd', 'tbt', 'ne', 'tal', 'spxs', 'mxim', 'well', 'mmm', 'src', 'csx', 'kbr', 'mhk', 'odp', 'mhk', 'src', 'pep']",Mon Jul 09 14:35:54 +0000 2018,BeefEnt,ODP,Office Depot,,False,5.2975
522,1016392385763336200,"['remember', 'cdix', 'its', 'time', 'to', 'look', 'again', 'news', 'imminent', 'pten', 'nwl', 'tjx', 'epd', 'tbt', 'ne', 'tal', 'spxs', 'mxim', 'well', 'mmm', 'httpstcofjbdoiwl']",Mon Jul 09 18:43:23 +0000 2018,OneOClockDrop,ODP,Office Depot,https://twitter.com/i/web/status/1016392385763336192,False,5.552727272727273
652,1016445500076318700,"['is', 'the', 'supply', 'chain', 'for', 'costco', 'office', 'depot', 'and', 'walmart', 'so', 'bad', 'that', 'they', 'really', 'have', 'back', 'to', 'school', 'items', 'and', 'sal', 'httpstcocsjbndai']",Mon Jul 09 22:14:26 +0000 2018,bryanvezina,ODP,Office Depot,https://twitter.com/i/web/status/1016445500076318721,False,5.205000000000001
836,1016565437696487400,"['office', 'depot', 'odp', 'stock', 'rating', 'upgraded', 'by', 'bidaskclub', 'httpstcoczbhoccy']",Tue Jul 10 06:11:01 +0000 2018,ThisLincolnian,ODP,Office Depot,http://thelincolnianonline.com/?p=2173405,False,5.32
