,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
121,1016215554338840600,"['rt', 'seekingalpha', 'bwp', 'ns', 'smlp', 'mmp', 'bpl', 'bkep', 'ceqp', 'nsh', 'pagp', 'oke', 'semg', 'tge', 'enb', 'ipplf', 'ppl', 'key', 'bip', 'too', 'httpstcolniawbtblf']",Mon Jul 09 07:00:43 +0000 2018,CNBCTradersFan,OKE,ONEOK,https://twitter.com/i/web/status/1016215554338840577,False,5.365
157,1016243918848057300,"['royal', 'bank', 'of', 'canada', 'increases', 'oneok', 'oke', 'price', 'target', 'to', 'httpstcozgxkoa']",Mon Jul 09 08:53:25 +0000 2018,ZolmaxNews,OKE,ONEOK,http://zolmax.com/?p=2370378,False,5.555
158,1016244029103714300,"['oneok', 'oke', 'price', 'target', 'raised', 'to', 'httpstcogqbdipzsa']",Mon Jul 09 08:53:52 +0000 2018,ConsumerFeed,OKE,ONEOK,http://zpr.io/6Tfgr,False,5.475
188,1016267444908904400,"['bwp', 'ns', 'smlp', 'mmp', 'bpl', 'bkep', 'ceqp', 'nsh', 'pagp', 'oke', 'semg', 'tge', 'enb', 'ipplf', 'ppl', 'key', 'bip', 'too', 'bbu', 'httpstcounorqmkbn']",Mon Jul 09 10:26:54 +0000 2018,OLEGEFF,OKE,ONEOK,https://seekingalpha.com/article/4185974-mlps-delayed-fuse?source=tweet,False,5.526666666666666
238,1016294911040278500,"['weekly', 'wrapup', 'kinder', 'morgan', 'rose', 'last', 'week', 'kmi', 'epd', 'oke', 'xle', 'httpstcoqkvenf', 'httpstcotlhqbev']",Mon Jul 09 12:16:03 +0000 2018,MarketRealist,OKE,ONEOK,https://marketrealist.com/2018/07/weekly-wrap-up-kinder-morgan-rose-1-5-last-week,False,5.336
242,1016296482675314700,"['rt', 'marketrealist', 'weekly', 'wrapup', 'kinder', 'morgan', 'rose', 'last', 'week', 'kmi', 'epd', 'oke', 'xle', 'httpstcoqkvenf', 'httpstcotlhqbev']",Mon Jul 09 12:22:18 +0000 2018,JP_Gravitt,OKE,ONEOK,https://marketrealist.com/2018/07/weekly-wrap-up-kinder-morgan-rose-1-5-last-week,False,5.260000000000001
319,1016319629038440400,"['oneok', 'inc', 'the', 'stock', 'is', 'testing', 'its', 'highs', 'oke', 'httpstcoxgovsgsj', 'httpstcontkpdct']",Mon Jul 09 13:54:16 +0000 2018,MScreener,OKE,ONEOK,http://www.4-traders.com//ONEOK-INC-13899/,False,5.086666666666667
495,1016380859736297500,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'est', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'biib', 'b']",Mon Jul 09 17:57:35 +0000 2018,JEskrich,OKE,ONEOK,,False,5.283157894736842
543,1016404931891421200,"['oneok', 'inc', 'oke', 'just', 'reaches', 'alltime', 'high', 'httpstcosafclelhtd']",Mon Jul 09 19:33:14 +0000 2018,whatsonthorold2,OKE,ONEOK,https://www.whatsonthorold.com/2018/07/09/oneok-inc-oke-just-reaches-all-time-high/,False,5.765000000000001
544,1016405164532686800,"['oneok', 'inc', 'oke', 'stock', 'is', 'an', 'record', 'high', 'flier', 'httpstcohvzgfijs']",Mon Jul 09 19:34:09 +0000 2018,reurope_stock,OKE,ONEOK,https://reurope.com/2018/07/09/oneok-inc-oke-stock-is-an-record-high-flier/,False,5.489999999999999
545,1016405274234622000,"['time', 'to', 'reconsider', 'oneok', 'inc', 'oke', 'after', 'making', 'all', 'time', 'high', 'httpstcohpdmgpiw']",Mon Jul 09 19:34:35 +0000 2018,bibeypost_stock,OKE,ONEOK,https://www.bibeypost.com/time-to-reconsider-oneok-inc-oke-after-making-all-time-high/,False,5.6675
766,1016511415840936000,"['mondays', 'week', 'high', 'amp', 'volume', 'above', 'its', 'mth', 'avg', 'kem', 'kkr', 'synt', 'dnr', 'crzo', 'ar', 'apc', 'run', 'nflx', 'oke', 'arwr', 'crm']",Tue Jul 10 02:36:22 +0000 2018,15minofPham,OKE,ONEOK,,False,5.36888888888889
931,1016631764478038000,"['royal', 'bank', 'of', 'canada', 'boosts', 'oneok', 'oke', 'price', 'target', 'to', 'httpstcoakmoevloj']",Tue Jul 10 10:34:35 +0000 2018,EnterpriseLeade,OKE,ONEOK,http://theenterpriseleader.com/?p=976690,False,5.428571428571429
1026,1016661227026763800,"['oke', 'technical', 'alerts', 'nr', 'new', 'week', 'high', 'narrow', 'range', 'bar', 'stochastic', 'reached', 'overbought', 'mac', 'httpstcolhsevwyi']",Tue Jul 10 12:31:39 +0000 2018,SwingTradeBot,OKE,ONEOK,https://swingtradebot.com/equities/OKE,False,5.74
1106,1016679615161487400,"['oke', 'new', 'week', 'high', 'of', 'oke', 'httpstcokulguqmp', 'benzinga']",Tue Jul 10 13:44:43 +0000 2018,canuck2usa,OKE,ONEOK,https://pro.benzinga.com,False,5.87
1116,1016682117026197500,"['oneok', 'inc', 'the', 'stock', 'is', 'testing', 'its', 'highs', 'oke', 'httpstcoxgovsgsj', 'httpstcobrbmmb']",Tue Jul 10 13:54:40 +0000 2018,MScreener,OKE,ONEOK,http://www.4-traders.com//ONEOK-INC-13899/,False,5.086666666666667
1211,1016709953501958100,"['oneok', 'inc', 'oke', 'reports', 'decline', 'in', 'sellers', 'strong', 'momentum', 'for', 'longs', 'httpstcocjxxibzyot']",Tue Jul 10 15:45:17 +0000 2018,whatsonthorold2,OKE,ONEOK,https://www.whatsonthorold.com/2018/07/10/oneok-inc-nyseoke-reports-decline-in-sellers-strong-momentum-for-longs/,False,5.093333333333333
1212,1016710266409668600,"['after', 'reaching', 'milestone', 'is', 'oneok', 'inc', 'okes', 'short', 'interest', 'revealing', 'something', 'httpstcocgwfeqr']",Tue Jul 10 15:46:31 +0000 2018,reurope_stock,OKE,ONEOK,https://reurope.com/2018/07/10/after-reaching-milestone-is-oneok-inc-nyseokes-short-interest-revealing-something/,False,5.197142857142857
1215,1016710783298949100,"['is', 'buying', 'oneok', 'inc', 'oke', 'having', 'lower', 'short', 'interest', 'a', 'winning', 'strategy', 'httpstcojjvpclsqks']",Tue Jul 10 15:48:34 +0000 2018,bibeypost_stock,OKE,ONEOK,https://www.bibeypost.com/is-buying-oneok-inc-nyseoke-having-lower-short-interest-a-winning-strategy/,False,5.664000000000001
1227,1016714123881730000,"['oneok', 'inc', 'new', 'oke', 'holder', 'capital', 'one', 'national', 'association', 'has', 'raised', 'holding', 'by', 'million', 'as', 'market', 'value', 'rose', 'httpstcovgbycltx']",Tue Jul 10 16:01:51 +0000 2018,whatsonthorold2,OKE,ONEOK,https://twitter.com/i/web/status/1016714123881730054,False,5.96
1229,1016714477818056700,"['capital', 'one', 'national', 'association', 'increases', 'stake', 'in', 'oneok', 'inc', 'new', 'oke', 'httpstconnjrcfy']",Tue Jul 10 16:03:15 +0000 2018,reurope_stock,OKE,ONEOK,https://reurope.com/2018/07/10/capital-one-national-association-increases-stake-in-oneok-inc-new-oke/,False,5.715555555555556
1230,1016714557799260200,"['oneok', 'inc', 'new', 'oke', 'stake', 'boosted', 'by', 'capital', 'one', 'national', 'association', 'httpstcoyotikhfcd']",Tue Jul 10 16:03:34 +0000 2018,bibeypost_stock,OKE,ONEOK,https://www.bibeypost.com/oneok-inc-new-oke-stake-boosted-by-capital-one-national-association/,False,5.559999999999999
1240,1016718783774326800,"['oneok', 'inc', 'okes', 'stock', 'is', 'buy', 'after', 'making', 'week', 'high', 'httpstcoswoptcbsx']",Tue Jul 10 16:20:22 +0000 2018,whatsonthorold2,OKE,ONEOK,https://www.whatsonthorold.com/2018/07/10/oneok-inc-okes-stock-is-buy-after-making-52-week-high/,False,5.625
1243,1016719007993487400,"['how', 'analysts', 'feel', 'about', 'oneok', 'inc', 'oke', 'after', 'touching', 'week', 'high', 'httpstcouvvzzvqc']",Tue Jul 10 16:21:15 +0000 2018,reurope_stock,OKE,ONEOK,https://reurope.com/2018/07/10/how-analysts-feel-about-oneok-inc-oke-after-touching-52-week-high/,False,5.43
1244,1016719093397901300,"['is', 'oneok', 'inc', 'okes', 'fuel', 'running', 'low', 'the', 'stock', 'reaches', 'week', 'high', 'today', 'httpstcouutyfkfi']",Tue Jul 10 16:21:36 +0000 2018,bibeypost_stock,OKE,ONEOK,https://www.bibeypost.com/is-oneok-inc-okes-fuel-running-low-the-stock-reaches-52-week-high-today/,False,5.392727272727273
1474,1016778894173769700,"['oke', 'oneok', 'inc', 'email', 'alerting', 'service', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Tue Jul 10 20:19:13 +0000 2018,Allstocknews,OKE,ONEOK,,False,5.68
