,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
40,1016101408507035600,"['orly', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcoeqxoamxz', 'httpstcosiiexlcet']",Sun Jul 08 23:27:08 +0000 2018,optioncharts,ORLY,O'Reilly Automotive,http://maximum-pain.com/options/max-pain/ORLY,False,4.680000000000001
433,1016357364512026600,"['analysts', 'see', 'eps', 'for', 'oreilly', 'automotive', 'inc', 'orly', 'httpstcoaqtqim']",Mon Jul 09 16:24:13 +0000 2018,whatsonthorold2,ORLY,O'Reilly Automotive,https://www.whatsonthorold.com/2018/07/09/analysts-see-4-04-eps-for-oreilly-automotive-inc-orly/,False,5.249999999999999
436,1016357776690503700,"['eps', 'expected', 'for', 'oreilly', 'automotive', 'inc', 'orly', 'httpstcojrhfteww']",Mon Jul 09 16:25:51 +0000 2018,reurope_stock,ORLY,O'Reilly Automotive,https://reurope.com/2018/07/09/4-04-eps-expected-for-oreilly-automotive-inc-orly/,False,5.22
439,1016358243399077900,"['eps', 'for', 'oreilly', 'automotive', 'inc', 'orly', 'expected', 'at', 'httpstcousboyau']",Mon Jul 09 16:27:42 +0000 2018,bibeypost_stock,ORLY,O'Reilly Automotive,https://www.bibeypost.com/eps-for-oreilly-automotive-inc-orly-expected-at-4-04/,False,5.140000000000001
468,1016370522379124700,"['analysts', 'take', 'a', 'look', 'at', 'oreilly', 'automotive', 'inc', 'orly', 'having', 'this', 'to', 'say', 'httpstcokjogzdvmu']",Mon Jul 09 17:16:30 +0000 2018,reurope_stock,ORLY,O'Reilly Automotive,https://reurope.com/2018/07/09/analysts-take-a-look-at-oreilly-automotive-inc-nasdaqorly-having-this-to-say/,False,5.194000000000001
470,1016370729682636800,"['is', 'there', 'a', 'bearish', 'outlook', 'for', 'oreilly', 'automotive', 'inc', 'orly', 'this', 'week', 'httpstcoxtgwbgqu']",Mon Jul 09 17:17:19 +0000 2018,bibeypost_stock,ORLY,O'Reilly Automotive,https://www.bibeypost.com/is-there-a-bearish-outlook-for-oreilly-automotive-inc-nasdaqorly-this-week/,False,5.182499999999999
493,1016380148298502100,"['us', 'stocks', 'social', 'twtrbfs', 'bac', 'cof', 'met', 'ecoupons', 'grpnelectronic', 'components', 'kem', 'httpstcosxjyhmd']",Mon Jul 09 17:54:45 +0000 2018,ZoomStocks,ORLY,O'Reilly Automotive,https://twitter.com/i/web/status/1016380148298502144,False,5.888
636,1016438704028598300,"['on', 'our', 'top', 'bullish', 'list', 'today', 'irtc', 'lob', 'newa', 'cbz', 'stkl', 'jout', 'orly', 'glmd', 'epm', 'vuzi', 'httpstcoaqtgdxj']",Mon Jul 09 21:47:26 +0000 2018,SwingTradeBot,ORLY,O'Reilly Automotive,https://swingtradebot.com/scans/top-fifty-bullish?selected_date=2018-07-09,False,6.016
680,1016455977493598200,"['rt', 'swingtradebot', 'on', 'our', 'top', 'bullish', 'list', 'today', 'irtc', 'lob', 'newa', 'cbz', 'stkl', 'jout', 'orly', 'glmd', 'epm', 'vuzi', 'httpstcoaqtgdxj']",Mon Jul 09 22:56:04 +0000 2018,AlertTrade,ORLY,O'Reilly Automotive,https://swingtradebot.com/scans/top-fifty-bullish?selected_date=2018-07-09,False,5.826666666666667
681,1016455980220125200,"['rt', 'swingtradebot', 'on', 'our', 'top', 'bullish', 'list', 'today', 'irtc', 'lob', 'newa', 'cbz', 'stkl', 'jout', 'orly', 'glmd', 'epm', 'vuzi', 'httpstcoaqtgdxj']",Mon Jul 09 22:56:05 +0000 2018,tradnews_,ORLY,O'Reilly Automotive,https://swingtradebot.com/scans/top-fifty-bullish?selected_date=2018-07-09,False,5.826666666666667
759,1016509983071010800,"['analysts', 'anticipate', 'oreilly', 'automotive', 'inc', 'orly', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcopbebvxffsk']",Tue Jul 10 02:30:40 +0000 2018,ZolmaxNews,ORLY,O'Reilly Automotive,http://zolmax.com/?p=2371698,False,5.7075
762,1016510578687447000,"['oreilly', 'automotive', 'inc', 'orly', 'expected', 'to', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcoblyvinugbo']",Tue Jul 10 02:33:02 +0000 2018,dakotafinancial,ORLY,O'Reilly Automotive,http://dakotafinancialnews.com/?p=307576,False,5.5525
