,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
638,1016441082060660700,"['zacks', 'analysts', 'anticipate', 'patterson', 'companies', 'inc', 'pdco', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcoauscejny']",Mon Jul 09 21:56:53 +0000 2018,dailypoliticaln,PDCO,Patterson Companies,http://www.dailypolitical.com/?p=2191383,False,5.657777777777778
639,1016441405173092400,"['patterson', 'companies', 'inc', 'pdco', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcoapybfqt']",Mon Jul 09 21:58:10 +0000 2018,ZolmaxNews,PDCO,Patterson Companies,http://zolmax.com/?p=2371433,False,5.6
677,1016455935861166100,"['billion', 'in', 'sales', 'expected', 'for', 'patterson', 'companies', 'inc', 'pdco', 'this', 'quarter', 'httpstcoughgrpwy']",Mon Jul 09 22:55:54 +0000 2018,TickerReport,PDCO,Patterson Companies,http://tickerreport.com/?p=3625172,False,5.6000000000000005
683,1016456217642897400,"['billion', 'in', 'sales', 'expected', 'for', 'patterson', 'companies', 'inc', 'pdco', 'this', 'quarter', 'httpstcokayyjnhk']",Mon Jul 09 22:57:01 +0000 2018,dailypoliticaln,PDCO,Patterson Companies,http://www.dailypolitical.com/?p=2191468,False,5.6000000000000005
1370,1016750914378633200,"['investors', 'brace', 'for', 'impact', 'patterson', 'companies', 'inc', 'pdco', 'roku', 'inc', 'roku', 'httpstcodayubav', 'pdco', 'stocks', 'stockmarket']",Tue Jul 10 18:28:02 +0000 2018,StocksPredictr,PDCO,Patterson Companies,https://postanalyst.com/2018/03/15/investors-brace-for-impact-patterson-companies-inc-pdco-roku-inc-roku/,False,5.079999999999999
1679,1016877827680034800,"['patterson', 'companies', 'inc', 'pdco', 'receives', 'average', 'price', 'target', 'from', 'brokerages', 'httpstcovnlfheja']",Wed Jul 11 02:52:21 +0000 2018,TranscriptDaily,PDCO,Patterson Companies,http://zpr.io/6af4A,False,5.247142857142856
1697,1016893350207684600,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'pags', 'is', 'httpstcokhntdyv', 'ual', 'wti', 'bbox', 'pdco']",Wed Jul 11 03:54:02 +0000 2018,shortvolumes,PDCO,Patterson Companies,http://shortvolumes.com/?t=PAGS,False,5.2375
1860,1016998972303528000,"['dividends', 'just', 'around', 'the', 'corner', 'for', 'patterson', 'companies', 'inc', 'pdco', 'shareholders', 'httpstcorvlldzvh']",Wed Jul 11 10:53:44 +0000 2018,whatsonthorold2,PDCO,Patterson Companies,https://www.whatsonthorold.com/2018/07/11/0-26-dividends-just-around-the-corner-for-patterson-companies-inc-nasdaqpdco-shareholders/,False,5.342222222222222
1861,1016999039190159400,"['jul', 'will', 'be', 'the', 'day', 'that', 'patterson', 'companies', 'inc', 'pdco', 'dividends', 'reach', 'httpstcozlxoy']",Wed Jul 11 10:54:00 +0000 2018,mmahotstuff1,PDCO,Patterson Companies,https://www.mmahotstuff.com/2018/07/11/jul-27-2018-will-be-the-day-that-patterson-companies-inc-nasdaqpdco-dividends-reach-0-26.html,False,5.522222222222223
1862,1016999248804577300,"['jul', 'will', 'be', 'the', 'day', 'that', 'patterson', 'companies', 'inc', 'pdco', 'dividends', 'reach', 'httpstcolqmfipan']",Wed Jul 11 10:54:50 +0000 2018,reurope_stock,PDCO,Patterson Companies,https://reurope.com/2018/07/11/jul-27-2018-will-be-the-day-that-patterson-companies-inc-nasdaqpdco-dividends-reach-0-26/,False,5.522222222222223
1864,1016999357982396400,"['jul', 'will', 'mean', 'dividends', 'for', 'patterson', 'companies', 'inc', 'pdco', 'shareholders', 'httpstcotmjaggek']",Wed Jul 11 10:55:16 +0000 2018,bibeypost_stock,PDCO,Patterson Companies,https://www.bibeypost.com/jul-27-2018-will-mean-0-26-dividends-for-patterson-companies-inc-nasdaqpdco-shareholders/,False,5.24
1906,1017013824556339200,"['ex', 'div', 'tomorrow', 'abbv', 'abt', 'aeo', 'afg', 'cbrl', 'cnsl', 'cpb', 'fcx', 'httpstcoobwjerdibn']",Wed Jul 11 11:52:45 +0000 2018,Tony_BATtista,PDCO,Patterson Companies,https://twitter.com/i/web/status/1017013824556339201,False,5.066666666666666
1949,1017021530755043300,"['rt', 'tonybattista', 'ex', 'div', 'tomorrow', 'abbv', 'abt', 'aeo', 'afg', 'cbrl', 'cnsl', 'cpb', 'fcx', 'mas']",Wed Jul 11 12:23:22 +0000 2018,PennBlk,PDCO,Patterson Companies,,False,5.08
2087,1017048245950976000,"['pdco', 'selling', 'oct', 'bull', 'put', 'spreads', 'company', 'has', 'divi', 'short', 'interest']",Wed Jul 11 14:09:32 +0000 2018,gabe_rich_,PDCO,Patterson Companies,,False,5.31
2181,1017066422399307800,"['patterson', 'companies', 'inc', 'pdco', 'declares', 'quarterly', 'dividend', 'httpstcofaenzfo']",Wed Jul 11 15:21:45 +0000 2018,TheMarketsDaily,PDCO,Patterson Companies,http://zpr.io/6aXyh,False,5.220000000000001
2683,1017222847087956000,"['brokerages', 'anticipate', 'patterson', 'companies', 'inc', 'pdco', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcobpueydhhv']",Thu Jul 12 01:43:20 +0000 2018,TheMarketsDaily,PDCO,Patterson Companies,http://zpr.io/6aFmv,False,5.7125
2684,1017222929631850500,"['patterson', 'companies', 'inc', 'pdco', 'expected', 'to', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcourjfdufhgv']",Thu Jul 12 01:43:40 +0000 2018,TranscriptDaily,PDCO,Patterson Companies,http://zpr.io/6aFmQ,False,5.497777777777777
3520,1017438476126605300,"['dividend', 'todayp', 'npv', 'nqp', 'nrk', 'nsl', 'ntc', 'ntx', 'num', 'nuo', 'nuv', 'nuw', 'nvg', 'nwfl', 'nxc', 'nxj', 'nxn', 'nxp', 'nxq', 'nxr', 'nyv', 'httpstcocpkrjquy']",Thu Jul 12 16:00:10 +0000 2018,MITickWatcher,PDCO,Patterson Companies,https://twitter.com/i/web/status/1017438476126605313,False,5.9
4525,1017666541268226000,"['patterson', 'companies', 'inc', 'pdco', 'short', 'interest', 'update', 'httpstcokcacsjvgx']",Fri Jul 13 07:06:25 +0000 2018,TranscriptDaily,PDCO,Patterson Companies,http://zpr.io/6aVSy,False,5.3
