,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
2161,1017062434719354900,"['public', 'service', 'enterprise', 'group', 'sees', 'unusually', 'large', 'options', 'volume', 'peg', 'httpstcogvwcyrqza']",Wed Jul 11 15:05:55 +0000 2018,WatchlistN,PEG,Public Service Enterprise Group Incorporated,http://zpr.io/6aNeq,False,5.897500000000001
2250,1017081610280239100,"['downside', 'protection', 'for', 'dominion', 'energy', 'd', 'duk', 'so', 'peg', 'httpstcohsnotajj', 'httpstcojwdvxipfx']",Wed Jul 11 16:22:07 +0000 2018,PortfolioArmor,PEG,Public Service Enterprise Group Incorporated,https://seekingalpha.com/article/4186511-downside-protection-dominion-energy,False,5.76
2251,1017081680249671700,"['rt', 'portfolioarmor', 'downside', 'protection', 'for', 'dominion', 'energy', 'd', 'duk', 'so', 'peg', 'httpstcohsnotajj', 'httpstcojwdvxipfx']",Wed Jul 11 16:22:23 +0000 2018,dpinsen,PEG,Public Service Enterprise Group Incorporated,https://seekingalpha.com/article/4186511-downside-protection-dominion-energy,False,5.613333333333333
2296,1017096676367126500,"['duk', 'peg', 'so', 'd', 'httpstcohpvqadrsl']",Wed Jul 11 17:21:59 +0000 2018,jjjinvesting,PEG,Public Service Enterprise Group Incorporated,https://seekingalpha.com/article/4186511-downside-protection-dominion-energy?source=tweet,False,4.9
2384,1017118253456482300,"['duk', 'peg', 'so', 'd', 'httpstcohbnootmxxz']",Wed Jul 11 18:47:43 +0000 2018,MagnoliaG2012,PEG,Public Service Enterprise Group Incorporated,https://seekingalpha.com/article/4186511-downside-protection-dominion-energy?source=tweet,False,4.9
2549,1017163334960013300,"['scan', 'results', 'crossed', 'above', 'dma', 'today', 'fast', 'gpn', 'pcrx', 'tpx', 'vrns', 'skm', 'pnm', 'amrx', 'afg', 'peg', 'httpstcocyblkoqgvr']",Wed Jul 11 21:46:51 +0000 2018,SwingTradeBot,PEG,Public Service Enterprise Group Incorporated,https://swingtradebot.com/events/1/equities?selected_date=2018-07-11,False,5.844
2732,1017243839587868700,"['sgen', 'haha', 'someone', 'paying', 'attention', 'this', 'will', 'be', 'acquired', 'possibly', 'soon', 'tjx', 'snap', 'mrvl', 'payx', 'feye', 'byd', 'csco', 'httpstcohwzksdvs']",Thu Jul 12 03:06:45 +0000 2018,stophahs,PEG,Public Service Enterprise Group Incorporated,https://twitter.com/i/web/status/1017243839587868673,False,5.805454545454546
2735,1017244874469466100,"['sgen', 'you', 'better', 'buy', 'some', 'soon', 'before', 'bigpharma', 'does', 'seattle', 'genetics', 'is', 'a', 'leader', 'in', 'this', 'space', 'lgnd', 'pfe', 'tjx', 'httpstcokugcowiojp']",Thu Jul 12 03:10:52 +0000 2018,stophahs,PEG,Public Service Enterprise Group Incorporated,https://twitter.com/i/web/status/1017244874469466113,False,5.744285714285715
2766,1017262778623590400,"['unitil', 'utl', 'versus', 'public', 'service', 'enterprise', 'group', 'peg', 'headtohead', 'survey', 'httpstcomuaqkimn']",Thu Jul 12 04:22:00 +0000 2018,ledgerzette,PEG,Public Service Enterprise Group Incorporated,http://ledgergazette.com/?p=2820522,False,5.72
2835,1017293007677255700,"['public', 'service', 'enterprise', 'group', 'target', 'of', 'unusually', 'high', 'options', 'trading', 'peg', 'httpstcoopqnuwvzmc']",Thu Jul 12 06:22:08 +0000 2018,ZolmaxNews,PEG,Public Service Enterprise Group Incorporated,http://zolmax.com/?p=2376558,False,5.857777777777779
2892,1017317547887210500,"['citigroup', 'increases', 'public', 'service', 'enterprise', 'group', 'peg', 'price', 'target', 'to', 'httpstcoengvoeyoq']",Thu Jul 12 07:59:38 +0000 2018,TranscriptDaily,PEG,Public Service Enterprise Group Incorporated,http://zpr.io/6a2se,False,5.640000000000001
3129,1017387158049419300,"['big', 'call', 'activity', 'httpstcomwkhcfmg', 'tjx', 'snap', 'mrvl', 'payx', 'feye', 'byd', 'csco', 'tndm', 'cost', 'cara', 'msft', 'peg', 'httpstcoogausdxb']",Thu Jul 12 12:36:15 +0000 2018,DailyStockPlays,PEG,Public Service Enterprise Group Incorporated,http://www.dailystockplays.com/Unusual-Call-Option-Activity-Today-2018-07-11.html,False,5.526666666666666
3341,1017413291734253600,"['valuengine', 'downgrades', 'public', 'service', 'enterprise', 'group', 'peg', 'to', 'hold', 'httpstcodqcpoq']",Thu Jul 12 14:20:06 +0000 2018,EnterpriseLeade,PEG,Public Service Enterprise Group Incorporated,http://theenterpriseleader.com/?p=982292,False,5.670000000000001
3351,1017414227487854600,"['valuengine', 'downgrades', 'public', 'service', 'enterprise', 'group', 'peg', 'to', 'hold', 'httpstcoupauxbenbj']",Thu Jul 12 14:23:49 +0000 2018,MareaInformativ,PEG,Public Service Enterprise Group Incorporated,http://www.mareainformativa.com/?p=433490,False,5.670000000000001
4703,1017723780960084000,"['traders', 'buy', 'high', 'volume', 'of', 'call', 'options', 'on', 'public', 'service', 'enterprise', 'group', 'peg', 'httpstcocvvulzmsfn']",Fri Jul 13 10:53:52 +0000 2018,TranscriptDaily,PEG,Public Service Enterprise Group Incorporated,http://zpr.io/6aW9N,False,5.841666666666668
6281,1018210174316761100,"['traders', 'purchase', 'high', 'volume', 'of', 'call', 'options', 'on', 'public', 'service', 'enterprise', 'group', 'peg', 'httpstcosrjopfxq']",Sat Jul 14 19:06:37 +0000 2018,dakotafinancial,PEG,Public Service Enterprise Group Incorporated,http://dakotafinancialnews.com/?p=315799,False,5.846666666666668
6290,1018210771937976300,"['traders', 'purchase', 'high', 'volume', 'of', 'call', 'options', 'on', 'public', 'service', 'enterprise', 'group', 'peg', 'httpstcokdcatzn']",Sat Jul 14 19:09:00 +0000 2018,TheMarketsDaily,PEG,Public Service Enterprise Group Incorporated,http://zpr.io/6NKvh,False,5.846666666666668
6651,1018263607015075800,"['public', 'service', 'enterprise', 'group', 'sees', 'unusually', 'large', 'options', 'volume', 'peg', 'httpstcowvdfxgykl']",Sat Jul 14 22:38:56 +0000 2018,TheMarketsDaily,PEG,Public Service Enterprise Group Incorporated,http://zpr.io/6NwfB,False,5.897500000000001
6657,1018264791482323000,"['public', 'service', 'enterprise', 'group', 'sees', 'unusually', 'large', 'options', 'volume', 'peg', 'httpstcoleekatxox']",Sat Jul 14 22:43:39 +0000 2018,dispatchtribune,PEG,Public Service Enterprise Group Incorporated,http://dispatchtribunal.com/?p=2051974,False,5.897500000000001
6790,1018299851015163900,"['public', 'service', 'enterprise', 'group', 'peg', 'downgraded', 'to', 'hold', 'at', 'valuengine', 'httpstcotiouqbn']",Sun Jul 15 01:02:58 +0000 2018,ConsumerFeed,PEG,Public Service Enterprise Group Incorporated,http://zpr.io/6Nkqr,False,5.5600000000000005
6841,1018313753224499200,"['public', 'service', 'enterprise', 'group', 'peg', 'amp', 'unitil', 'utl', 'headtohead', 'comparison', 'httpstcovqvadfgxt']",Sun Jul 15 01:58:12 +0000 2018,ConsumerFeed,PEG,Public Service Enterprise Group Incorporated,http://zpr.io/6N5ij,False,5.691666666666667
7129,1018368598585339900,"['public', 'service', 'enterprise', 'group', 'peg', 'cut', 'to', 'hold', 'at', 'valuengine', 'httpstcotvapqfvl']",Sun Jul 15 05:36:08 +0000 2018,WeekHerald,PEG,Public Service Enterprise Group Incorporated,http://weekherald.com/?p=2989560,False,5.2925
7902,1018492940933529600,"['financial', 'analysis', 'nisource', 'ni', 'vs', 'public', 'service', 'enterprise', 'group', 'peg', 'httpstcotorvabobj']",Sun Jul 15 13:50:14 +0000 2018,ZolmaxNews,PEG,Public Service Enterprise Group Incorporated,http://zolmax.com/?p=2383191,False,5.510000000000001
8302,1018548195088109600,"['westar', 'energy', 'wr', 'vs', 'public', 'service', 'enterprise', 'group', 'peg', 'headtohead', 'survey', 'httpstcowmdgdzsak']",Sun Jul 15 17:29:48 +0000 2018,TranscriptDaily,PEG,Public Service Enterprise Group Incorporated,http://zpr.io/6XaRa,False,5.905714285714287
