,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3853,1017493581215486000,"['zacks', 'brokerages', 'expect', 'parkerhannifin', 'corp', 'ph', 'will', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcokscijvzp']",Thu Jul 12 19:39:08 +0000 2018,dakotafinancial,PH,Parker-Hannifin Corporation,http://dakotafinancialnews.com/?p=314304,False,5.653333333333332
3855,1017493750136954900,"['parkerhannifin', 'corp', 'ph', 'expected', 'to', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcoiohaywgz']",Thu Jul 12 19:39:48 +0000 2018,MareaInformativ,PH,Parker-Hannifin Corporation,http://www.mareainformativa.com/?p=435678,False,5.52
3857,1017493919054131200,"['zacks', 'analysts', 'expect', 'parkerhannifin', 'corp', 'ph', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcoglmkjqtvwn']",Thu Jul 12 19:40:29 +0000 2018,WatchlistN,PH,Parker-Hannifin Corporation,http://zpr.io/6addy,False,5.6819999999999995
3863,1017494198071722000,"['parkerhannifin', 'corp', 'ph', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcokbwcsptig']",Thu Jul 12 19:41:35 +0000 2018,TickerReport,PH,Parker-Hannifin Corporation,http://tickerreport.com/?p=3632266,False,5.644444444444444
3980,1017510305767874600,"['another', 'big', 'day', 'for', 'the', 'dividend', 'portfolio', 'with', 'tech', 'stocks', 'outperforming', 'led', 'by', 'txn', 'and', 'microsoft', 'hitting', 'a', 'fresh', 'httpstcoljoztka']",Thu Jul 12 20:45:35 +0000 2018,dividendfund,PH,Parker-Hannifin Corporation,https://twitter.com/i/web/status/1017510305767874561,False,5.557647058823529
4441,1017633229170466800,"['rt', 'dividendfund', 'another', 'big', 'day', 'for', 'the', 'dividend', 'portfolio', 'with', 'tech', 'stocks', 'outperforming', 'led', 'by', 'txn', 'and', 'microsoft', 'hitting', 'a', 'fresh', 'all', 't']",Fri Jul 13 04:54:03 +0000 2018,IlinInvest,PH,Parker-Hannifin Corporation,,False,5.521
4482,1017645471572070400,"['rt', 'dividendfund', 'another', 'big', 'day', 'for', 'the', 'dividend', 'portfolio', 'with', 'tech', 'stocks', 'outperforming', 'led', 'by', 'txn', 'and', 'microsoft', 'hitting', 'a', 'fresh', 'all', 't']",Fri Jul 13 05:42:42 +0000 2018,PolliesDividend,PH,Parker-Hannifin Corporation,,False,5.521
4636,1017706368168439800,"['parker', 'aerospace', 'signs', 'master', 'distributor', 'agreement', 'with', 'aviall', 'for', 'cleveland', 'wheels', 'amp', 'brakes', 'aftermarket', 'pro', 'httpstcovzrmydygyx', 'ph']",Fri Jul 13 09:44:40 +0000 2018,MarketCurrents,PH,Parker-Hannifin Corporation,https://seekingalpha.com/news/3369872-parker-aerospace-signs-master-distributor-agreement-aviall-cleveland-wheels-and-brakes?source=feed_f,False,5.6036363636363635
5053,1017785928323039200,"['swk', 'ph', 'msi', 'fairly', 'valued']",Fri Jul 13 15:00:49 +0000 2018,buzz339,PH,Parker-Hannifin Corporation,,False,6.113333333333333
5058,1017786317785190400,"['dividend', 'champions', 'with', 'very', 'high', 'eps', 'growth', 'expectations', 'httpstcosamambrboh', 'pnr', 'cvxmcymdpfulev', 'httpstcofkrxmg']",Fri Jul 13 15:02:22 +0000 2018,DividendSheet,PH,Parker-Hannifin Corporation,https://goo.gl/Nyjxp7,False,6.073333333333334
5166,1017803512326053900,"['marketcurrents', 'ph', 'parkerhannifin', 'up', 'million', 'gain', 'ph', 'has', 'made', 'notable', 'gains', 'in', 'of', 'the', 'last', 'tr', 'httpstcoequfdwaoz']",Fri Jul 13 16:10:41 +0000 2018,42Stocks,PH,Parker-Hannifin Corporation,https://twitter.com/i/web/status/1017803512326053890,False,5.616666666666666
5167,1017803514612015100,"['marketcurrents', 'ph', 'parkerhannifin', 'up', 'million', 'gain', 'ph', 'has', 'made', 'notable', 'gains', 'in', 'of', 'the', 'last', 'tr', 'httpstcotzlypnok']",Fri Jul 13 16:10:42 +0000 2018,42Stocks,PH,Parker-Hannifin Corporation,https://twitter.com/i/web/status/1017803514612015104,False,5.616666666666666
5168,1017803516335874000,"['rt', 'marketcurrents', 'parker', 'aerospace', 'signs', 'master', 'distributor', 'agreement', 'with', 'aviall', 'for', 'cleveland', 'wheels', 'amp', 'brakes', 'aftermarket', 'pro', 'https']",Fri Jul 13 16:10:42 +0000 2018,42Stocks,PH,Parker-Hannifin Corporation,,False,5.576363636363636
5665,1017926659658469400,"['checking', 'on', 'chart', 'signals', 'for', 'parkerhannifin', 'corp', 'ph', 'httpstcormxcscixvf', 'ph', 'stocks', 'stockmarket']",Sat Jul 14 00:20:02 +0000 2018,StocksPredictr,PH,Parker-Hannifin Corporation,http://yankeeanalysts.com/checking-on-chart-signals-for-parker-hannifin-corp-ph/52552/,False,5.26
6122,1018134730410250200,"['ph', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcoosjmajvgr', 'httpstcoaucsvhry']",Sat Jul 14 14:06:50 +0000 2018,optioncharts,PH,Parker-Hannifin Corporation,http://maximum-pain.com/options/max-pain/PH,False,4.9366666666666665
6967,1018338516848267300,"['parkerhannifin', 'corp', 'ph', 'receives', 'average', 'rating', 'of', 'hold', 'from', 'brokerages', 'httpstcobtzgnfzxf']",Sun Jul 15 03:36:36 +0000 2018,ledgerzette,PH,Parker-Hannifin Corporation,http://ledgergazette.com/?p=2825160,False,5.34375
7846,1018487276588945400,"['parkerhannifin', 'ph', 'lowered', 'to', 'hold', 'at', 'med', 'httpstcohnbwccxqcs']",Sun Jul 15 13:27:43 +0000 2018,OlympiaReport,PH,Parker-Hannifin Corporation,http://theolympiareport.com/?p=925327,False,5.144
7847,1018487277134188500,"['parkerhannifin', 'ph', 'downgraded', 'by', 'med', 'to', 'hold', 'httpstconaistgfdzr']",Sun Jul 15 13:27:44 +0000 2018,ThisLincolnian,PH,Parker-Hannifin Corporation,http://thelincolnianonline.com/?p=2184323,False,5.16
7879,1018490671584473100,"['parkerhannifin', 'ph', 'stock', 'rating', 'lowered', 'by', 'med', 'httpstcoyjlmjdycjx']",Sun Jul 15 13:41:13 +0000 2018,TheMarketsDaily,PH,Parker-Hannifin Corporation,http://zpr.io/6XYTN,False,5.292
7947,1018497874429141000,"['parkerhannifin', 'ph', 'cut', 'to', 'hold', 'at', 'med', 'httpstcojlqkweghtz']",Sun Jul 15 14:09:50 +0000 2018,WeekHerald,PH,Parker-Hannifin Corporation,http://weekherald.com/?p=2991203,False,4.8566666666666665
8014,1018504813187862500,"['deutsche', 'bank', 'analysts', 'give', 'parkerhannifin', 'ph', 'a', 'price', 'target', 'httpstcoydiohaug']",Sun Jul 15 14:37:25 +0000 2018,ConsumerFeed,PH,Parker-Hannifin Corporation,http://zpr.io/6XYQ9,False,5.465714285714285
8082,1018521271439462400,"['parkerhannifin', 'ph', 'cut', 'to', 'hold', 'at', 'med', 'httpstcowcpntgg']",Sun Jul 15 15:42:48 +0000 2018,MareaInformativ,PH,Parker-Hannifin Corporation,http://www.mareainformativa.com/?p=451073,False,4.8566666666666665
8106,1018523345581731800,"['parkerhannifin', 'ph', 'stock', 'rating', 'lowered', 'by', 'med', 'httpstcowdzy']",Sun Jul 15 15:51:03 +0000 2018,dispatchtribune,PH,Parker-Hannifin Corporation,http://dispatchtribunal.com/?p=2055024,False,5.292
8191,1018533313835921400,"['deutsche', 'bank', 'analysts', 'give', 'parkerhannifin', 'ph', 'a', 'price', 'target', 'httpstcozhhgmxyum']",Sun Jul 15 16:30:40 +0000 2018,MareaInformativ,PH,Parker-Hannifin Corporation,http://www.mareainformativa.com/?p=451371,False,5.465714285714285
