,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
915,1016627398668968000,"['eps', 'for', 'pultegroup', 'inc', 'phm', 'expected', 'at', 'httpstcojkflbtkupd']",Tue Jul 10 10:17:14 +0000 2018,reurope_stock,PHM,PulteGroup,https://reurope.com/2018/07/10/eps-for-pultegroup-inc-phm-expected-at-0-74/,False,5.140000000000001
916,1016627496966611000,"['analysts', 'see', 'eps', 'for', 'pultegroup', 'inc', 'phm', 'httpstcotjmjzmpqv']",Tue Jul 10 10:17:37 +0000 2018,bibeypost_stock,PHM,PulteGroup,https://www.bibeypost.com/analysts-see-0-74-eps-for-pultegroup-inc-phm/,False,5.249999999999999
958,1016649012479479800,"['nvcn', 'neovasc', 'is', 'at', 'support', 'mtg', 'xlv', 'celg', 'endp', 'gild', 'czr', 'ngd', 'luv', 'hal', 'gern', 'gld', 'aig', 'wmt', 'jci', 'glw', 'aker', 'httpstcozsjjioyxs']",Tue Jul 10 11:43:07 +0000 2018,PortoRicanRasta,PHM,PulteGroup,https://twitter.com/i/web/status/1016649012479479810,False,5.93
971,1016650739370913800,"['pultegroup', 'phm', 'vs', 'tri', 'pointe', 'group', 'tph', 'financial', 'comparison', 'httpstcozhbrtet']",Tue Jul 10 11:49:59 +0000 2018,WatchlistN,PHM,PulteGroup,http://zpr.io/6TSnB,False,5.3275
1039,1016663765864067100,"['financial', 'contrast', 'av', 'homes', 'avhi', 'versus', 'pultegroup', 'phm', 'httpstcotsoxlhnctk']",Tue Jul 10 12:41:45 +0000 2018,ThisLincolnian,PHM,PulteGroup,http://thelincolnianonline.com/?p=2174312,False,5.344
1078,1016672896150851600,"['short', 'sale', 'vol', 'not', 'short', 'interest', 'for', 'phm', 'on', 'is', 'httpstcoupgrebkes', 'tol', 'kbh', 'mdc', 'dhi']",Tue Jul 10 13:18:01 +0000 2018,shortvolumes,PHM,PulteGroup,http://shortvolumes.com/?t=PHM,False,5.242222222222222
1277,1016727882066874400,"['cdix', 'is', 'starting', 'to', 'come', 'thru', 'more', 'revs', 'and', 'bouncing', 'mtg', 'xlv', 'celg', 'endp', 'gild', 'czr', 'ngd', 'luv', 'hal', 'gern', 'gld', 'httpstcoeylnjbnyg']",Tue Jul 10 16:56:31 +0000 2018,OneOClockDrop,PHM,PulteGroup,https://twitter.com/i/web/status/1016727882066874369,False,5.795
1319,1016741926949679100,"['the', 'below', 'news', 'is', 'about', 'one', 'of', 'their', 'subsidiaries', 'mtg', 'xlv', 'celg', 'endp', 'gild', 'czr', 'ngd', 'luv', 'hal', 'gern', 'gld', 'aig', 'httpstcolsibgmqlob']",Tue Jul 10 17:52:20 +0000 2018,OneOClockDrop,PHM,PulteGroup,https://twitter.com/i/web/status/1016741926949679104,False,5.337777777777778
1329,1016743186176372700,"['active', 'bio', 'acti', 'cantargia', 'canta', 'senzagen', 'senza', 'bioartic', 'bioab', 'pled', 'corline', 'clbio', 'httpstcooouints']",Tue Jul 10 17:57:20 +0000 2018,BiotechRadar,PHM,PulteGroup,https://twitter.com/i/web/status/1016743186176372737,False,5.64
1332,1016743619405811700,"['lgih', 'len', 'phm', 'httpstcoswtqrbdhgi']",Tue Jul 10 17:59:03 +0000 2018,SeekingAlpha,PHM,PulteGroup,https://seekingalpha.com/article/4186407-lgi-homes-homebuilding-mcdonalds?source=feed_f,False,0.0
1536,1016798902408712200,"['top', 'shorted', 'stocks', 'phm', 'cmo', 'pff', 'httpstcosiemaxu']",Tue Jul 10 21:38:44 +0000 2018,ShortStockVolum,PHM,PulteGroup,http://shortstockvolume.com/TopShortedStocks/07-10-2018,False,6.0600000000000005
1537,1016798913733406700,"['top', 'shorted', 'stocks', 'phm', 'cmo', 'pff', 'ewz', 'gdx', 'panw']",Tue Jul 10 21:38:46 +0000 2018,ShortStockVolum,PHM,PulteGroup,,False,6.0600000000000005
1689,1016884135204302800,"['cdix', 'is', 'about', 'to', 'go', 'ballistic', 'mtg', 'xlv', 'celg', 'endp', 'gild', 'czr', 'ngd', 'luv', 'hal', 'gern', 'gld', 'aig', 'wmt', 'lc', 'jci', 'glw', 'httpstcoesctdbsy']",Wed Jul 11 03:17:25 +0000 2018,OneOClockDrop,PHM,PulteGroup,https://twitter.com/i/web/status/1016884135204302849,False,5.612
1865,1016999527776247800,"['is', 'buying', 'pultegroup', 'inc', 'phm', 'having', 'higher', 'short', 'interest', 'a', 'winning', 'strategy', 'httpstcoanxxkrsrd']",Wed Jul 11 10:55:57 +0000 2018,whatsonthorold2,PHM,PulteGroup,https://www.whatsonthorold.com/2018/07/11/is-buying-pultegroup-inc-nysephm-having-higher-short-interest-a-winning-strategy/,False,5.886000000000001
1866,1016999596155863000,"['pultegroup', 'inc', 'phm', 'stock', 'is', 'shorted', 'more', 'httpstcoksdedyrgd']",Wed Jul 11 10:56:13 +0000 2018,mmahotstuff1,PHM,PulteGroup,https://www.mmahotstuff.com/2018/07/11/pultegroup-inc-nysephm-stock-is-shorted-more.html,False,5.48
1867,1016999758962061300,"['what', 'will', 'happen', 'to', 'pultegroup', 'inc', 'phm', 'next', 'the', 'stock', 'has', 'increase', 'in', 'shorts', 'httpstcoeypzftux']",Wed Jul 11 10:56:52 +0000 2018,reurope_stock,PHM,PulteGroup,https://reurope.com/2018/07/11/what-will-happen-to-pultegroup-inc-nysephm-next-the-stock-has-increase-in-shorts/,False,5.445
1868,1016999850867650600,"['pultegroup', 'inc', 'phm', 'shorted', 'shares', 'increased', 'by', 'httpstcoyrcxojljv']",Wed Jul 11 10:57:14 +0000 2018,bibeypost_stock,PHM,PulteGroup,https://www.bibeypost.com/pultegroup-inc-nysephm-shorted-shares-increased-by-11-5/,False,5.685
1878,1017004834988404700,"['phm', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcoxwcuhhsss', 'httpstcovswdwsecvs']",Wed Jul 11 11:17:02 +0000 2018,optioncharts,PHM,PulteGroup,http://maximum-pain.com/options/open-interest/PHM,False,5.9975000000000005
2641,1017199783239389200,"['financial', 'survey', 'pultegroup', 'phm', 'versus', 'william', 'lyon', 'homes', 'wlh', 'httpstcodmfxicfkt']",Thu Jul 12 00:11:41 +0000 2018,dispatchtribune,PHM,PulteGroup,http://dispatchtribunal.com/?p=2047855,False,5.696
2642,1017199871261139000,"['pultegroup', 'phm', 'vs', 'william', 'lyon', 'homes', 'wlh', 'critical', 'comparison', 'httpstcoajqvbbhn']",Thu Jul 12 00:12:02 +0000 2018,EnterpriseLeade,PHM,PulteGroup,http://theenterpriseleader.com/?p=980672,False,5.054
3878,1017496363402178600,"['targovax', 'trvx', 'pci', 'bio', 'pcib', 'zealand', 'zeal', 'pharmamar', 'phm', 'sc', 'vsc', 'cytotools', 'to']",Thu Jul 12 19:50:11 +0000 2018,BiotechRadar,PHM,PulteGroup,,False,5.073333333333333
3881,1017497954062610400,"['rt', 'biotechradar', 'targovax', 'trvx', 'pci', 'bio', 'pcib', 'zealand', 'zeal', 'pharmamar', 'phm', 'sc', 'vsc', 'cytotools', 'to']",Thu Jul 12 19:56:31 +0000 2018,portefeuillefun,PHM,PulteGroup,,False,5.025
