,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
10653,1018899072764301300,"['pncs', 'roe', 'of', 'is', 'amongst', 'the', 'best', 'returns', 'of', 'the', 'industry', 'httpstcodiosayxz', 'httpstcomzllrzerq']",Mon Jul 16 16:44:03 +0000 2018,ChartMill,PNC,The PNC Financial Services Group,https://www.chartmill.com/analyze.php?utm_source=twitter&utm_medium=FA&utm_content=PROFITABILITY&utm_campaign=social_tracking#/PNC?r=fa&key=54240eea-eba6-4bc5-9f36-8173bb1118d3,False,5.388888888888889
10740,1018906493641482200,"['fang', 'stocks', 'will', 'maintain', 'momentum', 'pnc', 'bac', 'nflx', 'amzn', 'googl', 'fb', 'snap', 'twtr', 'httpstcoznkzwkmfzx', 'httpstcolkdchishhm']",Mon Jul 16 17:13:33 +0000 2018,realmoney,PNC,The PNC Financial Services Group,https://buff.ly/2NlkAYK,False,5.564
10790,1018909022118805500,"['fang', 'stocks', 'will', 'maintain', 'momentum', 'pnc', 'httpstcohnypnlh', 'httpstcohngwkparuh']",Mon Jul 16 17:23:35 +0000 2018,randomdevtest13,PNC,The PNC Financial Services Group,http://dlvr.it/QblQkx,False,5.713333333333334
10794,1018909219783880700,"['holding', 'financials', 'here', 'today', 'jpm', 'posted', 'earlier', 'and', 'pnc', 'entry', 'not', 'as', 'early', 'in', 'the', 'day', 'as', 'jpm', 'pnc', 'daily', 'chart', 'looking', 'good']",Mon Jul 16 17:24:23 +0000 2018,SunriseTrader,PNC,The PNC Financial Services Group,,False,5.538888888888889
10800,1018909869041176600,"['pnc', 'daily', 'with', 'some', 'old', 'trading', 'notes', 'on', 'it', 'from', 'a', 'prior', 'trade', 'exdividend', 'was', 'today', 'fwiw', 'no', 'divy', 'payment', 'h', 'httpstcosxaiantxt']",Mon Jul 16 17:26:57 +0000 2018,SunriseTrader,PNC,The PNC Financial Services Group,https://twitter.com/i/web/status/1018909869041176581,False,5.16
11178,1018938346213523500,"['market', 'is', 'slightly', 'down', 'financials', 'are', 'roaring', 'on', 'strong', 'bank', 'earnings', 'with', 'xlf', 'up', 'bac', 'jpm', 'c', 'wfc', 'httpstcousrmlzpwot']",Mon Jul 16 19:20:07 +0000 2018,streetpulseapp,PNC,The PNC Financial Services Group,https://twitter.com/i/web/status/1018938346213523456,False,5.641666666666667
11308,1018946025988460500,"['i', 'will', 'hold', 'jpm', 'and', 'pnc', 'using', 'the', 'swing', 'plan', 'i', 'wrote', 'prior', 'to', 'entry', 'no', 'rungs', 'of', 'the', 'ladder', 'taken', 'today']",Mon Jul 16 19:50:38 +0000 2018,SunriseTrader,PNC,The PNC Financial Services Group,,False,5.373684210526316
11323,1018947366836166700,"['rt', 'sunrisetrader', 'i', 'will', 'hold', 'jpm', 'and', 'pnc', 'using', 'the', 'swing', 'plan', 'i', 'wrote', 'prior', 'to', 'entry', 'no', 'rungs', 'of', 'the', 'ladder', 'taken', 'today']",Mon Jul 16 19:55:58 +0000 2018,BretKenwell,PNC,The PNC Financial Services Group,,False,5.349
11609,1018970006837780500,"['brokerages', 'anticipate', 'pnc', 'financial', 'services', 'group', 'inc', 'pnc', 'to', 'announce', 'eps', 'httpstcoliefdysth']",Mon Jul 16 21:25:55 +0000 2018,ThisLincolnian,PNC,The PNC Financial Services Group,http://thelincolnianonline.com/?p=2187350,False,5.426666666666667
11636,1018973460549300200,"['eps', 'expected', 'for', 'pnc', 'financial', 'services', 'group', 'inc', 'pnc', 'this', 'quarter', 'httpstcomtzztph']",Mon Jul 16 21:39:39 +0000 2018,OlympiaReport,PNC,The PNC Financial Services Group,http://theolympiareport.com/?p=928362,False,5.435000000000001
11644,1018973870433415200,"['pnc', 'financial', 'services', 'group', 'inc', 'pnc', 'expected', 'to', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcowdevtalvdy']",Mon Jul 16 21:41:16 +0000 2018,ConsumerFeed,PNC,The PNC Financial Services Group,http://zpr.io/6X9fP,False,5.6018181818181825
11652,1018974127410090000,"['brokerages', 'anticipate', 'pnc', 'financial', 'services', 'group', 'inc', 'pnc', 'to', 'announce', 'eps', 'httpstcolthblqs']",Mon Jul 16 21:42:18 +0000 2018,WeekHerald,PNC,The PNC Financial Services Group,http://weekherald.com/?p=2994152,False,5.426666666666667
12071,1019035396175482900,"['httpstcofzthfmfah', 'pnc', 'pnc', 'financial', 'up', 'billion', 'gain', 'pnc', 'has', 'made', 'notable', 'gains', 'in', 'of', 'the', 'las', 'httpstcoqhkyjw']",Tue Jul 17 01:45:45 +0000 2018,42Stocks,PNC,The PNC Financial Services Group,http://42stocks.com/sym/pnc.html,False,5.814545454545454
12502,1019102733964472300,"['q', 'eps', 'estimates', 'for', 'pnc', 'financial', 'services', 'group', 'inc', 'pnc', 'increased', 'by', 'analyst', 'httpstcozzaduzyk']",Tue Jul 17 06:13:20 +0000 2018,dispatchtribune,PNC,The PNC Financial Services Group,http://dispatchtribunal.com/?p=2058095,False,5.396000000000001
12623,1019115656187441200,"['smithfield', 'trust', 'co', 'has', 'stake', 'in', 'pnc', 'financial', 'services', 'group', 'inc', 'pnc', 'httpstcobrewyqaa']",Tue Jul 17 07:04:41 +0000 2018,ConsumerFeed,PNC,The PNC Financial Services Group,https://ift.tt/2zHA7QQ,False,5.52888888888889
12797,1019139821841862700,"['scan', 'results', 'bearish', 'engulfing', 'today', 'gma', 'rct', 'tme', 'tls', 'bxb', 'apl', 'pnc', 'httpstcolgxfixztg']",Tue Jul 17 08:40:42 +0000 2018,SwingTradeAsx,PNC,The PNC Financial Services Group,https://asx.swingtradebot.com/events/14/equities?selected_date=2018-07-17,False,6.0600000000000005
13094,1019168210556543000,"['q', 'eps', 'estimates', 'for', 'pnc', 'financial', 'services', 'group', 'inc', 'pnc', 'increased', 'by', 'analyst', 'httpstcongimgglx']",Tue Jul 17 10:33:31 +0000 2018,EnterpriseLeade,PNC,The PNC Financial Services Group,http://theenterpriseleader.com/?p=991435,False,5.396000000000001
13388,1019186060050468900,"['jefferies', 'financial', 'group', 'raises', 'pnc', 'financial', 'services', 'group', 'fy', 'earnings', 'estimates', 'to', 'eps', 'previously', 'httpstcoixvqowzlp']",Tue Jul 17 11:44:26 +0000 2018,RatingsNetwork,PNC,The PNC Financial Services Group,https://twitter.com/i/web/status/1019186060050468864,False,5.754
13522,1019193582740234200,"['pnc', 'financial', 'services', 'group', 'inc', 'forecasted', 'to', 'post', 'fy', 'earnings', 'of', 'per', 'share', 'pnc', 'httpstcophaoqlhrh']",Tue Jul 17 12:14:20 +0000 2018,ledgerzette,PNC,The PNC Financial Services Group,http://ledgergazette.com/?p=2831561,False,5.659999999999999
13526,1019193687354593300,"['pnc', 'financial', 'services', 'group', 'inc', 'forecasted', 'to', 'post', 'fy', 'earnings', 'of', 'per', 'share', 'pnc', 'httpstcouckmkcz']",Tue Jul 17 12:14:45 +0000 2018,dakotafinancial,PNC,The PNC Financial Services Group,http://dakotafinancialnews.com/?p=323337,False,5.659999999999999
13574,1019195525604757500,"['bankofamerica', 'strong', 'results', 'lift', 'financials', 'on', 'monday', 'realmoneysod', 'bac', 'pnc', 'wfc', 'c', 'jpm', 'martincassidyst', 'httpstcoaxqxofpa']",Tue Jul 17 12:22:03 +0000 2018,realmoney,PNC,The PNC Financial Services Group,https://twitter.com/i/web/status/1019195525604757504,False,5.550000000000001
13916,1019211623955697700,"['rt', 'equityclock', 'financials', 'in', 'the', 'drivers', 'seat', 'as', 'sector', 'titans', 'report', 'before', 'the', 'opening', 'bell', 'httpstcojwcwxrcr', 'jpm', 'c', 'pnc', 'wfc']",Tue Jul 17 13:26:01 +0000 2018,tey_west,PNC,The PNC Financial Services Group,http://www.equityclock.com/2018/07/12/stock-market-outlook-for-july-13-2018/,False,5.223076923076923
14464,1019240456738177000,"['bac', 'making', 'the', 'move', 'none', 'here', 'holding', 'jpm', 'and', 'pnc', 'in', 'the', 'financial', 'sector', 'have', 'friends', 'trading', 'the', 'name', 'httpstcognhmgdnh']",Tue Jul 17 15:20:36 +0000 2018,SunriseTrader,PNC,The PNC Financial Services Group,,False,5.536250000000001
17026,1019376015699832800,"['wfc', 'missed', 'huge', 'surprised', 'this', 'hasnt', 'gone', 'down', 'a', 'lot', 'c', 'amzn', 'fb', 'bac', 'gs', 'pnc', 'wmt', 'riot', 'httpstcoyqrwhqmpm']",Wed Jul 18 00:19:15 +0000 2018,InvincibleBull,PNC,The PNC Financial Services Group,,False,4.8
17353,1019399543220252700,"['pnc', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcozognydicb', 'httpstcoedlbnwvyc']",Wed Jul 18 01:52:45 +0000 2018,optioncharts,PNC,The PNC Financial Services Group,http://maximum-pain.com/options/max-pain/PNC,False,4.680000000000001
18189,1019468589907284000,"['piper', 'jaffray', 'companies', 'comments', 'on', 'pnc', 'financial', 'services', 'group', 'incs', 'q', 'earnings', 'pnc', 'httpstcoxzzxvcyz']",Wed Jul 18 06:27:07 +0000 2018,TickerReport,PNC,The PNC Financial Services Group,http://tickerreport.com/?p=3642472,False,5.720000000000001
18198,1019469478684516400,"['piper', 'jaffray', 'companies', 'comments', 'on', 'pnc', 'financial', 'services', 'group', 'incs', 'q', 'earnings', 'pnc', 'httpstconevusikbp']",Wed Jul 18 06:30:39 +0000 2018,dailypoliticaln,PNC,The PNC Financial Services Group,http://www.dailypolitical.com/?p=2208641,False,5.720000000000001
18235,1019471193622147100,"['fy', 'earnings', 'forecast', 'for', 'pnc', 'financial', 'services', 'group', 'inc', 'pnc', 'issued', 'by', 'jefferies', 'financial', 'group', 'httpstcocgavhhthw']",Wed Jul 18 06:37:28 +0000 2018,ZolmaxNews,PNC,The PNC Financial Services Group,http://zolmax.com/?p=2388797,False,5.614545454545455
19179,1019532096619077600,"['jefferies', 'financial', 'group', 'lowers', 'pnc', 'financial', 'services', 'group', 'q', 'earnings', 'estimates', 'to', 'eps', 'previously', 'httpstcogjemmw']",Wed Jul 18 10:39:28 +0000 2018,RatingsNetwork,PNC,The PNC Financial Services Group,https://twitter.com/i/web/status/1019532096619077632,False,5.547999999999999
19198,1019532452262502400,"['wellington', 'management', 'group', 'llp', 'lowered', 'position', 'in', 'pnc', 'finl', 'svcs', 'group', 'inc', 'pnc', 'by', 'million', 'httpstcofxfltgylb']",Wed Jul 18 10:40:53 +0000 2018,whatsonthorold2,PNC,The PNC Financial Services Group,https://www.whatsonthorold.com/2018/07/18/wellington-management-group-llp-lowered-position-in-pnc-finl-svcs-group-inc-pnc-by-642-78-million/,False,5.6275
19201,1019532557690507300,"['pnc', 'finl', 'svcs', 'group', 'inc', 'pnc', 'holder', 'wellington', 'management', 'group', 'llp', 'has', 'lowered', 'its', 'stake', 'by', 'million', 'as', 'sto', 'httpstcoahbpgalqq']",Wed Jul 18 10:41:18 +0000 2018,mmahotstuff1,PNC,The PNC Financial Services Group,https://twitter.com/i/web/status/1019532557690507264,False,5.404
19205,1019532704839331800,"['wellington', 'management', 'group', 'llp', 'stake', 'in', 'pnc', 'finl', 'svcs', 'group', 'inc', 'pnc', 'has', 'cut', 'by', 'million', 'httpstcozjisnmne']",Wed Jul 18 10:41:53 +0000 2018,reurope_stock,PNC,The PNC Financial Services Group,https://reurope.com/2018/07/18/wellington-management-group-llp-stake-in-pnc-finl-svcs-group-inc-pnc-has-cut-by-642-78-million/,False,5.2780000000000005
19208,1019532822103633900,"['wellington', 'management', 'group', 'llp', 'has', 'decreased', 'its', 'pnc', 'finl', 'svcs', 'group', 'inc', 'pnc', 'stake', 'by', 'million', 'httpstcoinhhfn']",Wed Jul 18 10:42:21 +0000 2018,bibeypost_stock,PNC,The PNC Financial Services Group,https://www.bibeypost.com/wellington-management-group-llp-has-decreased-its-pnc-finl-svcs-group-inc-pnc-stake-by-642-78-million/,False,5.240000000000001
19458,1019541063898468400,"['oppenheimer', 'lowers', 'pnc', 'financial', 'services', 'group', 'q', 'earnings', 'estimates', 'to', 'eps', 'previously', 'httpstcogvakizh']",Wed Jul 18 11:15:06 +0000 2018,RatingsNetwork,PNC,The PNC Financial Services Group,https://twitter.com/i/web/status/1019541063898468355,False,5.5175
19498,1019542018257752000,"['q', 'earnings', 'estimate', 'for', 'pnc', 'financial', 'services', 'group', 'inc', 'issued', 'by', 'oppenheimer', 'pnc', 'httpstcohapuiq']",Wed Jul 18 11:18:53 +0000 2018,ThisLincolnian,PNC,The PNC Financial Services Group,http://thelincolnianonline.com/?p=2191131,False,5.45
19742,1019551642876891100,"['q', 'eps', 'estimates', 'for', 'pnc', 'financial', 'services', 'group', 'inc', 'decreased', 'by', 'jefferies', 'financial', 'group', 'pnc', 'httpstcotgmayxeo']",Wed Jul 18 11:57:08 +0000 2018,OlympiaReport,PNC,The PNC Financial Services Group,http://theolympiareport.com/?p=932200,False,5.176363636363638
19759,1019552072100991000,"['q', 'eps', 'estimates', 'for', 'pnc', 'financial', 'services', 'group', 'inc', 'decreased', 'by', 'jefferies', 'financial', 'group', 'pnc', 'httpstcomykizrymc']",Wed Jul 18 11:58:51 +0000 2018,dispatchtribune,PNC,The PNC Financial Services Group,http://dispatchtribunal.com/?p=2061381,False,5.176363636363638
20103,1019562607936770000,"['meet', 'pncs', 'new', 'leadership', 'team', 'in', 'houston', 'and', 'heres', 'what', 'pittsburghs', 'own', 'lou', 'cestello', 'says', 'httpstcowsaduyeyi']",Wed Jul 18 12:40:42 +0000 2018,PBT_Patty,PNC,The PNC Financial Services Group,http://bizj.us/1pnnlz,False,5.779999999999999
