,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
5353,1017835244769173500,"['does', 'ppg', 'industries', 'inc', 'ppg', 'have', 'any', 'gas', 'after', 'forming', 'this', 'bearish', 'wedge', 'down', 'chart', 'pattern', 'httpstcohkdkmawi']",Fri Jul 13 18:16:47 +0000 2018,bibeypost_stock,PPG,PPG Industries,https://www.bibeypost.com/does-ppg-industries-inc-ppg-have-any-gas-after-forming-this-bearish-wedge-down-chart-pattern/,False,5.076666666666667
6044,1018118136279728100,"['bac', 'blk', 'nflx', 'amx', 'csx', 'gs', 'hwc', 'jnj', 'unh', 'pgr', 'aa', 'cck', 'imb', 'ms', 'usb', 'gww', 'ads', 'bk', 'cof', 'dhr', 'httpstcowzelowja']",Sat Jul 14 13:00:54 +0000 2018,Mkt5Challenge,PPG,PPG Industries,https://twitter.com/i/web/status/1018118136279728128,False,4.895
6492,1018238714278015000,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'glw', 'is', 'httpstcotsnvqviet', 'tmo', 'clfd', 'ppg', 'plt']",Sat Jul 14 21:00:02 +0000 2018,shortvolumes,PPG,PPG Industries,http://shortvolumes.com/?t=GLW,False,5.2375
6554,1018242413863821300,"['citigroup', 'cuts', 'ppg', 'industries', 'ppg', 'price', 'target', 'to', 'httpstcotibmxrepu']",Sat Jul 14 21:14:44 +0000 2018,EnterpriseLeade,PPG,PPG Industries,http://theenterpriseleader.com/?p=984488,False,4.844
6839,1018313436390936600,"['just', 'updated', 'ppg', 'ppg', 'industries', 'dividend', 'aristocrat', 'valuation', 'profitability', 'and', 'dividend', 'safety', 'scores', 'analy', 'httpstcobyzkuok']",Sun Jul 15 01:56:57 +0000 2018,KenFaulkenberry,PPG,PPG Industries,https://twitter.com/i/web/status/1018313436390936576,False,5.77
7070,1018360336947339300,"['ppg', 'industries', 'ppg', 'given', 'new', 'price', 'target', 'at', 'citigroup', 'httpstcoxzirper']",Sun Jul 15 05:03:19 +0000 2018,dispatchtribune,PPG,PPG Industries,http://dispatchtribunal.com/?p=2052916,False,5.510000000000001
7465,1018422604435161100,"['ppg', 'industries', 'ppg', 'price', 'target', 'cut', 'to', 'httpstcoybdmulsike']",Sun Jul 15 09:10:44 +0000 2018,ledgerzette,PPG,PPG Industries,http://ledgergazette.com/?p=2826611,False,4.800000000000001
7754,1018469644104028200,"['ppg', 'to', 'report', 'earnings', 'on', 'jul', 'bmo', 'with', 'an', 'expected', 'move', 'of', 'httpstcorqylvomyp']",Sun Jul 15 12:17:40 +0000 2018,MarketChmln,PPG,PPG Industries,https://marketchameleon.com/Overview/PPG/Earnings/Earnings-Dates,False,5.531111111111111
8297,1018547522468343800,"['another', 'heads', 'up', 'ppg', 'has', 'earnings', 'due', 'out', 'on', 'before', 'the', 'marketopens', 'if', 'it', 'misses', 'this', 'has', 'been', 'the', 'httpstcohdhbbqve']",Sun Jul 15 17:27:07 +0000 2018,OphirGottlieb,PPG,PPG Industries,https://twitter.com/i/web/status/1018547522468343809,True,5.176470588235294
8408,1018561057080725500,"['ppg', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcodbsqmkfhba', 'httpstcopztmcffm']",Sun Jul 15 18:20:54 +0000 2018,optioncharts,PPG,PPG Industries,http://maximum-pain.com/options/max-pain/PPG,False,4.680000000000001
