,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3449,1017429628749799400,"['rt', 'benzinga', 'goldman', 'sachs', 'swaps', 'perrigo', 'johnson', 'amp', 'johnson', 'ratings', 'httpstcovaravjds', 'jnj', 'prgo']",Thu Jul 12 15:25:01 +0000 2018,tradnews_,PRGO,Perrigo Company plc,https://benzinga.com/z/12011854,False,5.362857142857143
3466,1017431556430991400,"['thursdays', 'analyst', 'action', 'targets', 'healthcare', 'abbv', 'blue', 'glmd', 'khtrf', 'hum', 'md', 'omer', 'vnrx', 'jnj', 'prgo', 'httpstcoygzcnnklq']",Thu Jul 12 15:32:40 +0000 2018,Greg5thTrad,PRGO,Perrigo Company plc,https://seekingalpha.com/news/3369584,False,5.481249999999998
3525,1017439515059867600,"['what', 'a', 'move', 'by', 'fb', 'allergan', 'shareholders', 'can', 'only', 'dream', 'agn', 'amzn', 'brk', 'crm', 'cmg', 'ipxl', 'endp', 'myl', 'mrk', 'tst', 'ms', 'httpstcopnkqyeln']",Thu Jul 12 16:04:18 +0000 2018,brianfires,PRGO,Perrigo Company plc,https://twitter.com/i/web/status/1017439515059867649,False,5.4
3535,1017441574534484000,"['the', 'incompetent', 'allergan', 'fraudsters', 'deflect', 'from', 'their', 'fraud', 'to', 'diversity', 'amp', 'inclusion', 'agn', 'amzn', 'brk', 'crm', 'cmg', 'httpstcocsingwqy']",Thu Jul 12 16:12:29 +0000 2018,brianfires,PRGO,Perrigo Company plc,https://twitter.com/i/web/status/1017441574534483970,False,4.837142857142857
3588,1017449993542819800,"['goldman', 'sachs', 'downgrades', 'perrigo', 'co', 'prgo', 'to', 'sell']",Thu Jul 12 16:45:56 +0000 2018,TopStockAlerts1,PRGO,Perrigo Company plc,,False,5.184
3650,1017459098315579400,"['perrigo', 'prgo', 'is', 'a', 'company', 'that', 'goldman', 'seems', 'to', 'dislike', 'as', 'downgrade', 'in', 'given', 'httpstcognkwbkrboo']",Thu Jul 12 17:22:07 +0000 2018,mmahotstuff1,PRGO,Perrigo Company plc,https://www.mmahotstuff.com/2018/07/12/perrigo-nyseprgo-is-a-company-that-goldman-seems-to-dislike-as-downgrade-in-given.html,False,5.096363636363637
4005,1017514561790988300,"['prgo', 'stock', 'quote', 'alert', 'for', 'perrigo', 'company', 'plc', 'nyseprgo', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Thu Jul 12 21:02:30 +0000 2018,Allstocknews,PRGO,Perrigo Company plc,,False,5.505999999999999
4047,1017525226685517800,"['scan', 'results', 'stochastic', 'sell', 'signal', 'today', 'flex', 'kar', 'ggp', 'prgo', 'bc', 'grmn', 'slgn', 'pah', 'bro', 'son', 'httpstcodtcrhaxs']",Thu Jul 12 21:44:53 +0000 2018,SwingTradeBot,PRGO,Perrigo Company plc,https://swingtradebot.com/events/25/equities?selected_date=2018-07-12,False,5.878749999999999
4071,1017530635198402600,"['rt', 'theflynews', 'johnson', 'amp', 'johnson', 'upgraded', 'to', 'neutral', 'from', 'sell', 'at', 'goldman', 'sachs', 'jnj', 'prgo', 'httpstcofeeusnmi']",Thu Jul 12 22:06:22 +0000 2018,seewho6699,PRGO,Perrigo Company plc,http://dlvr.it/QbHnlR,False,5.205454545454545
4548,1017674720169398300,"['analyzing', 'spring', 'bank', 'pharmaceuticals', 'sbph', 'amp', 'perrigo', 'prgo', 'httpstcoxpwiuqqun']",Fri Jul 13 07:38:55 +0000 2018,ledgerzette,PRGO,Perrigo Company plc,http://ledgergazette.com/?p=2823452,False,6.173333333333333
4553,1017675803063148500,"['comparing', 'perrigo', 'prgo', 'amp', 'spring', 'bank', 'pharmaceuticals', 'sbph', 'httpstcobnxszxj']",Fri Jul 13 07:43:13 +0000 2018,dakotafinancial,PRGO,Perrigo Company plc,http://dakotafinancialnews.com/?p=315179,False,6.173333333333335
4639,1017707335857397800,"['rt', 'dquest', 'trading', 'us', 'pm', 'gapers', 'cntf', 'izea', 'zgnx', 'glmd', 'ca', 'fpi', 'pzza', 'cbsh', 'gpro', 'i', 'ntra', 'oilu', 'huya', 'bili', 'twtr', 'opk', 'nvs', 'chk', 'nbr']",Fri Jul 13 09:48:31 +0000 2018,chase_mcdougle,PRGO,Perrigo Company plc,,False,5.646666666666667
5542,1017877413655646200,"['prgo', 'stock', 'quote', 'alert', 'for', 'perrigo', 'company', 'plc', 'nyseprgo', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Fri Jul 13 21:04:21 +0000 2018,Allstocknews,PRGO,Perrigo Company plc,,False,5.505999999999999
5721,1017957781339627500,"['analysts', 'see', 'eps', 'for', 'perrigo', 'company', 'plc', 'prgo', 'httpstcofvswgfwg']",Sat Jul 14 02:23:42 +0000 2018,whatsonthorold2,PRGO,Perrigo Company plc,https://www.whatsonthorold.com/2018/07/14/analysts-see-1-23-eps-for-perrigo-company-plc-prgo/,False,5.435
5722,1017957857499713500,"['perrigo', 'company', 'plc', 'prgo', 'eps', 'estimated', 'at', 'httpstcoewdkfefja']",Sat Jul 14 02:24:00 +0000 2018,mmahotstuff1,PRGO,Perrigo Company plc,https://www.mmahotstuff.com/2018/07/14/perrigo-company-plc-prgo-eps-estimated-at-1-23.html,False,5.306666666666667
5723,1017957995588866000,"['perrigo', 'company', 'plc', 'prgo', 'eps', 'estimated', 'at', 'httpstconmkuzkpn']",Sat Jul 14 02:24:33 +0000 2018,reurope_stock,PRGO,Perrigo Company plc,https://reurope.com/2018/07/14/perrigo-company-plc-prgo-eps-estimated-at-1-23/,False,5.306666666666667
5724,1017958131891138600,"['perrigo', 'company', 'plc', 'prgo', 'analysts', 'see', 'eps', 'httpstcoyqzdeqz']",Sat Jul 14 02:25:06 +0000 2018,bibeypost_stock,PRGO,Perrigo Company plc,https://www.bibeypost.com/perrigo-company-plc-prgo-analysts-see-1-23-eps/,False,5.506666666666667
6811,1018304494239649800,"['comparing', 'aslan', 'pharmaceuticals', 'adr', 'rep', 'asln', 'and', 'perrigo', 'prgo', 'httpstcoizekgazhj']",Sun Jul 15 01:21:25 +0000 2018,MareaInformativ,PRGO,Perrigo Company plc,http://www.mareainformativa.com/?p=444162,False,5.01
6837,1018313240609161200,"['rt', 'davidsettle', 'view', 'todays', 'marketoutlook', 'from', 'marketscholars', 'here', 'httpstcoepczinizs', 'discussed', 'spy', 'iwm', 'eem', 'ef']",Sun Jul 15 01:56:10 +0000 2018,FredCartaya,PRGO,Perrigo Company plc,https://wp.me/p9upfx-1LP,False,5.257142857142858
6911,1018329079836299300,"['perrigo', 'prgo', 'downgraded', 'to', 'sell', 'at', 'goldman', 'sachs', 'group', 'httpstcofjbqafspzd']",Sun Jul 15 02:59:06 +0000 2018,MareaInformativ,PRGO,Perrigo Company plc,http://www.mareainformativa.com/?p=445318,False,5.300000000000001
6919,1018330008492920800,"['head', 'to', 'head', 'review', 'sol', 'gel', 'technologies', 'slgl', 'vs', 'perrigo', 'prgo', 'httpstcodtlfljxw']",Sun Jul 15 03:02:48 +0000 2018,OlympiaReport,PRGO,Perrigo Company plc,http://theolympiareport.com/?p=923283,False,5.548571428571429
