,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3134,1017388430857252900,"['prudential', 'financial', 'pru', 'raised', 'to', 'buy', 'at', 'zacks', 'investment', 'research', 'httpstcotvflikwt']",Thu Jul 12 12:41:18 +0000 2018,ZolmaxNews,PRU,Prudential Financial,http://zolmax.com/?p=2377480,False,5.71
3135,1017389257961418800,"['prudential', 'financial', 'pru', 'upgraded', 'at', 'zacks', 'investment', 'research', 'httpstcotmvbuundg']",Thu Jul 12 12:44:35 +0000 2018,dakotafinancial,PRU,Prudential Financial,http://dakotafinancialnews.com/?p=313303,False,5.572
3340,1017413076180582400,"['pru', 'option', 'alert', 'jan', 'puts', 'at', 'the', 'bid', 'vs', 'oi', 'earnings', 'after', 'close', 'ref', 'pru']",Thu Jul 12 14:19:14 +0000 2018,twj_optionsflow,PRU,Prudential Financial,,False,5.321666666666666
3597,1017451781574549500,"['the', 'technical', 'rating', 'of', 'pru', 'is', 'bad', 'and', 'it', 'also', 'does', 'not', 'present', 'a', 'quality', 'setup', 'at', 'the', 'moment', 'httpstcoikmwjala']",Thu Jul 12 16:53:02 +0000 2018,ChartMill,PRU,Prudential Financial,https://twitter.com/i/web/status/1017451781574549506,False,5.172222222222223
3678,1017463419975462900,"['does', 'prudential', 'financial', 'inc', 'pru', 'have', 'any', 'gas', 'after', 'forming', 'this', 'wedge', 'down', 'pattern', 'httpstcoezvkvava']",Thu Jul 12 17:39:17 +0000 2018,mmahotstuff1,PRU,Prudential Financial,https://www.mmahotstuff.com/2018/07/12/does-prudential-financial-inc-pru-have-any-gas-after-forming-this-wedge-down-pattern.html,False,5.093333333333334
3962,1017507577154990100,"['vz', 'efx', 'nsc', 'cb', 'gs', 'jnj', 'ggp', 'ibm', 'vlo', 'zts', 'pru', 'itw', 'wuba', 'slb', 'ms', 'gm', 'dwdp', 'wfc', 'mcd', 'cnx', 'lll', 'ew', 'largest', 'm', 'httpstcopzynnnhiam']",Thu Jul 12 20:34:45 +0000 2018,teresaarthur66,PRU,Prudential Financial,https://twitter.com/i/web/status/1017507577154990081,False,5.12
4091,1017536680939618300,"['pru', 'perseus', 'mining', 'limited', 'activity', 'report', 'for', 'june', 'quarter', 'australian', 'stock', 'exchangehttpstcodstkandocq', 'httpstcoqcnykavu']",Thu Jul 12 22:30:24 +0000 2018,StockTexts,PRU,Prudential Financial,http://PRU.AX,False,5.477777777777778
4130,1017545076778520600,"['strong', 'result', 'from', 'perseusmining', 'pru', 'group', 'aisc', 'of', 'usoz', 'record', 'group', 'gold', 'production', 'of', 'oz', 'cas', 'httpstcorpoyaors']",Thu Jul 12 23:03:46 +0000 2018,StefiTrenberth,PRU,Prudential Financial,https://twitter.com/i/web/status/1017545076778520577,False,5.879999999999999
4145,1017548118114439200,"['rt', 'stefitrenberth', 'strong', 'result', 'from', 'perseusmining', 'pru', 'group', 'aisc', 'of', 'usoz', 'record', 'group', 'gold', 'production', 'of', 'oz', 'cash', 'ma']",Thu Jul 12 23:15:51 +0000 2018,NWRcomms,PRU,Prudential Financial,,False,5.932857142857143
4181,1017553556315009000,"['pru', 'perseus', 'mining', 'reveals', 'increasing', 'production', 'and', 'decreasing', 'costs', 'in', 'quarterly', 'report', 'httpstcoukokyrw', 'httpstcoukfjvyldq']",Thu Jul 12 23:37:27 +0000 2018,proactive_au,PRU,Prudential Financial,http://tinyurl.com/y8yv2bff,False,5.28
4210,1017560510365986800,"['the', 'report', 'is', 'excellent', 'in', 'terms', 'of', 'record', 'production', 'on', 'a', 'quarterly', 'halfyearly', 'amp', 'an', 'annual', 'basis', 'our', 'costs', 'ar', 'httpstcokmqnmlcidfri', 'jul', 'nwrcommspruprudential', 'financialhttpstwittercomiwebstatusfalseplease', 'just', 'look', 'at', 'the', 'tweet', 'and', 'replys', 'mtg', 'xlv', 'celg', 'endp', 'gild', 'czr', 'ngd', 'luv', 'hal', 'gern', 'gld', 'aig', 'wmt', 'lc', 'httpstcoqicqzojcfri', 'jul', 'oneoclockdropwyweyerhaeuser', 'companyhttpstwittercomiwebstatusfalsetop', 'stocks', 'with', 'ta', 'score', 'trending', 'up', 'nyse', 'y', 'out', 'ajg', 'bgb', 'kof', 'jsd', 'kst', 'inf', 'kref', 'len', 'ncr', 'ayi', 'agm', 'bxmt', 'httpstcojxfcpuwblhfri', 'jul', 'mitickwatcherajgarthur', 'j', 'gallagher', 'cohttpstwittercomiwebstatusfalseplease', 'just', 'look', 'the', 'tweet', 'and', 'replys', 'stng', 'f', 'dal', 'uvxy', 'bbd', 'fcx', 'msft', 'iq', 'pfe', 'uso', 'c', 'xle', 'aks', 'teva', 'mfgp', 'httpstcopgqquaekfri', 'jul', 'oneoclockdropmchpmicrochip', 'technology', 'incorporatedhttpstwittercomiwebstatusfalsewm', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcoboudjbvl', 'httpstcoudswioswcmfri', 'jul', 'optionchartswmwaste', 'managementhttpmaximumpaincomoptionsmaxpainwmfalsefear', 'of', 'missing', 'out', 'fomo', 'will', 'drive', 'an', 'influx', 'of', 'capital', 'amp', 'interest', 'in', 'ar', 'mixedreality', 'beginning', 'h', 'att', 'httpstcoyzaeafqaefri', 'jul', 'dzierlerhimxhimax', 'technologieshttpstwittercomiwebstatusfalse', 'eps', 'expected', 'for', 'xilinx', 'inc', 'xlnx', 'this', 'quarter', 'httpstcozxbebolonfri', 'jul', 'mareainformativxlnxxilinxhttpwwwmareainformativacompfalsezacks', 'analysts', 'anticipate', 'xilinx', 'inc', 'xlnx', 'to', 'post', 'earnings', 'per', 'share', 'httpstcodfxusvnrlfri', 'jul', 'thislincolnianxlnxxilinxhttpthelincolnianonlinecompfalse', 'eps', 'expected', 'for', 'xilinx', 'inc', 'xlnx', 'this', 'quarter', 'httpstcosnogilxiyfri', 'jul', 'weekheraldxlnxxilinxhttpweekheraldcompfalsei', 'hum', 'emo', 'flow', 'ms', 'axe', 'at', 'a', 'pen', 'dangfri', 'jul', 'stockbardhumhumana', 'incfalse', 'billion', 'in', 'sales', 'expected', 'for', 'zoetis', 'inc', 'zts', 'this', 'quarter', 'httpstcolinopgkueyfri', 'jul', 'transcriptdailyztszoetis', 'inchttpzprioacgfalsefairmount', 'santrol', 'fmsa', 'versus', 'compass', 'minerals', 'international', 'cmp', 'headtohead', 'comparison', 'httpstcohiwischfri', 'jul', 'watchlistnfmsafairmount', 'santrol', 'holdings', 'inchttpzprioacefalsemore', 'bitcoin', 'crypto', 'and', 'x', 'leveraged', 'crude', 'oil', 'etfs', 'please', 'gbtc', 'mgti', 'grow', 'cme', 'cboe', 'amd', 'nvda', 'ostk', 'spy', 'httpstcosbsfcphfri', 'jul', 'mykesmithcmecme', 'group', 'inchttpstwittercomiwebstatusfalsebrokerages', 'anticipate', 'zoetis', 'inc', 'zts', 'to', 'announce', 'eps', 'httpstcoffqcvktpghfri', 'jul', 'themarketsdailyztszoetis', 'inchttpzprioaciefalseinvestors', 'buy', 'tyson', 'foods', 'tsn', 'on', 'weakness', 'httpstcoqycvvjtfri', 'jul', 'mareainformativtsntyson', 'foodshttpwwwmareainformativacompfalsepattersonuti', 'energy', 'pten', 'given', 'a', 'price', 'target', 'at', 'bmo', 'capital', 'markets', 'httpstcofbiyfmuaefri', 'jul', 'mareainformativptenpattersonuti', 'energyhttpwwwmareainformativacompfalseby', 'building', 'up', 'our', 'cash', 'balances', 'as', 'we', 'have', 'were', 'building', 'up', 'the', 'wherewithal', 'to', 'continue', 'the', 'growth', 'of', 'the', 'compa', 'httpstcouorkpngv']",Fri Jul 13 00:18:39 +0000 2018,NWRcomms,PRU,Prudential Financial,https://twitter.com/i/web/status/1017563921832525827,False,5.398156028368795
4211,1017564091118846000,"['rt', 'nwrcomms', 'the', 'report', 'is', 'excellent', 'in', 'terms', 'of', 'record', 'production', 'on', 'a', 'quarterly', 'halfyearly', 'amp', 'an', 'annual', 'basis', 'our', 'costs', 'are', 'dropping']",Fri Jul 13 00:19:19 +0000 2018,perseusmining,PRU,Prudential Financial,,False,5.265714285714284
4213,1017564135192531000,"['rt', 'nwrcomms', 'by', 'building', 'up', 'our', 'cash', 'balances', 'as', 'we', 'have', 'were', 'building', 'up', 'the', 'wherewithal', 'to', 'continue', 'the', 'growth', 'of', 'the', 'company', 'spea']",Fri Jul 13 00:19:29 +0000 2018,perseusmining,PRU,Prudential Financial,,False,5.623
4214,1017564374364328000,"['rt', 'nwrcomms', 'the', 'report', 'is', 'excellent', 'in', 'terms', 'of', 'record', 'production', 'on', 'a', 'quarterly', 'halfyearly', 'amp', 'an', 'annual', 'basis', 'our', 'costs', 'are', 'dropping']",Fri Jul 13 00:20:26 +0000 2018,StefiTrenberth,PRU,Prudential Financial,,False,5.265714285714284
4227,1017569254886006800,"['rt', 'perseusmining', 'rt', 'nwrcomms', 'the', 'report', 'is', 'excellent', 'in', 'terms', 'of', 'record', 'production', 'on', 'a', 'quarterly', 'halfyearly', 'amp', 'httpstcojevsotsj']",Fri Jul 13 00:39:50 +0000 2018,mineinafrica,PRU,Prudential Financial,https://twitter.com/i/web/status/1017569254886006784,False,5.393333333333333
4228,1017569260091199500,"['rt', 'perseusmining', 'rt', 'nwrcomms', 'by', 'building', 'up', 'our', 'cash', 'balances', 'as', 'we', 'have', 'were', 'building', 'up', 'the', 'wherewithal', 'to', 'c', 'httpstcowtuanhuj']",Fri Jul 13 00:39:51 +0000 2018,mineinafrica,PRU,Prudential Financial,https://twitter.com/i/web/status/1017569260091199488,False,5.583750000000001
4229,1017569496792354800,"['rt', 'nwrcomms', 'by', 'building', 'up', 'our', 'cash', 'balances', 'as', 'we', 'have', 'were', 'building', 'up', 'the', 'wherewithal', 'to', 'continue', 'the', 'growth', 'of', 'the', 'company', 'spea']",Fri Jul 13 00:40:48 +0000 2018,AnneLeslie18,PRU,Prudential Financial,,False,5.623
4326,1017594030174146600,"['rt', 'dailystockplays', 'big', 'call', 'activity', 'httpstcomwkhcfmg', 'tjx', 'snap', 'mrvl', 'payx', 'feye', 'byd', 'csco', 'tndm', 'cost', 'cara', 'msft', 'peg', 'pg']",Fri Jul 13 02:18:17 +0000 2018,carnationbeads,PRU,Prudential Financial,http://www.dailystockplays.com/Unusual-Call-Option-Activity-Today-2018-07-11.html,False,5.434285714285714
4388,1017614542790987800,"['perseus', 'mining', 'ltds', 'june', 'quarterly', 'conference', 'call', 'gold', 'produced', 'up', 'on', 'the', 'quarter', 'httpstcoraovbjmp']",Fri Jul 13 03:39:48 +0000 2018,boardroom_media,PRU,Prudential Financial,https://twitter.com/i/web/status/1017614542790987777,False,5.752727272727273
4701,1017723059740991500,"['the', 'markets', 'top', 'dividend', 'stocks', 'httpstcolcjmhfhbq', 'gm', 'de', 'emr', 'px', 'so', 'f', 'bbt', 'nsc', 'pru', 'met', 'd', 'exc', 'tgt', 'mpc', 'hpq']",Fri Jul 13 10:51:00 +0000 2018,FinInvTr,PRU,Prudential Financial,https://buff.ly/2mcn8g9,False,5.363636363636363
