,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
605,1016426303069868000,"['httpstcovpiilorw', 'pten', 'pattersonuti', 'energy', 'up', 'million', 'gain', 'pten', 'has', 'made', 'notable', 'gains', 'in', 'httpstcoemdplqyk']",Mon Jul 09 20:58:09 +0000 2018,42Stocks,PTEN,Patterson-UTI Energy,http://42stocks.com/sym/pten.html,False,6.325
826,1016557097813766100,"['head', 'to', 'head', 'review', 'pattersonuti', 'energy', 'pten', 'amp', 'vantage', 'drilling', 'vtgdf', 'httpstcoyzolkvlwup']",Tue Jul 10 05:37:53 +0000 2018,TheMarketsDaily,PTEN,Patterson-UTI Energy,http://zpr.io/6T8SM,False,5.8133333333333335
853,1016576163744026600,"['guggenheim', 'downgrades', 'pattersonuti', 'energy', 'pten', 'to', 'neutral', 'httpstcowfehjgpz']",Tue Jul 10 06:53:39 +0000 2018,dispatchtribune,PTEN,Patterson-UTI Energy,http://dispatchtribunal.com/?p=2043761,False,5.760000000000001
854,1016576641789759500,"['guggenheim', 'downgrades', 'pattersonuti', 'energy', 'pten', 'to', 'neutral', 'httpstcopdnzkgpes']",Tue Jul 10 06:55:33 +0000 2018,ThisLincolnian,PTEN,Patterson-UTI Energy,http://thelincolnianonline.com/?p=2173474,False,5.760000000000001
922,1016629239473467400,"['analysts', 'see', 'eps', 'for', 'pattersonuti', 'energy', 'inc', 'pten', 'httpstcoeglsfmk']",Tue Jul 10 10:24:33 +0000 2018,The_CasualSmart,PTEN,Patterson-UTI Energy,https://thecasualsmart.com/2018/07/10/analysts-see-0-04-eps-for-patterson-uti-energy-inc-pten-2/,False,5.643999999999999
923,1016629358293868500,"['analysts', 'see', 'eps', 'for', 'pattersonuti', 'energy', 'inc', 'pten', 'httpstcoqjjrpnsm']",Tue Jul 10 10:25:01 +0000 2018,whatsonthorold2,PTEN,Patterson-UTI Energy,https://www.whatsonthorold.com/2018/07/10/analysts-see-0-04-eps-for-patterson-uti-energy-inc-pten/,False,5.643999999999999
925,1016629603362885600,"['analysts', 'see', 'eps', 'for', 'pattersonuti', 'energy', 'inc', 'pten', 'httpstcotozqcos']",Tue Jul 10 10:26:00 +0000 2018,reurope_stock,PTEN,Patterson-UTI Energy,https://reurope.com/2018/07/10/analysts-see-0-04-eps-for-patterson-uti-energy-inc-pten/,False,5.643999999999999
926,1016629699265613800,"['eps', 'for', 'pattersonuti', 'energy', 'inc', 'pten', 'expected', 'at', 'httpstcocfgghoncdl']",Tue Jul 10 10:26:23 +0000 2018,bibeypost_stock,PTEN,Patterson-UTI Energy,https://www.bibeypost.com/eps-for-patterson-uti-energy-inc-pten-expected-at-0-04/,False,5.556
1110,1016681246259281900,"['httpstcovpiilorw', 'pten', 'pattersonuti', 'energy', 'up', 'million', 'gain', 'pten', 'has', 'made', 'notable', 'gains', 'in', 'httpstcoalvtvlmu']",Tue Jul 10 13:51:12 +0000 2018,42Stocks,PTEN,Patterson-UTI Energy,http://42stocks.com/sym/pten.html,False,6.325
1133,1016687821682298900,"['httpstcovjkmngxvx', 'glng', 'mro', 'nok', 'oas', 'pten', 'httpstcowohtcwvdp']",Tue Jul 10 14:17:20 +0000 2018,42Stocks,PTEN,Patterson-UTI Energy,http://42stocks.com,False,0.0
1157,1016695347140354000,"['httpstcovjkmngxvx', 'alny', 'apa', 'glng', 'mro', 'nok', 'oas', 'oii', 'pten', 'tsla', 'httpstcokqofvx']",Tue Jul 10 14:47:14 +0000 2018,42Stocks,PTEN,Patterson-UTI Energy,http://42stocks.com,False,4.8
1169,1016698564393742300,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'spxs', 'is', 'httpstcomhdmiogmn', 'pten', 'wu', 'ccl', 'qep']",Tue Jul 10 15:00:01 +0000 2018,shortvolumes,PTEN,Patterson-UTI Energy,http://shortvolumes.com/?t=SPXS,False,5.2375
1184,1016702899467046900,"['httpstcovjkmngxvx', 'alny', 'apa', 'cy', 'deo', 'glng', 'glpg', 'mro', 'nok', 'oas', 'oii', 'pe', 'pten', 'rdfn', 'tsla', 'httpstcomnriakzf']",Tue Jul 10 15:17:15 +0000 2018,42Stocks,PTEN,Patterson-UTI Energy,http://42stocks.com,False,4.8
1213,1016710462979887100,"['httpstcovjkmngxvx', 'alny', 'apa', 'cy', 'deo', 'eca', 'glng', 'glpg', 'hubb', 'insp', 'mro', 'mu', 'nok', 'oas', 'oii', 'pe', 'pten', 'rdfn', 'httpstcoxpsjdaqyw']",Tue Jul 10 15:47:18 +0000 2018,42Stocks,PTEN,Patterson-UTI Energy,http://42stocks.com,False,4.913333333333333
