,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
14294,1019231635714269200,"['moddarvasbox', 'scotandt', 'tickermonkey', 'this', 'is', 'literally', 'a', 'guess', 'on', 'my', 'part', 'but', 'i', 'think', 'spot', 'will', 'likely', 'become', 'a', 'httpstconkfapw']",Tue Jul 17 14:45:33 +0000 2018,2themoon,PYPL,PayPal Holdings,https://twitter.com/i/web/status/1019231635714269189,False,5.51
14309,1019232502496596000,"['wolfe', 'research', 'begins', 'coverage', 'on', 'paypal', 'pypl', 'httpstcomdua']",Tue Jul 17 14:48:59 +0000 2018,ledgerzette,PYPL,PayPal Holdings,http://ledgergazette.com/?p=2831925,False,5.905
14368,1019235662971768800,"['pypl', 'in', 'the', 'process', 'of', 'digesting', 'and', 'retesting', 'its', 'recent', 'breakout', 'httpstcoxuhnuvvzc']",Tue Jul 17 15:01:33 +0000 2018,OptionTrader23,PYPL,PayPal Holdings,,False,5.231428571428572
14395,1019236894151008300,"['pypl', 'flag', 'complete']",Tue Jul 17 15:06:26 +0000 2018,taxace21,PYPL,PayPal Holdings,,False,6.5
14483,1019241611056894000,"['with', 'past', 'performance', 'like', 'this', 'how', 'can', 'you', 'not', 'sign', 'up', 'for', 'a', 'free', 'day', 'trial', 'to', 'httpstcokrweweehx', 'winning', 'httpstcojzywxykskt']",Tue Jul 17 15:25:11 +0000 2018,OptionAlarm,PYPL,PayPal Holdings,http://ow.ly/dqcz30kY4Pr,False,5.733333333333331
14490,1019242011461734400,"['glob', 'pypl', 'couple', 'strong', 'ibd', 'names', 'backtesting', 'recent', 'breakouts', 'httpstcoixponbrm']",Tue Jul 17 15:26:46 +0000 2018,OptionsMamba,PYPL,PayPal Holdings,,False,6.31
14693,1019253155119411200,"['of', 'the', 'many', 'reasons', 'pypl', 'is', 'a', 'buy', 'httpstcozfchvkzc']",Tue Jul 17 16:11:03 +0000 2018,t_Muckerman,PYPL,PayPal Holdings,https://www.fool.com/investing/2018/07/17/8-reasons-paypal-is-a-buy.aspx,False,5.385714285714286
14755,1019256209097068500,"['breaking', 'millervalue', 'valueinvesting', 'ma', 'v', 'pypl', 'jpm', 'mastercard', 'wins', 'patent', 'for', 'speeding', 'up', 'crypto', 'payments', 'httpstcoaxgavhoc']",Tue Jul 17 16:23:11 +0000 2018,JohnSpall247,PYPL,PayPal Holdings,https://twitter.com/i/web/status/1019256209097068546,False,5.609999999999999
14783,1019257949728854000,"['pypl', 'strong', 'off', 'the', 'lows']",Tue Jul 17 16:30:06 +0000 2018,TraderMentality,PYPL,PayPal Holdings,,False,5.353333333333333
14997,1019269106544103400,"['target', 'on', 'ttg', 'day', 'trade', 'pypl', 'jul', 'c', 'paid', 'httpstcolakgqhp']",Tue Jul 17 17:14:26 +0000 2018,cfromhertz,PYPL,PayPal Holdings,,False,5.863333333333333
