,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
11973,1019019191494443000,"['there', 'were', 'mms', 'on', 'cdix', 'today', 'qqq', 'aapl', 'tvix', 'veon', 'csco', 'siri', 'rook', 'mu', 'msft', 'fb', 'sqqq', 'intc', 'cmcsa', 'amat', 'httpstcokblnuuyt']",Tue Jul 17 00:41:22 +0000 2018,OneOClockDrop,QCOM,QUALCOMM Incorporated,https://twitter.com/i/web/status/1019019191494443008,False,5.3933333333333335
11974,1019019211992191000,"['rt', 'plantandwatch', 'kopn', 'gregtruman', 'shld', 'be', 'coo', 'kopin', 'on', 'ar', 'enterprise', 'unit', 'sales', 'httpstcopxbxexpr', 'at', 'awe', 'must', 'watch', 'k', 'un']",Tue Jul 17 00:41:27 +0000 2018,GGlassFan,QCOM,QUALCOMM Incorporated,https://www.youtube.com/watch?v=9qvWuPWXNFM&list=PLLri17oDqCEV87wCTSpg-tM7rv_3d55o2,False,5.352307692307692
11986,1019021080265183200,"['stockstowatch', 'kopn', 'strategic', 'partner', 'goertek', 'goertekusa', 'teamed', 'with', 'qcom', 'qualcomm', 'to', 'bring', 'wearables', 'httpstcoexczdnat']",Tue Jul 17 00:48:52 +0000 2018,Plantandwatch,QCOM,QUALCOMM Incorporated,https://twitter.com/i/web/status/1019021080265183233,False,5.720000000000001
12028,1019027765390139400,"['imo', 'qcom', 'qualcomm', 'qualcomm', 'kopn', 'goertekusa', 'dominance', 'in', 'ar', 'vr', 'mr', 'smartglasses', 'wearables', 'and', 'httpstcokixtvgdy']",Tue Jul 17 01:15:26 +0000 2018,Plantandwatch,QCOM,QUALCOMM Incorporated,https://twitter.com/i/web/status/1019027765390139392,False,5.225
12293,1019069902941016000,"['qcom', 'mean', 'reverting', 'chart', 'httpstcoaukqbzbktg']",Tue Jul 17 04:02:52 +0000 2018,TopTickrs,QCOM,QUALCOMM Incorporated,,False,4.46
12332,1019076126256140300,"['see', 'what', 'cdix', 'has', 'to', 'offer', 'qqq', 'aapl', 'tvix', 'veon', 'csco', 'siri', 'rook', 'mu', 'msft', 'fb', 'sqqq', 'intc', 'cmcsa', 'amat', 'nvda', 'httpstcopedlvtxt']",Tue Jul 17 04:27:36 +0000 2018,OneOClockDrop,QCOM,QUALCOMM Incorporated,https://twitter.com/i/web/status/1019076126256140289,False,5.465714285714286
12335,1019076426874552300,"['see', 'what', 'cdix', 'has', 'to', 'offer', 'msft', 'amzn', 'fb', 'goog', 'jnj', 'jpm', 'googol', 'abc', 'wfc', 'wmt', 'cvx', 'hd', 'pg', 'unh', 'pfe', 'qcom', 'httpstcomqnbklo']",Tue Jul 17 04:28:48 +0000 2018,OneOClockDrop,QCOM,QUALCOMM Incorporated,https://twitter.com/i/web/status/1019076426874552320,False,5.517500000000001
12357,1019081648942538800,"['qcom', 'mean', 'reverting', 'chart', 'httpstcotabgurkga']",Tue Jul 17 04:49:33 +0000 2018,TopTickrs,QCOM,QUALCOMM Incorporated,,False,4.46
12366,1019083584068612100,"['fb', 'hires', 'ex', 'goog', 'lead', 'visual', 'core', 'chip', 'developer', 'shahriar', 'rabii', 'to', 'bring', 'chip', 'design', 'inhouse', 'intc', 'qcom', 'nvda']",Tue Jul 17 04:57:14 +0000 2018,Ro_Patel,QCOM,QUALCOMM Incorporated,,False,5.490909090909091
12371,1019085461971759100,"['qcom', 'slowly', 'creeping', 'up', 'xiaomi', 'took', 'a', 'dip', 'on', 'the', 'first', 'day', 'but', 'slowly', 'gaining', 'momentum', 'again', 'as', 'long', 'as', 'xiaomi', 'd', 'httpstcorfblpsab']",Tue Jul 17 05:04:42 +0000 2018,IronmanOptions,QCOM,QUALCOMM Incorporated,https://twitter.com/i/web/status/1019085461971759105,False,5.110588235294117
12544,1019106317154246700,"['qualcomm', 'qcom', 'and', 'ubiquiti', 'networks', 'ubnt', 'headtohead', 'contrast', 'httpstcopwrbkslp']",Tue Jul 17 06:27:34 +0000 2018,ZolmaxNews,QCOM,QUALCOMM Incorporated,http://zolmax.com/?p=2386280,False,5.32
12548,1019107051845439500,"['ubiquiti', 'networks', 'ubnt', 'and', 'qualcomm', 'qcom', 'financial', 'contrast', 'httpstcooaurqtsld']",Tue Jul 17 06:30:29 +0000 2018,dailypoliticaln,QCOM,QUALCOMM Incorporated,http://www.dailypolitical.com/?p=2206171,False,5.345
12780,1019138266736586800,"['facebooks', 'chip', 'ambitions', 'get', 'real', 'doubling', 'down', 'on', 'vr', 'and', 'ar', 'themotleyfool', 'stocks', 'fb', 'qcom', 'httpstcoqamwsfs']",Tue Jul 17 08:34:32 +0000 2018,parisvi,QCOM,QUALCOMM Incorporated,https://www.fool.com/investing/2018/07/16/facebooks-chip-ambitions-get-real.aspx,False,5.36888888888889
12785,1019138982767185900,"['rt', 'parisvi', 'facebooks', 'chip', 'ambitions', 'get', 'real', 'doubling', 'down', 'on', 'vr', 'and', 'ar', 'themotleyfool', 'stocks', 'fb', 'qcom', 'httpstcoqamwsfs']",Tue Jul 17 08:37:22 +0000 2018,Immortul,QCOM,QUALCOMM Incorporated,https://www.fool.com/investing/2018/07/16/facebooks-chip-ambitions-get-real.aspx,False,5.32
12786,1019139008834756600,"['rt', 'parisvi', 'facebooks', 'chip', 'ambitions', 'get', 'real', 'doubling', 'down', 'on', 'vr', 'and', 'ar', 'themotleyfool', 'stocks', 'fb', 'qcom', 'httpstcoqamwsfs']",Tue Jul 17 08:37:29 +0000 2018,BigGibAIM,QCOM,QUALCOMM Incorporated,https://www.fool.com/investing/2018/07/16/facebooks-chip-ambitions-get-real.aspx,False,5.32
