,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
25372,1019675577119379500,"['tp', 'min', 'iwm', 'looks', 'ripe', 'while', 'qqq', 'spy', 'may', 'be', 'a', 'little', 'winded', 'wbear', 'divergences', 'showing', 'could', 'just', 'be', 'working', 'httpstconxtesgjl']",Wed Jul 18 20:09:36 +0000 2018,gtlackey,QQQ,Invesco QQQ Trust,https://twitter.com/i/web/status/1019675577119379461,False,5.318571428571429
25395,1019675976316227600,"['rt', 'charliebilello', 'your', 'market', 'recap', 'fb', 'alltime', 'high', 'amzn', 'alltime', 'high', 'msft', 'alltime', 'high', 'googl', 'alltime', 'high', 'qqq', 'alltime']",Wed Jul 18 20:11:12 +0000 2018,r0unak,QQQ,Invesco QQQ Trust,,False,6.1000000000000005
25397,1019676006599286800,"['qqq', 'showing', 'the', 'same', 'kind', 'of', 'macd', 'resistance', 'httpstcofhcdynnnik']",Wed Jul 18 20:11:19 +0000 2018,ShawEquityFeed,QQQ,Invesco QQQ Trust,,False,5.456666666666667
25404,1019676170508353500,"['rt', 'thebubblebubble', 'the', 'men', 'who', 'steered', 'the', 'us', 'through', 'the', 'crash', 'think', 'were', 'forgetting', 'lessons', 'from', 'the', 'crisis', 'httpstcogfasw']",Wed Jul 18 20:11:58 +0000 2018,The_Mainlander,QQQ,Invesco QQQ Trust,,False,4.925000000000001
25430,1019676623497441300,"['index', 'is', 'trading', 'at', 'trend', 'line', 'resistance', 'spy', 'qqq', 'dow', 'rut', 'httpstcogosdol']",Wed Jul 18 20:13:46 +0000 2018,tradingETFs,QQQ,Invesco QQQ Trust,,False,5.080000000000001
25518,1019678376699879400,"['rt', 'thebubblebubble', 'the', 'men', 'who', 'steered', 'the', 'us', 'through', 'the', 'crash', 'think', 'were', 'forgetting', 'lessons', 'from', 'the', 'crisis', 'httpstcogfasw']",Wed Jul 18 20:20:44 +0000 2018,malimujo,QQQ,Invesco QQQ Trust,,False,4.925000000000001
25538,1019678807454900200,"['take', 'it', 'day', 'by', 'day', 'here', 'at', 'this', 'point', 'spy', 'spx', 'qqq', 'better', 'safe', 'amp', 'risk', 'free', 'than', 'overly', 'exposed', 'right', 'now', 'good', 'luck', 'traders', 'aapl', 'fb']",Wed Jul 18 20:22:27 +0000 2018,OptionsPros,QQQ,Invesco QQQ Trust,,False,5.683478260869566
25561,1019679278118531100,"['rt', 'thebubblebubble', 'the', 'men', 'who', 'steered', 'the', 'us', 'through', 'the', 'crash', 'think', 'were', 'forgetting', 'lessons', 'from', 'the', 'crisis', 'httpstcogfasw']",Wed Jul 18 20:24:19 +0000 2018,Santamoniker,QQQ,Invesco QQQ Trust,,False,4.925000000000001
25625,1019680198277640200,"['everyone', 'in', 'the', 'pool', 'the', 'water', 'is', 'fine', 'spy', 'still', 'a', 'long', 'since', 'was', 'broken', 'with', 'targets', 'being', 'httpstcoccyjoxyl']",Wed Jul 18 20:27:58 +0000 2018,SmartTraderTips,QQQ,Invesco QQQ Trust,https://twitter.com/i/web/status/1019680198277640192,False,5.306666666666667
25631,1019680291219214300,"['rt', 'thebubblebubble', 'the', 'men', 'who', 'steered', 'the', 'us', 'through', 'the', 'crash', 'think', 'were', 'forgetting', 'lessons', 'from', 'the', 'crisis', 'httpstcogfasw']",Wed Jul 18 20:28:20 +0000 2018,mauriciowolf13,QQQ,Invesco QQQ Trust,,False,4.925000000000001
