,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
267,1016306771244138500,"['big', 'call', 'activity', 'httpstcobmexhiul', 'vnom', 'abx', 'de', 'mdr', 'abbv', 'wll', 'apc', 'qrvo', 'twtr', 'on', 'vc', 'aaba', 'celg', 'jci', 'httpstcoesrkzppe']",Mon Jul 09 13:03:10 +0000 2018,DailyStockPlays,QRVO,Qorvo,http://www.dailystockplays.com/Unusual-Call-Option-Activity-Today-2018-07-05.html,False,5.583333333333333
606,1016427255734722600,"['qrvo', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcolvukvfpnyz', 'httpstconmksyfok']",Mon Jul 09 21:01:56 +0000 2018,optioncharts,QRVO,Qorvo,http://maximum-pain.com/options/open-interest/QRVO,False,5.5775
883,1016608557666586600,"['million', 'in', 'sales', 'expected', 'for', 'qorvo', 'inc', 'qrvo', 'this', 'quarter', 'httpstcorjmucgvka']",Tue Jul 10 09:02:22 +0000 2018,TranscriptDaily,QRVO,Qorvo,http://zpr.io/6Twn2,False,5.620000000000001
1066,1016670526906032100,"['qorvo', 'announces', 'proposed', 'million', 'senior', 'notes', 'offering', 'qrvo', 'httpstcocksjnllyd']",Tue Jul 10 13:08:37 +0000 2018,GNWLive,QRVO,Qorvo,http://bit.ly/2ukycM9,False,6.113333333333333
1071,1016671129971380200,"['qrvo', 'qorvo', 'announces', 'proposed', 'million', 'senior', 'notes', 'offering', 'httpstcobzvxpbz']",Tue Jul 10 13:11:00 +0000 2018,stockelite,QRVO,Qorvo,http://bit.ly/2un7an4,False,6.113333333333333
1104,1016677466428051500,"['qrvo', 'qorvo', 'inc', 'sec', 'filing', 'form', 'k', 'httpstcoixrwcbom']",Tue Jul 10 13:36:11 +0000 2018,StockTexts,QRVO,Qorvo,http://www.sec.gov/Archives/edgar/data/1604778/000160477818000057/form8-knoteslaunchjune20.htm,False,5.04
1120,1016683741131882500,"['qorvo', 'plans', 'm', 'debt', 'offering', 'httpstcodharacktq', 'qrvo']",Tue Jul 10 14:01:07 +0000 2018,MarketCurrents,QRVO,Qorvo,https://seekingalpha.com/news/3368936-qorvo-plans-300m-debt-offering?source=feed_f,False,5.12
1121,1016683742440505300,"['qorvo', 'plans', 'm', 'debt', 'offering', 'httpstcoyqgtijvcef', 'qrvo']",Tue Jul 10 14:01:07 +0000 2018,SAlphaTech,QRVO,Qorvo,https://seekingalpha.com/news/3368936-qorvo-plans-300m-debt-offering?source=twitter_salphatech,False,5.12
1123,1016684140043915300,"['rt', 'marketcurrents', 'qorvo', 'plans', 'm', 'debt', 'offering', 'httpstcodharacktq', 'qrvo']",Tue Jul 10 14:02:42 +0000 2018,BretRosenthal,QRVO,Qorvo,https://seekingalpha.com/news/3368936-qorvo-plans-300m-debt-offering?source=feed_f,False,5.072
1125,1016685229652828200,"['qrvo', 'new', 'sec', 'filing', 'for', 'qrvo', 'form', 'k', 'no', 'httpstcozaekldkj']",Tue Jul 10 14:07:02 +0000 2018,Stock_News_Now,QRVO,Qorvo,http://stocknewsflow.com/1604778_000160477818000057_0001604778-18-000057,False,5.145714285714285
1149,1016692449828327400,"['qrvo', 'struggling', 'with', 'for', 'now', 'a', 'move', 'over', 'it', 'can', 'get', 'the', 'ball', 'rolling']",Tue Jul 10 14:35:43 +0000 2018,gtlackey,QRVO,Qorvo,,False,5.281538461538461
1151,1016693121407594500,"['qrvo', 'short', 'aug', 'put', 'at', 'annualized', 'return', 'or', 'long', 'from', 'days', 'trade', 'refish']",Tue Jul 10 14:38:24 +0000 2018,1speculator,QRVO,Qorvo,,False,5.188000000000001
1182,1016701858155413500,"['qrvo', 'qorvo', 'announces', 'proposed', 'offering', 'of', 'mln', 'principal', 'amount', 'of', 'senior', 'notes', 'due', 'httpstcoyebvkqr']",Tue Jul 10 15:13:07 +0000 2018,Briefingcom,QRVO,Qorvo,http://bit.ly/2KXOZi5,False,5.46
1233,1016714958715879400,"['qrvo', 'already', 'in', 'this', 'one', 'but', 'it', 'came', 'through', 'on', 'sampp', 'scan', 'im', 'running', 'now', 'above', 'this', 'levels', 'could', 'be', 'huge', 'run', 'httpstcowtmoemvpy']",Tue Jul 10 16:05:10 +0000 2018,mairuzu3030,QRVO,Qorvo,,False,5.413684210526316
1377,1016753245182681100,"['investment', 'analysts', 'weekly', 'ratings', 'changes', 'for', 'qorvo', 'qrvo', 'httpstcortoahoss']",Tue Jul 10 18:37:18 +0000 2018,MareaInformativ,QRVO,Qorvo,http://www.mareainformativa.com/?p=418343,False,5.386666666666667
1378,1016753252367568900,"['investment', 'analysts', 'weekly', 'ratings', 'changes', 'for', 'qorvo', 'qrvo', 'httpstcofcdlkohnsc']",Tue Jul 10 18:37:20 +0000 2018,dispatchtribune,QRVO,Qorvo,http://dispatchtribunal.com/?p=2045031,False,5.386666666666667
1379,1016753570551562200,"['investment', 'analysts', 'weekly', 'ratings', 'changes', 'for', 'qorvo', 'qrvo', 'httpstcoatsertpvi']",Tue Jul 10 18:38:36 +0000 2018,OlympiaReport,QRVO,Qorvo,http://theolympiareport.com/?p=915623,False,5.386666666666667
