,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
4064,1017528596599115800,"['investors', 'buy', 'shares', 'of', 'royal', 'caribbean', 'cruises', 'rcl', 'on', 'weakness', 'httpstcoueauuhih']",Thu Jul 12 21:58:16 +0000 2018,ZolmaxNews,RCL,Royal Caribbean Cruises Ltd.,http://zolmax.com/?p=2378697,False,5.388571428571429
4218,1017566317300408300,"['unusual', 'options', 'pypl', 'gg', 'avgo', 'csco', 'adsk', 'bidu', 'aeo', 'bita', 'bks', 'akrx', 'apc', 'wfc', 'qcom', 'adbe', 'tot', 'rcl', 'pep', 'rl', 'bhge', 'dbx', 'nsc']",Fri Jul 13 00:28:10 +0000 2018,TopStockAlerts1,RCL,Royal Caribbean Cruises Ltd.,,False,5.453333333333333
4282,1017580483041845200,"['readcloud', 'rclax', 'rcl', 'k', 'c', 'ma', 'c', 'vol', 'k', 'av', 'k', 'soi', 'm', 'lk', 'mc', 'm', 'httpstconvpmfyj']",Fri Jul 13 01:24:27 +0000 2018,ShaMktAn,RCL,Royal Caribbean Cruises Ltd.,https://twitter.com/i/web/status/1017580483041845248,False,5.125454545454546
4426,1017627155491106800,"['royal', 'caribbean', 'cruises', 'ltd', 'rcl', 'eps', 'estimated', 'at', 'httpstcoadtaret']",Fri Jul 13 04:29:55 +0000 2018,The_CasualSmart,RCL,Royal Caribbean Cruises Ltd.,https://thecasualsmart.com/2018/07/13/royal-caribbean-cruises-ltd-rcl-eps-estimated-at-1-92-2/,False,5.275
4427,1017627277104943100,"['royal', 'caribbean', 'cruises', 'ltd', 'rcl', 'analysts', 'see', 'eps', 'httpstcoirzdvllxs']",Fri Jul 13 04:30:24 +0000 2018,whatsonthorold2,RCL,Royal Caribbean Cruises Ltd.,https://www.whatsonthorold.com/2018/07/13/royal-caribbean-cruises-ltd-rcl-analysts-see-1-92-eps-2/,False,5.425
4428,1017627363834654700,"['royal', 'caribbean', 'cruises', 'ltd', 'rcl', 'eps', 'estimated', 'at', 'httpstcoxlmbnzep']",Fri Jul 13 04:30:44 +0000 2018,mmahotstuff1,RCL,Royal Caribbean Cruises Ltd.,https://www.mmahotstuff.com/2018/07/13/royal-caribbean-cruises-ltd-rcl-eps-estimated-at-1-92.html,False,5.275
4431,1017628450415398900,"['analysts', 'see', 'eps', 'for', 'royal', 'caribbean', 'cruises', 'ltd', 'rcl', 'httpstcorrayktexf']",Fri Jul 13 04:35:03 +0000 2018,reurope_stock,RCL,Royal Caribbean Cruises Ltd.,https://reurope.com/2018/07/13/analysts-see-1-92-eps-for-royal-caribbean-cruises-ltd-rcl/,False,5.3839999999999995
4432,1017628527326388200,"['royal', 'caribbean', 'cruises', 'ltd', 'rcl', 'analysts', 'see', 'eps', 'httpstcokcokyyaxc']",Fri Jul 13 04:35:22 +0000 2018,bibeypost_stock,RCL,Royal Caribbean Cruises Ltd.,https://www.bibeypost.com/royal-caribbean-cruises-ltd-rcl-analysts-see-1-92-eps-2/,False,5.425
4436,1017630155727081500,"['notable', 'spreads', 'from', 'thursday', 'sr', 'stock', 'replacement', 'green', 'lines', 'bought', 'salmon', 'lines', 'sold', 'symc', 'httpstcojxftpgk']",Fri Jul 13 04:41:50 +0000 2018,smartmoneyact,RCL,Royal Caribbean Cruises Ltd.,https://twitter.com/i/web/status/1017630155727081473,False,5.6090909090909085
4995,1017773995377266700,"['rcl', 'amgn', 'friday', 'lottos', 'working']",Fri Jul 13 14:13:24 +0000 2018,TradeWithNinja,RCL,Royal Caribbean Cruises Ltd.,,False,6.22
5154,1017800817900843000,"['closed', 'rcl', 'for', 'a', 'gain', 'in', 'days', 'forecast', 'is', 'now', 'bearish', 'stocks', 'trading', 'httpstcoeygxqsrnu']",Fri Jul 13 15:59:59 +0000 2018,StockSpotter,RCL,Royal Caribbean Cruises Ltd.,http://bit.ly/1fAaCjW,False,5.485454545454545
5284,1017822163812962300,"['rt', 'jayikyle', 'baml', 'ccl', 'nclh', 'rcl', 'according', 'to', 'bac', 'creditdebit', 'card', 'data', 'monthly', 'cruise', 'spend', 'increased', 'yy', 'in', 'june', 'a', 'slight', 'im']",Fri Jul 13 17:24:48 +0000 2018,WorkDayBaseball,RCL,Royal Caribbean Cruises Ltd.,,False,5.478571428571429
