,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
107,1016207219111743500,"['everest', 're', 'group', 're', 'and', 'heritage', 'insurance', 'hrtg', 'critical', 'contrast', 'httpstcolsixqgnwyl']",Mon Jul 09 06:27:35 +0000 2018,TranscriptDaily,RE,Everest Re Group,http://zpr.io/6TRg7,False,5.1225
181,1016264795044110300,"['everest', 're', 'group', 're', 'and', 'heritage', 'insurance', 'hrtg', 'critical', 'contrast', 'httpstcokllqbri']",Mon Jul 09 10:16:23 +0000 2018,MareaInformativ,RE,Everest Re Group,http://www.mareainformativa.com/?p=408514,False,5.1225
404,1016346125450858500,"['everest', 're', 'group', 're', 'stock', 'rating', 'lowered', 'by', 'zacks', 'investment', 'research', 'httpstcoxyunavzv']",Mon Jul 09 15:39:33 +0000 2018,TheMarketsDaily,RE,Everest Re Group,http://zpr.io/6T7Dm,False,5.535
419,1016352418001555500,"['gs', 'plc', 'for', 'longterm', 'investors', 're', 'httpstcotxtikmgb']",Mon Jul 09 16:04:34 +0000 2018,SADIFAnalytics,RE,Everest Re Group,https://www.sadifanalytics.com/reports/find/RE.-36221,False,5.199999999999999
884,1016608826743836700,"['everest', 're', 'group', 're', 'downgraded', 'to', 'hold', 'at', 'zacks', 'investment', 'research', 'httpstcosigsazhiz']",Tue Jul 10 09:03:26 +0000 2018,ThisLincolnian,RE,Everest Re Group,http://thelincolnianonline.com/?p=2173814,False,5.4425
974,1016651212945576000,"['everest', 're', 'group', 're', 'and', 'allstate', 'all', 'headtohead', 'analysis', 'httpstcohmhodshpx']",Tue Jul 10 11:51:52 +0000 2018,ThisLincolnian,RE,Everest Re Group,http://thelincolnianonline.com/?p=2174168,False,5.4866666666666655
1108,1016681207919272000,"['re', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcormdkltlcgn', 'httpstcoklagzsxii']",Tue Jul 10 13:51:03 +0000 2018,optioncharts,RE,Everest Re Group,http://maximum-pain.com/options/open-interest/RE,False,5.499999999999999
1368,1016750312852422700,"['re', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcoujcghgivh', 'httpstcoelzsevpwv']",Tue Jul 10 18:25:39 +0000 2018,optioncharts,RE,Everest Re Group,http://maximum-pain.com/options/max-pain/RE,False,4.73
1411,1016761796479406100,"['want', 'automatic', 'email', 'alerts', 'for', 'lsi', 're', 'sqbk', 'hmin', 'icui', 'subscribe', 'to', 'marketbeat', 'daily', 'httpstconsjudsyidj']",Tue Jul 10 19:11:17 +0000 2018,RatingsNetwork,RE,Everest Re Group,http://bit.ly/arndailyw,False,5.579999999999999
1430,1016767976874311700,"['analysts', 'see', 'eps', 'for', 'everest', 're', 'group', 'ltd', 're', 'httpstcowskfgeroga']",Tue Jul 10 19:35:50 +0000 2018,The_CasualSmart,RE,Everest Re Group,https://thecasualsmart.com/2018/07/10/analysts-see-5-29-eps-for-everest-re-group-ltd-re-2/,False,5.254285714285714
1433,1016768156331888600,"['eps', 'for', 'everest', 're', 'group', 'ltd', 're', 'expected', 'at', 'httpstcohsuhwxk']",Tue Jul 10 19:36:33 +0000 2018,whatsonthorold2,RE,Everest Re Group,https://www.whatsonthorold.com/2018/07/10/eps-for-everest-re-group-ltd-re-expected-at-5-29/,False,5.191428571428571
1434,1016768345012568000,"['everest', 're', 'group', 'ltd', 're', 'eps', 'estimated', 'at', 'httpstcowldloirjk']",Tue Jul 10 19:37:18 +0000 2018,The_CasualSmart,RE,Everest Re Group,https://floridarecorder.com/2018/07/10/everest-re-group-ltd-re-eps-estimated-at-5-29/,False,5.16
1435,1016768466802573300,"['analysts', 'see', 'eps', 'for', 'everest', 're', 'group', 'ltd', 're', 'httpstcowdenvqhw']",Tue Jul 10 19:37:47 +0000 2018,reurope_stock,RE,Everest Re Group,https://reurope.com/2018/07/10/analysts-see-5-29-eps-for-everest-re-group-ltd-re/,False,5.254285714285714
1436,1016768547413004300,"['eps', 'expected', 'for', 'everest', 're', 'group', 'ltd', 're', 'httpstcopbuuiugxg']",Tue Jul 10 19:38:07 +0000 2018,bibeypost_stock,RE,Everest Re Group,https://www.bibeypost.com/5-29-eps-expected-for-everest-re-group-ltd-re-3/,False,5.239999999999999
1514,1016793502334836700,"['everest', 're', 'group', 'ltd', 're', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcojqywczm']",Tue Jul 10 21:17:16 +0000 2018,ZolmaxNews,RE,Everest Re Group,http://zolmax.com/?p=2373493,False,5.556363636363636
1519,1016794582938538000,"['billion', 'in', 'sales', 'expected', 'for', 'everest', 're', 'group', 'ltd', 're', 'this', 'quarter', 'httpstcobggelped']",Tue Jul 10 21:21:34 +0000 2018,dakotafinancial,RE,Everest Re Group,http://dakotafinancialnews.com/?p=309352,False,5.538181818181819
1520,1016794635438624800,"['billion', 'in', 'sales', 'expected', 'for', 'everest', 're', 'group', 'ltd', 're', 'this', 'quarter', 'httpstcofqbnbvmoz']",Tue Jul 10 21:21:46 +0000 2018,ledgerzette,RE,Everest Re Group,http://ledgergazette.com/?p=2817758,False,5.538181818181819
1747,1016937278965469200,"['everest', 're', 'group', 're', 'stock', 'rating', 'lowered', 'by', 'zacks', 'investment', 'research', 'httpstcognwyboux']",Wed Jul 11 06:48:35 +0000 2018,WeekHerald,RE,Everest Re Group,http://weekherald.com/?p=2982295,False,5.535
1804,1016978039551463400,"['contrasting', 'everest', 're', 'group', 're', 'and', 'heritage', 'insurance', 'hrtg', 'httpstcoesizywvim']",Wed Jul 11 09:30:33 +0000 2018,dispatchtribune,RE,Everest Re Group,http://dispatchtribunal.com/?p=2046336,False,5.47
1844,1016996105274392600,"['everest', 're', 'group', 're', 'stock', 'rating', 'lowered', 'by', 'zacks', 'investment', 'research', 'httpstcofoeoqpc']",Wed Jul 11 10:42:21 +0000 2018,MareaInformativ,RE,Everest Re Group,http://www.mareainformativa.com/?p=421699,False,5.535
1999,1017029705504051200,"['reviewing', 'everest', 're', 'group', 're', 'and', 'heritage', 'insurance', 'hrtg', 'httpstcorqmanklmgb']",Wed Jul 11 12:55:51 +0000 2018,EnterpriseLeade,RE,Everest Re Group,http://theenterpriseleader.com/?p=979480,False,5.47
2289,1017095138458390500,"['whats', 'everest', 're', 'group', 'ltd', 're', 'upside', 'after', 'this', 'short', 'interest', 'decrease', 'httpstcouxzzhockp']",Wed Jul 11 17:15:52 +0000 2018,mmahotstuff1,RE,Everest Re Group,https://www.mmahotstuff.com/2018/07/11/whats-everest-re-group-ltd-nysere-upside-after-this-short-interest-decrease.html,False,5.13909090909091
