,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
60,1016125353255948300,"['reg', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcownnlwjml', 'httpstcoconbdrlx']",Mon Jul 09 01:02:17 +0000 2018,optioncharts,REG,Regency Centers Corporation,http://maximum-pain.com/options/max-pain/REG,False,4.888
817,1016546391127216100,"['brokerages', 'set', 'regency', 'centers', 'corp', 'reg', 'pt', 'at', 'httpstcofmkdvq']",Tue Jul 10 04:55:20 +0000 2018,TranscriptDaily,REG,Regency Centers Corporation,http://zpr.io/6T8XX,False,5.196
851,1016575011950248000,"['my', 'current', 'watchlist', 'nxe', 'ppo', 'on', 'daily', 'crossing', 'over', 'reg', 'drill', 'results', 'pending', 'bte', 'consolidation', 'completin', 'httpstcoaaikhlda']",Tue Jul 10 06:49:04 +0000 2018,Made_of_Rubber,REG,Regency Centers Corporation,https://twitter.com/i/web/status/1016575011950247936,False,5.4125
1343,1016746783609966600,"['a', 'new', 'greenwisemarket', 'would', 'fit', 'perfectly', 'into', 'the', 'closing', 'thefreshmarket', 'at', 'brightenpark', 'in', 'brookhaven', 'ga', 'httpstcotdrrhmiixa']",Tue Jul 10 18:11:38 +0000 2018,tonetoatlanta,REG,Regency Centers Corporation,https://twitter.com/i/web/status/1016746783609966598,False,5.452727272727273
1350,1016748238278414300,"['zacks', 'brokerages', 'anticipate', 'regency', 'centers', 'corp', 'reg', 'to', 'post', 'eps', 'httpstcohwaqdmry']",Tue Jul 10 18:17:24 +0000 2018,MareaInformativ,REG,Regency Centers Corporation,http://www.mareainformativa.com/?p=418226,False,5.26
1351,1016748276803166200,"['eps', 'expected', 'for', 'regency', 'centers', 'corp', 'reg', 'this', 'quarter', 'httpstcoicgmuhyor']",Tue Jul 10 18:17:34 +0000 2018,TranscriptDaily,REG,Regency Centers Corporation,http://zpr.io/6anYS,False,5.36
1618,1016831168824541200,"['rt', 'madeofrubber', 'my', 'current', 'watchlist', 'nxe', 'ppo', 'on', 'daily', 'crossing', 'over', 'reg', 'drill', 'results', 'pending', 'bte', 'consolidation', 'completing', 'r']",Tue Jul 10 23:46:57 +0000 2018,ProvenProbable,REG,Regency Centers Corporation,,False,5.296
1951,1017021869722087400,"['rt', 'tonetoatlanta', 'a', 'new', 'greenwisemarket', 'would', 'fit', 'perfectly', 'into', 'the', 'closing', 'thefreshmarket', 'at', 'brightenpark', 'in', 'brookhaven', 'ga', 'https']",Wed Jul 11 12:24:43 +0000 2018,Grocerying,REG,Regency Centers Corporation,,False,5.405
2000,1017030207902027800,"['regulus', 'intersects', 'metres', 'with', 'cu', 'gt', 'au', 'and', 'gt', 'ag', 'cueq', 'at', 'antakori', 'project', 'reg', 'httpstcogxrwbcfmdv']",Wed Jul 11 12:57:51 +0000 2018,GNWLive,REG,Regency Centers Corporation,http://bit.ly/2maOQtC,False,5.185714285714286
2043,1017041571630473200,"['peteteipson', 'happyycamperr', 'bottom', 'of', 'hole', 'hit', 'high', 'grade', 'breccia', 'under', 'regv', 'concessions', 'bottom', 'of', 'hole', 'als', 'httpstcoyexwnsxwkf']",Wed Jul 11 13:43:01 +0000 2018,TraderPamplona,REG,Regency Centers Corporation,https://twitter.com/i/web/status/1017041571630473216,False,4.925454545454545
2300,1017097367206670300,"['regency', 'centers', 'corporation', 'reg', 'could', 'burn', 'your', 'long', 'portfolio', 'after', 'more', 'shorts', 'httpstcogvogrvy']",Wed Jul 11 17:24:43 +0000 2018,mmahotstuff1,REG,Regency Centers Corporation,https://www.mmahotstuff.com/2018/07/11/regency-centers-corporation-nysereg-could-burn-your-long-portfolio-after-more-shorts.html,False,5.2620000000000005
2302,1017097638318047200,"['whats', 'ahead', 'for', 'regency', 'centers', 'corporation', 'reg', 'after', 'more', 'shorted', 'shares', 'httpstcocbcfbj']",Wed Jul 11 17:25:48 +0000 2018,bibeypost_stock,REG,Regency Centers Corporation,https://www.bibeypost.com/whats-ahead-for-regency-centers-corporation-nysereg-after-more-shorted-shares/,False,5.59
2773,1017267829463310300,"['regency', 'centers', 'corporation', 'reg', 'eps', 'estimated', 'at', 'httpstcolexnqqyg']",Thu Jul 12 04:42:05 +0000 2018,The_CasualSmart,REG,Regency Centers Corporation,https://thecasualsmart.com/2018/07/12/regency-centers-corporation-reg-eps-estimated-at-0-92/,False,5.285
