,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
7485,1018426379090776000,"['regeneron', 'pharmaceuticals', 'regn', 'rating', 'increased', 'to', 'buy', 'at', 'bidaskclub', 'httpstcoevmuhsswed']",Sun Jul 15 09:25:44 +0000 2018,ledgerzette,REGN,Regeneron Pharmaceuticals,http://ledgergazette.com/?p=2826677,False,5.616
7773,1018472887223713800,"['get', 'a', 'free', 'trial', 'of', 'this', 'amazing', 'daytrading', 'service', 'httpstcoabzrcjujv', 'biib', 'regn', 'acb', 'weed', 'wfc', 'bac', 'mcd', 'gnca', 'gs', 'jpm']",Sun Jul 15 12:30:33 +0000 2018,turbostocks,REGN,Regeneron Pharmaceuticals,https://ift.tt/2AjuXZZ,False,5.686666666666667
7993,1018503028079505400,"['get', 'real', 'daytrading', 'ideas', 'with', 'topfivetraders', 'and', 'trendytrade', 'by', 'clicking', 'here', 'httpstcosuqwpltd', 'gs', 'httpstcolegsfmfh']",Sun Jul 15 14:30:19 +0000 2018,SykesFanClub,REGN,Regeneron Pharmaceuticals,https://ift.tt/2h8vFBH,False,5.894285714285715
8143,1018528286970974200,"['rt', 'rrgresearch', 'regn', 'is', 'showing', 'remarkable', 'sectorrotation', 'better', 'investing', 'opportunities', 'ahead', 'see', 'the', 'latest', 'rrgchart', 'httpst']",Sun Jul 15 16:10:41 +0000 2018,StreetCitizen,REGN,Regeneron Pharmaceuticals,,False,6.087272727272728
8340,1018554569721307100,"['try', 'our', 'swing', 'trading', 'service', 'built', 'for', 'individuals', 'who', 'want', 'to', 'trade', 'longerterm', 'timeframes', 'around', 'their', 'fulltime', 'httpstcoacolctxw']",Sun Jul 15 17:55:07 +0000 2018,OptionAlarm,REGN,Regeneron Pharmaceuticals,https://twitter.com/i/web/status/1018554569721307136,False,5.757142857142857
8556,1018585987092500500,"['ibb', 'weekly', 'nice', 'week', 'rise', 'here', 'big', 'biotech', 'showing', 'signs', 'of', 'waking', 'up', 'watch', 'for', 'a', 'breakoff', 'celg', 'gild', 'httpstcopwxjgnjir']",Sun Jul 15 19:59:58 +0000 2018,OptionsMike,REGN,Regeneron Pharmaceuticals,https://twitter.com/i/web/status/1018585987092500480,False,5.725714285714284
8559,1018586146421518300,"['rt', 'optionsmike', 'ibb', 'weekly', 'nice', 'week', 'rise', 'here', 'big', 'biotech', 'showing', 'signs', 'of', 'waking', 'up', 'watch', 'for', 'a', 'breakoff', 'celg', 'gild', 'biib', 're']",Sun Jul 15 20:00:36 +0000 2018,RealPrav,REGN,Regeneron Pharmaceuticals,,False,5.619999999999999
8643,1018601215754690600,"['dont', 'miss', 'our', 'next', 'free', 'option', 'trade', 'sign', 'up', 'for', 'our', 'daily', 'free', 'trades', 'at', 'httpstcourcqmgvj', 'nvda', 'tsla', 'gs', 'regn', 'bac', 'googl', 'fb']",Sun Jul 15 21:00:29 +0000 2018,ExactOptionPick,REGN,Regeneron Pharmaceuticals,http://ow.ly/Jn2c30kQUcJ,False,5.730666666666667
9148,1018802203069382700,"['stocks', 'etf', 'amp', 'funds', 'to', 'review', 'alphabetically', 'regn', 'rell', 'rf', 'rgnx', 'rig', 'rlje', 'rmcf', 'rnet', 'roic', 'royt', 'rpai', 'httpstcodfknhjisfc']",Mon Jul 16 10:19:08 +0000 2018,drastichs,REGN,Regeneron Pharmaceuticals,https://twitter.com/i/web/status/1018802203069382656,False,5.444000000000001
9176,1018803005578195000,"['rt', 'drastichs', 'stocks', 'etf', 'amp', 'funds', 'to', 'review', 'alphabetically', 'regn', 'rell', 'rf', 'rgnx', 'rig', 'rlje', 'rmcf', 'rnet', 'roic', 'royt', 'rpai', 'rpm', 'rpt', 'r']",Mon Jul 16 10:22:19 +0000 2018,drastichs,REGN,Regeneron Pharmaceuticals,,False,5.268571428571429
