,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
64,1016132519442468900,"['robert', 'half', 'international', 'inc', 'rhi', 'analysts', 'see', 'eps', 'httpstcoymstsoa']",Mon Jul 09 01:30:46 +0000 2018,whatsonthorold2,RHI,Robert Half International Inc.,https://www.whatsonthorold.com/2018/07/09/robert-half-international-inc-rhi-analysts-see-0-85-eps-2/,False,5.373333333333332
65,1016132790331592700,"['eps', 'expected', 'for', 'robert', 'half', 'international', 'inc', 'rhi', 'httpstcouheqbyjnx']",Mon Jul 09 01:31:50 +0000 2018,reurope_stock,RHI,Robert Half International Inc.,https://reurope.com/2018/07/09/0-85-eps-expected-for-robert-half-international-inc-rhi/,False,5.353333333333333
66,1016132876344201200,"['eps', 'for', 'robert', 'half', 'international', 'inc', 'rhi', 'expected', 'at', 'httpstcozxsjuanr']",Mon Jul 09 01:32:11 +0000 2018,bibeypost_stock,RHI,Robert Half International Inc.,https://www.bibeypost.com/eps-for-robert-half-international-inc-rhi-expected-at-0-85/,False,5.288571428571428
441,1016358595250843600,"['can', 'analysts', 'adopt', 'a', 'bullish', 'outlook', 'for', 'robert', 'half', 'international', 'inc', 'rhi', 'httpstcohccxbcwxq']",Mon Jul 09 16:29:06 +0000 2018,whatsonthorold2,RHI,Robert Half International Inc.,https://www.whatsonthorold.com/2018/07/09/can-analysts-adopt-a-bullish-outlook-for-robert-half-international-inc-nyserhi/,False,5.454000000000001
443,1016359010436513800,"['how', 'many', 'robert', 'half', 'international', 'inc', 'rhis', 'analysts', 'are', 'bearish', 'httpstcozyqraedbsx']",Mon Jul 09 16:30:45 +0000 2018,reurope_stock,RHI,Robert Half International Inc.,https://reurope.com/2018/07/09/how-many-robert-half-international-inc-nyserhis-analysts-are-bearish/,False,5.229999999999999
445,1016359431213371400,"['analysts', 'are', 'on', 'the', 'bearish', 'side', 'about', 'robert', 'half', 'international', 'inc', 'rhi', 'this', 'week', 'httpstcovyoipxihlm']",Mon Jul 09 16:32:26 +0000 2018,bibeypost_stock,RHI,Robert Half International Inc.,https://www.bibeypost.com/analysts-are-on-the-bearish-side-about-robert-half-international-inc-nyserhi-this-week/,False,5.191666666666667
607,1016427302954131500,"['billiondollar', 'stocks', 'for', 'q', 'and', 'beyond', 'httpstcovrodkuurui', 'noc', 'lmt', 'rgr', 'rhi', 'thc', 'amzn', 'cof', 'shw', 'xom', 'abx']",Mon Jul 09 21:02:07 +0000 2018,JorelLaraKalel,RHI,Robert Half International Inc.,http://bit.ly/2L00Egv,False,5.18
688,1016460413049942000,"['zacks', 'brokerages', 'anticipate', 'robert', 'half', 'international', 'inc', 'rhi', 'will', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcokvhlrzzhw']",Mon Jul 09 23:13:42 +0000 2018,ConsumerFeed,RHI,Robert Half International Inc.,http://zpr.io/6TM72,False,5.617999999999999
689,1016460642369392600,"['analysts', 'anticipate', 'robert', 'half', 'international', 'inc', 'rhi', 'will', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcorpejymids']",Mon Jul 09 23:14:36 +0000 2018,MareaInformativ,RHI,Robert Half International Inc.,http://www.mareainformativa.com/?p=412759,False,5.5636363636363635
1637,1016845290798805000,"['robert', 'half', 'international', 'inc', 'rhi', 'receives', 'consensus', 'recommendation', 'of', 'hold', 'from', 'analysts', 'httpstcosxyvncha']",Wed Jul 11 00:43:04 +0000 2018,ConsumerFeed,RHI,Robert Half International Inc.,http://zpr.io/6afn5,False,5.420999999999999
2219,1017076077020307500,"['a', 'bullish', 'big', 'mac', 'bullish', 'has', 'occurred', 'at', 'am', 'jul', 'at', 'on', 'robert', 'half', 'international', 'inc', 'rhi', 'rhi', 'httpstcoyrxmkqhxa']",Wed Jul 11 16:00:07 +0000 2018,websofttechies,RHI,Robert Half International Inc.,https://twitter.com/i/web/status/1017076077020307458,False,5.355384615384616
2380,1017117880922640400,"['robert', 'half', 'international', 'inc', 'rhi', 'shorted', 'shares', 'decreased', 'by', 'httpstcojfkwazhba']",Wed Jul 11 18:46:14 +0000 2018,whatsonthorold2,RHI,Robert Half International Inc.,https://www.whatsonthorold.com/2018/07/11/robert-half-international-inc-nyserhi-shorted-shares-decreased-by-1-91/,False,5.199999999999998
2382,1017118167473311700,"['it', 'seems', 'robert', 'half', 'international', 'inc', 'rhi', 'will', 'go', 'up', 'just', 'reported', 'less', 'shorted', 'shares', 'httpstcomqzinuks']",Wed Jul 11 18:47:22 +0000 2018,reurope_stock,RHI,Robert Half International Inc.,https://reurope.com/2018/07/11/it-seems-robert-half-international-inc-nyserhi-will-go-up-just-reported-less-shorted-shares/,False,5.443076923076922
2704,1017232140629667800,"['robert', 'half', 'international', 'inc', 'rhi', 'expected', 'to', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcoywzjdason']",Thu Jul 12 02:20:16 +0000 2018,ledgerzette,RHI,Robert Half International Inc.,http://ledgergazette.com/?p=2820445,False,5.534545454545454
2705,1017232297899233300,"['eps', 'expected', 'for', 'robert', 'half', 'international', 'inc', 'rhi', 'this', 'quarter', 'httpstcopwyomidmcr']",Thu Jul 12 02:20:53 +0000 2018,ZolmaxNews,RHI,Robert Half International Inc.,http://zolmax.com/?p=2376275,False,5.3425
2712,1017232845587271700,"['robert', 'half', 'international', 'inc', 'rhi', 'expected', 'to', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcorwvczpxgn']",Thu Jul 12 02:23:04 +0000 2018,dakotafinancial,RHI,Robert Half International Inc.,http://dakotafinancialnews.com/?p=312115,False,5.534545454545454
2752,1017254297573224400,"['rhi', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcobtddtmcz', 'httpstcojbjvaef']",Thu Jul 12 03:48:18 +0000 2018,optioncharts,RHI,Robert Half International Inc.,http://maximum-pain.com/options/max-pain/RHI,False,4.680000000000001
3415,1017425294632935400,"['contrasting', 'robert', 'half', 'international', 'rhi', 'amp', 'kelly', 'services', 'inc', 'class', 'a', 'kelya', 'httpstcowjihlihg']",Thu Jul 12 15:07:47 +0000 2018,ConsumerFeed,RHI,Robert Half International Inc.,http://zpr.io/6aiGX,False,5.420000000000001
5309,1017825767214993400,"['hutchinson', 'capital', 'management', 'has', 'decreased', 'position', 'in', 'robert', 'half', 'international', 'inc', 'rhi', 'as', 'share', 'price', 'rose', 'httpstcoufxsnsnwa']",Fri Jul 13 17:39:07 +0000 2018,reurope_stock,RHI,Robert Half International Inc.,https://reurope.com/2018/07/13/hutchinson-capital-management-has-decreased-position-in-robert-half-international-inc-rhi-as-share-price-rose/,False,5.448571428571428
5522,1017872725556322300,"['rhi', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcosuqvhdfhwz', 'httpstcoiywuhkfxeu']",Fri Jul 13 20:45:43 +0000 2018,optioncharts,RHI,Robert Half International Inc.,http://maximum-pain.com/options/open-interest/RHI,False,5.5775
7344,1018399252891004900,"['analyzing', 'robert', 'half', 'international', 'rhi', 'amp', 'kelly', 'services', 'inc', 'class', 'a', 'kelya', 'httpstcojaeordrmk']",Sun Jul 15 07:37:57 +0000 2018,WatchlistN,RHI,Robert Half International Inc.,http://zpr.io/6XgnW,False,5.420000000000001
7615,1018447673614008300,"['comparing', 'robert', 'half', 'international', 'rhi', 'amp', 'kelly', 'services', 'inc', 'class', 'a', 'kelya', 'httpstcovqjqovvqrp']",Sun Jul 15 10:50:21 +0000 2018,EnterpriseLeade,RHI,Robert Half International Inc.,http://theenterpriseleader.com/?p=986897,False,5.420000000000001
7699,1018459200987582500,"['comparing', 'robert', 'half', 'international', 'rhi', 'amp', 'kelly', 'services', 'inc', 'class', 'a', 'kelya', 'httpstcojuuwetad']",Sun Jul 15 11:36:10 +0000 2018,MareaInformativ,RHI,Robert Half International Inc.,http://www.mareainformativa.com/?p=448431,False,5.420000000000001
8342,1018555166629548000,"['robert', 'half', 'international', 'inc', 'rhi', 'eps', 'estimated', 'at', 'httpstcoeumcwwti']",Sun Jul 15 17:57:30 +0000 2018,mmahotstuff1,RHI,Robert Half International Inc.,https://www.mmahotstuff.com/2018/07/15/robert-half-international-inc-rhi-eps-estimated-at-0-85.html,False,5.2733333333333325
8343,1018555344459649000,"['robert', 'half', 'international', 'inc', 'rhi', 'eps', 'estimated', 'at', 'httpstcolokvuqqvlh']",Sun Jul 15 17:58:12 +0000 2018,reurope_stock,RHI,Robert Half International Inc.,https://reurope.com/2018/07/15/robert-half-international-inc-rhi-eps-estimated-at-0-85/,False,5.2733333333333325
8344,1018555419227316200,"['robert', 'half', 'international', 'inc', 'rhi', 'analysts', 'see', 'eps', 'httpstcokcycsimdlj']",Sun Jul 15 17:58:30 +0000 2018,bibeypost_stock,RHI,Robert Half International Inc.,https://www.bibeypost.com/robert-half-international-inc-rhi-analysts-see-0-85-eps/,False,5.373333333333332
8517,1018577957315465200,"['xli', 'industrials', 'have', 'continued', 'to', 'struggle', 'since', 'the', 'feb', 'lows', 'but', 'one', 'industry', 'group', 'within', 'is', 'outperformnig', 'emp', 'httpstcozwzgvbyr']",Sun Jul 15 19:28:03 +0000 2018,TradeTraders,RHI,Robert Half International Inc.,https://twitter.com/i/web/status/1018577957315465217,False,5.095384615384616
8804,1018645397705764900,"['hot', 'stock', 'of', 'the', 'day', 'robert', 'half', 'international', 'inc', 'nyse', 'rhi', 'httpstcokhwfnqaphq', 'rhi', 'stocks', 'stockmarket']",Sun Jul 15 23:56:02 +0000 2018,StocksPredictr,RHI,Robert Half International Inc.,http://alphabetastock.com/2018/03/15/hot-stock-of-the-day-robert-half-international-inc-nyse-rhi/,False,5.3500000000000005
8985,1018704565770711000,"['rt', 'tradetraders', 'xli', 'industrials', 'have', 'continued', 'to', 'struggle', 'since', 'the', 'feb', 'lows', 'but', 'one', 'industry', 'group', 'within', 'is', 'outperformnig', 'employmen']",Mon Jul 16 03:51:09 +0000 2018,Poolsnsun,RHI,Robert Half International Inc.,,False,5.08
9206,1018805806874202100,"['robert', 'half', 'international', 'rhi', 'to', 'release', 'quarterly', 'earnings', 'on', 'monday', 'httpstcoervqcexfxl']",Mon Jul 16 10:33:27 +0000 2018,MareaInformativ,RHI,Robert Half International Inc.,http://www.mareainformativa.com/?p=453757,False,5.5488888888888885
10067,1018865336911663100,"['payxs', 'return', 'on', 'assets', 'ratio', 'is', 'close', 'to', 'the', 'industrys', 'maximum', 'so', 'it', 'indicates', 'that', 'the', 'company', 'earns', 'more', 'mone', 'httpstcoyrnnwkkref']",Mon Jul 16 14:30:00 +0000 2018,StockMetrixApp,RHI,Robert Half International Inc.,https://twitter.com/i/web/status/1018865336911663104,False,5.485294117647059
12928,1019158332555264000,"['analyzing', 'robert', 'half', 'international', 'rhi', 'and', 'kelly', 'services', 'inc', 'class', 'a', 'kelya', 'httpstcoczxtdn']",Tue Jul 17 09:54:16 +0000 2018,ThisLincolnian,RHI,Robert Half International Inc.,http://thelincolnianonline.com/?p=2188478,False,5.395555555555555
14033,1019216328580792300,"['rhi', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcosuqvhdfhwz', 'httpstcoifhujqv']",Tue Jul 17 13:44:43 +0000 2018,optioncharts,RHI,Robert Half International Inc.,http://maximum-pain.com/options/open-interest/RHI,False,5.5775
14283,1019230883742666800,"['potus', 'hates', 'half', 'tip', 'sell', 'rhi', 'robert', 'half', 'international', 'inc']",Tue Jul 17 14:42:33 +0000 2018,DJT_stock_tips,RHI,Robert Half International Inc.,,False,4.942500000000001
18742,1019507331766374400,"['robert', 'half', 'rhi', 'pt', 'raised', 'to', 'at', 'barclays', 'httpstcobjruyfhiud']",Wed Jul 18 09:01:04 +0000 2018,AnalystWire,RHI,Robert Half International Inc.,http://streetinsider.com/r/14408819,False,5.21
20670,1019574769384075300,"['barclays', 'boosts', 'robert', 'half', 'international', 'rhi', 'price', 'target', 'to', 'httpstcogyzctmd']",Wed Jul 18 13:29:02 +0000 2018,TranscriptDaily,RHI,Robert Half International Inc.,http://zpr.io/6Xcfy,False,5.3
21328,1019586996929523700,"['barclays', 'has', 'just', 'reaffirmed', 'target', 'price', 'per', 'share', 'on', 'robert', 'half', 'international', 'rhi', 'stock', 'while', 'theyve', 'also', 'httpstcolhmchipz']",Wed Jul 18 14:17:37 +0000 2018,Fanob_stock,RHI,Robert Half International Inc.,https://twitter.com/i/web/status/1019586996929523718,False,5.495384615384615
23133,1019626205644054500,"['httpstcoldixlign', 'rhi', 'robert', 'half', 'international', 'notable', 'market', 'movement', 'up', 'million', 'gain', 'nasdaq', 'httpstcobcwlgrzx']",Wed Jul 18 16:53:25 +0000 2018,42Stocks,RHI,Robert Half International Inc.,http://42stocks.com/sym/rhi.html,False,5.931111111111111
