,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
8668,1018608749240569900,"['rht', 'red', 'hat', 'despues', 'del', 'reporte', 'trimestral', 'se', 'esta', 'recuperando', 'es', 'buena', 'oportunidad', 'de', 'compra', 'long', 'httpstcoulfofjncq']",Sun Jul 15 21:30:25 +0000 2018,Stockstrader2,RHT,Red Hat,,False,5.133333333333334
8808,1018648484591886300,"['this', 'weeks', 'watch', 'amd', 'amrs', 'amzn', 'aptv', 'baba', 'de', 'dis', 'fb', 'mrk', 'pypl', 'rht', 'trxc', 'v', 'wmt', 'good', 'luck', 'everyone', 'httpstcowzbffbydt']",Mon Jul 16 00:08:18 +0000 2018,BlackBoxTen,RHT,Red Hat,https://twitter.com/i/web/status/1018648484591886336,False,5.554
8838,1018657945113055200,"['rt', 'blackboxten', 'this', 'weeks', 'watch', 'amd', 'amrs', 'amzn', 'aptv', 'baba', 'de', 'dis', 'fb', 'mrk', 'pypl', 'rht', 'trxc', 'v', 'wmt', 'good', 'luck', 'everyone', 'kickasswee']",Mon Jul 16 00:45:54 +0000 2018,Jenlovescrypto,RHT,Red Hat,,False,5.492727272727273
8840,1018659074043449300,"['rt', 'blackboxten', 'this', 'weeks', 'watch', 'amd', 'amrs', 'amzn', 'aptv', 'baba', 'de', 'dis', 'fb', 'mrk', 'pypl', 'rht', 'trxc', 'v', 'wmt', 'good', 'luck', 'everyone', 'kickasswee']",Mon Jul 16 00:50:23 +0000 2018,AllidoiswinDC,RHT,Red Hat,,False,5.492727272727273
8850,1018661894016655400,"['rt', 'blackboxten', 'this', 'weeks', 'watch', 'amd', 'amrs', 'amzn', 'aptv', 'baba', 'de', 'dis', 'fb', 'mrk', 'pypl', 'rht', 'trxc', 'v', 'wmt', 'good', 'luck', 'everyone', 'kickasswee']",Mon Jul 16 01:01:36 +0000 2018,airtightradon,RHT,Red Hat,,False,5.492727272727273
8871,1018668975327195100,"['mondays', 'watch', 'qqq', 'spy', 'uvxy', 'tvix', 'nflx', 'tsla', 'nvda', 'mu', 'msft', 'jdsu', 'pypl', 'rht', 'sq', 'twtr', 'v', 'ma', 'trxc', 'pixy', 'httpstcorrzill']",Mon Jul 16 01:29:44 +0000 2018,mchaudhry82,RHT,Red Hat,https://twitter.com/i/web/status/1018668975327195137,False,4.98
8889,1018671497353850900,"['rt', 'mchaudhry', 'mondays', 'watch', 'qqq', 'spy', 'uvxy', 'tvix', 'nflx', 'tsla', 'nvda', 'mu', 'msft', 'jdsu', 'pypl', 'rht', 'sq', 'twtr', 'v', 'ma', 'trxc', 'pixy', 'snes', 'vst']",Mon Jul 16 01:39:45 +0000 2018,Jenlovescrypto,RHT,Red Hat,,False,4.965714285714286
8930,1018687769558896600,"['weekly', 'chart', 'recap', 'rht', 'price', 'moved', 'since', 'post', 'expect', 'consolidation', 'other', 'charts', 'included', 'tsla', 'sfix', 'bb', 'httpstcoamjowjemd']",Mon Jul 16 02:44:25 +0000 2018,aboutheoptions,RHT,Red Hat,https://twitter.com/i/web/status/1018687769558896641,False,5.328
9461,1018828695904178200,"['rht', 'red', 'hat', 'inc', 'email', 'alerting', 'service', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 16 12:04:24 +0000 2018,Allstocknews,RHT,Red Hat,,False,5.67
9573,1018835964024590300,"['rht', 'httpstcolfyqwh', 'httpstcowltzqbmcpe']",Mon Jul 16 12:33:17 +0000 2018,SanjeevShahi17,RHT,Red Hat,https://seekingalpha.com/article/4186802-buy-red-hat-attractive-cloud-computing-play?source=tweet,False,0.0
9950,1018858666760589300,"['rht', 'maintaining', 'above', 'looking', 'to', 'be', 'a', 'challenging', 'feat', 'but', 'not', 'impossible']",Mon Jul 16 14:03:30 +0000 2018,SalmanAziz1234,RHT,Red Hat,,False,5.127272727272728
10056,1018864518380838900,"['rht', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcoeljsekp', 'httpstcorqcdcsfu']",Mon Jul 16 14:26:45 +0000 2018,optioncharts,RHT,Red Hat,http://maximum-pain.com/options/max-pain/RHT,False,4.680000000000001
10498,1018889954963832800,"['rt', 'cmitch', 'looks', 'like', 'reliqhealth', 'will', 'have', 'a', 'booth', 'at', 'the', 'national', 'association', 'for', 'home', 'care', 'financial', 'managers', 'conference', 'next']",Mon Jul 16 16:07:49 +0000 2018,ReliqHealth,RHT,Red Hat,,False,5.694444444444445
10812,1018910682383769600,"['rht', 'buy', 'calls', 'james', 'catzen', 'success', 'rate', 'httpstcoqvwxdbwgu']",Mon Jul 16 17:30:11 +0000 2018,stockhoot,RHT,Red Hat,https://stockhoot.com/ExtRecommendation.aspx?Id=a83ea8c8-8675-4458-8df5-9c95235b5821,False,6.036
10963,1018923496393539600,"['rht', 'added', 'on', 'this', 'pullback', 'sept', 'for']",Mon Jul 16 18:21:06 +0000 2018,secretagent00,RHT,Red Hat,,False,5.412
11058,1018929677015007200,"['rt', 'cmitch', 'looks', 'like', 'reliqhealth', 'will', 'have', 'a', 'booth', 'at', 'the', 'national', 'association', 'for', 'home', 'care', 'financial', 'managers', 'conference', 'next']",Mon Jul 16 18:45:40 +0000 2018,makingmoneynow1,RHT,Red Hat,,False,5.694444444444445
11111,1018934241663561700,"['rt', 'blackboxten', 'this', 'weeks', 'watch', 'amd', 'amrs', 'amzn', 'aptv', 'baba', 'de', 'dis', 'fb', 'mrk', 'pypl', 'rht', 'trxc', 'v', 'wmt', 'good', 'luck', 'everyone', 'kickasswee']",Mon Jul 16 19:03:48 +0000 2018,447327642,RHT,Red Hat,,False,5.492727272727273
11119,1018934868204572700,"['rht', 'added', 'weekly', 'call', 'spread', 'at']",Mon Jul 16 19:06:18 +0000 2018,secretagent00,RHT,Red Hat,,False,5.44
11318,1018947192365682700,"['rt', 'cmitch', 'looks', 'like', 'reliqhealth', 'will', 'have', 'a', 'booth', 'at', 'the', 'national', 'association', 'for', 'home', 'care', 'financial', 'managers', 'conference', 'next']",Mon Jul 16 19:55:16 +0000 2018,good2_go2go,RHT,Red Hat,,False,5.694444444444445
11677,1018976551784902700,"['rht', 'alerted', 'at', 'closed', 'at', 'profit', 'reentry', 'coming', 'for', 'the', 'next', 'leg', 'up', 'to', 's', 'httpstcovfgnptpmy']",Mon Jul 16 21:51:56 +0000 2018,stockspastor,RHT,Red Hat,http://bit.ly/2q2awKg,False,5.38
11799,1018993753313325000,"['rht', 'buy', 'calls', 'james', 'catzen', 'success', 'rate', 'httpstcoqvwxdbwgu']",Mon Jul 16 23:00:17 +0000 2018,stockhoot,RHT,Red Hat,https://stockhoot.com/ExtRecommendation.aspx?Id=a83ea8c8-8675-4458-8df5-9c95235b5821,False,6.036
11997,1019023784559472600,"['todays', 'plays', 'and', 'tomorrows', 'watch', 'amd', 'amrs', 'amzn', 'baba', 'dis', 'fb', 'iq', 'mrk', 'pypl', 'rht', 'trxc', 'twtr', 'v', 'wmt', 'httpstcouiyauwctlr']",Tue Jul 17 00:59:37 +0000 2018,BlackBoxTen,RHT,Red Hat,https://twitter.com/i/web/status/1019023784559472641,False,5.385714285714286
12122,1019042113693147100,"['tuesdays', 'watch', 'qqq', 'spy', 'uvxy', 'tvix', 'tsla', 'nvda', 'mu', 'msft', 'jnj', 'ltcx', 'meli', 'nflx', 'rht', 'sfix', 'sq', 'trxc', 'tndm', 'v', 'httpstcolcowxiq']",Tue Jul 17 02:12:27 +0000 2018,mchaudhry82,RHT,Red Hat,https://twitter.com/i/web/status/1019042113693147136,False,5.0200000000000005
12156,1019045920959279100,"['rt', 'mchaudhry', 'tuesdays', 'watch', 'qqq', 'spy', 'uvxy', 'tvix', 'tsla', 'nvda', 'mu', 'msft', 'jnj', 'ltcx', 'meli', 'nflx', 'rht', 'sfix', 'sq', 'trxc', 'tndm', 'v', 'ma', 'ua']",Tue Jul 17 02:27:35 +0000 2018,sep_sal,RHT,Red Hat,,False,5.151428571428572
