,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
16427,1019338860042518500,"['jimcramer', 'does', 'it', 'make', 'sense', 'rig', 'has', 'outperformed', 'slb', 'by', 'this', 'much', 'ytd', 'amp', 'last', 'mos', 'until', 'very', 'recently', 'httpstcosmsornr']",Tue Jul 17 21:51:37 +0000 2018,JCEstevesJR,RIG,Transocean Ltd.,https://twitter.com/i/web/status/1019338860042518528,False,5.321538461538462
16444,1019339872065245200,"['guyadami', 'does', 'it', 'make', 'sense', 'rig', 'has', 'outperformed', 'slb', 'by', 'this', 'much', 'ytd', 'amp', 'last', 'mos', 'until', 'very', 'recently', 'httpstcojeylnqdhc']",Tue Jul 17 21:55:38 +0000 2018,JCEstevesJR,RIG,Transocean Ltd.,https://twitter.com/i/web/status/1019339872065245185,False,5.321538461538462
16540,1019344057498308600,"['our', 'bot', 'detects', 'coin', 'listings', 'faster', 'than', 'official', 'announcement', 'join', 'us', 'httpstcoirbfumt', 'grid', 'httpstcomipznzpuv']",Tue Jul 17 22:12:16 +0000 2018,Michael40684539,RIG,Transocean Ltd.,http://discord.gg/tXbaTxx,False,5.775555555555556
16688,1019352477852893200,"['i', 'made', 'btc', 'in', 'day', 'trading', 'on', 'binance', 'sign', 'up', 'now', 'register', 'for', 'bonus', 'httpstcovcjxm', 'plr', 'httpstcoobbnblwq']",Tue Jul 17 22:45:44 +0000 2018,AliKirk64922805,RIG,Transocean Ltd.,http://binance.com/?ref=10078236,False,5.936666666666665
16698,1019353188183441400,"['binance', 'has', 'over', 'million', 'users', 'join', 'us', 'today', 'register', 'for', 'bonus', 'httpstcodcqftjfxzq', 'ppt', 'etn', 'otn', 'httpstcodezxuhzoy']",Tue Jul 17 22:48:33 +0000 2018,jesse_vallejo,RIG,Transocean Ltd.,http://binance.com/?ref=10078236,False,5.9719999999999995
16728,1019355831312310300,"['move', 'your', 'trading', 'to', 'the', 'crypto', 'exchange', 'today', 'sign', 'up', 'register', 'for', 'bonus', 'httpstcowbscdjgim', 'httpstcortemlyoxg']",Tue Jul 17 22:59:03 +0000 2018,chloeball366,RIG,Transocean Ltd.,http://binance.com/?ref=10078236,False,5.778333333333332
16940,1019368303763099600,"['discount', 'on', 'all', 'trades', 'sign', 'up', 'today', 'amp', 'enjoy', 'discounts', 'register', 'for', 'bonus', 'httpstcolbdjahgcv', 'httpstcojczibrdz']",Tue Jul 17 23:48:37 +0000 2018,JosePerryman3,RIG,Transocean Ltd.,http://binance.com/?ref=10078236,False,6.205454545454544
16998,1019373167830294500,"['move', 'your', 'trading', 'to', 'the', 'crypto', 'exchange', 'today', 'sign', 'up', 'register', 'for', 'bonus', 'httpstcohurgbrhp', 'httpstcovkcbbhtfin']",Wed Jul 18 00:07:56 +0000 2018,carolgibson394,RIG,Transocean Ltd.,http://binance.com/?ref=10078236,False,5.778333333333332
17235,1019390416767082500,"['join', 'us', 'to', 'get', 'premium', 'trading', 'signals', 'join', 'us', 'httpstcomgvnmztd', 'byc', 'meet', 'pbr', 'dgb', 'prg', 'tra', 'httpstcohgdrqdlx']",Wed Jul 18 01:16:29 +0000 2018,AmosPatterson13,RIG,Transocean Ltd.,http://discord.gg/tXbaTxx,False,5.910909090909092
17470,1019408182626660400,"['you', 'can', 'trade', 'for', 'as', 'low', 'as', 'fee', 'on', 'binance', 'register', 'for', 'bonus', 'httpstcowbscdjgim', 'pbr', 'xios', 'httpstcoknuukrcnf']",Wed Jul 18 02:27:05 +0000 2018,chloeball366,RIG,Transocean Ltd.,http://binance.com/?ref=10078236,False,5.378333333333333
17482,1019409462518603800,"['fortnite', 'vbucks', 'are', 'on', 'sale', 'get', 'them', 'off', 'more', 'info', 'httpstcooqblzn', 'hot', 'lend', 'zsc', 'aeon', 'httpstcoffqyteqz']",Wed Jul 18 02:32:10 +0000 2018,JosePerryman3,RIG,Transocean Ltd.,http://discord.gg/gtJ4zym,False,5.478
17508,1019411289611915300,"['eps', 'for', 'transocean', 'ltd', 'rig', 'expected', 'at', 'httpstcofaprrezglu']",Wed Jul 18 02:39:25 +0000 2018,whatsonthorold2,RIG,Transocean Ltd.,https://www.whatsonthorold.com/2018/07/18/eps-for-transocean-ltd-rig-expected-at-0-17/,False,5.165
17510,1019411380317941800,"['analysts', 'see', 'eps', 'for', 'transocean', 'ltd', 'rig', 'httpstcoskozolawjy']",Wed Jul 18 02:39:47 +0000 2018,mmahotstuff1,RIG,Transocean Ltd.,https://www.mmahotstuff.com/2018/07/18/analysts-see-0-17-eps-for-transocean-ltd-rig.html,False,5.2749999999999995
17514,1019411521447841800,"['transocean', 'ltd', 'rig', 'analysts', 'see', 'eps', 'httpstcoltdwhshve']",Wed Jul 18 02:40:21 +0000 2018,reurope_stock,RIG,Transocean Ltd.,https://reurope.com/2018/07/18/transocean-ltd-rig-analysts-see-0-17-eps/,False,5.293333333333333
17515,1019411594340651000,"['eps', 'expected', 'for', 'transocean', 'ltd', 'rig', 'httpstcobfewflhikv']",Wed Jul 18 02:40:38 +0000 2018,bibeypost_stock,RIG,Transocean Ltd.,https://www.bibeypost.com/0-17-eps-expected-for-transocean-ltd-rig/,False,5.253333333333334
17536,1019413783356338200,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcovwylkynu', 'unb', 'httpstcogcywezmjsn']",Wed Jul 18 02:49:20 +0000 2018,melaniebower89a,RIG,Transocean Ltd.,http://discord.gg/tXbaTxx,False,5.630714285714286
17658,1019424217631264800,"['binance', 'is', 'one', 'of', 'the', 'most', 'prominent', 'exchange', 'in', 'crypto', 'register', 'for', 'bonus', 'httpstcoybqujodrte', 'ubtc', 'httpstcoestqjn']",Wed Jul 18 03:30:48 +0000 2018,RobertE08533864,RIG,Transocean Ltd.,http://binance.com/?ref=10078236,False,5.665454545454545
17816,1019436421231374300,"['binance', 'is', 'one', 'of', 'the', 'most', 'prominent', 'exchange', 'in', 'crypto', 'register', 'for', 'bonus', 'httpstcowwjyaqlvg', 'crb', 'httpstcovnhipbzvyf']",Wed Jul 18 04:19:17 +0000 2018,JamesCribbs17,RIG,Transocean Ltd.,http://binance.com/?ref=10078236,False,5.665454545454545
