,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
341,1016329365448286200,"['rt', 'drugdoctor', 'eltp', 'cent', 'drug', 'mfr', 'gets', 'fda', 'percocet', 'generic', 'approval', 'million', 'dollar', 'market', 'dvmt', 'dov', 'dst', 'atvi', 'ea']",Mon Jul 09 14:32:57 +0000 2018,BeefEnt,ROST,Ross Stores,,False,5.907500000000001
517,1016391327196614700,"['market', 'v', 'have', 'you', 'checked', 'out', 'our', 'new', 'feature', 'stock', 'of', 'the', 'day', 'today', 'colleague', 'ibdelow', 'details', 'strengths', 'of', 'httpstcorvfnooo']",Mon Jul 09 18:39:10 +0000 2018,IBD_DChung,ROST,Ross Stores,https://twitter.com/i/web/status/1016391327196614657,False,5.675294117647058
582,1016417782265675800,"['why', 'you', 'shouldnt', 'discount', 'these', 'top', 'stocks', 'in', 'or', 'near', 'buy', 'zones', 'burl', 'tjx', 'dg', 'rost', 'httpstcorxbumzorjg']",Mon Jul 09 20:24:18 +0000 2018,TopStockAlerts1,ROST,Ross Stores,https://www.investors.com/research/retail-sector-ross-stock-tjx-stock-dollar-general-stock-burlington-stock/,False,5.812
670,1016450499699269600,"['investors', 'buy', 'ross', 'stores', 'rost', 'on', 'weakness', 'httpstcolndjcowo']",Mon Jul 09 22:34:18 +0000 2018,ConsumerFeed,ROST,Ross Stores,http://zpr.io/6Txkg,False,5.303333333333334
767,1016511647949652000,"['ibd', 'stock', 'of', 'the', 'day', 'this', 'treasure', 'hunt', 'may', 'lead', 'to', 'new', 'buy', 'point', 'tjx', 'investors', 'rost', 'burl', 'httpstcogjatzalu']",Tue Jul 10 02:37:17 +0000 2018,JorelLaraKalel,ROST,Ross Stores,https://twitter.com/i/web/status/1016511647949651969,False,5.678571428571429
845,1016567796942110700,"['ross', 'stores', 'inc', 'rost', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcoznzvbhiks']",Tue Jul 10 06:20:24 +0000 2018,TranscriptDaily,ROST,Ross Stores,http://zpr.io/6T8Br,False,5.667999999999999
1148,1016692025440325600,"['some', 'of', 'the', 'stocks', 'predicted', 'with', 'upside', 'targets', 'for', 'week', 'are', 'adx', 'ipg', 'mck', 'rost', 'calm', 'tomforemski', 'httpstcoxhmckvhhrw']",Tue Jul 10 14:34:02 +0000 2018,tino_iq,ROST,Ross Stores,,False,5.357499999999999
1316,1016740865560272900,"['rost', 'price', 'is', 'very', 'close', 'its', 'dynamic', 'support', 'and', 'is', 'still', 'playing', 'around', 'its', 'line', 'of', 'least', 'resistance', 'its', 'time', 'i', 'httpstcowfsdqcyp']",Tue Jul 10 17:48:07 +0000 2018,Pier_977,ROST,Ross Stores,https://twitter.com/i/web/status/1016740865560272897,False,5.385999999999999
1337,1016745477092634600,"['rt', 'pier', 'rost', 'price', 'is', 'very', 'close', 'its', 'dynamic', 'support', 'and', 'is', 'still', 'playing', 'around', 'its', 'line', 'of', 'least', 'resistance', 'its', 'time', 'it', 'takes', 'a']",Tue Jul 10 18:06:26 +0000 2018,tardi44,ROST,Ross Stores,,False,5.303478260869564
1870,1017000519401984000,"['investors', 'buy', 'shares', 'of', 'ross', 'stores', 'rost', 'on', 'weakness', 'httpstcopuxdpzwdb']",Wed Jul 11 10:59:53 +0000 2018,EnterpriseLeade,ROST,Ross Stores,http://theenterpriseleader.com/?p=978921,False,5.43
